Parameter S1 S1_conf ST ST_conf
a_neg 0.205627 0.319122 50.727803 75.327482
a_pos 0.064711 0.149518 8.042165 14.833140
l_neg -0.000312 0.000410 0.055412 0.037110
l_sep -0.000249 0.000147 0.361486 0.242661
l_pos -0.003136 0.004230 0.006516 0.008883
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos -0.000000 0.000001 0.000000 0.000000
epsilon_f_neg 0.000002 0.000003 0.000000 0.000000
epsilon_f_pos 0.000003 0.000008 0.000000 0.000000
epsilon_neg 0.005752 0.015750 0.701392 0.403955
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.022824 0.060700 0.172104 0.108338
Cdl_neg 0.100944 0.213753 3.404349 5.966864
Cdl_pos -0.011275 0.188637 1.131352 1.874812
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000045 0.000041 0.011461 0.007693
D -0.000016 0.000013 0.001670 0.001121
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000001 0.000003 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002340 0.005450 0.019758 0.022126
i0_pos 0.012387 0.018933 0.453599 0.499535
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000243 0.000163 0.396075 0.265880
aa_neg 0.020857 0.033857 0.079519 0.090592
aa_pos 0.058172 0.055462 3.569684 3.399468
kappa_0 -0.009423 0.018217 0.935102 0.482644
sigma_neg -0.000017 0.000024 0.000000 0.000000
sigma_pos 0.000041 0.000067 0.000005 0.000006

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.249310 0.354239
a_neg l_neg -0.200865 0.328974
a_neg l_sep -0.200978 0.328987
a_neg l_pos -0.199701 0.328783
a_neg Rp_neg -0.200985 0.328988
a_neg Rp_pos -0.200984 0.328988
a_neg epsilon_f_neg -0.200985 0.328988
a_neg epsilon_f_pos -0.201023 0.328997
a_neg epsilon_neg -0.198947 0.358553
a_neg epsilon_sep -0.200983 0.328987
a_neg epsilon_pos -0.196658 0.328318
a_neg Cdl_neg 0.278870 0.966547
a_neg Cdl_pos -0.211250 0.331347
a_neg cs_max_neg -0.200983 0.328987
a_neg cs_max_pos -0.200983 0.328987
a_neg c0 -0.200990 0.328988
a_neg D -0.200980 0.328987
a_neg Ds_neg -0.200981 0.328987
a_neg Ds_pos -0.200983 0.328987
a_neg d2Udcp2_pos_sgn -0.200983 0.328987
a_neg d2Udcp2_neg_sgn -0.200983 0.328987
a_neg d3Udcp3_pos_sgn -0.200983 0.328987
a_neg d3Udcp3_neg_sgn -0.200983 0.328987
a_neg dUdcp_pos_mag -0.200984 0.328988
a_neg dUdcp_neg_mag -0.200985 0.328988
a_neg d2Udcp2_pos_mag -0.200983 0.328987
a_neg d2Udcp2_neg_mag -0.200983 0.328987
a_neg d3Udcp3_pos_mag -0.200983 0.328987
a_neg d3Udcp3_neg_mag -0.200983 0.328987
a_neg i0_neg -0.194580 0.326720
a_neg i0_pos -0.205125 0.329587
a_neg SOC_neg -0.200983 0.328987
a_neg SOC_pos -0.200983 0.328987
a_neg tP -0.200978 0.328988
a_neg aa_neg -0.194885 0.323387
a_neg aa_pos -0.207267 0.330126
a_neg kappa_0 -0.213427 0.328604
a_neg sigma_neg -0.200979 0.328986
a_neg sigma_pos -0.200714 0.328941
a_pos l_neg -0.055038 0.150374
a_pos l_sep -0.056562 0.150076
a_pos l_pos -0.050734 0.149796
a_pos Rp_neg -0.053605 0.150511
a_pos Rp_pos -0.053605 0.150511
a_pos epsilon_f_neg -0.053605 0.150511
a_pos epsilon_f_pos -0.053606 0.150511
a_pos epsilon_neg -0.053474 0.148734
a_pos epsilon_sep -0.053605 0.150511
a_pos epsilon_pos -0.042738 0.146698
a_pos Cdl_neg -0.044646 0.149858
a_pos Cdl_pos 0.029822 0.168177
a_pos cs_max_neg -0.053605 0.150511
a_pos cs_max_pos -0.053605 0.150511
