Parameter S1 S1_conf ST ST_conf
a_neg 0.000575 0.004457 1.951089 381.954831
a_pos 0.047567 0.028178 0.001666 0.384381
l_neg -0.000000 0.000016 0.016658 3.295957
l_sep 0.000023 0.000054 0.000000 0.000005
l_pos 0.000558 0.000330 0.000000 0.000001
Rp_neg -0.000000 0.000025 0.000182 0.034880
Rp_pos 0.044046 0.026097 0.000719 0.000693
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000012 0.000007 0.000000 0.000000
epsilon_neg -0.000012 0.000186 0.143993 28.022618
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.405140 0.240006 0.062647 0.330332
Cdl_neg 0.000000 0.000000 0.000000 0.000001
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.004205 0.002495 0.000100 0.014563
D -0.001699 0.001007 0.000079 0.012230
Ds_neg 0.005358 0.007803 46.177008 13688.573364
Ds_pos 0.096579 0.057198 2.741530 430.179320
d2Udcp2_pos_sgn -0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.096703 0.061756 0.003694 0.080006
dUdcp_neg_mag -0.023221 2.503314 26.163694 5132.682454
d2Udcp2_pos_mag -405.346918 240.127859 60549.831130 35869.507724
d2Udcp2_neg_mag 0.000002 0.000549 13.709375 3857.809512
d3Udcp3_pos_mag 0.000073 0.000043 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000009 0.000000 0.000000
i0_neg -0.000001 0.000022 0.000866 0.104227
i0_pos -0.000761 0.000444 0.000336 0.052673
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos -0.000000 0.000000 0.000000 0.000000
tP 0.000210 0.000145 0.000938 0.121454
aa_neg -0.000000 0.000000 0.000000 0.000000
aa_pos -0.000000 0.000001 0.000000 0.000000
kappa_0 0.069378 0.041112 0.002685 0.106948
sigma_neg -0.000000 0.000000 0.000000 0.000001
sigma_pos 0.000089 0.000052 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.048137 0.030141
a_neg l_neg 0.095441 0.056539
a_neg l_sep 0.095395 0.057961
a_neg l_pos 0.094862 0.057636
a_neg Rp_neg 0.095417 0.057934
a_neg Rp_pos 0.051637 0.032182
a_neg epsilon_f_neg 0.095417 0.057963
a_neg epsilon_f_pos 0.095404 0.057956
a_neg epsilon_neg 0.095434 0.057659
a_neg epsilon_sep 0.095417 0.057963
a_neg epsilon_pos 0.498111 0.296352
a_neg Cdl_neg 0.095417 0.057962
a_neg Cdl_pos 0.095417 0.057963
a_neg cs_max_neg 0.095417 0.057963
a_neg cs_max_pos 0.095417 0.057963
a_neg c0 0.099597 0.060426
a_neg D 0.097106 0.058963
a_neg Ds_neg 0.100716 0.690040
a_neg Ds_pos -0.000579 0.004911
a_neg d2Udcp2_pos_sgn 0.095418 0.057964
a_neg d2Udcp2_neg_sgn 0.095417 0.057963
a_neg d3Udcp3_pos_sgn 0.095417 0.057963
a_neg d3Udcp3_neg_sgn 0.095417 0.057963
a_neg dUdcp_pos_mag -0.000703 0.043618
a_neg dUdcp_neg_mag 0.106419 1.220648
a_neg d2Udcp2_pos_mag 402.995429 238.736071
a_neg d2Udcp2_neg_mag 0.095914 0.096968
a_neg d3Udcp3_pos_mag 0.095344 0.057920
a_neg d3Udcp3_neg_mag 0.095417 0.057965
a_neg i0_neg 0.095417 0.057972
a_neg i0_pos 0.096173 0.058406
a_neg SOC_neg 0.095417 0.057963
a_neg SOC_pos 0.095417 0.057963
a_neg tP 0.095208 0.057828
a_neg aa_neg 0.095417 0.057963
a_neg aa_pos 0.095417 0.057963
a_neg kappa_0 0.026459 0.017450
a_neg sigma_neg 0.095417 0.057963
a_neg sigma_pos 0.095329 0.057911
a_pos l_neg -0.047196 0.027957
a_pos l_sep -0.047196 0.027957
a_pos l_pos -0.047198 0.027959
a_pos Rp_neg -0.047196 0.027957
a_pos Rp_pos -0.047365 0.028057
a_pos epsilon_f_neg -0.047196 0.027957
a_pos epsilon_f_pos -0.047196 0.027957
a_pos epsilon_neg -0.047196 0.027957
a_pos epsilon_sep -0.047196 0.027957
a_pos epsilon_pos -0.045641 0.027037
a_pos Cdl_neg -0.047196 0.027957
a_pos Cdl_pos -0.047196 0.027957
a_pos cs_max_neg -0.047196 0.027957
a_pos cs_max_pos -0.047196 0.027957
