Parameter S1 S1_conf ST ST_conf
a_neg 0.000978 0.046507 0.468384 102.921897
a_pos 0.054908 0.161068 0.010132 1.789961
l_neg -0.000001 0.000104 0.377070 46.673697
l_sep 0.000094 0.000278 0.000000 0.000002
l_pos 0.002397 0.007032 0.000015 0.000043
Rp_neg 0.000000 0.000091 0.000411 0.048689
Rp_pos 0.052194 0.153125 0.007006 0.020503
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000015 0.000044 0.000000 0.000000
epsilon_neg 0.000005 0.004335 0.038689 8.093430
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.468396 1.374126 0.569360 1.664055
Cdl_neg -0.000000 0.000000 0.000000 0.000003
Cdl_pos -0.000000 0.000000 0.000000 0.000000
cs_max_neg -0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.004580 0.013439 0.000273 0.074204
D -0.001817 0.005331 0.000124 0.010738
Ds_neg -0.000490 0.634425 2.614201 4822.966068
Ds_pos 0.111517 0.327133 98.169775 8675.578906
d2Udcp2_pos_sgn -0.000001 0.000004 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.111786 0.403486 0.032613 0.600246
dUdcp_neg_mag -0.012358 1.091703 199.513799 24661.134446
d2Udcp2_pos_mag -468.040141 1373.081508 563054.428073 1651823.116475
d2Udcp2_neg_mag 0.000014 0.013636 0.289737 29.251847
d3Udcp3_pos_mag 0.000198 0.000580 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000034 0.000000 0.000000
i0_neg 0.000002 0.000026 0.005655 0.175861
i0_pos -0.004758 0.013963 0.000811 0.066521
SOC_neg -0.000000 0.000000 0.000000 0.000000
SOC_pos -0.000000 0.000000 0.000000 0.000000
tP 0.000229 0.000691 0.004795 0.149764
aa_neg -0.000000 0.000000 0.000000 0.000000
aa_pos -0.000001 0.000008 0.000000 0.000000
kappa_0 0.080342 0.235712 0.022098 0.184794
sigma_neg -0.000000 0.000001 0.000000 0.000003
sigma_pos 0.000105 0.000308 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.055323 0.170469
a_neg l_neg 0.110206 0.324627
a_neg l_sep 0.109851 0.327447
a_neg l_pos 0.107560 0.320778
a_neg Rp_neg 0.109952 0.327668
a_neg Rp_pos 0.058023 0.178057
a_neg epsilon_f_neg 0.109944 0.327705
a_neg epsilon_f_pos 0.109929 0.327663
a_neg epsilon_neg 0.109986 0.322866
a_neg epsilon_sep 0.109944 0.327705
a_neg epsilon_pos 0.575894 1.692111
a_neg Cdl_neg 0.109944 0.327704
a_neg Cdl_pos 0.109944 0.327706
a_neg cs_max_neg 0.109944 0.327705
a_neg cs_max_pos 0.109944 0.327705
a_neg c0 0.114501 0.340914
a_neg D 0.111751 0.332994
a_neg Ds_neg 0.099278 17.761332
a_neg Ds_pos -0.000990 0.045407
a_neg d2Udcp2_pos_sgn 0.109946 0.327710
a_neg d2Udcp2_neg_sgn 0.109944 0.327706
a_neg d3Udcp3_pos_sgn 0.109944 0.327705
a_neg d3Udcp3_neg_sgn 0.109944 0.327705
a_neg dUdcp_pos_mag -0.001257 0.291565
a_neg dUdcp_neg_mag 0.122411 1.040746
a_neg d2Udcp2_pos_mag 465.705068 1366.233170
a_neg d2Udcp2_neg_mag 0.111697 1.586464
a_neg d3Udcp3_pos_mag 0.109747 0.327134
a_neg d3Udcp3_neg_mag 0.109944 0.327710
a_neg i0_neg 0.109941 0.327742
a_neg i0_pos 0.114678 0.341478
a_neg SOC_neg 0.109944 0.327705
a_neg SOC_pos 0.109944 0.327705
a_neg tP 0.109716 0.327001
a_neg aa_neg 0.109944 0.327706
a_neg aa_pos 0.109945 0.327706
a_neg kappa_0 0.030026 0.101018
a_neg sigma_neg 0.109944 0.327705
a_neg sigma_pos 0.109839 0.327400
a_pos l_neg -0.054458 0.159745
a_pos l_sep -0.054459 0.159745
a_pos l_pos -0.054468 0.159773
a_pos Rp_neg -0.054458 0.159744
a_pos Rp_pos -0.054669 0.160362
a_pos epsilon_f_neg -0.054458 0.159744
a_pos epsilon_f_pos -0.054458 0.159745
a_pos epsilon_neg -0.054458 0.159750
a_pos epsilon_sep -0.054458 0.159744
a_pos epsilon_pos -0.052569 0.154205
a_pos Cdl_neg -0.054458 0.159744
a_pos Cdl_pos -0.054458 0.159744
a_pos cs_max_neg -0.054458 0.159744
a_pos cs_max_pos -0.054458 0.159744
a_pos c0 -0.054440 0.159689
a_pos D -0.054451 0.159726
a_pos Ds_neg -0.054472 0.163081
a_pos Ds_pos -0.054906 0.161083
a_pos d2Udcp2_pos_sgn -0.054458 0.159744
a_pos d2Udcp2_neg_sgn -0.054458 0.159744
a_pos d3Udcp3_pos_sgn -0.054458 0.159744
a_pos d3Udcp3_neg_sgn -0.054458 0.159744
a_pos dUdcp_pos_mag -0.054908 0.161069
a_pos dUdcp_neg_mag -0.054390 0.160693
a_pos d2Udcp2_pos_mag 1.833494 5.378909
a_pos d2Udcp2_neg_mag -0.054458 0.159751
a_pos d3Udcp3_pos_mag -0.054459 0.159747
a_pos d3Udcp3_neg_mag -0.054458 0.159744
a_pos i0_neg -0.054458 0.159745
a_pos i0_pos -0.054439 0.159688
a_pos SOC_neg -0.054458 0.159744
a_pos SOC_pos -0.054458 0.159744
a_pos tP -0.054459 0.159747
a_pos aa_neg -0.054458 0.159744
a_pos aa_pos -0.054458 0.159745
a_pos kappa_0 -0.054782 0.160696
a_pos sigma_neg -0.054458 0.159744
a_pos sigma_pos -0.054459 0.159746
l_neg l_sep 0.000008 0.000109
l_neg l_pos 0.000008 0.000109
l_neg Rp_neg 0.000008 0.000109
l_neg Rp_pos 0.000005 0.000106
l_neg epsilon_f_neg 0.000008 0.000109
l_neg epsilon_f_pos 0.000008 0.000109
l_neg epsilon_neg 0.000008 0.000110
l_neg epsilon_sep 0.000008 0.000109
l_neg epsilon_pos 0.000040 0.000167
l_neg Cdl_neg 0.000008 0.000109
l_neg Cdl_pos 0.000008 0.000109
l_neg cs_max_neg 0.000008 0.000109
l_neg cs_max_pos 0.000008 0.000109
l_neg c0 0.000009 0.000109
l_neg D 0.000008 0.000109
l_neg Ds_neg 0.000009 0.001019
l_neg Ds_pos 0.000001 0.000103
l_neg d2Udcp2_pos_sgn 0.000008 0.000109
l_neg d2Udcp2_neg_sgn 0.000008 0.000109
l_neg d3Udcp3_pos_sgn 0.000008 0.000109
l_neg d3Udcp3_neg_sgn 0.000008 0.000109
l_neg dUdcp_pos_mag 0.000001 0.000103
l_neg dUdcp_neg_mag 0.000030 0.002178
l_neg d2Udcp2_pos_mag 0.031742 0.093135
l_neg d2Udcp2_neg_mag 0.000009 0.000540
l_neg d3Udcp3_pos_mag 0.000008 0.000109
l_neg d3Udcp3_neg_mag 0.000008 0.000109
l_neg i0_neg 0.000008 0.000109
l_neg i0_pos 0.000009 0.000109
l_neg SOC_neg 0.000008 0.000109
l_neg SOC_pos 0.000008 0.000109
l_neg tP 0.000008 0.000109
l_neg aa_neg 0.000008 0.000109
l_neg aa_pos 0.000008 0.000109
l_neg kappa_0 0.000003 0.000105
l_neg sigma_neg 0.000008 0.000109
l_neg sigma_pos 0.000008 0.000109
l_sep l_pos 0.000748 0.002216
l_sep Rp_neg 0.000767 0.002271
l_sep Rp_pos 0.000364 0.001092
l_sep epsilon_f_neg 0.000767 0.002271
l_sep epsilon_f_pos 0.000767 0.002270
l_sep epsilon_neg 0.000767 0.002270
l_sep epsilon_sep 0.000767 0.002271
l_sep epsilon_pos 0.004381 0.012872
l_sep Cdl_neg 0.000767 0.002271
l_sep Cdl_pos 0.000767 0.002271
l_sep cs_max_neg 0.000767 0.002271
l_sep cs_max_pos 0.000767 0.002271
l_sep c0 0.000802 0.002374
l_sep D 0.000781 0.002312
l_sep Ds_neg 0.000769 0.004063
l_sep Ds_pos -0.000094 0.000279
l_sep d2Udcp2_pos_sgn 0.000767 0.002271
l_sep d2Udcp2_neg_sgn 0.000767 0.002271
l_sep d3Udcp3_pos_sgn 0.000767 0.002271
l_sep d3Udcp3_neg_sgn 0.000767 0.002271
l_sep dUdcp_pos_mag -0.000093 0.000495
l_sep dUdcp_neg_mag 0.000767 0.002313
l_sep d2Udcp2_pos_mag 3.612482 10.597898
l_sep d2Udcp2_neg_mag 0.000767 0.002270
l_sep d3Udcp3_pos_mag 0.000765 0.002266
l_sep d3Udcp3_neg_mag 0.000767 0.002271
l_sep i0_neg 0.000767 0.002271
l_sep i0_pos 0.000803 0.002378
l_sep SOC_neg 0.000767 0.002271
l_sep SOC_pos 0.000767 0.002271
l_sep tP 0.000765 0.002265
l_sep aa_neg 0.000767 0.002271
l_sep aa_pos 0.000767 0.002271
l_sep kappa_0 0.000147 0.000462
l_sep sigma_neg 0.000767 0.002271
l_sep sigma_pos 0.000766 0.002268
l_pos Rp_neg -0.002045 0.005999
l_pos Rp_pos -0.002210 0.006482
l_pos epsilon_f_neg -0.002045 0.005999
l_pos epsilon_f_pos -0.002045 0.005999
l_pos epsilon_neg -0.002045 0.005999
l_pos epsilon_sep -0.002045 0.005999
l_pos epsilon_pos -0.000566 0.001660
l_pos Cdl_neg -0.002045 0.005999
l_pos Cdl_pos -0.002045 0.005999
l_pos cs_max_neg -0.002045 0.005999
l_pos cs_max_pos -0.002045 0.005999
l_pos c0 -0.002030 0.005956
l_pos D -0.002039 0.005982
l_pos Ds_neg -0.002047 0.006002
l_pos Ds_pos -0.002397 0.007032
l_pos d2Udcp2_pos_sgn -0.002045 0.005999
l_pos d2Udcp2_neg_sgn -0.002045 0.005999
l_pos d3Udcp3_pos_sgn -0.002045 0.005999
