Parameter S1 S1_conf ST ST_conf
a_neg 0.000509 0.102023 0.221170 26.245278
a_pos 0.029942 0.102282 0.028688 3.474533
l_neg 0.000008 0.000036 3.246512 13.089317
l_sep 0.000054 0.000205 0.000006 0.000136
l_pos 0.002978 0.010170 0.000075 0.000255
Rp_neg 0.000004 0.001248 0.008406 0.033878
Rp_pos -0.094772 0.323590 0.075532 0.257871
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000009 0.000030 0.000000 0.000000
epsilon_neg 0.000058 0.013705 0.111501 3.976131
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.256346 0.875281 0.592594 2.113114
Cdl_neg -0.000000 0.000000 0.000000 0.000001
Cdl_pos -0.000001 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.002279 0.007777 0.002034 0.067260
D -0.000914 0.003128 0.000545 0.013203
Ds_neg -0.015722 2.915986 14.645160 3670.241148
Ds_pos 0.060880 0.207831 1757.265998 43133.994448
d2Udcp2_pos_sgn 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000001 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.062181 0.535701 0.037374 2.353502
dUdcp_neg_mag 0.003283 0.227292 128679.140390 518804.914832
d2Udcp2_pos_mag -255.486188 872.347962 548857.900202 1874054.585532
d2Udcp2_neg_mag 0.000175 0.053438 3.011880 396.585639
d3Udcp3_pos_mag 0.000477 0.001630 0.000002 0.000007
d3Udcp3_neg_mag 0.000000 0.000023 0.000000 0.000000
i0_neg 0.000004 0.000206 0.118593 0.260251
i0_pos -0.006396 0.021835 0.005158 0.118484
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000115 0.000405 0.053378 0.118039
aa_neg 0.000000 0.000001 0.000000 0.000000
aa_pos 0.000000 0.000018 0.000000 0.000000
kappa_0 0.044033 0.150379 0.132599 0.249150
sigma_neg 0.000000 0.000001 0.000002 0.000003
sigma_pos 0.000061 0.000210 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.030723 0.144590
a_neg l_neg 0.063328 0.231845
a_neg l_sep 0.060555 0.230648
a_neg l_pos 0.057637 0.221617
a_neg Rp_neg 0.060748 0.230974
a_neg Rp_pos 0.155189 0.541191
a_neg epsilon_f_neg 0.060609 0.230793
a_neg epsilon_f_pos 0.060600 0.230768
a_neg epsilon_neg 0.061238 0.245386
a_neg epsilon_sep 0.060609 0.230794
a_neg epsilon_pos 0.316439 1.087389
a_neg Cdl_neg 0.060609 0.230794
a_neg Cdl_pos 0.060610 0.230796
a_neg cs_max_neg 0.060609 0.230794
a_neg cs_max_pos 0.060609 0.230794
a_neg c0 0.062891 0.237716
a_neg D 0.061522 0.233719
a_neg Ds_neg -0.243088 73.469904
a_neg Ds_pos -0.000143 0.097126
a_neg d2Udcp2_pos_sgn 0.060609 0.230794
a_neg d2Udcp2_neg_sgn 0.060609 0.230802
a_neg d3Udcp3_pos_sgn 0.060609 0.230794
a_neg d3Udcp3_neg_sgn 0.060609 0.230794
a_neg dUdcp_pos_mag -0.001439 0.592867
a_neg dUdcp_neg_mag 0.601104 2.218384
a_neg d2Udcp2_pos_mag 255.027492 870.784412
a_neg d2Udcp2_neg_mag 0.077454 5.135735
a_neg d3Udcp3_pos_mag 0.060132 0.229318
a_neg d3Udcp3_neg_mag 0.060609 0.230799
a_neg i0_neg 0.060562 0.230891
a_neg i0_pos 0.066989 0.250837
a_neg SOC_neg 0.060609 0.230794
a_neg SOC_pos 0.060609 0.230794
a_neg tP 0.060497 0.230291
a_neg aa_neg 0.060609 0.230810
a_neg aa_pos 0.060609 0.230795
a_neg kappa_0 0.016509 0.115846
a_neg sigma_neg 0.060609 0.230785
a_neg sigma_pos 0.060548 0.230600
a_pos l_neg -0.029509 0.100793
a_pos l_sep -0.029509 0.100795
a_pos l_pos -0.029530 0.100866
a_pos Rp_neg -0.029509 0.100794
a_pos Rp_pos -0.028832 0.098484
a_pos epsilon_f_neg -0.029509 0.100793
a_pos epsilon_f_pos -0.029509 0.100794
a_pos epsilon_neg -0.029508 0.100806
a_pos epsilon_sep -0.029509 0.100793
a_pos epsilon_pos -0.027677 0.094549
a_pos Cdl_neg -0.029509 0.100793
a_pos Cdl_pos -0.029509 0.100793
a_pos cs_max_neg -0.029509 0.100793
a_pos cs_max_pos -0.029509 0.100793
a_pos c0 -0.029493 0.100736
a_pos D -0.029501 0.100776
a_pos Ds_neg -0.029856 0.136277
a_pos Ds_pos -0.029925 0.102289
a_pos d2Udcp2_pos_sgn -0.029509 0.100793
a_pos d2Udcp2_neg_sgn -0.029509 0.100793
a_pos d3Udcp3_pos_sgn -0.029509 0.100793
a_pos d3Udcp3_neg_sgn -0.029509 0.100793
a_pos dUdcp_pos_mag -0.029941 0.102284
a_pos dUdcp_neg_mag -0.029489 0.100749
a_pos d2Udcp2_pos_mag 1.794663 6.127776
a_pos d2Udcp2_neg_mag -0.029507 0.100819
a_pos d3Udcp3_pos_mag -0.029512 0.100805
a_pos d3Udcp3_neg_mag -0.029509 0.100793
a_pos i0_neg -0.029509 0.100794
a_pos i0_pos -0.029463 0.100637
a_pos SOC_neg -0.029509 0.100793
a_pos SOC_pos -0.029509 0.100793
a_pos tP -0.029510 0.100796
a_pos aa_neg -0.029509 0.100793
a_pos aa_pos -0.029509 0.100793
a_pos kappa_0 -0.029824 0.101864
a_pos sigma_neg -0.029509 0.100793
a_pos sigma_pos -0.029509 0.100795
l_neg l_sep -0.000004 0.000040
l_neg l_pos -0.000004 0.000040
l_neg Rp_neg -0.000004 0.000040
l_neg Rp_pos 0.000002 0.000051
l_neg epsilon_f_neg -0.000004 0.000040
l_neg epsilon_f_pos -0.000004 0.000040
l_neg epsilon_neg -0.000004 0.000039
l_neg epsilon_sep -0.000004 0.000040
l_neg epsilon_pos 0.000013 0.000080
l_neg Cdl_neg -0.000004 0.000040
l_neg Cdl_pos -0.000004 0.000040
l_neg cs_max_neg -0.000004 0.000040
l_neg cs_max_pos -0.000004 0.000040
l_neg c0 -0.000004 0.000040
l_neg D -0.000004 0.000040
l_neg Ds_neg -0.000007 0.000907
l_neg Ds_pos -0.000012 0.000100
l_neg d2Udcp2_pos_sgn -0.000004 0.000040
l_neg d2Udcp2_neg_sgn -0.000004 0.000040
l_neg d3Udcp3_pos_sgn -0.000004 0.000040
l_neg d3Udcp3_neg_sgn -0.000004 0.000040
l_neg dUdcp_pos_mag -0.000008 0.000039
l_neg dUdcp_neg_mag -0.000214 0.002185
l_neg d2Udcp2_pos_mag 0.016595 0.056692
l_neg d2Udcp2_neg_mag -0.000004 0.000038
l_neg d3Udcp3_pos_mag -0.000004 0.000040
l_neg d3Udcp3_neg_mag -0.000004 0.000040
l_neg i0_neg -0.000004 0.000040
l_neg i0_pos -0.000004 0.000041
l_neg SOC_neg -0.000004 0.000040
l_neg SOC_pos -0.000004 0.000040
l_neg tP -0.000004 0.000039
l_neg aa_neg -0.000004 0.000040
l_neg aa_pos -0.000004 0.000040
l_neg kappa_0 -0.000007 0.000037
l_neg sigma_neg -0.000004 0.000040
l_neg sigma_pos -0.000004 0.000040
l_sep l_pos 0.000764 0.002607
l_sep Rp_neg 0.000806 0.002750
l_sep Rp_pos 0.002145 0.007322
l_sep epsilon_f_neg 0.000806 0.002750
l_sep epsilon_f_pos 0.000806 0.002750
l_sep epsilon_neg 0.000806 0.002755
l_sep epsilon_sep 0.000806 0.002750
l_sep epsilon_pos 0.004429 0.015118
l_sep Cdl_neg 0.000806 0.002750
l_sep Cdl_pos 0.000806 0.002750
l_sep cs_max_neg 0.000806 0.002750
l_sep cs_max_pos 0.000806 0.002750
l_sep c0 0.000838 0.002860
l_sep D 0.000819 0.002794
l_sep Ds_neg 0.001015 0.042854
l_sep Ds_pos -0.000053 0.000207
l_sep d2Udcp2_pos_sgn 0.000806 0.002750
l_sep d2Udcp2_neg_sgn 0.000806 0.002750
l_sep d3Udcp3_pos_sgn 0.000806 0.002750
l_sep d3Udcp3_neg_sgn 0.000806 0.002750
l_sep dUdcp_pos_mag -0.000051 0.001015
l_sep dUdcp_neg_mag 0.000813 0.002758
l_sep d2Udcp2_pos_mag 3.611022 12.329697
l_sep d2Udcp2_neg_mag 0.000806 0.002750
l_sep d3Udcp3_pos_mag 0.000799 0.002727
l_sep d3Udcp3_neg_mag 0.000806 0.002750
l_sep i0_neg 0.000806 0.002750
l_sep i0_pos 0.000897 0.003059
l_sep SOC_neg 0.000806 0.002750
l_sep SOC_pos 0.000806 0.002750
l_sep tP 0.000805 0.002745
l_sep aa_neg 0.000806 0.002750
l_sep aa_pos 0.000806 0.002750
l_sep kappa_0 0.000184 0.000630
l_sep sigma_neg 0.000806 0.002750
l_sep sigma_pos 0.000805 0.002747
l_pos Rp_neg -0.002812 0.009601
l_pos Rp_pos -0.002553 0.008717
l_pos epsilon_f_neg -0.002812 0.009601
l_pos epsilon_f_pos -0.002812 0.009601
l_pos epsilon_neg -0.002812 0.009601
l_pos epsilon_sep -0.002812 0.009601
l_pos epsilon_pos -0.002111 0.007209
l_pos Cdl_neg -0.002812 0.009601
l_pos Cdl_pos -0.002812 0.009601
l_pos cs_max_neg -0.002812 0.009601
l_pos cs_max_pos -0.002812 0.009601
l_pos c0 -0.002806 0.009580
l_pos D -0.002809 0.009593
l_pos Ds_neg -0.002812 0.009600
l_pos Ds_pos -0.002978 0.010170
l_pos d2Udcp2_pos_sgn -0.002812 0.009601
l_pos d2Udcp2_neg_sgn -0.002812 0.009601
l_pos d3Udcp3_pos_sgn -0.002812 0.009601
l_pos d3Udcp3_neg_sgn -0.002812 0.009601
l_pos dUdcp_pos_mag -0.002978 0.010170
l_pos dUdcp_neg_mag -0.002813 0.009601
l_pos d2Udcp2_pos_mag 0.695587 2.375054
l_pos d2Udcp2_neg_mag -0.002812 0.009601
l_pos d3Udcp3_pos_mag -0.002813 0.009606
l_pos d3Udcp3_neg_mag -0.002812 0.009601
l_pos i0_neg -0.002812 0.009601
l_pos i0_pos -0.002794 0.009542
l_pos SOC_neg -0.002812 0.009601
l_pos SOC_pos -0.002812 0.009601
l_pos tP -0.002812 0.009602
l_pos aa_neg -0.002812 0.009601
l_pos aa_pos -0.002812 0.009601
l_pos kappa_0 -0.002932 0.010012
l_pos sigma_neg -0.002812 0.009601
l_pos sigma_pos -0.002812 0.009602
Rp_neg Rp_pos -0.006949 0.023741
Rp_neg epsilon_f_neg -0.002723 0.009510
Rp_neg epsilon_f_pos -0.002723 0.009508
Rp_neg epsilon_neg -0.002800 0.019139
Rp_neg epsilon_sep -0.002723 0.009510
Rp_neg epsilon_pos -0.014158 0.048301
Rp_neg Cdl_neg -0.002723 0.009510
Rp_neg Cdl_pos -0.002723 0.009510
Rp_neg cs_max_neg -0.002723 0.009510
Rp_neg cs_max_pos -0.002723 0.009510
Rp_neg c0 -0.002824 0.009825
Rp_neg D -0.002764 0.009678
Rp_neg Ds_neg -0.043529 2.915015
Rp_neg Ds_pos -0.000052 0.003078
Rp_neg d2Udcp2_pos_sgn -0.002723 0.009510
Rp_neg d2Udcp2_neg_sgn -0.002723 0.009510
Rp_neg d3Udcp3_pos_sgn -0.002723 0.009510
Rp_neg d3Udcp3_neg_sgn -0.002723 0.009510
Rp_neg dUdcp_pos_mag -0.001622 0.616826
Rp_neg dUdcp_neg_mag -0.002781 0.017351
Rp_neg d2Udcp2_pos_mag -11.399411 38.922764
Rp_neg d2Udcp2_neg_mag -0.002676 0.015314
Rp_neg d3Udcp3_pos_mag -0.002702 0.009439
Rp_neg d3Udcp3_neg_mag -0.002723 0.009513
Rp_neg i0_neg -0.002723 0.009451
Rp_neg i0_pos -0.003008 0.010476
Rp_neg SOC_neg -0.002723 0.009510
Rp_neg SOC_pos -0.002723 0.009510
Rp_neg tP -0.002718 0.009468
Rp_neg aa_neg -0.002723 0.009510
Rp_neg aa_pos -0.002723 0.009509
Rp_neg kappa_0 -0.000757 0.003018
Rp_neg sigma_neg -0.002723 0.009510
Rp_neg sigma_pos -0.002720 0.009501
Rp_pos epsilon_f_neg 0.094249 0.321804
Rp_pos epsilon_f_pos 0.094250 0.321805
Rp_pos epsilon_neg 0.094250 0.321805
Rp_pos epsilon_sep 0.094249 0.321804
Rp_pos epsilon_pos 0.092047 0.314284
Rp_pos Cdl_neg 0.094249 0.321804
Rp_pos Cdl_pos 0.094249 0.321804
Rp_pos cs_max_neg 0.094249 0.321804
Rp_pos cs_max_pos 0.094249 0.321804
Rp_pos c0 0.094230 0.321737
Rp_pos D 0.094242 0.321778
Rp_pos Ds_neg 0.094249 0.321802
Rp_pos Ds_pos 0.094767 0.323592
Rp_pos d2Udcp2_pos_sgn 0.094249 0.321804
Rp_pos d2Udcp2_neg_sgn 0.094249 0.321804
Rp_pos d3Udcp3_pos_sgn 0.094249 0.321804
