Parameter S1 S1_conf ST ST_conf
a_neg -0.000048 0.005254 0.729920 3.944438
a_pos -0.001420 0.058612 0.018235 14.392018
l_neg -0.000000 0.000056 0.002184 0.001195
l_sep -0.000002 0.001047 0.000011 0.000461
l_pos -0.000055 0.002228 0.000001 0.000038
Rp_neg -0.000000 0.000190 0.000613 0.000572
Rp_pos -0.039457 1.605049 0.468705 19.066333
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000016 0.000000 0.000000
epsilon_neg 0.000039 0.032688 0.707471 4.809677
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.011951 0.486166 0.070556 2.377206
Cdl_neg -0.000000 0.000002 0.000001 0.000000
Cdl_pos -0.000000 0.000002 0.000000 0.000000
cs_max_neg -0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000123 0.005019 0.002171 0.759561
D 0.000052 0.002125 0.000308 0.021876
Ds_neg -0.003161 2.945528 1.510873 540.677576
Ds_pos -0.002844 0.115733 82.466914 3544.866695
d2Udcp2_pos_sgn 0.000001 0.000049 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000004 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.002910 0.121199 0.008138 2.835656
dUdcp_neg_mag 0.000581 1.028005 518351.778580 288477.102567
d2Udcp2_pos_mag 11.942047 485.789133 42935.422427 1746564.958983
d2Udcp2_neg_mag 0.000088 0.032707 1.106413 109.305865
d3Udcp3_pos_mag 0.000036 0.001452 0.000000 0.000016
d3Udcp3_neg_mag 0.000000 0.000015 0.000000 0.000002
i0_neg 0.000001 0.000420 0.188788 0.303718
i0_pos 0.000100 0.004353 0.003056 0.130996
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000001 0.002069 0.033962 0.056288
aa_neg 0.000000 0.000010 0.000000 0.000000
aa_pos 0.000001 0.000070 0.000000 0.000000
kappa_0 -0.002047 0.083204 0.283974 2.072069
sigma_neg 0.000000 0.000003 0.000002 0.000004
sigma_pos -0.000003 0.000111 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000213 0.061877
a_neg l_neg -0.001674 0.115881
a_neg l_sep -0.001608 0.115651
a_neg l_pos -0.001556 0.113725
a_neg Rp_neg -0.001639 0.116771
a_neg Rp_pos 0.037657 1.484446
a_neg epsilon_f_neg -0.001611 0.115891
a_neg epsilon_f_pos -0.001610 0.115874
a_neg epsilon_neg -0.001776 0.825231
a_neg epsilon_sep -0.001611 0.115889
a_neg epsilon_pos -0.013502 0.597507
a_neg Cdl_neg -0.001612 0.115889
a_neg Cdl_pos -0.001611 0.115887
a_neg cs_max_neg -0.001611 0.115889
a_neg cs_max_pos -0.001611 0.115889
a_neg c0 -0.001729 0.120832
a_neg D -0.001658 0.118105
a_neg Ds_neg -0.083987 72.395534
a_neg Ds_pos 0.001222 0.025276
a_neg d2Udcp2_pos_sgn -0.001612 0.115936
a_neg d2Udcp2_neg_sgn -0.001611 0.115864
a_neg d3Udcp3_pos_sgn -0.001611 0.115889
a_neg d3Udcp3_neg_sgn -0.001611 0.115889
a_neg dUdcp_pos_mag 0.001286 0.049158
a_neg dUdcp_neg_mag 0.965222 0.744157
a_neg d2Udcp2_pos_mag -11.886533 483.578499
a_neg d2Udcp2_neg_mag 0.006353 3.224655
a_neg d3Udcp3_pos_mag -0.001646 0.117300
a_neg d3Udcp3_neg_mag -0.001611 0.115887
a_neg i0_neg -0.001707 0.115570
a_neg i0_pos -0.001715 0.119938
a_neg SOC_neg -0.001611 0.115889
a_neg SOC_pos -0.001611 0.115889
a_neg tP -0.001606 0.115666
a_neg aa_neg -0.001611 0.115850
a_neg aa_pos -0.001611 0.115912
a_neg kappa_0 -0.000046 0.033569
a_neg sigma_neg -0.001611 0.115903
a_neg sigma_pos -0.001608 0.115784
a_pos l_neg 0.001403 0.057615
a_pos l_sep 0.001403 0.057616
a_pos l_pos 0.001403 0.057625
a_pos Rp_neg 0.001403 0.057615
a_pos Rp_pos 0.001603 0.065692
a_pos epsilon_f_neg 0.001403 0.057615
a_pos epsilon_f_pos 0.001403 0.057615
a_pos epsilon_neg 0.001403 0.057669
a_pos epsilon_sep 0.001403 0.057615
a_pos epsilon_pos 0.001345 0.055580
a_pos Cdl_neg 0.001403 0.057615
a_pos Cdl_pos 0.001403 0.057615
a_pos cs_max_neg 0.001403 0.057615
a_pos cs_max_pos 0.001403 0.057615
