Parameter S1 S1_conf ST ST_conf
a_neg -0.000002 0.008443 0.906891 1.274771
a_pos -0.000055 0.310880 0.005550 94.621439
l_neg -0.000001 0.000295 0.432195 0.215034
l_sep 0.000001 0.009342 0.000002 0.000904
l_pos -0.000003 0.001596 0.000000 0.000125
Rp_neg -0.000000 0.000745 0.012125 0.006044
Rp_pos -0.003122 1.838538 0.269268 158.559775
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000008 0.000000 0.000000
epsilon_neg 0.000004 0.012696 0.818215 36.363018
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000325 0.191584 0.010194 2.267272
Cdl_neg -0.000000 0.000005 0.000002 0.000001
Cdl_pos -0.000000 0.000001 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000003 0.002253 0.000752 1.257767
D 0.000001 0.001156 0.000055 0.016788
Ds_neg -0.000062 0.148548 1.007021 61.701988
Ds_pos -0.000076 0.045567 8.725858 1508.309910
d2Udcp2_pos_sgn 0.000000 0.000062 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000011 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000160 0.285766 0.002029 6.173370
dUdcp_neg_mag -0.000064 3.644219 77015.929925 38311.578060
d2Udcp2_pos_mag 0.324998 191.378640 2917.472011 1717987.091161
d2Udcp2_neg_mag 0.000000 0.012614 0.966995 6.288190
d3Udcp3_pos_mag 0.000001 0.000319 0.000000 0.000005
d3Udcp3_neg_mag 0.000000 0.000160 0.000000 0.000125
i0_neg 0.000000 0.001303 0.098098 0.361894
i0_pos 0.000005 0.005060 0.000811 0.139401
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.013297 0.004239 0.018636
aa_neg 0.000000 0.000059 0.000000 0.000005
aa_pos 0.000000 0.000233 0.000000 0.000232
kappa_0 -0.000057 0.033212 0.226894 6.886260
sigma_neg -0.000000 0.000009 0.000001 0.000004
sigma_pos -0.000000 0.000050 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000524 0.027813
a_neg l_neg 0.000103 0.045196
a_neg l_sep 0.000486 0.044143
a_neg l_pos 0.000489 0.043732
a_neg Rp_neg 0.000423 0.045166
a_neg Rp_pos 0.003539 1.754992
a_neg epsilon_f_neg 0.000487 0.045192
a_neg epsilon_f_pos 0.000487 0.045188
a_neg epsilon_neg 0.000045 0.108499
a_neg epsilon_sep 0.000487 0.045193
a_neg epsilon_pos 0.000169 0.230361
a_neg Cdl_neg 0.000486 0.045194
a_neg Cdl_pos 0.000487 0.045193
a_neg cs_max_neg 0.000487 0.045193
a_neg cs_max_pos 0.000487 0.045193
a_neg c0 0.000483 0.047094
a_neg D 0.000487 0.045741
a_neg Ds_neg -0.001575 2.340475
a_neg Ds_pos 0.000563 0.015350
a_neg d2Udcp2_pos_sgn 0.000487 0.045250
a_neg d2Udcp2_neg_sgn 0.000487 0.045201
a_neg d3Udcp3_pos_sgn 0.000487 0.045193
a_neg d3Udcp3_neg_sgn 0.000487 0.045193
a_neg dUdcp_pos_mag 0.000644 0.287264
a_neg dUdcp_neg_mag 0.162744 1.877453
a_neg d2Udcp2_pos_mag -0.317259 187.150873
a_neg d2Udcp2_neg_mag 0.000070 0.779066
a_neg d3Udcp3_pos_mag 0.000486 0.045487
a_neg d3Udcp3_neg_mag 0.000487 0.045193
a_neg i0_neg 0.000430 0.045083
a_neg i0_pos 0.000480 0.048845
a_neg SOC_neg 0.000487 0.045193
a_neg SOC_pos 0.000487 0.045193
a_neg tP 0.000486 0.043815
a_neg aa_neg 0.000487 0.045197
a_neg aa_pos 0.000487 0.045223
a_neg kappa_0 0.000317 0.019744
a_neg sigma_neg 0.000487 0.045191
a_neg sigma_pos 0.000487 0.045155
a_pos l_neg 0.000055 0.227550
a_pos l_sep 0.000055 0.227730
a_pos l_pos 0.000055 0.227489
a_pos Rp_neg 0.000055 0.227601
a_pos Rp_pos 0.000014 0.232149
a_pos epsilon_f_neg 0.000055 0.227591
a_pos epsilon_f_pos 0.000055 0.227625
a_pos epsilon_neg 0.000055 0.225280
a_pos epsilon_sep 0.000055 0.227601
a_pos epsilon_pos 0.000061 0.293256
a_pos Cdl_neg 0.000055 0.227602
a_pos Cdl_pos 0.000055 0.227606
a_pos cs_max_neg 0.000055 0.227601
a_pos cs_max_pos 0.000055 0.227601
