Parameter S1 S1_conf ST ST_conf
a_neg 0.000002 0.004695 0.957857 0.467093
a_pos -0.000028 0.487334 0.002028 33.713951
l_neg 0.000001 0.000486 0.178340 0.087611
l_sep 0.000000 0.003156 0.000000 0.002631
l_pos -0.000000 0.000646 0.000000 0.000092
Rp_neg 0.000000 0.000061 0.020072 0.009860
Rp_pos -0.000160 2.767633 0.057086 985.059043
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg 0.000002 0.005301 0.843122 2.788752
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000005 0.092423 0.001999 2.276185
Cdl_neg 0.000000 0.000001 0.000003 0.000001
Cdl_pos -0.000000 0.000001 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000601 0.000210 0.699888
D 0.000000 0.000390 0.000011 0.003003
Ds_neg 0.000001 0.015245 1.006212 1.529083
Ds_pos -0.000001 0.020368 0.460252 472.060828
d2Udcp2_pos_sgn 0.000000 0.000142 0.000000 0.000002
d2Udcp2_neg_sgn 0.000000 0.000003 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000020 0.174537 0.000722 5.869643
dUdcp_neg_mag -0.000007 0.383396 82.281304 51.912218
d2Udcp2_pos_mag 0.005289 91.272682 62.088428 1071452.316855
d2Udcp2_neg_mag 0.000002 0.010032 0.968019 4.481500
d3Udcp3_pos_mag 0.000000 0.000139 0.000000 0.000002
d3Udcp3_neg_mag 0.000000 0.000002 0.000000 0.000012
i0_neg 0.000000 0.000139 0.059996 0.400899
i0_pos 0.000000 0.002613 0.000353 0.604659
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.006412 0.000215 0.012596
aa_neg -0.000000 0.000031 0.000001 0.000014
aa_pos 0.000000 0.000037 0.000000 0.000421
kappa_0 -0.000000 0.016126 0.196344 9.987506
sigma_neg -0.000000 0.000004 0.000001 0.000005
sigma_pos -0.000000 0.000020 0.000000 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000255 0.008829
a_neg l_neg 0.000144 0.016599
a_neg l_sep 0.000254 0.017499
a_neg l_pos 0.000254 0.016012
a_neg Rp_neg 0.000217 0.016711
a_neg Rp_pos 0.000409 2.652411
a_neg epsilon_f_neg 0.000254 0.016718
a_neg epsilon_f_pos 0.000254 0.016715
a_neg epsilon_neg 0.000019 0.023201
a_neg epsilon_sep 0.000254 0.016718
a_neg epsilon_pos 0.000249 0.103820
a_neg Cdl_neg 0.000254 0.016718
a_neg Cdl_pos 0.000254 0.016718
a_neg cs_max_neg 0.000254 0.016718
a_neg cs_max_pos 0.000254 0.016718
a_neg c0 0.000253 0.017404
a_neg D 0.000255 0.016940
a_neg Ds_neg -0.000010 0.142069
a_neg Ds_pos 0.000255 0.008335
a_neg d2Udcp2_pos_sgn 0.000254 0.016833
a_neg d2Udcp2_neg_sgn 0.000254 0.016724
a_neg d3Udcp3_pos_sgn 0.000254 0.016718
a_neg d3Udcp3_neg_sgn 0.000254 0.016718
a_neg dUdcp_pos_mag 0.000274 0.158670
a_neg dUdcp_neg_mag -0.002104 0.189518
a_neg d2Udcp2_pos_mag -0.004845 88.006320
a_neg d2Udcp2_neg_mag 0.000015 0.335417
a_neg d3Udcp3_pos_mag 0.000254 0.016838
a_neg d3Udcp3_neg_mag 0.000254 0.016722
a_neg i0_neg 0.000223 0.016715
a_neg i0_pos 0.000254 0.017863
a_neg SOC_neg 0.000254 0.016718
a_neg SOC_pos 0.000254 0.016718
a_neg tP 0.000254 0.018488
a_neg aa_neg 0.000254 0.016728
a_neg aa_pos 0.000254 0.016748
a_neg kappa_0 0.000152 0.006950
a_neg sigma_neg 0.000254 0.016715
a_neg sigma_pos 0.000254 0.016699
a_pos l_neg 0.000028 0.487073
a_pos l_sep 0.000028 0.487071
a_pos l_pos 0.000028 0.486775
a_pos Rp_neg 0.000028 0.487074
a_pos Rp_pos 0.000024 0.440316
a_pos epsilon_f_neg 0.000028 0.487073
a_pos epsilon_f_pos 0.000028 0.487074
a_pos epsilon_neg 0.000028 0.486888
a_pos epsilon_sep 0.000028 0.487074
a_pos epsilon_pos 0.000029 0.488680
a_pos Cdl_neg 0.000028 0.487074
a_pos Cdl_pos 0.000028 0.487073
a_pos cs_max_neg 0.000028 0.487074
a_pos cs_max_pos 0.000028 0.487074
