Parameter S1 S1_conf ST ST_conf
a_neg 0.000007 0.008246 0.973236 0.463366
a_pos -0.000060 3.962859 0.000966 63.183450
l_neg 0.000000 0.000550 0.002876 0.001508
l_sep 0.000000 0.000345 0.000000 0.000713
l_pos 0.000000 0.002245 0.000000 0.000025
Rp_neg 0.000001 0.000383 0.035555 0.017243
Rp_pos -0.000000 0.005916 0.000022 0.274101
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000000 0.000000 0.000000
epsilon_neg 0.000007 0.009343 0.849943 3.916026
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000000 0.018798 0.000243 1.976752
Cdl_neg 0.000000 0.000003 0.000003 0.000002
Cdl_pos 0.000000 0.000003 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000798 0.000064 0.613225
D -0.000000 0.001483 0.000007 0.004401
Ds_neg 0.000008 0.010897 1.005481 0.350286
Ds_pos 0.000000 0.016412 0.007882 64.483005
d2Udcp2_pos_sgn 0.000000 0.000247 0.000000 0.000005
d2Udcp2_neg_sgn 0.000000 0.000007 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000011 0.879692 0.000354 28.314418
dUdcp_neg_mag 0.000128 0.033950 291.986396 140.979228
d2Udcp2_pos_mag 0.000078 5.529071 1.372897 97169.033111
d2Udcp2_neg_mag 0.000007 0.005000 0.967281 4.748383
d3Udcp3_pos_mag 0.000000 0.000083 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000001 0.000000 0.000059
i0_neg 0.000000 0.000813 0.031488 0.393726
i0_pos 0.000000 0.017365 0.000665 10.005133
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.004648 0.000007 0.047973
aa_neg -0.000000 0.000090 0.000028 0.000531
aa_pos -0.000000 0.000449 0.000000 0.029812
kappa_0 0.000003 0.015100 0.185180 34.788569
sigma_neg 0.000000 0.000002 0.000000 0.000005
sigma_pos 0.000000 0.000003 0.000000 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000156 0.025824
a_neg l_neg 0.000146 0.005495
a_neg l_sep 0.000155 0.005152
a_neg l_pos 0.000155 0.005307
a_neg Rp_neg 0.000124 0.005233
a_neg Rp_pos 0.000155 0.007952
a_neg epsilon_f_neg 0.000155 0.005287
a_neg epsilon_f_pos 0.000155 0.005287
a_neg epsilon_neg 0.000005 0.038749
a_neg epsilon_sep 0.000155 0.005287
a_neg epsilon_pos 0.000155 0.010762
a_neg Cdl_neg 0.000155 0.005285
a_neg Cdl_pos 0.000155 0.005286
a_neg cs_max_neg 0.000155 0.005287
a_neg cs_max_pos 0.000155 0.005287
a_neg c0 0.000154 0.005322
a_neg D 0.000156 0.005617
a_neg Ds_neg -0.000007 0.043055
a_neg Ds_pos 0.000155 0.008150
a_neg d2Udcp2_pos_sgn 0.000155 0.005279
a_neg d2Udcp2_neg_sgn 0.000155 0.005272
a_neg d3Udcp3_pos_sgn 0.000155 0.005287
a_neg d3Udcp3_neg_sgn 0.000155 0.005287
a_neg dUdcp_pos_mag 0.000166 0.875438
a_neg dUdcp_neg_mag -0.002654 0.013721
a_neg d2Udcp2_pos_mag 0.000081 5.248212
a_neg d2Udcp2_neg_mag -0.000002 0.329342
a_neg d3Udcp3_pos_mag 0.000155 0.005285
a_neg d3Udcp3_neg_mag 0.000155 0.005283
a_neg i0_neg 0.000151 0.005505
a_neg i0_pos 0.000155 0.006170
a_neg SOC_neg 0.000155 0.005287
a_neg SOC_pos 0.000155 0.005287
a_neg tP 0.000155 0.004355
a_neg aa_neg 0.000156 0.005255
a_neg aa_pos 0.000155 0.005376
a_neg kappa_0 0.000090 0.006683
a_neg sigma_neg 0.000155 0.005289
a_neg sigma_pos 0.000155 0.005286
a_pos l_neg 0.000062 3.981830
a_pos l_sep 0.000062 3.981825
a_pos l_pos 0.000062 3.979581
a_pos Rp_neg 0.000062 3.981837
a_pos Rp_pos 0.000062 3.983048
a_pos epsilon_f_neg 0.000062 3.981829
a_pos epsilon_f_pos 0.000062 3.981827
a_pos epsilon_neg 0.000060 3.982146
a_pos epsilon_sep 0.000062 3.981827
a_pos epsilon_pos 0.000062 3.967010
a_pos Cdl_neg 0.000062 3.981828
a_pos Cdl_pos 0.000062 3.981833
a_pos cs_max_neg 0.000062 3.981827
a_pos cs_max_pos 0.000062 3.981827
a_pos c0 0.000062 3.983381
a_pos D 0.000062 3.981930
a_pos Ds_neg 0.000060 3.981827
a_pos Ds_pos 0.000062 3.965450
a_pos d2Udcp2_pos_sgn 0.000062 3.981599
a_pos d2Udcp2_neg_sgn 0.000062 3.981829
a_pos d3Udcp3_pos_sgn 0.000062 3.981827
a_pos d3Udcp3_neg_sgn 0.000062 3.981827
a_pos dUdcp_pos_mag 0.000062 4.001255
a_pos dUdcp_neg_mag 0.000026 3.981785
a_pos d2Udcp2_pos_mag 0.000066 4.087243
a_pos d2Udcp2_neg_mag 0.000060 3.979759
a_pos d3Udcp3_pos_mag 0.000062 3.981749
a_pos d3Udcp3_neg_mag 0.000062 3.981825
a_pos i0_neg 0.000062 3.980239
a_pos i0_pos 0.000062 3.966812
a_pos SOC_neg 0.000062 3.981827
a_pos SOC_pos 0.000062 3.981827
a_pos tP 0.000062 3.981972
a_pos aa_neg 0.000062 3.980974
a_pos aa_pos 0.000061 3.967193
a_pos kappa_0 0.000070 4.341231
a_pos sigma_neg 0.000062 3.981832
a_pos sigma_pos 0.000062 3.981828
l_neg l_sep -0.000000 0.000569
l_neg l_pos -0.000000 0.000570
l_neg Rp_neg -0.000000 0.000570
l_neg Rp_pos -0.000000 0.000571
l_neg epsilon_f_neg -0.000000 0.000570
l_neg epsilon_f_pos -0.000000 0.000570
l_neg epsilon_neg -0.000000 0.000550
l_neg epsilon_sep -0.000000 0.000570
l_neg epsilon_pos -0.000000 0.000571
l_neg Cdl_neg -0.000000 0.000570
l_neg Cdl_pos -0.000000 0.000570
l_neg cs_max_neg -0.000000 0.000570
l_neg cs_max_pos -0.000000 0.000570
l_neg c0 -0.000000 0.000571
l_neg D -0.000000 0.000570
l_neg Ds_neg -0.000000 0.000558
l_neg Ds_pos -0.000000 0.000574
l_neg d2Udcp2_pos_sgn -0.000000 0.000570
l_neg d2Udcp2_neg_sgn -0.000000 0.000570
l_neg d3Udcp3_pos_sgn -0.000000 0.000570
l_neg d3Udcp3_neg_sgn -0.000000 0.000570
l_neg dUdcp_pos_mag -0.000000 0.000545
l_neg dUdcp_neg_mag -0.000001 0.000483
l_neg d2Udcp2_pos_mag -0.000000 0.000443
l_neg d2Udcp2_neg_mag -0.000000 0.000531
l_neg d3Udcp3_pos_mag -0.000000 0.000570
l_neg d3Udcp3_neg_mag -0.000000 0.000570
l_neg i0_neg -0.000000 0.000567
l_neg i0_pos -0.000000 0.000574
l_neg SOC_neg -0.000000 0.000570
l_neg SOC_pos -0.000000 0.000570
l_neg tP -0.000000 0.000560
l_neg aa_neg -0.000000 0.000572
l_neg aa_pos -0.000000 0.000570
l_neg kappa_0 -0.000000 0.000563
l_neg sigma_neg -0.000000 0.000570
l_neg sigma_pos -0.000000 0.000570
l_sep l_pos -0.000000 0.000347
l_sep Rp_neg -0.000000 0.000348
l_sep Rp_pos -0.000000 0.000333
l_sep epsilon_f_neg -0.000000 0.000347
l_sep epsilon_f_pos -0.000000 0.000347
l_sep epsilon_neg -0.000000 0.000333
l_sep epsilon_sep -0.000000 0.000347
l_sep epsilon_pos -0.000000 0.000362
l_sep Cdl_neg -0.000000 0.000347
l_sep Cdl_pos -0.000000 0.000347
l_sep cs_max_neg -0.000000 0.000347
l_sep cs_max_pos -0.000000 0.000347
l_sep c0 -0.000000 0.000348
l_sep D -0.000000 0.000348
l_sep Ds_neg -0.000000 0.000330
l_sep Ds_pos -0.000000 0.000344
l_sep d2Udcp2_pos_sgn -0.000000 0.000348
l_sep d2Udcp2_neg_sgn -0.000000 0.000347
l_sep d3Udcp3_pos_sgn -0.000000 0.000347
l_sep d3Udcp3_neg_sgn -0.000000 0.000347
l_sep dUdcp_pos_mag -0.000000 0.000439
l_sep dUdcp_neg_mag -0.000000 0.000385
l_sep d2Udcp2_pos_mag -0.000000 0.029311
l_sep d2Udcp2_neg_mag -0.000000 0.000359
l_sep d3Udcp3_pos_mag -0.000000 0.000348
l_sep d3Udcp3_neg_mag -0.000000 0.000347
l_sep i0_neg -0.000000 0.000344
l_sep i0_pos -0.000000 0.000353
l_sep SOC_neg -0.000000 0.000347
l_sep SOC_pos -0.000000 0.000347
l_sep tP -0.000000 0.000352
l_sep aa_neg -0.000000 0.000347
l_sep aa_pos -0.000000 0.000348
l_sep kappa_0 -0.000000 0.000354
l_sep sigma_neg -0.000000 0.000347
l_sep sigma_pos -0.000000 0.000347
l_pos Rp_neg -0.000000 0.005164
l_pos Rp_pos -0.000000 0.005554
l_pos epsilon_f_neg -0.000000 0.005164
l_pos epsilon_f_pos -0.000000 0.005164
l_pos epsilon_neg -0.000000 0.005125
l_pos epsilon_sep -0.000000 0.005164
l_pos epsilon_pos -0.000000 0.002601
l_pos Cdl_neg -0.000000 0.005164
l_pos Cdl_pos -0.000000 0.005164
l_pos cs_max_neg -0.000000 0.005164
l_pos cs_max_pos -0.000000 0.005164
l_pos c0 -0.000000 0.005189
l_pos D -0.000000 0.005215
l_pos Ds_neg -0.000000 0.005170
l_pos Ds_pos -0.000000 0.002198
l_pos d2Udcp2_pos_sgn -0.000000 0.005115
l_pos d2Udcp2_neg_sgn -0.000000 0.005164
l_pos d3Udcp3_pos_sgn -0.000000 0.005164
l_pos d3Udcp3_neg_sgn -0.000000 0.005164
l_pos dUdcp_pos_mag -0.000000 0.004963
l_pos dUdcp_neg_mag -0.000000 0.005161
l_pos d2Udcp2_pos_mag 0.000000 0.021828
l_pos d2Udcp2_neg_mag -0.000000 0.005148
l_pos d3Udcp3_pos_mag -0.000000 0.005147
l_pos d3Udcp3_neg_mag -0.000000 0.005164
l_pos i0_neg -0.000000 0.005164
l_pos i0_pos -0.000000 0.001417
l_pos SOC_neg -0.000000 0.005164
l_pos SOC_pos -0.000000 0.005164
l_pos tP -0.000000 0.005204
l_pos aa_neg -0.000000 0.005169
l_pos aa_pos -0.000000 0.005150
l_pos kappa_0 -0.000000 0.002791
l_pos sigma_neg -0.000000 0.005164
l_pos sigma_pos -0.000000 0.005163
Rp_neg Rp_pos -0.000001 0.021248
Rp_neg epsilon_f_neg -0.000001 0.021753
Rp_neg epsilon_f_pos -0.000001 0.021777
Rp_neg epsilon_neg 0.000010 0.895202
Rp_neg epsilon_sep -0.000001 0.021778
Rp_neg epsilon_pos -0.000001 0.018922
Rp_neg Cdl_neg -0.000001 0.021778
Rp_neg Cdl_pos -0.000001 0.021778
Rp_neg cs_max_neg -0.000001 0.021778
Rp_neg cs_max_pos -0.000001 0.021778
Rp_neg c0 -0.000001 0.021638
Rp_neg D -0.000001 0.022032
Rp_neg Ds_neg -0.000001 0.001704
Rp_neg Ds_pos -0.000003 0.154340
Rp_neg d2Udcp2_pos_sgn -0.000001 0.021779
Rp_neg d2Udcp2_neg_sgn -0.000001 0.021781
Rp_neg d3Udcp3_pos_sgn -0.000001 0.021778
Rp_neg d3Udcp3_neg_sgn -0.000001 0.021778
Rp_neg dUdcp_pos_mag 0.000003 0.358507
Rp_neg dUdcp_neg_mag -0.000001 0.022282
Rp_neg d2Udcp2_pos_mag 0.000003 0.310070
Rp_neg d2Udcp2_neg_mag -0.000001 0.032413
Rp_neg d3Udcp3_pos_mag -0.000001 0.021779
Rp_neg d3Udcp3_neg_mag -0.000001 0.021778
Rp_neg i0_neg -0.000001 0.043434
Rp_neg i0_pos -0.000001 0.028427
Rp_neg SOC_neg -0.000001 0.021778
Rp_neg SOC_pos -0.000001 0.021778
Rp_neg tP -0.000001 0.021697
Rp_neg aa_neg -0.000001 0.020018
Rp_neg aa_pos -0.000001 0.024026
Rp_neg kappa_0 -0.000001 0.025468
Rp_neg sigma_neg -0.000001 0.021855
Rp_neg sigma_pos -0.000001 0.021780
Rp_pos epsilon_f_neg 0.000000 0.005828
Rp_pos epsilon_f_pos 0.000000 0.005829
Rp_pos epsilon_neg 0.000000 0.005805
Rp_pos epsilon_sep 0.000000 0.005828
Rp_pos epsilon_pos 0.000000 0.005609
Rp_pos Cdl_neg 0.000000 0.005828
Rp_pos Cdl_pos 0.000000 0.005828
Rp_pos cs_max_neg 0.000000 0.005828
Rp_pos cs_max_pos 0.000000 0.005828
Rp_pos c0 0.000000 0.005816
Rp_pos D 0.000000 0.005829
Rp_pos Ds_neg 0.000000 0.005829
Rp_pos Ds_pos 0.000000 0.005901
Rp_pos d2Udcp2_pos_sgn 0.000000 0.005827
Rp_pos d2Udcp2_neg_sgn 0.000000 0.005828
Rp_pos d3Udcp3_pos_sgn 0.000000 0.005828
Rp_pos d3Udcp3_neg_sgn 0.000000 0.005828
Rp_pos dUdcp_pos_mag 0.000000 0.005779
Rp_pos dUdcp_neg_mag -0.000000 0.005829
Rp_pos d2Udcp2_pos_mag -0.000004 0.249704
Rp_pos d2Udcp2_neg_mag 0.000000 0.005830
Rp_pos d3Udcp3_pos_mag 0.000000 0.005828
Rp_pos d3Udcp3_neg_mag 0.000000 0.005829
Rp_pos i0_neg 0.000000 0.005837
Rp_pos i0_pos 0.000000 0.005813
Rp_pos SOC_neg 0.000000 0.005828
Rp_pos SOC_pos 0.000000 0.005828
Rp_pos tP 0.000000 0.005829
Rp_pos aa_neg 0.000000 0.005833
Rp_pos aa_pos 0.000000 0.005909
Rp_pos kappa_0 0.000000 0.004695
Rp_pos sigma_neg 0.000000 0.005828
Rp_pos sigma_pos 0.000000 0.005829
epsilon_f_neg epsilon_f_pos 0.000000 0.000001
epsilon_f_neg epsilon_neg -0.000000 0.000001
epsilon_f_neg epsilon_sep 0.000000 0.000001
epsilon_f_neg epsilon_pos 0.000000 0.000001
epsilon_f_neg Cdl_neg 0.000000 0.000001
epsilon_f_neg Cdl_pos 0.000000 0.000001
epsilon_f_neg cs_max_neg 0.000000 0.000001
epsilon_f_neg cs_max_pos 0.000000 0.000001
epsilon_f_neg c0 0.000000 0.000001
epsilon_f_neg D 0.000000 0.000001
epsilon_f_neg Ds_neg -0.000000 0.000026
epsilon_f_neg Ds_pos 0.000000 0.000001
epsilon_f_neg d2Udcp2_pos_sgn 0.000000 0.000001
epsilon_f_neg d2Udcp2_neg_sgn 0.000000 0.000001
epsilon_f_neg d3Udcp3_pos_sgn 0.000000 0.000001
epsilon_f_neg d3Udcp3_neg_sgn 0.000000 0.000001
epsilon_f_neg dUdcp_pos_mag 0.000000 0.000002
epsilon_f_neg dUdcp_neg_mag -0.000000 0.000003
epsilon_f_neg d2Udcp2_pos_mag 0.000000 0.000001
epsilon_f_neg d2Udcp2_neg_mag -0.000000 0.000001
epsilon_f_neg d3Udcp3_pos_mag 0.000000 0.000001
epsilon_f_neg d3Udcp3_neg_mag 0.000000 0.000001
epsilon_f_neg i0_neg 0.000000 0.000001
epsilon_f_neg i0_pos 0.000000 0.000001
epsilon_f_neg SOC_neg 0.000000 0.000001
epsilon_f_neg SOC_pos 0.000000 0.000001
epsilon_f_neg tP 0.000000 0.000001
epsilon_f_neg aa_neg 0.000000 0.000001
epsilon_f_neg aa_pos 0.000000 0.000001
epsilon_f_neg kappa_0 0.000000 0.000001
epsilon_f_neg sigma_neg 0.000000 0.000001
epsilon_f_neg sigma_pos 0.000000 0.000001
epsilon_f_pos epsilon_neg -0.000000 0.000001
epsilon_f_pos epsilon_sep -0.000000 0.000001
epsilon_f_pos epsilon_pos -0.000000 0.000001
epsilon_f_pos Cdl_neg -0.000000 0.000001
epsilon_f_pos Cdl_pos -0.000000 0.000001
epsilon_f_pos cs_max_neg -0.000000 0.000001
epsilon_f_pos cs_max_pos -0.000000 0.000001
