Parameter S1 S1_conf ST ST_conf
a_neg 0.000044 0.026417 0.943353 0.496256
a_pos -0.000410 3.051617 0.001512 11.214598
l_neg -0.000001 0.000012 0.000415 0.000206
l_sep -0.000000 0.000211 0.000000 0.001139
l_pos 0.000000 0.001673 0.000000 0.000006
Rp_neg 0.000014 0.000265 0.099578 0.049672
Rp_pos -0.000000 0.015816 0.000997 38.046350
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000001 0.000000 0.000000
epsilon_neg 0.000039 0.017127 0.836779 0.360198
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000002 0.028184 0.000016 0.518358
Cdl_neg 0.000000 0.000002 0.000007 0.000003
Cdl_pos 0.000000 0.000017 0.000000 0.000002
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.002448 0.000032 0.105545
D -0.000000 0.003969 0.000001 0.022755
Ds_neg 0.000042 0.022179 1.003224 0.305090
Ds_pos 0.000002 0.033982 0.000240 13.007536
d2Udcp2_pos_sgn 0.000000 0.000218 0.000000 0.000024
d2Udcp2_neg_sgn 0.000000 0.000023 0.000000 0.000021
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000041 1.304109 0.000514 15.508912
dUdcp_neg_mag 0.000295 0.006129 47.224017 23.286635
d2Udcp2_pos_mag -0.000004 0.135790 0.089142 3494.258689
d2Udcp2_neg_mag 0.000041 0.000429 0.971370 0.332181
d3Udcp3_pos_mag 0.000000 0.000090 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000001 0.000000 0.000250
i0_neg -0.000034 0.002100 0.714248 0.281193
i0_pos 0.000003 0.024337 0.006360 49.817513
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.003684 0.000076 0.010629
aa_neg -0.000001 0.000743 0.000580 0.005757
aa_pos -0.000000 0.008016 0.000009 0.319783
kappa_0 0.000019 0.062112 0.209344 42.055977
sigma_neg 0.000000 0.000003 0.000001 0.000005
sigma_pos 0.000000 0.000006 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000168 0.017494
a_neg l_neg 0.000170 0.012332
a_neg l_sep 0.000166 0.012356
a_neg l_pos 0.000166 0.012450
a_neg Rp_neg 0.000098 0.012370
a_neg Rp_pos 0.000166 0.020182
a_neg epsilon_f_neg 0.000166 0.012331
a_neg epsilon_f_pos 0.000166 0.012331
a_neg epsilon_neg -0.000027 0.063207
a_neg epsilon_sep 0.000166 0.012331
a_neg epsilon_pos 0.000165 0.025028
a_neg Cdl_neg 0.000165 0.012331
a_neg Cdl_pos 0.000166 0.012329
a_neg cs_max_neg 0.000166 0.012331
a_neg cs_max_pos 0.000166 0.012331
a_neg c0 0.000165 0.012195
a_neg D 0.000166 0.013610
a_neg Ds_neg -0.000042 0.028446
a_neg Ds_pos 0.000165 0.028486
a_neg d2Udcp2_pos_sgn 0.000166 0.012332
a_neg d2Udcp2_neg_sgn 0.000166 0.012185
a_neg d3Udcp3_pos_sgn 0.000166 0.012330
a_neg d3Udcp3_neg_sgn 0.000166 0.012331
a_neg dUdcp_pos_mag 0.000207 1.300880
a_neg dUdcp_neg_mag -0.001307 0.012090
a_neg d2Udcp2_pos_mag 0.000169 0.141896
a_neg d2Udcp2_neg_mag -0.000038 0.017542
a_neg d3Udcp3_pos_mag 0.000166 0.012331
a_neg d3Udcp3_neg_mag 0.000166 0.012331
a_neg i0_neg 0.000339 0.012057
a_neg i0_pos 0.000166 0.013054
a_neg SOC_neg 0.000166 0.012331
a_neg SOC_pos 0.000166 0.012331
a_neg tP 0.000165 0.012271
a_neg aa_neg 0.000171 0.012079
a_neg aa_pos 0.000166 0.011207
a_neg kappa_0 0.000083 0.060896
a_neg sigma_neg 0.000166 0.012332
a_neg sigma_pos 0.000166 0.012328
a_pos l_neg 0.000424 3.066787
a_pos l_sep 0.000424 3.066781
a_pos l_pos 0.000423 3.065128
a_pos Rp_neg 0.000420 3.066909
a_pos Rp_pos 0.000424 3.066543
a_pos epsilon_f_neg 0.000424 3.066788
a_pos epsilon_f_pos 0.000424 3.066786
a_pos epsilon_neg 0.000414 3.066890
a_pos epsilon_sep 0.000424 3.066787
a_pos epsilon_pos 0.000421 3.053839
a_pos Cdl_neg 0.000424 3.066787
a_pos Cdl_pos 0.000424 3.066796
a_pos cs_max_neg 0.000424 3.066787
a_pos cs_max_pos 0.000424 3.066787
a_pos c0 0.000424 3.066823
a_pos D 0.000424 3.067502
a_pos Ds_neg 0.000413 3.067235
a_pos Ds_pos 0.000421 3.052651
a_pos d2Udcp2_pos_sgn 0.000424 3.066572
a_pos d2Udcp2_neg_sgn 0.000424 3.066788
a_pos d3Udcp3_pos_sgn 0.000424 3.066787
a_pos d3Udcp3_neg_sgn 0.000424 3.066787
