Parameter S1 S1_conf ST ST_conf
a_neg 0.001152 0.041878 0.073631 0.460947
a_pos -0.044807 0.882220 0.038467 0.752033
l_neg -0.000087 0.000442 0.008282 0.041998
l_sep 0.000002 0.000314 0.000000 0.000005
l_pos 0.000020 0.000843 0.000000 0.000003
Rp_neg 0.000380 0.001923 0.155880 0.787359
Rp_pos 0.000001 0.004085 0.002731 1.509920
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg 0.000373 0.045793 0.437716 0.204327
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000264 0.027797 0.003049 0.760955
Cdl_neg 0.000009 0.000045 0.000087 0.000432
Cdl_pos 0.000000 0.000024 0.000000 0.000005
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000009 0.002507 0.000083 0.007029
D -0.000021 0.003754 0.000023 0.000491
Ds_neg 0.000223 0.005304 0.982712 0.299556
Ds_pos 0.000334 0.029131 0.000166 0.023184
d2Udcp2_pos_sgn -0.000003 0.000059 0.000000 0.000021
d2Udcp2_neg_sgn -0.000000 0.000061 0.000100 0.000059
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000001 0.000003 0.000000 0.000002
dUdcp_pos_mag -0.003690 0.592012 0.011037 1.729505
dUdcp_neg_mag 0.006265 0.031743 42.727876 216.666819
d2Udcp2_pos_mag 0.000011 0.039134 0.091543 61.601102
d2Udcp2_neg_mag 0.000271 0.001256 0.991125 0.332307
d3Udcp3_pos_mag 0.000002 0.000041 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000004 0.000000 0.000379
i0_neg -0.008583 0.044031 81.423238 407.904690
i0_pos 0.001097 0.024936 0.550202 84.916309
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000018 0.003330 0.000424 0.000961
aa_neg -0.000024 0.001087 0.001028 0.009340
aa_pos -0.000063 0.014363 0.004175 1.128888
kappa_0 0.000799 0.229039 0.905599 20.969392
sigma_neg 0.000000 0.000008 0.000011 0.000005
sigma_pos 0.000000 0.000010 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000461 0.032217
a_neg l_neg -0.000561 0.020656
a_neg l_sep -0.000673 0.020756
a_neg l_pos -0.000666 0.020239
a_neg Rp_neg -0.001146 0.020589
a_neg Rp_pos -0.000665 0.021614
a_neg epsilon_f_neg -0.000671 0.020588
a_neg epsilon_f_pos -0.000671 0.020587
a_neg epsilon_neg -0.000791 0.054882
a_neg epsilon_sep -0.000671 0.020588
a_neg epsilon_pos -0.000814 0.040172
a_neg Cdl_neg -0.000682 0.020582
a_neg Cdl_pos -0.000671 0.020602
a_neg cs_max_neg -0.000671 0.020588
a_neg cs_max_pos -0.000671 0.020588
a_neg c0 -0.000679 0.022029
a_neg D -0.000652 0.018835
a_neg Ds_neg -0.000963 0.020382
a_neg Ds_pos -0.000871 0.045503
a_neg d2Udcp2_pos_sgn -0.000671 0.020589
a_neg d2Udcp2_neg_sgn -0.000671 0.020562
a_neg d3Udcp3_pos_sgn -0.000671 0.020588
a_neg d3Udcp3_neg_sgn -0.000671 0.020588
a_neg dUdcp_pos_mag 0.003037 0.581490
a_neg dUdcp_neg_mag -0.008527 0.042856
a_neg d2Udcp2_pos_mag -0.000831 0.050893
a_neg d2Udcp2_neg_mag -0.000981 0.020493
a_neg d3Udcp3_pos_mag -0.000671 0.020588
a_neg d3Udcp3_neg_mag -0.000671 0.020549
a_neg i0_neg 0.010095 0.061333
a_neg i0_pos -0.000728 0.022921
a_neg SOC_neg -0.000671 0.020588
a_neg SOC_pos -0.000671 0.020588
a_neg tP -0.000689 0.022561
a_neg aa_neg -0.000639 0.020662
a_neg aa_pos -0.000651 0.017936
a_neg kappa_0 0.000160 0.407246
a_neg sigma_neg -0.000671 0.020588
a_neg sigma_pos -0.000671 0.020585
a_pos l_neg 0.045132 0.885038
a_pos l_sep 0.045109 0.885047
a_pos l_pos 0.045086 0.884585
a_pos Rp_neg 0.045025 0.885678
a_pos Rp_pos 0.045092 0.884847
a_pos epsilon_f_neg 0.045109 0.885048
a_pos epsilon_f_pos 0.045109 0.885046
a_pos epsilon_neg 0.045082 0.885875
a_pos epsilon_sep 0.045109 0.885047
a_pos epsilon_pos 0.044819 0.881661
a_pos Cdl_neg 0.045107 0.885052
a_pos Cdl_pos 0.045110 0.885057
a_pos cs_max_neg 0.045109 0.885047
a_pos cs_max_pos 0.045109 0.885047
a_pos c0 0.045108 0.885022
a_pos D 0.045116 0.885202
a_pos Ds_neg 0.045111 0.886194
a_pos Ds_pos 0.044717 0.881877
a_pos d2Udcp2_pos_sgn 0.045112 0.885105
a_pos d2Udcp2_neg_sgn 0.045109 0.885042
a_pos d3Udcp3_pos_sgn 0.045109 0.885047
a_pos d3Udcp3_neg_sgn 0.045109 0.885047
a_pos dUdcp_pos_mag 0.045409 0.898809
a_pos dUdcp_neg_mag 0.043476 0.886691
a_pos d2Udcp2_pos_mag 0.045248 0.887822
a_pos d2Udcp2_neg_mag 0.045073 0.885971
a_pos d3Udcp3_pos_mag 0.045107 0.885007
a_pos d3Udcp3_neg_mag 0.045109 0.885047
a_pos i0_neg 0.047361 0.883519
a_pos i0_pos 0.044811 1.022222
a_pos SOC_neg 0.045109 0.885047
a_pos SOC_pos 0.045109 0.885047
a_pos tP 0.045112 0.885092
a_pos aa_neg 0.045086 0.884482
a_pos aa_pos 0.044746 0.891193
a_pos kappa_0 0.058375 5.328154
a_pos sigma_neg 0.045109 0.885049
a_pos sigma_pos 0.045109 0.885049
l_neg l_sep 0.000088 0.000455
l_neg l_pos 0.000088 0.000455
l_neg Rp_neg 0.000088 0.000455
l_neg Rp_pos 0.000088 0.000454
l_neg epsilon_f_neg 0.000088 0.000455
l_neg epsilon_f_pos 0.000088 0.000455
l_neg epsilon_neg 0.000087 0.000445
l_neg epsilon_sep 0.000088 0.000455
l_neg epsilon_pos 0.000088 0.000472
l_neg Cdl_neg 0.000088 0.000455
l_neg Cdl_pos 0.000088 0.000455
l_neg cs_max_neg 0.000088 0.000455
l_neg cs_max_pos 0.000088 0.000455
l_neg c0 0.000088 0.000454
l_neg D 0.000088 0.000455
l_neg Ds_neg 0.000087 0.000445
l_neg Ds_pos 0.000088 0.000458
l_neg d2Udcp2_pos_sgn 0.000088 0.000455
l_neg d2Udcp2_neg_sgn 0.000088 0.000455
l_neg d3Udcp3_pos_sgn 0.000088 0.000455
l_neg d3Udcp3_neg_sgn 0.000088 0.000455
l_neg dUdcp_pos_mag 0.000088 0.000459
l_neg dUdcp_neg_mag 0.000088 0.000455
l_neg d2Udcp2_pos_mag 0.000088 0.000453
l_neg d2Udcp2_neg_mag 0.000089 0.000455
l_neg d3Udcp3_pos_mag 0.000088 0.000455
l_neg d3Udcp3_neg_mag 0.000088 0.000455
l_neg i0_neg 0.000088 0.000444
l_neg i0_pos 0.000089 0.000476
l_neg SOC_neg 0.000088 0.000455
l_neg SOC_pos 0.000088 0.000455
l_neg tP 0.000088 0.000455
l_neg aa_neg 0.000089 0.000465
l_neg aa_pos 0.000088 0.000455
l_neg kappa_0 0.000086 0.000570
l_neg sigma_neg 0.000088 0.000455
l_neg sigma_pos 0.000088 0.000455
l_sep l_pos -0.000002 0.000320
l_sep Rp_neg -0.000002 0.000319
l_sep Rp_pos -0.000002 0.000320
l_sep epsilon_f_neg -0.000002 0.000320
l_sep epsilon_f_pos -0.000002 0.000320
l_sep epsilon_neg -0.000002 0.000312
l_sep epsilon_sep -0.000002 0.000320
l_sep epsilon_pos -0.000002 0.000318
l_sep Cdl_neg -0.000002 0.000320
l_sep Cdl_pos -0.000002 0.000320
l_sep cs_max_neg -0.000002 0.000320
l_sep cs_max_pos -0.000002 0.000320
l_sep c0 -0.000002 0.000320
l_sep D -0.000002 0.000319
l_sep Ds_neg -0.000002 0.000306
l_sep Ds_pos -0.000002 0.000321
l_sep d2Udcp2_pos_sgn -0.000002 0.000320
l_sep d2Udcp2_neg_sgn -0.000002 0.000320
l_sep d3Udcp3_pos_sgn -0.000002 0.000320
l_sep d3Udcp3_neg_sgn -0.000002 0.000320
l_sep dUdcp_pos_mag -0.000002 0.000291
l_sep dUdcp_neg_mag -0.000002 0.000320
