Parameter S1 S1_conf ST ST_conf
a_neg 0.024228 0.062689 0.594785 0.583077
a_pos -0.217509 0.202888 0.035263 0.050165
l_neg -0.000202 0.000139 0.001303 0.000893
l_sep 0.000023 0.000198 0.000000 0.000000
l_pos 0.000071 0.000416 0.000000 0.000002
Rp_neg -0.001301 0.002041 0.065063 0.041014
Rp_pos -0.000853 0.005072 0.000201 0.002143
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg 0.002260 0.072984 0.510397 0.285735
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.001383 0.025905 0.081943 0.759482
Cdl_neg 0.000020 0.000033 0.000035 0.000130
Cdl_pos -0.000014 0.000497 0.000010 0.000183
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000206 0.001935 0.000100 0.001019
D -0.000321 0.002678 0.000004 0.000023
Ds_neg -0.004721 0.003723 0.606452 0.375596
Ds_pos 0.003011 0.021322 0.000811 0.007621
d2Udcp2_pos_sgn -0.000401 0.000357 0.000002 0.000021
d2Udcp2_neg_sgn -0.000011 0.000093 0.003599 0.029606
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000002 0.000001 0.000000 0.000000
dUdcp_pos_mag -0.024173 0.202673 0.015345 0.126314
dUdcp_neg_mag 0.003785 0.002425 0.447682 0.286352
d2Udcp2_pos_mag 0.002018 0.023167 0.006996 0.076252
d2Udcp2_neg_mag -0.004112 0.002888 0.556325 0.353727
d3Udcp3_pos_mag 0.000026 0.000023 0.000000 0.000000
d3Udcp3_neg_mag 0.000001 0.000001 0.000001 0.000006
i0_neg -0.022910 0.016856 16.290189 11.043735
i0_pos 0.047137 0.047012 0.354562 4.253908
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000289 0.002499 0.000042 0.000313
aa_neg 0.002921 0.002322 0.251838 0.160955
aa_pos -0.001810 0.024499 0.136477 1.271768
kappa_0 0.019245 0.253533 1.768465 18.331983
sigma_neg 0.000001 0.000009 0.000000 0.000001
sigma_pos -0.000000 0.000016 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.024395 0.068552
a_neg l_neg -0.022824 0.046876
a_neg l_sep -0.022902 0.047010
a_neg l_pos -0.022839 0.046590
a_neg Rp_neg -0.022485 0.046966
a_neg Rp_pos -0.022258 0.042914
a_neg epsilon_f_neg -0.022879 0.046855
a_neg epsilon_f_pos -0.022879 0.046854
a_neg epsilon_neg -0.015760 0.076447
a_neg epsilon_sep -0.022878 0.046855
a_neg epsilon_pos -0.024637 0.060358
a_neg Cdl_neg -0.022886 0.046854
a_neg Cdl_pos -0.022861 0.046942
a_neg cs_max_neg -0.022878 0.046855
a_neg cs_max_pos -0.022878 0.046855
a_neg c0 -0.023102 0.048381
a_neg D -0.022553 0.044761
a_neg Ds_neg -0.021712 0.047318
a_neg Ds_pos -0.026495 0.068524
a_neg d2Udcp2_pos_sgn -0.022875 0.046852
a_neg d2Udcp2_neg_sgn -0.022876 0.046852
a_neg d3Udcp3_pos_sgn -0.022878 0.046855
a_neg d3Udcp3_neg_sgn -0.022879 0.046854
a_neg dUdcp_pos_mag 0.002027 0.170072
a_neg dUdcp_neg_mag -0.023865 0.046338
a_neg d2Udcp2_pos_mag -0.025735 0.066943
a_neg d2Udcp2_neg_mag -0.021750 0.047277
a_neg d3Udcp3_pos_mag -0.022879 0.046855
a_neg d3Udcp3_neg_mag -0.022880 0.046862
a_neg i0_neg -0.017235 0.051110
a_neg i0_pos -0.023045 0.048669
a_neg SOC_neg -0.022878 0.046855
a_neg SOC_pos -0.022878 0.046855
a_neg tP -0.023177 0.048854
a_neg aa_neg -0.023779 0.046752
a_neg aa_pos -0.022579 0.041847
a_neg kappa_0 0.022440 0.508863
a_neg sigma_neg -0.022878 0.046853
a_neg sigma_pos -0.022877 0.046850
a_pos l_neg 0.215663 0.201802
a_pos l_sep 0.215611 0.201818
a_pos l_pos 0.215503 0.201719
a_pos Rp_neg 0.215511 0.203471
a_pos Rp_pos 0.215863 0.201984
a_pos epsilon_f_neg 0.215610 0.201819
a_pos epsilon_f_pos 0.215610 0.201821
a_pos epsilon_neg 0.217017 0.197354
a_pos epsilon_sep 0.215610 0.201820
a_pos epsilon_pos 0.213115 0.205211
a_pos Cdl_neg 0.215607 0.201817
a_pos Cdl_pos 0.215618 0.201804
a_pos cs_max_neg 0.215610 0.201820
a_pos cs_max_pos 0.215610 0.201820
a_pos c0 0.215615 0.201809
a_pos D 0.215624 0.201800
a_pos Ds_neg 0.217439 0.200085
a_pos Ds_pos 0.212511 0.207401
a_pos d2Udcp2_pos_sgn 0.216008 0.202164
a_pos d2Udcp2_neg_sgn 0.215605 0.201834
a_pos d3Udcp3_pos_sgn 0.215610 0.201820
a_pos d3Udcp3_neg_sgn 0.215610 0.201820
a_pos dUdcp_pos_mag 0.217180 0.199360
a_pos dUdcp_neg_mag 0.214930 0.200989
a_pos d2Udcp2_pos_mag 0.216413 0.202568
a_pos d2Udcp2_neg_mag 0.217200 0.199677
a_pos d3Udcp3_pos_mag 0.215584 0.201797
a_pos d3Udcp3_neg_mag 0.215610 0.201820
a_pos i0_neg 0.221896 0.199804
a_pos i0_pos 0.193604 0.316280
a_pos SOC_neg 0.215610 0.201820
a_pos SOC_pos 0.215610 0.201820
a_pos tP 0.215622 0.201802
a_pos aa_neg 0.214190 0.204623
a_pos aa_pos 0.214718 0.204828
