Parameter S1 S1_conf ST ST_conf
a_neg 0.053413 0.163060 0.433936 1.355206
a_pos -0.046450 0.046247 0.028705 0.061715
l_neg 0.000039 0.000100 0.000002 0.000007
l_sep -0.000000 0.000001 0.000000 0.000000
l_pos 0.000074 0.000137 0.000001 0.000004
Rp_neg -0.000045 0.000340 0.000032 0.000081
Rp_pos 0.001470 0.003253 0.000097 0.000262
epsilon_f_neg -0.000002 0.000005 0.000000 0.000000
epsilon_f_pos -0.000002 0.000007 0.000000 0.000000
epsilon_neg 0.081433 0.188148 0.463931 0.220504
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.005107 0.023687 0.355904 1.118534
Cdl_neg -0.005864 0.002741 0.051602 0.028395
Cdl_pos 0.033552 0.087286 0.024456 0.057615
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000137 0.000185 0.000000 0.000001
D -0.000095 0.000121 0.000000 0.000000
Ds_neg 0.000098 0.000534 0.000184 0.000144
Ds_pos 0.002790 0.003228 0.000073 0.000190
d2Udcp2_pos_sgn 0.000156 0.000161 0.000000 0.000000
d2Udcp2_neg_sgn -0.000029 0.000122 0.000035 0.000149
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000748 0.003050 0.000145 0.000413
dUdcp_neg_mag -0.000017 0.000074 0.000002 0.000002
d2Udcp2_pos_mag 0.002164 0.002963 0.000008 0.000011
d2Udcp2_neg_mag 0.000254 0.000869 0.000180 0.000581
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.005846 0.012080 0.166046 0.085688
i0_pos 0.060469 0.043410 0.099117 0.054478
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000176 0.000237 0.000001 0.000003
aa_neg 0.002510 0.001877 0.014008 0.007210
aa_pos 0.003849 0.025506 0.960228 3.083764
kappa_0 0.520462 1.540662 67.972467 196.543050
sigma_neg 0.000019 0.000015 0.000000 0.000000
sigma_pos 0.000014 0.000034 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.038978 0.159123
a_neg l_neg -0.021831 0.167940
a_neg l_sep -0.021829 0.167939
a_neg l_pos -0.021894 0.167951
a_neg Rp_neg -0.021817 0.167948
a_neg Rp_pos -0.025034 0.169189
a_neg epsilon_f_neg -0.021831 0.167940
a_neg epsilon_f_pos -0.021835 0.167935
a_neg epsilon_neg 0.033146 0.228978
a_neg epsilon_sep -0.021830 0.167940
a_neg epsilon_pos -0.048043 0.163440
a_neg Cdl_neg -0.020520 0.168125
a_neg Cdl_pos -0.052032 0.186317
a_neg cs_max_neg -0.021830 0.167940
a_neg cs_max_pos -0.021830 0.167940
a_neg c0 -0.021975 0.168100
a_neg D -0.021750 0.167823
a_neg Ds_neg -0.021838 0.167936
a_neg Ds_pos -0.022998 0.171616
a_neg d2Udcp2_pos_sgn -0.021824 0.167943
a_neg d2Udcp2_neg_sgn -0.021830 0.167939
a_neg d3Udcp3_pos_sgn -0.021830 0.167940
a_neg d3Udcp3_neg_sgn -0.021830 0.167940
a_neg dUdcp_pos_mag -0.018772 0.167705
a_neg dUdcp_neg_mag -0.021818 0.167946
a_neg d2Udcp2_pos_mag -0.024008 0.170593
a_neg d2Udcp2_neg_mag -0.021833 0.167938
a_neg d3Udcp3_pos_mag -0.021830 0.167940
a_neg d3Udcp3_neg_mag -0.021830 0.167940
a_neg i0_neg -0.027529 0.167309
a_neg i0_pos -0.023977 0.173709
a_neg SOC_neg -0.021830 0.167940
a_neg SOC_pos -0.021830 0.167940
a_neg tP -0.022008 0.168152
a_neg aa_neg -0.021484 0.167713
a_neg aa_pos -0.041685 0.160130
a_neg kappa_0 1.057881 3.203358
a_neg sigma_neg -0.021823 0.167942
a_neg sigma_pos -0.021823 0.167953
a_pos l_neg 0.128064 0.286888
a_pos l_sep 0.128083 0.286904
a_pos l_pos 0.128089 0.286905
a_pos Rp_neg 0.127662 0.286124
a_pos Rp_pos 0.121638 0.268694
a_pos epsilon_f_neg 0.128085 0.286910
a_pos epsilon_f_pos 0.128059 0.286836
a_pos epsilon_neg 0.142817 0.283959
a_pos epsilon_sep 0.128084 0.286904
a_pos epsilon_pos 0.066833 0.104320
a_pos Cdl_neg 0.130013 0.281471
a_pos Cdl_pos 0.132342 0.301392
a_pos cs_max_neg 0.128084 0.286904
a_pos cs_max_pos 0.128084 0.286904
a_pos c0 0.128046 0.286813
a_pos D 0.128035 0.286763
a_pos Ds_neg 0.127873 0.286882
a_pos Ds_pos 0.133409 0.302425
a_pos d2Udcp2_pos_sgn 0.127924 0.286894
a_pos d2Udcp2_neg_sgn 0.128083 0.286902
a_pos d3Udcp3_pos_sgn 0.128084 0.286904
a_pos d3Udcp3_neg_sgn 0.128084 0.286904
a_pos dUdcp_pos_mag 0.136052 0.309795
a_pos dUdcp_neg_mag 0.128141 0.287010
a_pos d2Udcp2_pos_mag 0.128127 0.286937
a_pos d2Udcp2_neg_mag 0.128045 0.286883
a_pos d3Udcp3_pos_mag 0.128084 0.286904
a_pos d3Udcp3_neg_mag 0.128084 0.286904
a_pos i0_neg 0.141850 0.296702
a_pos i0_pos 0.075220 0.301095
a_pos SOC_neg 0.128084 0.286904
a_pos SOC_pos 0.128084 0.286904
a_pos tP 0.128080 0.286899
a_pos aa_neg 0.124767 0.286806
a_pos aa_pos 0.084243 0.145579
a_pos kappa_0 5.642225 16.324738
a_pos sigma_neg 0.128082 0.286923
a_pos sigma_pos 0.128165 0.287146
l_neg l_sep 0.000232 0.000232
l_neg l_pos 0.000232 0.000232
l_neg Rp_neg 0.000232 0.000232
l_neg Rp_pos 0.000233 0.000231
l_neg epsilon_f_neg 0.000232 0.000232
l_neg epsilon_f_pos 0.000232 0.000232
l_neg epsilon_neg -0.000010 0.000120
l_neg epsilon_sep 0.000232 0.000232
l_neg epsilon_pos 0.000236 0.000222
l_neg Cdl_neg 0.000146 0.000186
l_neg Cdl_pos 0.000218 0.000249
l_neg cs_max_neg 0.000232 0.000232
l_neg cs_max_pos 0.000232 0.000232
l_neg c0 0.000232 0.000232
l_neg D 0.000232 0.000232
l_neg Ds_neg 0.000236 0.000235
l_neg Ds_pos 0.000231 0.000233
l_neg d2Udcp2_pos_sgn 0.000232 0.000232
l_neg d2Udcp2_neg_sgn 0.000232 0.000232
l_neg d3Udcp3_pos_sgn 0.000232 0.000232
l_neg d3Udcp3_neg_sgn 0.000232 0.000232
l_neg dUdcp_pos_mag 0.000231 0.000233
l_neg dUdcp_neg_mag 0.000232 0.000232
l_neg d2Udcp2_pos_mag 0.000232 0.000232
l_neg d2Udcp2_neg_mag 0.000232 0.000232
l_neg d3Udcp3_pos_mag 0.000232 0.000232
l_neg d3Udcp3_neg_mag 0.000232 0.000232
l_neg i0_neg 0.000093 0.000159
l_neg i0_pos 0.000341 0.000301
l_neg SOC_neg 0.000232 0.000232
l_neg SOC_pos 0.000232 0.000232
l_neg tP 0.000232 0.000232
l_neg aa_neg 0.000276 0.000255
l_neg aa_pos 0.000237 0.000225
l_neg kappa_0 -0.000640 0.001806
l_neg sigma_neg 0.000232 0.000232
l_neg sigma_pos 0.000232 0.000232
l_sep l_pos 0.000000 0.000001
