Parameter S1 S1_conf ST ST_conf
a_neg 0.079574 0.120619 0.205421 0.853402
a_pos -0.009483 0.027300 0.371447 0.259647
l_neg -0.000306 0.001353 0.000237 0.001022
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000034 0.000043 0.000005 0.000004
Rp_neg 0.000012 0.000118 0.000006 0.000007
Rp_pos -0.001517 0.003951 0.000454 0.001234
epsilon_f_neg -0.000000 0.000003 0.000000 0.000000
epsilon_f_pos -0.000003 0.000008 0.000000 0.000000
epsilon_neg 0.029407 0.126070 0.469424 0.281070
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.029051 0.050336 12.952421 11.443041
Cdl_neg -0.012598 0.012028 0.325815 0.188702
Cdl_pos 0.027823 0.070022 0.402786 0.334513
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000004 0.000014 0.000000 0.000000
D 0.000002 0.000004 0.000000 0.000000
Ds_neg -0.000146 0.000128 0.000065 0.000050
Ds_pos -0.000105 0.000145 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001100 0.002965 0.000257 0.000696
dUdcp_neg_mag -0.000051 0.000335 0.000018 0.000065
d2Udcp2_pos_mag -0.000086 0.000126 0.000000 0.000000
d2Udcp2_neg_mag -0.000001 0.000005 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.003499 0.022206 0.265656 0.160900
i0_pos 0.013424 0.010847 0.409077 0.279496
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.000004 0.000000 0.000001
aa_neg -0.000801 0.004966 0.006323 0.018101
aa_pos -0.007810 0.012232 0.187040 0.160690
kappa_0 0.605597 1.667976 81.437810 219.188686
sigma_neg 0.000007 0.000011 0.000000 0.000000
sigma_pos 0.000006 0.000029 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.081294 0.131873
a_neg l_neg -0.057630 0.134027
a_neg l_sep -0.057457 0.134106
a_neg l_pos -0.057462 0.134103
a_neg Rp_neg -0.057438 0.134105
a_neg Rp_pos -0.060262 0.131564
a_neg epsilon_f_neg -0.057457 0.134105
a_neg epsilon_f_pos -0.057462 0.134101
a_neg epsilon_neg 0.025201 0.363580
a_neg epsilon_sep -0.057457 0.134106
a_neg epsilon_pos -0.079825 0.126446
a_neg Cdl_neg -0.082891 0.144852
a_neg Cdl_pos -0.075955 0.159811
a_neg cs_max_neg -0.057457 0.134106
a_neg cs_max_pos -0.057457 0.134106
a_neg c0 -0.057469 0.134099
a_neg D -0.057454 0.134107
a_neg Ds_neg -0.057463 0.134102
a_neg Ds_pos -0.057395 0.133978
a_neg d2Udcp2_pos_sgn -0.057457 0.134106
a_neg d2Udcp2_neg_sgn -0.057457 0.134106
a_neg d3Udcp3_pos_sgn -0.057457 0.134106
a_neg d3Udcp3_neg_sgn -0.057457 0.134106
a_neg dUdcp_pos_mag -0.055300 0.136226
a_neg dUdcp_neg_mag -0.057427 0.134095
a_neg d2Udcp2_pos_mag -0.057371 0.133999
a_neg d2Udcp2_neg_mag -0.057458 0.134105
a_neg d3Udcp3_pos_mag -0.057457 0.134106
a_neg d3Udcp3_neg_mag -0.057457 0.134106
a_neg i0_neg -0.057073 0.131691
a_neg i0_pos -0.051230 0.140515
a_neg SOC_neg -0.057457 0.134106
a_neg SOC_pos -0.057457 0.134106
a_neg tP -0.057458 0.134108
a_neg aa_neg -0.056649 0.133362
a_neg aa_pos -0.066764 0.127688
a_neg kappa_0 1.160870 3.346254
a_neg sigma_neg -0.057448 0.134110
a_neg sigma_pos -0.057431 0.134128
a_pos l_neg 0.116848 0.512237
a_pos l_sep 0.116773 0.512097
a_pos l_pos 0.116965 0.512030
a_pos Rp_neg 0.116528 0.511682
a_pos Rp_pos 0.090612 0.441423
a_pos epsilon_f_neg 0.116773 0.512101
a_pos epsilon_f_pos 0.116726 0.511970
a_pos epsilon_neg 0.120791 0.505061
a_pos epsilon_sep 0.116773 0.512097
a_pos epsilon_pos -0.424348 0.381611
a_pos Cdl_neg 0.121187 0.507784
a_pos Cdl_pos 0.206166 0.573954
a_pos cs_max_neg 0.116773 0.512097
a_pos cs_max_pos 0.116773 0.512097
