Parameter S1 S1_conf ST ST_conf
a_neg -0.041037 0.136720 0.671581 0.584348
a_pos 0.032086 0.142442 1.824321 2.735169
l_neg -0.000005 0.000010 0.000000 0.000000
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000284 0.000398 0.000023 0.000021
Rp_neg -0.000004 0.000007 0.000000 0.000000
Rp_pos 0.000010 0.000022 0.000000 0.000000
epsilon_f_neg -0.000003 0.000007 0.000000 0.000000
epsilon_f_pos -0.000006 0.000010 0.000000 0.000000
epsilon_neg 0.024356 0.026055 0.675979 0.429922
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.289037 0.336182 5.960675 6.899799
Cdl_neg -0.023379 0.016719 0.552235 0.267189
Cdl_pos 0.001497 0.019510 1.906411 4.787899
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000002 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000004 0.000007 0.000000 0.000000
Ds_pos 0.000005 0.000009 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000001 0.000013 0.000000 0.000000
dUdcp_neg_mag -0.000074 0.000123 0.000001 0.000001
d2Udcp2_pos_mag -0.000002 0.000004 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000679 0.014037 0.040328 0.049296
i0_pos -0.003372 0.010167 0.025079 0.038239
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000002 0.000003 0.000000 0.000000
aa_neg 0.004518 0.005765 0.002319 0.001275
aa_pos -0.008788 0.012546 0.060203 0.062524
kappa_0 0.100473 0.285513 22.961115 48.090514
sigma_neg 0.000032 0.000061 0.000000 0.000000
sigma_pos -0.000016 0.000022 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.065023 0.175964
a_neg l_neg 0.112038 0.143018
a_neg l_sep 0.112034 0.143018
a_neg l_pos 0.111925 0.142970
a_neg Rp_neg 0.112025 0.143015
a_neg Rp_pos 0.112056 0.143023
a_neg epsilon_f_neg 0.112039 0.143019
a_neg epsilon_f_pos 0.112032 0.143017
a_neg epsilon_neg 0.826872 1.316155
a_neg epsilon_sep 0.112034 0.143018
a_neg epsilon_pos 0.112023 0.144934
a_neg Cdl_neg 0.200388 0.438121
a_neg Cdl_pos 0.108047 0.142155
a_neg cs_max_neg 0.112034 0.143018
a_neg cs_max_pos 0.112034 0.143018
a_neg c0 0.112034 0.143018
a_neg D 0.112034 0.143018
a_neg Ds_neg 0.112041 0.143019
a_neg Ds_pos 0.112031 0.143017
a_neg d2Udcp2_pos_sgn 0.112034 0.143018
a_neg d2Udcp2_neg_sgn 0.112034 0.143018
a_neg d3Udcp3_pos_sgn 0.112034 0.143018
a_neg d3Udcp3_neg_sgn 0.112034 0.143018
a_neg dUdcp_pos_mag 0.112019 0.143014
a_neg dUdcp_neg_mag 0.112005 0.143009
a_neg d2Udcp2_pos_mag 0.112035 0.143017
a_neg d2Udcp2_neg_mag 0.112034 0.143018
a_neg d3Udcp3_pos_mag 0.112034 0.143018
a_neg d3Udcp3_neg_mag 0.112034 0.143018
a_neg i0_neg 0.107547 0.143985
a_neg i0_pos 0.110504 0.142843
a_neg SOC_neg 0.112034 0.143018
a_neg SOC_pos 0.112034 0.143018
a_neg tP 0.112033 0.143017
a_neg aa_neg 0.117158 0.145013
a_neg aa_pos 0.113027 0.143216
a_neg kappa_0 0.349714 0.626355
a_neg sigma_neg 0.112063 0.143033
a_neg sigma_pos 0.112028 0.143013
a_pos l_neg 0.195019 0.318200
a_pos l_sep 0.195039 0.318224
a_pos l_pos 0.196712 0.320048
a_pos Rp_neg 0.195040 0.318224
a_pos Rp_pos 0.195100 0.318215
a_pos epsilon_f_neg 0.195039 0.318224
a_pos epsilon_f_pos 0.195036 0.318223
a_pos epsilon_neg 0.188908 0.319882
a_pos epsilon_sep 0.195039 0.318224
a_pos epsilon_pos 1.359757 1.778833
a_pos Cdl_neg 0.186330 0.315761
a_pos Cdl_pos 0.300600 0.439551
a_pos cs_max_neg 0.195039 0.318224
a_pos cs_max_pos 0.195039 0.318224
