Parameter S1 S1_conf ST ST_conf
a_neg 0.620390 2.050574 154.880753 516.019304
a_pos 0.182653 0.658826 49.959749 177.682558
l_neg -0.000084 0.000265 0.000014 0.000036
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.002938 0.012134 0.005549 0.015565
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000002 0.000005 0.000000 0.000000
epsilon_f_neg -0.000001 0.000004 0.000000 0.000000
epsilon_f_pos -0.000002 0.000006 0.000000 0.000000
epsilon_neg 0.011401 0.027957 36.480809 65.765251
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.050179 0.170493 0.601797 0.317814
Cdl_neg 0.023170 0.112904 2.654223 7.059027
Cdl_pos 0.044021 0.115619 1.436332 2.540576
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000004 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000008 0.000018 0.000000 0.000000
dUdcp_neg_mag 0.000002 0.000007 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.005091 0.009089 0.044615 0.067620
i0_pos 0.065167 0.260757 1.499107 5.433426
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000004 0.000009 0.000000 0.000000
aa_neg 0.001485 0.004199 0.001103 0.001846
aa_pos -0.001816 0.008730 0.426118 0.245489
kappa_0 0.006585 0.059689 3.190300 11.432264
sigma_neg 0.000009 0.000031 0.000000 0.000001
sigma_pos -0.000002 0.000014 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.768964 2.333851
a_neg l_neg -0.612347 2.057689
a_neg l_sep -0.612345 2.057668
a_neg l_pos -0.612263 2.057557
a_neg Rp_neg -0.612347 2.057669
a_neg Rp_pos -0.612345 2.057667
a_neg epsilon_f_neg -0.612344 2.057666
a_neg epsilon_f_pos -0.612351 2.057673
a_neg epsilon_neg -0.476887 1.963475
a_neg epsilon_sep -0.612345 2.057668
a_neg epsilon_pos -0.607800 2.050483
a_neg Cdl_neg -0.342395 1.860206
a_neg Cdl_pos -0.615474 2.061113
a_neg cs_max_neg -0.612345 2.057668
a_neg cs_max_pos -0.612345 2.057668
a_neg c0 -0.612345 2.057667
a_neg D -0.612345 2.057667
a_neg Ds_neg -0.612341 2.057664
a_neg Ds_pos -0.612345 2.057668
a_neg d2Udcp2_pos_sgn -0.612345 2.057668
a_neg d2Udcp2_neg_sgn -0.612345 2.057668
a_neg d3Udcp3_pos_sgn -0.612345 2.057668
a_neg d3Udcp3_neg_sgn -0.612345 2.057668
a_neg dUdcp_pos_mag -0.612346 2.057669
a_neg dUdcp_neg_mag -0.612348 2.057671
a_neg d2Udcp2_pos_mag -0.612345 2.057668
a_neg d2Udcp2_neg_mag -0.612345 2.057668
a_neg d3Udcp3_pos_mag -0.612345 2.057668
a_neg d3Udcp3_neg_mag -0.612345 2.057668
a_neg i0_neg -0.607531 2.057777
a_neg i0_pos -0.613338 2.058004
a_neg SOC_neg -0.612345 2.057668
a_neg SOC_pos -0.612345 2.057668
a_neg tP -0.612345 2.057667
a_neg aa_neg -0.611428 2.057352
a_neg aa_pos -0.612097 2.057103
a_neg kappa_0 -0.583686 2.003622
a_neg sigma_neg -0.612342 2.057665
a_neg sigma_pos -0.612315 2.057656
a_pos l_neg -0.115055 0.558051
a_pos l_sep -0.114395 0.557651
a_pos l_pos -0.068055 0.559208
a_pos Rp_neg -0.114395 0.557651
a_pos Rp_pos -0.114394 0.557648
a_pos epsilon_f_neg -0.114395 0.557651
a_pos epsilon_f_pos -0.114396 0.557651
a_pos epsilon_neg -0.115274 0.558714
a_pos epsilon_sep -0.114395 0.557651
a_pos epsilon_pos 0.046284 0.813453
a_pos Cdl_neg -0.105305 0.538883
a_pos Cdl_pos -0.066176 0.566316
a_pos cs_max_neg -0.114395 0.557651
a_pos cs_max_pos -0.114395 0.557651
