Parameter S1 S1_conf ST ST_conf
a_neg 0.000347 2.009401 0.822753 792.932534
a_pos 0.000059 0.317751 0.014055 75.639791
l_neg 0.000000 0.000137 0.237940 0.113928
l_sep 0.000000 0.000033 0.961880 0.465635
l_pos -0.000001 0.005618 0.000055 0.089131
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000002 0.000000 0.000000
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg 0.000005 0.026657 1.013128 40.318560
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000024 0.099828 0.000949 3.482840
Cdl_neg 0.000002 0.018144 1.171900 2.885845
Cdl_pos 0.000034 0.126707 0.000349 0.772797
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000176 0.176014 0.084743
D 0.000000 0.000051 0.015443 0.007444
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000003 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000001 0.004439 0.000032 0.078530
i0_pos 0.000015 0.065179 0.000438 1.624337
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000166 1.006821 0.486978
aa_neg 0.000000 0.002004 0.000000 0.001250
aa_pos -0.000000 0.003067 0.000109 0.189045
kappa_0 -0.000003 0.009526 3.452641 1.375825
sigma_neg 0.000000 0.000014 0.000000 0.000000
sigma_pos -0.000000 0.000005 0.000000 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000396 2.213623
a_neg l_neg -0.000345 2.014738
a_neg l_sep -0.000345 2.014779
a_neg l_pos -0.000345 2.016590
a_neg Rp_neg -0.000345 2.014779
a_neg Rp_pos -0.000345 2.014779
a_neg epsilon_f_neg -0.000345 2.014778
a_neg epsilon_f_pos -0.000345 2.014782
a_neg epsilon_neg -0.000307 1.963244
a_neg epsilon_sep -0.000345 2.014779
a_neg epsilon_pos -0.000344 2.012549
a_neg Cdl_neg -0.000268 1.917762
a_neg Cdl_pos -0.000349 2.021266
a_neg cs_max_neg -0.000345 2.014779
a_neg cs_max_pos -0.000345 2.014779
a_neg c0 -0.000345 2.014775
a_neg D -0.000345 2.014780
a_neg Ds_neg -0.000345 2.014779
a_neg Ds_pos -0.000345 2.014779
a_neg d2Udcp2_pos_sgn -0.000345 2.014779
a_neg d2Udcp2_neg_sgn -0.000345 2.014779
a_neg d3Udcp3_pos_sgn -0.000345 2.014779
a_neg d3Udcp3_neg_sgn -0.000345 2.014779
a_neg dUdcp_pos_mag -0.000345 2.014780
a_neg dUdcp_neg_mag -0.000345 2.014779
a_neg d2Udcp2_pos_mag -0.000345 2.014779
a_neg d2Udcp2_neg_mag -0.000345 2.014779
a_neg d3Udcp3_pos_mag -0.000345 2.014779
a_neg d3Udcp3_neg_mag -0.000345 2.014779
a_neg i0_neg -0.000343 2.011356
a_neg i0_pos -0.000345 2.014985
a_neg SOC_neg -0.000345 2.014779
a_neg SOC_pos -0.000345 2.014779
a_neg tP -0.000345 2.014775
a_neg aa_neg -0.000344 2.013167
a_neg aa_pos -0.000345 2.014626
a_neg kappa_0 -0.000345 2.013357
a_neg sigma_neg -0.000345 2.014775
a_neg sigma_pos -0.000345 2.014769
a_pos l_neg -0.000060 0.310593
a_pos l_sep -0.000053 0.311009
a_pos l_pos -0.000071 0.315094
a_pos Rp_neg -0.000067 0.311141
a_pos Rp_pos -0.000067 0.311141
a_pos epsilon_f_neg -0.000067 0.311141
a_pos epsilon_f_pos -0.000067 0.311141
a_pos epsilon_neg -0.000053 0.311484
a_pos epsilon_sep -0.000067 0.311141
a_pos epsilon_pos 0.000029 0.453003
a_pos Cdl_neg -0.000080 0.305846
a_pos Cdl_pos -0.000032 0.264435
a_pos cs_max_neg -0.000067 0.311141
a_pos cs_max_pos -0.000067 0.311141
