Parameter S1 S1_conf ST ST_conf
a_neg 0.075033 0.091927 0.154876 1.059267
a_pos 0.107248 0.049028 0.017654 0.074370
l_neg 0.000002 0.000009 0.000000 0.000000
l_sep 0.000011 0.000050 0.000000 0.000000
l_pos -0.000056 0.000165 0.000000 0.000003
Rp_neg 0.000105 0.001892 0.000976 0.006648
Rp_pos -0.002690 0.007871 0.000030 0.000127
epsilon_f_neg -0.000000 0.000004 0.000000 0.000000
epsilon_f_pos -0.000001 0.000003 0.000000 0.000000
epsilon_neg 0.020914 0.131817 0.120976 0.239222
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.003599 0.035843 0.219589 1.543360
Cdl_neg -0.000059 0.000168 0.000034 0.000071
Cdl_pos 0.000554 0.003094 0.000423 0.002732
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000300 0.001347 0.000002 0.000009
D -0.000370 0.001701 0.000001 0.000005
Ds_neg -0.000393 0.002031 0.012558 0.078154
Ds_pos 0.002438 0.015047 0.000478 0.002473
d2Udcp2_pos_sgn -0.000990 0.000515 0.000001 0.000006
d2Udcp2_neg_sgn -0.000035 0.000244 0.002019 0.013879
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000002 0.000000 0.000000
dUdcp_pos_mag -0.014361 0.066621 0.002302 0.009405
dUdcp_neg_mag 0.000227 0.001144 0.000202 0.001208
d2Udcp2_pos_mag 0.003567 0.015721 0.000150 0.000637
d2Udcp2_neg_mag -0.000158 0.000996 0.010803 0.074072
d3Udcp3_pos_mag 0.000021 0.000011 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000001 0.000000 0.000000
i0_neg 0.004075 0.046345 0.325607 2.280814
i0_pos 0.221451 0.125345 0.056848 0.085397
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000387 0.001730 0.000005 0.000022
aa_neg 0.003249 0.023312 0.100348 0.748719
aa_pos -0.002403 0.019867 0.403862 2.878073
kappa_0 0.073071 0.503038 7.866582 47.438136
sigma_neg 0.000003 0.000013 0.000000 0.000001
sigma_pos -0.000001 0.000022 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.081429 0.111483
a_neg l_neg -0.072234 0.085298
a_neg l_sep -0.072244 0.085342
a_neg l_pos -0.072229 0.085255
a_neg Rp_neg -0.072176 0.085237
a_neg Rp_pos -0.070447 0.078129
a_neg epsilon_f_neg -0.072233 0.085298
a_neg epsilon_f_pos -0.072234 0.085297
a_neg epsilon_neg -0.054018 0.135297
a_neg epsilon_sep -0.072233 0.085297
a_neg epsilon_pos -0.073036 0.091330
a_neg Cdl_neg -0.072240 0.085302
a_neg Cdl_pos -0.072713 0.086421
a_neg cs_max_neg -0.072233 0.085297
a_neg cs_max_pos -0.072233 0.085297
a_neg c0 -0.072539 0.086517
a_neg D -0.071856 0.083776
a_neg Ds_neg -0.072242 0.085304
a_neg Ds_pos -0.076946 0.100439
a_neg d2Udcp2_pos_sgn -0.072223 0.085297
a_neg d2Udcp2_neg_sgn -0.072232 0.085293
a_neg d3Udcp3_pos_sgn -0.072233 0.085297
a_neg d3Udcp3_neg_sgn -0.072233 0.085297
a_neg dUdcp_pos_mag -0.056053 0.041511
a_neg dUdcp_neg_mag -0.072163 0.085203
a_neg d2Udcp2_pos_mag -0.075755 0.099744
a_neg d2Udcp2_neg_mag -0.072237 0.085298
a_neg d3Udcp3_pos_mag -0.072233 0.085297
a_neg d3Udcp3_neg_mag -0.072233 0.085298
a_neg i0_neg -0.073705 0.086922
a_neg i0_pos -0.070637 0.085006
a_neg SOC_neg -0.072233 0.085297
a_neg SOC_pos -0.072233 0.085297
a_neg tP -0.072617 0.086856
a_neg aa_neg -0.072692 0.085469
a_neg aa_pos -0.074318 0.082784
a_neg kappa_0 0.101351 1.057657
a_neg sigma_neg -0.072231 0.085295
a_neg sigma_pos -0.072229 0.085289
a_pos l_neg -0.114309 0.048342
a_pos l_sep -0.114305 0.048348
a_pos l_pos -0.114247 0.048338
a_pos Rp_neg -0.116262 0.047314
a_pos Rp_pos -0.113424 0.048008
a_pos epsilon_f_neg -0.114305 0.048348
a_pos epsilon_f_pos -0.114306 0.048346
a_pos epsilon_neg -0.113205 0.055547
a_pos epsilon_sep -0.114305 0.048348
a_pos epsilon_pos -0.116667 0.054479
a_pos Cdl_neg -0.114310 0.048336
a_pos Cdl_pos -0.114295 0.048399
a_pos cs_max_neg -0.114305 0.048348
a_pos cs_max_pos -0.114305 0.048348
a_pos c0 -0.114320 0.048323
a_pos D -0.114312 0.048354
a_pos Ds_neg -0.113920 0.048731
a_pos Ds_pos -0.114914 0.045632
a_pos d2Udcp2_pos_sgn -0.113327 0.047980
a_pos d2Udcp2_neg_sgn -0.114310 0.048338
a_pos d3Udcp3_pos_sgn -0.114305 0.048348
a_pos d3Udcp3_neg_sgn -0.114305 0.048348
a_pos dUdcp_pos_mag -0.113275 0.051731
a_pos dUdcp_neg_mag -0.114148 0.048710
a_pos d2Udcp2_pos_mag -0.114335 0.048357
a_pos d2Udcp2_neg_mag -0.113908 0.049094
a_pos d3Udcp3_pos_mag -0.114326 0.048356
a_pos d3Udcp3_neg_mag -0.114305 0.048348
a_pos i0_neg -0.113904 0.048789
a_pos i0_pos -0.273600 0.536709
a_pos SOC_neg -0.114305 0.048348
a_pos SOC_pos -0.114305 0.048348
a_pos tP -0.114313 0.048351
a_pos aa_neg -0.116906 0.044939
a_pos aa_pos -0.110800 0.065307
a_pos kappa_0 0.025910 0.839574
a_pos sigma_neg -0.114304 0.048347
a_pos sigma_pos -0.114307 0.048349
l_neg l_sep 0.000157 0.000351
l_neg l_pos 0.000157 0.000351
l_neg Rp_neg 0.000157 0.000351
l_neg Rp_pos 0.000156 0.000352
l_neg epsilon_f_neg 0.000157 0.000351
l_neg epsilon_f_pos 0.000157 0.000351
l_neg epsilon_neg 0.000016 0.000042
l_neg epsilon_sep 0.000157 0.000351
l_neg epsilon_pos 0.000159 0.000349
l_neg Cdl_neg 0.000154 0.000346
l_neg Cdl_pos 0.000157 0.000351
