Parameter S1 S1_conf ST ST_conf
a_neg 0.064228 0.137947 0.096454 0.612351
a_pos -0.023437 0.048575 0.479821 0.266626
l_neg 0.000139 0.000537 0.000038 0.000149
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000008 0.000018 0.000001 0.000001
Rp_neg -0.000195 0.001537 0.000063 0.000432
Rp_pos -0.000532 0.002539 0.000152 0.000460
epsilon_f_neg 0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000003 0.000009 0.000000 0.000000
epsilon_neg 0.003614 0.094727 0.276000 0.299216
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.011039 0.037658 19.329158 12.382072
Cdl_neg -0.007420 0.006227 0.302397 0.329788
Cdl_pos 0.014407 0.068420 0.029606 0.034012
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000013 0.000020 0.000000 0.000002
D -0.000005 0.000010 0.000000 0.000000
Ds_neg -0.000100 0.001838 0.000298 0.000585
Ds_pos 0.000611 0.001022 0.000015 0.000046
d2Udcp2_pos_sgn 0.000016 0.000044 0.000000 0.000000
d2Udcp2_neg_sgn 0.000001 0.000007 0.000002 0.000017
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000178 0.000502 0.000006 0.000018
dUdcp_neg_mag -0.000107 0.000714 0.000012 0.000083
d2Udcp2_pos_mag 0.000330 0.000553 0.000000 0.000000
d2Udcp2_neg_mag 0.000070 0.000278 0.000011 0.000042
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.001716 0.018385 0.050858 0.049703
i0_pos 0.022392 0.057140 0.558351 0.323189
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000016 0.000025 0.000000 0.000004
aa_neg 0.000187 0.005662 0.003495 0.009606
aa_pos -0.001710 0.005838 0.005826 0.003113
kappa_0 0.676013 2.068182 101.556453 305.403530
sigma_neg 0.000005 0.000008 0.000000 0.000000
sigma_pos 0.000015 0.000050 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.061769 0.138133
a_neg l_neg -0.041268 0.150291
a_neg l_sep -0.041273 0.150287
a_neg l_pos -0.041284 0.150289
a_neg Rp_neg -0.041298 0.150281
a_neg Rp_pos -0.043232 0.148779
a_neg epsilon_f_neg -0.041273 0.150287
a_neg epsilon_f_pos -0.041279 0.150279
a_neg epsilon_neg -0.059203 0.178814
a_neg epsilon_sep -0.041273 0.150287
a_neg epsilon_pos -0.071472 0.139717
a_neg Cdl_neg -0.035670 0.160091
a_neg Cdl_pos -0.057928 0.161228
a_neg cs_max_neg -0.041273 0.150287
a_neg cs_max_pos -0.041273 0.150287
a_neg c0 -0.041287 0.150301
a_neg D -0.041277 0.150278
a_neg Ds_neg -0.041292 0.150285
a_neg Ds_pos -0.041086 0.151368
a_neg d2Udcp2_pos_sgn -0.041272 0.150288
a_neg d2Udcp2_neg_sgn -0.041273 0.150287
a_neg d3Udcp3_pos_sgn -0.041273 0.150287
a_neg d3Udcp3_neg_sgn -0.041273 0.150287
a_neg dUdcp_pos_mag -0.040959 0.150703
a_neg dUdcp_neg_mag -0.041296 0.150282
a_neg d2Udcp2_pos_mag -0.041603 0.150728
a_neg d2Udcp2_neg_mag -0.041271 0.150288
a_neg d3Udcp3_pos_mag -0.041273 0.150287
a_neg d3Udcp3_neg_mag -0.041273 0.150287
a_neg i0_neg -0.042560 0.151769
a_neg i0_pos -0.038812 0.155223
a_neg SOC_neg -0.041273 0.150287
a_neg SOC_pos -0.041273 0.150287
a_neg tP -0.041289 0.150306
a_neg aa_neg -0.040449 0.150919
a_neg aa_pos -0.043734 0.147521
a_neg kappa_0 1.317299 4.159258
a_neg sigma_neg -0.041274 0.150287
a_neg sigma_pos -0.041253 0.150313
a_pos l_neg 0.240336 0.665423
a_pos l_sep 0.240374 0.665451
a_pos l_pos 0.240372 0.665383
a_pos Rp_neg 0.240534 0.665582
a_pos Rp_pos 0.224257 0.616638
a_pos epsilon_f_neg 0.240373 0.665448
a_pos epsilon_f_pos 0.240316 0.665275
a_pos epsilon_neg 0.249201 0.666487
a_pos epsilon_sep 0.240374 0.665451
a_pos epsilon_pos 0.139884 0.091583
a_pos Cdl_neg 0.248930 0.666008
a_pos Cdl_pos 0.217169 0.606196
a_pos cs_max_neg 0.240374 0.665451
a_pos cs_max_pos 0.240374 0.665451
