Parameter S1 S1_conf ST ST_conf
a_neg 0.024217 0.149988 0.070825 0.259515
a_pos -0.028999 0.195033 0.981480 1.240619
l_neg -0.000088 0.000436 0.000011 0.000053
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000020 0.000066 0.000001 0.000002
Rp_neg 0.000011 0.000036 0.000001 0.000002
Rp_pos -0.000372 0.001584 0.000035 0.000152
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000003 0.000013 0.000000 0.000000
epsilon_neg 0.003782 0.051308 0.129240 0.335168
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.057929 0.065552 31.389877 15.777743
Cdl_neg -0.000800 0.012136 0.117200 0.305185
Cdl_pos -0.004151 0.037066 0.210178 0.889393
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000007 0.000000 0.000000
D 0.000001 0.000002 0.000000 0.000000
Ds_neg 0.000008 0.000034 0.000001 0.000005
Ds_pos -0.000007 0.000060 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000112 0.000485 0.000003 0.000015
dUdcp_neg_mag 0.000027 0.000120 0.000001 0.000004
d2Udcp2_pos_mag -0.000012 0.000064 0.000000 0.000000
d2Udcp2_neg_mag 0.000001 0.000006 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001470 0.022407 0.031327 0.121279
i0_pos 0.010609 0.007664 1.122037 0.533900
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.000003 0.000000 0.000000
aa_neg 0.000076 0.002289 0.002303 0.005721
aa_pos 0.006377 0.009321 0.160531 0.076063
kappa_0 0.627578 2.690739 104.663715 450.632342
sigma_neg 0.000001 0.000009 0.000000 0.000000
sigma_pos 0.000017 0.000059 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.007635 0.169047
a_neg l_neg -0.009045 0.161794
a_neg l_sep -0.009025 0.161787
a_neg l_pos -0.009037 0.161799
a_neg Rp_neg -0.009018 0.161776
a_neg Rp_pos -0.009761 0.160814
a_neg epsilon_f_neg -0.009026 0.161788
a_neg epsilon_f_pos -0.009030 0.161779
a_neg epsilon_neg -0.096191 0.592782
a_neg epsilon_sep -0.009025 0.161787
a_neg epsilon_pos -0.032963 0.161487
a_neg Cdl_neg 0.006888 0.154590
a_neg Cdl_pos -0.026256 0.168649
a_neg cs_max_neg -0.009025 0.161787
a_neg cs_max_pos -0.009025 0.161787
a_neg c0 -0.009028 0.161784
a_neg D -0.009025 0.161788
a_neg Ds_neg -0.009028 0.161790
a_neg Ds_pos -0.009004 0.161750
a_neg d2Udcp2_pos_sgn -0.009025 0.161787
a_neg d2Udcp2_neg_sgn -0.009025 0.161787
a_neg d3Udcp3_pos_sgn -0.009025 0.161787
a_neg d3Udcp3_neg_sgn -0.009025 0.161787
a_neg dUdcp_pos_mag -0.008793 0.162086
a_neg dUdcp_neg_mag -0.009034 0.161801
a_neg d2Udcp2_pos_mag -0.009013 0.161736
a_neg d2Udcp2_neg_mag -0.009025 0.161787
a_neg d3Udcp3_pos_mag -0.009025 0.161787
a_neg d3Udcp3_neg_mag -0.009025 0.161787
a_neg i0_neg -0.010419 0.163100
a_neg i0_pos -0.008935 0.160819
a_neg SOC_neg -0.009025 0.161787
a_neg SOC_pos -0.009025 0.161787
a_neg tP -0.009026 0.161789
a_neg aa_neg -0.009622 0.162826
a_neg aa_pos -0.003813 0.169216
a_neg kappa_0 1.285078 5.638121
a_neg sigma_neg -0.009032 0.161800
a_neg sigma_pos -0.009009 0.161820
a_pos l_neg -0.010690 0.474069
a_pos l_sep -0.010711 0.474029
a_pos l_pos -0.010672 0.473971
a_pos Rp_neg -0.010722 0.474008
a_pos Rp_pos -0.013331 0.463677
a_pos epsilon_f_neg -0.010711 0.474029
a_pos epsilon_f_pos -0.010730 0.473951
a_pos epsilon_neg -0.009290 0.474270
a_pos epsilon_sep -0.010711 0.474029
a_pos epsilon_pos -0.746111 0.524444
a_pos Cdl_neg -0.011167 0.468780
a_pos Cdl_pos -0.084766 0.322420
a_pos cs_max_neg -0.010711 0.474029
a_pos cs_max_pos -0.010711 0.474029
a_pos c0 -0.010720 0.473989
a_pos D -0.010709 0.474039
a_pos Ds_neg -0.010715 0.474022
a_pos Ds_pos -0.010677 0.474163
a_pos d2Udcp2_pos_sgn -0.010711 0.474029
a_pos d2Udcp2_neg_sgn -0.010711 0.474029
a_pos d3Udcp3_pos_sgn -0.010711 0.474029
a_pos d3Udcp3_neg_sgn -0.010711 0.474029
a_pos dUdcp_pos_mag -0.009891 0.477245
a_pos dUdcp_neg_mag -0.010719 0.474016
a_pos d2Udcp2_pos_mag -0.010711 0.474029
a_pos d2Udcp2_neg_mag -0.010711 0.474029
a_pos d3Udcp3_pos_mag -0.010711 0.474029
a_pos d3Udcp3_neg_mag -0.010711 0.474029
a_pos i0_neg -0.010137 0.476860
a_pos i0_pos 0.111838 0.423152
a_pos SOC_neg -0.010711 0.474029
a_pos SOC_pos -0.010711 0.474029
a_pos tP -0.010710 0.474032
a_pos aa_neg -0.010573 0.474313
a_pos aa_pos 0.053853 0.527035
a_pos kappa_0 4.603346 19.982454
a_pos sigma_neg -0.010712 0.474029
a_pos sigma_pos -0.010620 0.474323
l_neg l_sep 0.000127 0.000551
