Parameter S1 S1_conf ST ST_conf
a_neg -0.108300 0.810699 2.706683 15.445653
a_pos 0.374362 1.761144 78.423671 335.055136
l_neg -0.000018 0.000042 0.000008 0.000030
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000112 0.002732 0.000294 0.000819
Rp_neg -0.000001 0.000002 0.000000 0.000000
Rp_pos 0.000007 0.000026 0.000000 0.000000
epsilon_f_neg -0.000004 0.000013 0.000000 0.000000
epsilon_f_pos -0.000004 0.000013 0.000000 0.000000
epsilon_neg 0.009771 0.023257 0.490902 0.641504
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.252881 0.448759 1.336805 2.138167
Cdl_neg 0.030553 0.138859 1.086590 2.346674
Cdl_pos 0.002407 0.040809 3.192998 13.044048
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000004 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000001 0.000002 0.000000 0.000000
Ds_pos 0.000006 0.000024 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000009 0.000037 0.000000 0.000000
dUdcp_neg_mag 0.000001 0.000003 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000002 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.010982 0.016779 0.090282 0.058754
i0_pos 0.258119 0.469720 5.413209 9.865485
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000003 0.000010 0.000000 0.000000
aa_neg 0.005424 0.014399 0.003410 0.004108
aa_pos -0.013236 0.025126 0.146690 0.342716
kappa_0 0.013506 0.216395 8.526538 36.533769
sigma_neg 0.000032 0.000105 0.000000 0.000000
sigma_pos -0.000018 0.000028 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.210660 1.313331
a_neg l_neg 0.142606 0.813927
a_neg l_sep 0.142615 0.813948
a_neg l_pos 0.143140 0.815237
a_neg Rp_neg 0.142618 0.813952
a_neg Rp_pos 0.142616 0.813952
a_neg epsilon_f_neg 0.142620 0.813951
a_neg epsilon_f_pos 0.142613 0.813943
a_neg epsilon_neg 0.566945 1.506994
a_neg epsilon_sep 0.142615 0.813948
a_neg epsilon_pos 0.152024 0.829754
a_neg Cdl_neg 0.423360 1.366819
a_neg Cdl_pos 0.143522 0.814875
a_neg cs_max_neg 0.142615 0.813948
a_neg cs_max_pos 0.142615 0.813948
a_neg c0 0.142616 0.813950
a_neg D 0.142615 0.813949
a_neg Ds_neg 0.142622 0.813958
a_neg Ds_pos 0.142611 0.813939
a_neg d2Udcp2_pos_sgn 0.142615 0.813948
a_neg d2Udcp2_neg_sgn 0.142615 0.813948
a_neg d3Udcp3_pos_sgn 0.142615 0.813948
a_neg d3Udcp3_neg_sgn 0.142615 0.813948
a_neg dUdcp_pos_mag 0.142613 0.813932
a_neg dUdcp_neg_mag 0.142618 0.813951
a_neg d2Udcp2_pos_mag 0.142615 0.813947
a_neg d2Udcp2_neg_mag 0.142615 0.813948
a_neg d3Udcp3_pos_mag 0.142615 0.813948
a_neg d3Udcp3_neg_mag 0.142615 0.813948
a_neg i0_neg 0.156159 0.814573
a_neg i0_pos 0.140264 0.814432
a_neg SOC_neg 0.142615 0.813948
a_neg SOC_pos 0.142615 0.813948
a_neg tP 0.142616 0.813950
a_neg aa_neg 0.145014 0.813897
a_neg aa_pos 0.143595 0.815955
a_neg kappa_0 0.226362 1.119464
a_neg sigma_neg 0.142628 0.813953
a_neg sigma_pos 0.142604 0.813927
a_pos l_neg -0.073836 1.752151
a_pos l_sep -0.073715 1.752203
a_pos l_pos -0.065974 1.754347
a_pos Rp_neg -0.073714 1.752203
a_pos Rp_pos -0.073698 1.752169
a_pos epsilon_f_neg -0.073715 1.752203
a_pos epsilon_f_pos -0.073716 1.752204
a_pos epsilon_neg -0.076696 1.753606
a_pos epsilon_sep -0.073715 1.752203
a_pos epsilon_pos 1.117390 3.132456
a_pos Cdl_neg -0.063057 1.733331
a_pos Cdl_pos 0.078165 1.810099
a_pos cs_max_neg -0.073715 1.752203
a_pos cs_max_pos -0.073715 1.752203
a_pos c0 -0.073717 1.752204
a_pos D -0.073715 1.752203
a_pos Ds_neg -0.073714 1.752203
a_pos Ds_pos -0.073716 1.752206
a_pos d2Udcp2_pos_sgn -0.073715 1.752203
a_pos d2Udcp2_neg_sgn -0.073715 1.752203
a_pos d3Udcp3_pos_sgn -0.073715 1.752203
a_pos d3Udcp3_neg_sgn -0.073715 1.752203
a_pos dUdcp_pos_mag -0.073722 1.752226
a_pos dUdcp_neg_mag -0.073715 1.752203
a_pos d2Udcp2_pos_mag -0.073715 1.752203
a_pos d2Udcp2_neg_mag -0.073715 1.752203
a_pos d3Udcp3_pos_mag -0.073715 1.752203
a_pos d3Udcp3_neg_mag -0.073715 1.752203
a_pos i0_neg -0.077998 1.752895
a_pos i0_pos 2.664303 5.619194
a_pos SOC_neg -0.073715 1.752203
a_pos SOC_pos -0.073715 1.752203
a_pos tP -0.073714 1.752201
a_pos aa_neg -0.074481 1.752271
a_pos aa_pos -0.216949 1.728143
a_pos kappa_0 -0.072843 1.618940
a_pos sigma_neg -0.073714 1.752203
a_pos sigma_pos -0.073749 1.752179
l_neg l_sep 0.000027 0.000159
l_neg l_pos 0.000027 0.000159
l_neg Rp_neg 0.000027 0.000159
l_neg Rp_pos 0.000027 0.000159
l_neg epsilon_f_neg 0.000027 0.000159
l_neg epsilon_f_pos 0.000027 0.000159
l_neg epsilon_neg -0.000004 0.000141
l_neg epsilon_sep 0.000027 0.000159
l_neg epsilon_pos 0.000051 0.000148
l_neg Cdl_neg 0.000013 0.000122
l_neg Cdl_pos 0.000046 0.000147
l_neg cs_max_neg 0.000027 0.000159
l_neg cs_max_pos 0.000027 0.000159
