Parameter S1 S1_conf ST ST_conf
a_neg 1.003834 2.366446 425.055507 1007.911001
a_pos 0.171544 0.365970 42.521891 90.992172
l_neg -0.000029 0.000066 0.000037 0.000060
l_sep 0.000000 0.000000 0.000033 0.000080
l_pos 0.000919 0.004268 0.004837 0.011771
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg -0.000001 0.000002 0.000000 0.000000
epsilon_f_pos -0.000002 0.000004 0.000000 0.000000
epsilon_neg 0.016150 0.031537 47.103199 67.614843
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.044374 0.112663 0.855958 1.023100
Cdl_neg 0.017697 0.045294 3.260442 6.767491
Cdl_pos 0.188429 0.315310 0.998896 0.613005
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000002 0.000009 0.000021
D -0.000000 0.000000 0.000001 0.000002
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000001 0.000002 0.000000 0.000000
dUdcp_neg_mag 0.000001 0.000002 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.003108 0.004740 0.082756 0.081205
i0_pos 0.007556 0.033003 0.425972 0.655362
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000004 0.000006 0.000042 0.000102
aa_neg 0.000758 0.002387 0.001171 0.001516
aa_pos 0.000687 0.002172 0.427976 0.251094
kappa_0 0.005802 0.026097 2.506156 4.883578
sigma_neg 0.000008 0.000019 0.000000 0.000001
sigma_pos -0.000001 0.000009 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -1.140671 2.501424
a_neg l_neg -0.998182 2.374617
a_neg l_sep -0.998216 2.374646
a_neg l_pos -0.998406 2.374800
a_neg Rp_neg -0.998219 2.374649
a_neg Rp_pos -0.998216 2.374646
a_neg epsilon_f_neg -0.998215 2.374645
a_neg epsilon_f_pos -0.998222 2.374653
a_neg epsilon_neg -0.876521 2.310629
a_neg epsilon_sep -0.998216 2.374646
a_neg epsilon_pos -0.994140 2.372277
a_neg Cdl_neg -0.732952 2.177877
a_neg Cdl_pos -1.004249 2.383154
a_neg cs_max_neg -0.998216 2.374646
a_neg cs_max_pos -0.998216 2.374646
a_neg c0 -0.998215 2.374645
a_neg D -0.998216 2.374646
a_neg Ds_neg -0.998215 2.374645
a_neg Ds_pos -0.998216 2.374646
a_neg d2Udcp2_pos_sgn -0.998216 2.374646
a_neg d2Udcp2_neg_sgn -0.998216 2.374646
a_neg d3Udcp3_pos_sgn -0.998216 2.374646
a_neg d3Udcp3_neg_sgn -0.998216 2.374646
a_neg dUdcp_pos_mag -0.998218 2.374648
a_neg dUdcp_neg_mag -0.998219 2.374649
a_neg d2Udcp2_pos_mag -0.998216 2.374646
a_neg d2Udcp2_neg_mag -0.998216 2.374646
a_neg d3Udcp3_pos_mag -0.998216 2.374646
a_neg d3Udcp3_neg_mag -0.998216 2.374646
a_neg i0_neg -0.992522 2.372332
a_neg i0_pos -0.998945 2.375038
a_neg SOC_neg -0.998216 2.374646
a_neg SOC_pos -0.998216 2.374646
a_neg tP -0.998215 2.374645
a_neg aa_neg -0.996843 2.372728
a_neg aa_pos -0.998044 2.374425
a_neg kappa_0 -0.973242 2.350426
a_neg sigma_neg -0.998213 2.374641
a_neg sigma_pos -0.998188 2.374611
a_pos l_neg -0.149913 0.355317
a_pos l_sep -0.149869 0.355311
a_pos l_pos -0.102976 0.372941
a_pos Rp_neg -0.149873 0.355313
a_pos Rp_pos -0.149872 0.355313
a_pos epsilon_f_neg -0.149873 0.355313
a_pos epsilon_f_pos -0.149873 0.355313
a_pos epsilon_neg -0.150724 0.355829
a_pos epsilon_sep -0.149873 0.355313
a_pos epsilon_pos 0.289008 1.350815
a_pos Cdl_neg -0.140695 0.348882
a_pos Cdl_pos 0.031114 0.412543
a_pos cs_max_neg -0.149873 0.355313
a_pos cs_max_pos -0.149873 0.355313
