Parameter S1 S1_conf ST ST_conf
a_neg 0.152137 0.128173 0.557469 1.055910
a_pos 0.105878 0.097022 0.039450 0.055976
l_neg 0.000024 0.000041 0.000001 0.000002
l_sep 0.000003 0.000003 0.000000 0.000000
l_pos 0.000043 0.000192 0.000002 0.000004
Rp_neg 0.000562 0.001110 0.000336 0.000683
Rp_pos -0.000419 0.000760 0.000015 0.000040
epsilon_f_neg -0.000002 0.000006 0.000000 0.000000
epsilon_f_pos -0.000002 0.000005 0.000000 0.000000
epsilon_neg 0.090781 0.201830 0.447653 0.226843
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.012392 0.036258 0.411241 1.214639
Cdl_neg -0.001343 0.000831 0.002721 0.001736
Cdl_pos 0.019311 0.044028 0.010488 0.025008
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000439 0.000610 0.000000 0.000001
D -0.000446 0.000616 0.000000 0.000001
Ds_neg 0.000641 0.001452 0.001366 0.002866
Ds_pos 0.005242 0.007678 0.000071 0.000090
d2Udcp2_pos_sgn -0.000542 0.000528 0.000001 0.000001
d2Udcp2_neg_sgn -0.000097 0.000273 0.000568 0.001600
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.009590 0.015459 0.000899 0.001785
dUdcp_neg_mag 0.000337 0.000613 0.000127 0.000289
d2Udcp2_pos_mag 0.005587 0.007559 0.000069 0.000088
d2Udcp2_neg_mag 0.000752 0.002162 0.002539 0.005966
d3Udcp3_pos_mag 0.000004 0.000004 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.003600 0.014535 0.188987 0.097985
i0_pos 0.239400 0.230230 0.172605 0.048699
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000559 0.000784 0.000001 0.000001
aa_neg 0.004002 0.006380 0.044165 0.037824
aa_pos 0.009940 0.034322 1.418933 4.271169
kappa_0 0.358245 1.020666 43.685232 114.853827
sigma_neg 0.000016 0.000018 0.000000 0.000000
sigma_pos 0.000003 0.000024 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.166269 0.140087
a_neg l_neg -0.138295 0.128973
a_neg l_sep -0.138294 0.128974
a_neg l_pos -0.138373 0.129011
a_neg Rp_neg -0.138186 0.128981
a_neg Rp_pos -0.138976 0.129041
a_neg epsilon_f_neg -0.138293 0.128972
a_neg epsilon_f_pos -0.138295 0.128970
a_neg epsilon_neg -0.069013 0.226173
a_neg epsilon_sep -0.138292 0.128972
a_neg epsilon_pos -0.144264 0.130966
a_neg Cdl_neg -0.138253 0.128983
a_neg Cdl_pos -0.155895 0.138846
a_neg cs_max_neg -0.138292 0.128972
a_neg cs_max_pos -0.138292 0.128972
a_neg c0 -0.138749 0.129474
a_neg D -0.137858 0.128460
a_neg Ds_neg -0.138300 0.128974
a_neg Ds_pos -0.143487 0.135434
a_neg d2Udcp2_pos_sgn -0.138274 0.128967
a_neg d2Udcp2_neg_sgn -0.138294 0.128972
a_neg d3Udcp3_pos_sgn -0.138292 0.128972
a_neg d3Udcp3_neg_sgn -0.138292 0.128972
a_neg dUdcp_pos_mag -0.124213 0.118406
a_neg dUdcp_neg_mag -0.138176 0.128978
a_neg d2Udcp2_pos_mag -0.143721 0.135347
a_neg d2Udcp2_neg_mag -0.138296 0.128971
a_neg d3Udcp3_pos_mag -0.138292 0.128972
a_neg d3Udcp3_neg_mag -0.138292 0.128972
a_neg i0_neg -0.143095 0.129798
a_neg i0_pos -0.135978 0.135147
a_neg SOC_neg -0.138292 0.128972
a_neg SOC_pos -0.138292 0.128972
a_neg tP -0.138855 0.129621
a_neg aa_neg -0.139430 0.128498
a_neg aa_pos -0.164049 0.137413
a_neg kappa_0 0.671178 2.154672
a_neg sigma_neg -0.138284 0.128974
a_neg sigma_pos -0.138280 0.128975
a_pos l_neg -0.108360 0.116288
a_pos l_sep -0.108340 0.116296
a_pos l_pos -0.108278 0.116268
a_pos Rp_neg -0.111162 0.114744
a_pos Rp_pos -0.108611 0.114903
a_pos epsilon_f_neg -0.108339 0.116297
a_pos epsilon_f_pos -0.108346 0.116288
a_pos epsilon_neg -0.097630 0.122719
a_pos epsilon_sep -0.108340 0.116296
a_pos epsilon_pos -0.124218 0.107422
a_pos Cdl_neg -0.108314 0.115925
a_pos Cdl_pos -0.108036 0.117131
a_pos cs_max_neg -0.108340 0.116296
a_pos cs_max_pos -0.108340 0.116296
