Parameter S1 S1_conf ST ST_conf
a_neg -0.004579 0.089622 0.042940 0.685128
a_pos -0.006928 0.068199 0.834609 0.220486
l_neg 0.000039 0.000639 0.000004 0.000067
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000003 0.000036 0.000000 0.000002
Rp_neg -0.000077 0.001663 0.000005 0.000109
Rp_pos -0.000227 0.002984 0.000036 0.000476
epsilon_f_neg -0.000000 0.000004 0.000000 0.000000
epsilon_f_pos -0.000001 0.000016 0.000000 0.000000
epsilon_neg 0.007856 0.144435 0.022689 0.314313
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.006531 0.058046 35.716947 17.085311
Cdl_neg -0.000288 0.021222 0.054700 1.063056
Cdl_pos -0.002493 0.049720 0.032853 0.151754
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000001 0.000015 0.000000 0.000000
D -0.000001 0.000010 0.000000 0.000000
Ds_neg -0.000131 0.002471 0.000168 0.003601
Ds_pos 0.000037 0.000602 0.000002 0.000021
d2Udcp2_pos_sgn 0.000001 0.000010 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000004 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000183 0.002437 0.000024 0.000321
dUdcp_neg_mag -0.000056 0.000968 0.000003 0.000042
d2Udcp2_pos_mag -0.000005 0.000107 0.000000 0.000000
d2Udcp2_neg_mag 0.000012 0.000188 0.000000 0.000006
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.001175 0.025084 0.044751 0.770494
i0_pos -0.001087 0.013781 0.979222 0.400190
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.000005 0.000000 0.000000
aa_neg 0.000888 0.014014 0.011773 0.241857
aa_pos 0.001674 0.041495 0.788403 0.321689
kappa_0 0.277342 3.726956 57.421659 753.226618
sigma_neg 0.000001 0.000015 0.000000 0.000000
sigma_pos 0.000004 0.000065 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.001830 0.091017
a_neg l_neg 0.012844 0.164772
a_neg l_sep 0.012836 0.164724
a_neg l_pos 0.012834 0.164703
a_neg Rp_neg 0.012832 0.164696
a_neg Rp_pos 0.012373 0.159758
a_neg epsilon_f_neg 0.012836 0.164723
a_neg epsilon_f_pos 0.012834 0.164696
a_neg epsilon_neg 0.027094 0.346568
a_neg epsilon_sep 0.012836 0.164724
a_neg epsilon_pos 0.008075 0.097587
a_neg Cdl_neg 0.013699 0.163719
a_neg Cdl_pos 0.003898 0.096678
a_neg cs_max_neg 0.012836 0.164724
a_neg cs_max_pos 0.012836 0.164724
a_neg c0 0.012837 0.164749
a_neg D 0.012835 0.164709
a_neg Ds_neg 0.012834 0.164701
a_neg Ds_pos 0.012934 0.165814
a_neg d2Udcp2_pos_sgn 0.012836 0.164727
a_neg d2Udcp2_neg_sgn 0.012836 0.164724
a_neg d3Udcp3_pos_sgn 0.012836 0.164724
a_neg d3Udcp3_neg_sgn 0.012836 0.164724
a_neg dUdcp_pos_mag 0.012453 0.160604
a_neg dUdcp_neg_mag 0.012830 0.164692
a_neg d2Udcp2_pos_mag 0.012841 0.164784
a_neg d2Udcp2_neg_mag 0.012838 0.164738
a_neg d3Udcp3_pos_mag 0.012836 0.164724
a_neg d3Udcp3_neg_mag 0.012836 0.164724
a_neg i0_neg 0.015935 0.174216
a_neg i0_pos 0.012842 0.169076
a_neg SOC_neg 0.012836 0.164724
a_neg SOC_pos 0.012836 0.164724
a_neg tP 0.012836 0.164722
a_neg aa_neg 0.012542 0.163412
a_neg aa_pos 0.018501 0.238189
a_neg kappa_0 0.598790 7.943938
a_neg sigma_neg 0.012838 0.164727
a_neg sigma_pos 0.012847 0.164837
a_pos l_neg 0.055977 0.394152
a_pos l_sep 0.055986 0.394159
a_pos l_pos 0.056000 0.394115
a_pos Rp_neg 0.055954 0.394189
a_pos Rp_pos 0.054672 0.377038
a_pos epsilon_f_neg 0.055986 0.394156
a_pos epsilon_f_pos 0.055979 0.394064
a_pos epsilon_neg 0.059233 0.402410
a_pos epsilon_sep 0.055986 0.394159
a_pos epsilon_pos 0.189017 0.192340
a_pos Cdl_neg 0.059417 0.404636
a_pos Cdl_pos 0.037074 0.117318
a_pos cs_max_neg 0.055986 0.394159
a_pos cs_max_pos 0.055986 0.394159
