Parameter S1 S1_conf ST ST_conf
a_neg -0.015823 0.097903 0.131738 0.241571
a_pos -0.340768 1.192569 8.311674 26.125863
l_neg 0.000043 0.000118 0.000000 0.000001
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000220 0.000782 0.000015 0.000029
Rp_neg -0.000007 0.000027 0.000001 0.000003
Rp_pos -0.000022 0.000054 0.000000 0.000000
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000003 0.000007 0.000000 0.000000
epsilon_neg 0.013521 0.053050 0.256204 0.525329
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.081782 0.049091 26.380404 14.104553
Cdl_neg -0.009051 0.025677 0.155408 0.304105
Cdl_pos -0.008338 0.018962 0.595963 1.452974
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000006 0.000000 0.000000
D 0.000001 0.000002 0.000000 0.000000
Ds_neg -0.000004 0.000021 0.000014 0.000052
Ds_pos -0.000006 0.000028 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000012 0.000036 0.000000 0.000000
dUdcp_neg_mag -0.000049 0.000151 0.000005 0.000012
d2Udcp2_pos_mag -0.000010 0.000037 0.000000 0.000000
d2Udcp2_neg_mag 0.000001 0.000002 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.005663 0.032343 0.155543 0.329931
i0_pos 0.027432 0.018300 3.299631 1.755439
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000001 0.000003 0.000000 0.000000
aa_neg 0.000808 0.006131 0.005384 0.010026
aa_pos 0.009480 0.007104 0.182421 0.091622
kappa_0 0.534381 1.559114 91.498617 267.682116
sigma_neg 0.000002 0.000005 0.000000 0.000000
sigma_pos 0.000024 0.000046 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.350951 1.055610
a_neg l_neg 0.064944 0.152143
a_neg l_sep 0.064935 0.152134
a_neg l_pos 0.064729 0.152028
a_neg Rp_neg 0.064935 0.152135
a_neg Rp_pos 0.064923 0.152104
a_neg epsilon_f_neg 0.064933 0.152132
a_neg epsilon_f_pos 0.064931 0.152128
a_neg epsilon_neg 0.155828 0.715164
a_neg epsilon_sep 0.064935 0.152134
a_neg epsilon_pos 0.040058 0.136395
a_neg Cdl_neg 0.067107 0.153106
a_neg Cdl_pos 0.051391 0.141102
a_neg cs_max_neg 0.064935 0.152134
a_neg cs_max_pos 0.064935 0.152134
a_neg c0 0.064934 0.152132
a_neg D 0.064935 0.152134
a_neg Ds_neg 0.064962 0.152166
a_neg Ds_pos 0.064945 0.152134
a_neg d2Udcp2_pos_sgn 0.064935 0.152134
a_neg d2Udcp2_neg_sgn 0.064935 0.152134
a_neg d3Udcp3_pos_sgn 0.064935 0.152134
a_neg d3Udcp3_neg_sgn 0.064935 0.152134
a_neg dUdcp_pos_mag 0.064909 0.152101
a_neg dUdcp_neg_mag 0.064724 0.151783
a_neg d2Udcp2_pos_mag 0.064945 0.152130
a_neg d2Udcp2_neg_mag 0.064935 0.152134
a_neg d3Udcp3_pos_mag 0.064935 0.152134
a_neg d3Udcp3_neg_mag 0.064935 0.152134
a_neg i0_neg 0.028931 0.116491
a_neg i0_pos 0.063908 0.150254
a_neg SOC_neg 0.064935 0.152134
a_neg SOC_pos 0.064935 0.152134
a_neg tP 0.064933 0.152131
a_neg aa_neg 0.059014 0.143650
a_neg aa_pos 0.069895 0.159267
a_neg kappa_0 1.157798 3.326994
a_neg sigma_neg 0.064932 0.152139
a_neg sigma_pos 0.064944 0.152154
a_pos l_neg 0.230975 1.295566
a_pos l_sep 0.230987 1.295577
a_pos l_pos 0.230715 1.295596
a_pos Rp_neg 0.230989 1.295581
a_pos Rp_pos 0.230923 1.295491
a_pos epsilon_f_neg 0.230987 1.295577
a_pos epsilon_f_pos 0.230974 1.295558
a_pos epsilon_neg 0.225456 1.287773
a_pos epsilon_sep 0.230987 1.295577
a_pos epsilon_pos -0.742980 1.572735
a_pos Cdl_neg 0.220960 1.281462
a_pos Cdl_pos 0.122959 1.274297
a_pos cs_max_neg 0.230987 1.295577
a_pos cs_max_pos 0.230987 1.295577
