Parameter S1 S1_conf ST ST_conf
a_neg 0.019975 0.078985 0.203951 0.336983
a_pos 0.267549 1.221278 78.671273 336.014224
l_neg -0.000055 0.000145 0.000003 0.000009
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.001082 0.003842 0.002585 0.004555
Rp_neg -0.000000 0.000001 0.000000 0.000000
Rp_pos 0.000004 0.000018 0.000000 0.000000
epsilon_f_neg -0.000002 0.000008 0.000000 0.000000
epsilon_f_pos -0.000002 0.000008 0.000000 0.000000
epsilon_neg 0.005590 0.014091 6.369717 20.041016
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.086718 0.241401 0.533877 0.345899
Cdl_neg 0.036172 0.191176 1.317201 5.259191
Cdl_pos 0.021271 0.068085 2.161889 6.340800
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000006 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000000 0.000002 0.000000 0.000000
Ds_pos 0.000001 0.000004 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000013 0.000063 0.000000 0.000001
dUdcp_neg_mag 0.000005 0.000020 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.009296 0.021882 0.088422 0.097044
i0_pos 0.198220 0.524327 4.360707 11.562606
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000004 0.000017 0.000000 0.000000
aa_neg 0.003195 0.010642 0.001871 0.003162
aa_pos -0.007938 0.020899 0.100444 0.057294
kappa_0 0.004460 0.089783 4.626108 16.260613
sigma_neg 0.000016 0.000066 0.000000 0.000000
sigma_pos -0.000008 0.000017 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.247648 1.121908
a_neg l_neg -0.003396 0.083234
a_neg l_sep -0.003389 0.083211
a_neg l_pos -0.002999 0.082383
a_neg Rp_neg -0.003389 0.083210
a_neg Rp_pos -0.003390 0.083215
a_neg epsilon_f_neg -0.003387 0.083206
a_neg epsilon_f_pos -0.003395 0.083222
a_neg epsilon_neg 0.212583 0.701771
a_neg epsilon_sep -0.003389 0.083211
a_neg epsilon_pos 0.003397 0.071562
a_neg Cdl_neg 0.245192 0.912245
a_neg Cdl_pos -0.001893 0.077876
a_neg cs_max_neg -0.003389 0.083211
a_neg cs_max_pos -0.003389 0.083211
a_neg c0 -0.003388 0.083208
a_neg D -0.003389 0.083211
a_neg Ds_neg -0.003375 0.083165
a_neg Ds_pos -0.003389 0.083212
a_neg d2Udcp2_pos_sgn -0.003389 0.083211
a_neg d2Udcp2_neg_sgn -0.003389 0.083211
a_neg d3Udcp3_pos_sgn -0.003389 0.083211
a_neg d3Udcp3_neg_sgn -0.003389 0.083211
a_neg dUdcp_pos_mag -0.003387 0.083211
a_neg dUdcp_neg_mag -0.003389 0.083220
a_neg d2Udcp2_pos_mag -0.003389 0.083212
a_neg d2Udcp2_neg_mag -0.003389 0.083211
a_neg d3Udcp3_pos_mag -0.003389 0.083211
a_neg d3Udcp3_neg_mag -0.003389 0.083211
a_neg i0_neg 0.003640 0.093958
a_neg i0_pos -0.005121 0.084088
a_neg SOC_neg -0.003389 0.083211
a_neg SOC_pos -0.003389 0.083211
a_neg tP -0.003388 0.083208
a_neg aa_neg -0.002593 0.086781
a_neg aa_pos -0.002817 0.081858
a_neg kappa_0 0.039608 0.174345
a_neg sigma_neg -0.003383 0.083213
a_neg sigma_pos -0.003364 0.083177
a_pos l_neg -0.093378 1.170789
a_pos l_sep -0.092989 1.170915
a_pos l_pos -0.076264 1.175786
a_pos Rp_neg -0.092989 1.170915
a_pos Rp_pos -0.092985 1.170910
a_pos epsilon_f_neg -0.092989 1.170915
a_pos epsilon_f_pos -0.092990 1.170915
a_pos epsilon_neg -0.094431 1.172721
a_pos epsilon_sep -0.092989 1.170915
a_pos epsilon_pos 0.098072 1.369073
a_pos Cdl_neg -0.080999 1.164832
a_pos Cdl_pos -0.013571 1.226937
a_pos cs_max_neg -0.092989 1.170915
a_pos cs_max_pos -0.092989 1.170915
