Parameter S1 S1_conf ST ST_conf
a_neg 0.807924 1.494191 340.569863 633.616278
a_pos 0.133796 0.268812 31.421294 64.238848
l_neg -0.000030 0.000063 0.056701 0.047780
l_sep 0.000004 0.000003 0.217693 0.184527
l_pos -0.000663 0.001466 0.012030 0.006338
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000001 0.000000 0.000000
epsilon_f_neg -0.000001 0.000002 0.000000 0.000000
epsilon_f_pos -0.000002 0.000002 0.000000 0.000000
epsilon_neg 0.012697 0.019716 34.046111 46.380337
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.029653 0.041521 1.125916 1.290707
Cdl_neg 0.011025 0.029267 2.540585 3.962733
Cdl_pos 0.135789 0.228343 0.695896 0.430888
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000005 0.055960 0.047434
D 0.000002 0.000002 0.017580 0.014902
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000000 0.000002 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000001 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002344 0.003252 0.077881 0.079110
i0_pos 0.007047 0.015814 0.394344 0.405933
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000002 0.000007 0.244218 0.207012
aa_neg 0.000531 0.001847 0.000939 0.000893
aa_pos 0.000383 0.001503 0.285553 0.200648
kappa_0 -0.002267 0.005430 1.246331 0.904396
sigma_neg 0.000006 0.000012 0.000000 0.000000
sigma_pos -0.000001 0.000005 0.000002 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.915649 1.568737
a_neg l_neg -0.803528 1.499859
a_neg l_sep -0.803586 1.499885
a_neg l_pos -0.804022 1.500102
a_neg Rp_neg -0.803587 1.499886
a_neg Rp_pos -0.803586 1.499886
a_neg epsilon_f_neg -0.803585 1.499885
a_neg epsilon_f_pos -0.803590 1.499887
a_neg epsilon_neg -0.710777 1.487623
a_neg epsilon_sep -0.803586 1.499885
a_neg epsilon_pos -0.800678 1.498314
a_neg Cdl_neg -0.611453 1.434289
a_neg Cdl_pos -0.810184 1.504062
a_neg cs_max_neg -0.803586 1.499885
a_neg cs_max_pos -0.803586 1.499885
a_neg c0 -0.803584 1.499884
a_neg D -0.803586 1.499886
a_neg Ds_neg -0.803586 1.499885
a_neg Ds_pos -0.803586 1.499885
a_neg d2Udcp2_pos_sgn -0.803586 1.499885
a_neg d2Udcp2_neg_sgn -0.803586 1.499885
a_neg d3Udcp3_pos_sgn -0.803586 1.499885
a_neg d3Udcp3_neg_sgn -0.803586 1.499885
a_neg dUdcp_pos_mag -0.803587 1.499886
a_neg dUdcp_neg_mag -0.803587 1.499886
a_neg d2Udcp2_pos_mag -0.803586 1.499885
a_neg d2Udcp2_neg_mag -0.803586 1.499885
a_neg d3Udcp3_pos_mag -0.803586 1.499885
a_neg d3Udcp3_neg_mag -0.803586 1.499885
a_neg i0_neg -0.799033 1.498165
a_neg i0_pos -0.804160 1.500075
a_neg SOC_neg -0.803586 1.499885
a_neg SOC_pos -0.803586 1.499885
a_neg tP -0.803584 1.499884
a_neg aa_neg -0.802434 1.498714
a_neg aa_pos -0.803459 1.499759
a_neg kappa_0 -0.794373 1.492533
a_neg sigma_neg -0.803583 1.499883
a_neg sigma_pos -0.803564 1.499879
a_pos l_neg -0.110537 0.257034
a_pos l_sep -0.110680 0.257165
a_pos l_pos -0.120345 0.260960
a_pos Rp_neg -0.110999 0.257118
a_pos Rp_pos -0.110999 0.257118
a_pos epsilon_f_neg -0.110999 0.257118
a_pos epsilon_f_pos -0.110999 0.257118
a_pos epsilon_neg -0.111404 0.257618
a_pos epsilon_sep -0.110999 0.257118
a_pos epsilon_pos 0.327548 0.736899
a_pos Cdl_neg -0.104530 0.252557
a_pos Cdl_pos 0.076174 0.389616
a_pos cs_max_neg -0.110999 0.257118
a_pos cs_max_pos -0.110999 0.257118
a_pos c0 -0.111133 0.257088
a_pos D -0.110903 0.257130
a_pos Ds_neg -0.110999 0.257118
a_pos Ds_pos -0.110999 0.257118
a_pos d2Udcp2_pos_sgn -0.110999 0.257118
a_pos d2Udcp2_neg_sgn -0.110999 0.257118
a_pos d3Udcp3_pos_sgn -0.110999 0.257118
a_pos d3Udcp3_neg_sgn -0.110999 0.257118
a_pos dUdcp_pos_mag -0.110999 0.257118
a_pos dUdcp_neg_mag -0.110999 0.257118
a_pos d2Udcp2_pos_mag -0.110999 0.257118
a_pos d2Udcp2_neg_mag -0.110999 0.257118
a_pos d3Udcp3_pos_mag -0.110999 0.257118
a_pos d3Udcp3_neg_mag -0.110999 0.257118
a_pos i0_neg -0.111450 0.257334
a_pos i0_pos 0.130728 0.433813
a_pos SOC_neg -0.110999 0.257118
a_pos SOC_pos -0.110999 0.257118
a_pos tP -0.110646 0.257164
a_pos aa_neg -0.111033 0.257133
a_pos aa_pos -0.122482 0.261786
a_pos kappa_0 -0.097318 0.245450
a_pos sigma_neg -0.110999 0.257118
a_pos sigma_pos -0.111000 0.257118
l_neg l_sep 0.000088 0.000149
l_neg l_pos 0.000074 0.000135
l_neg Rp_neg 0.000088 0.000149
l_neg Rp_pos 0.000088 0.000149
l_neg epsilon_f_neg 0.000088 0.000149
l_neg epsilon_f_pos 0.000088 0.000149
l_neg epsilon_neg 0.000535 0.000940
l_neg epsilon_sep 0.000088 0.000149
l_neg epsilon_pos 0.000084 0.000099
l_neg Cdl_neg 0.000592 0.000929
l_neg Cdl_pos -0.000021 0.000409
l_neg cs_max_neg 0.000088 0.000149
l_neg cs_max_pos 0.000088 0.000149
l_neg c0 0.000087 0.000149
l_neg D 0.000088 0.000149
l_neg Ds_neg 0.000088 0.000149
l_neg Ds_pos 0.000088 0.000149
l_neg d2Udcp2_pos_sgn 0.000088 0.000149
l_neg d2Udcp2_neg_sgn 0.000088 0.000149
l_neg d3Udcp3_pos_sgn 0.000088 0.000149
l_neg d3Udcp3_neg_sgn 0.000088 0.000149
l_neg dUdcp_pos_mag 0.000088 0.000149
l_neg dUdcp_neg_mag 0.000088 0.000149
l_neg d2Udcp2_pos_mag 0.000088 0.000149
l_neg d2Udcp2_neg_mag 0.000088 0.000149
l_neg d3Udcp3_pos_mag 0.000088 0.000149
l_neg d3Udcp3_neg_mag 0.000088 0.000149
