Parameter S1 S1_conf ST ST_conf
a_neg 0.127897 0.276421 0.302240 0.242557
a_pos 0.001812 0.013686 0.008432 0.032932
l_neg 0.035828 0.100879 2.532623 7.743764
l_sep 0.000029 0.000304 0.000015 0.000069
l_pos -0.000287 0.001472 0.000029 0.000158
Rp_neg -0.001651 0.014015 0.108850 0.098561
Rp_pos 0.002222 0.008662 0.002379 0.009980
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000000 0.000004 0.000000 0.000000
epsilon_neg -0.003952 0.017778 0.115225 0.096793
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.002658 0.009211 0.004547 0.017905
Cdl_neg 0.000029 0.000102 0.000042 0.000042
Cdl_pos -0.000004 0.000004 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000269 0.003843 0.000804 0.003739
D -0.000479 0.003701 0.001328 0.004917
Ds_neg 0.119918 0.526320 2.590338 9.704453
Ds_pos 0.008369 0.033036 0.072195 0.317702
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001645 0.012052 0.006894 0.025824
dUdcp_neg_mag 0.167434 0.121078 0.337370 1.194714
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000648 0.001999 0.000058 0.000201
i0_pos 0.001024 0.001979 0.000108 0.000425
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.002931 0.015819 0.004811 0.022148
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.016276 0.035825 0.057554 0.163826
sigma_neg -0.000022 0.000056 0.000000 0.000000
sigma_pos -0.000002 0.000031 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.129088 0.316565
a_neg l_neg -0.108399 0.320618
a_neg l_sep -0.132733 0.316101
a_neg l_pos -0.133083 0.316110
a_neg Rp_neg -0.136434 0.317763
a_neg Rp_pos -0.132537 0.316229
a_neg epsilon_f_neg -0.132740 0.316107
a_neg epsilon_f_pos -0.132743 0.316109
a_neg epsilon_neg -0.142933 0.320182
a_neg epsilon_sep -0.132741 0.316107
a_neg epsilon_pos -0.132423 0.316005
a_neg Cdl_neg -0.132829 0.316149
a_neg Cdl_pos -0.132738 0.316108
a_neg cs_max_neg -0.132741 0.316107
a_neg cs_max_pos -0.132741 0.316107
a_neg c0 -0.133186 0.316340
a_neg D -0.131953 0.315861
a_neg Ds_neg -0.131344 0.310793
a_neg Ds_pos -0.132826 0.315957
a_neg d2Udcp2_pos_sgn -0.132741 0.316107
a_neg d2Udcp2_neg_sgn -0.132741 0.316107
a_neg d3Udcp3_pos_sgn -0.132741 0.316107
a_neg d3Udcp3_neg_sgn -0.132741 0.316107
a_neg dUdcp_pos_mag -0.132347 0.315769
a_neg dUdcp_neg_mag -0.217111 0.328139
a_neg d2Udcp2_pos_mag -0.132741 0.316107
a_neg d2Udcp2_neg_mag -0.132741 0.316107
a_neg d3Udcp3_pos_mag -0.132741 0.316107
a_neg d3Udcp3_neg_mag -0.132741 0.316107
a_neg i0_neg -0.132880 0.316147
a_neg i0_pos -0.133431 0.317125
a_neg SOC_neg -0.132741 0.316107
a_neg SOC_pos -0.132741 0.316107
a_neg tP -0.132597 0.316369
a_neg aa_neg -0.132741 0.316107
a_neg aa_pos -0.132741 0.316107
a_neg kappa_0 -0.139178 0.334928
a_neg sigma_neg -0.132726 0.316072
a_neg sigma_pos -0.132734 0.316094
a_pos l_neg -0.003343 0.020184
a_pos l_sep -0.000414 0.017047
a_pos l_pos -0.000301 0.016610
a_pos Rp_neg 0.000051 0.016778
a_pos Rp_pos -0.000030 0.019461
a_pos epsilon_f_neg -0.000411 0.017032
a_pos epsilon_f_pos -0.000411 0.017031
a_pos epsilon_neg -0.000136 0.016913
a_pos epsilon_sep -0.000411 0.017032
a_pos epsilon_pos -0.001709 0.015903
a_pos Cdl_neg -0.000411 0.017032
a_pos Cdl_pos -0.000411 0.017032
a_pos cs_max_neg -0.000411 0.017032
a_pos cs_max_pos -0.000411 0.017032
a_pos c0 -0.000096 0.017199
a_pos D -0.001140 0.016719
a_pos Ds_neg -0.000429 0.018011
a_pos Ds_pos 0.003020 0.035728
a_pos d2Udcp2_pos_sgn -0.000411 0.017032
a_pos d2Udcp2_neg_sgn -0.000411 0.017032
a_pos d3Udcp3_pos_sgn -0.000411 0.017032
a_pos d3Udcp3_neg_sgn -0.000411 0.017032
a_pos dUdcp_pos_mag -0.001462 0.015660
a_pos dUdcp_neg_mag 0.000481 0.018180
a_pos d2Udcp2_pos_mag -0.000411 0.017032
a_pos d2Udcp2_neg_mag -0.000411 0.017032
a_pos d3Udcp3_pos_mag -0.000411 0.017032
a_pos d3Udcp3_neg_mag -0.000411 0.017032
a_pos i0_neg -0.000445 0.016991
a_pos i0_pos -0.000506 0.017057
a_pos SOC_neg -0.000411 0.017032
a_pos SOC_pos -0.000411 0.017032
a_pos tP -0.000479 0.017358
a_pos aa_neg -0.000411 0.017032
a_pos aa_pos -0.000411 0.017032
a_pos kappa_0 0.002377 0.027000
a_pos sigma_neg -0.000410 0.017033
a_pos sigma_pos -0.000408 0.017029
l_neg l_sep 0.023166 0.138704
l_neg l_pos 0.022764 0.137652
l_neg Rp_neg 0.010212 0.112770
l_neg Rp_pos 0.022940 0.137960
l_neg epsilon_f_neg 0.022747 0.137607
l_neg epsilon_f_pos 0.022747 0.137606
l_neg epsilon_neg 0.013612 0.115708
l_neg epsilon_sep 0.022747 0.137606
l_neg epsilon_pos 0.022257 0.136780
l_neg Cdl_neg 0.022794 0.137656
l_neg Cdl_pos 0.022743 0.137607
l_neg cs_max_neg 0.022747 0.137606
l_neg cs_max_pos 0.022747 0.137606
l_neg c0 0.023028 0.137913
l_neg D 0.020586 0.131655
l_neg Ds_neg 0.763403 3.239356
l_neg Ds_pos 0.023025 0.137699
l_neg d2Udcp2_pos_sgn 0.022747 0.137606
l_neg d2Udcp2_neg_sgn 0.022747 0.137606
l_neg d3Udcp3_pos_sgn 0.022747 0.137606
l_neg d3Udcp3_neg_sgn 0.022747 0.137606
l_neg dUdcp_pos_mag 0.025347 0.144824
l_neg dUdcp_neg_mag 0.141005 0.150804
l_neg d2Udcp2_pos_mag 0.022747 0.137606
l_neg d2Udcp2_neg_mag 0.022747 0.137606
l_neg d3Udcp3_pos_mag 0.022747 0.137606
l_neg d3Udcp3_neg_mag 0.022747 0.137606
l_neg i0_neg 0.025189 0.143847
l_neg i0_pos 0.024091 0.139456
l_neg SOC_neg 0.022747 0.137606
l_neg SOC_pos 0.022747 0.137606
l_neg tP 0.023672 0.139840
l_neg aa_neg 0.022747 0.137606
l_neg aa_pos 0.022747 0.137606
l_neg kappa_0 0.024880 0.132156
l_neg sigma_neg 0.022726 0.137593
l_neg sigma_pos 0.022740 0.137603
l_sep l_pos -0.000050 0.000395
l_sep Rp_neg -0.000004 0.000327
l_sep Rp_pos -0.000035 0.000392
l_sep epsilon_f_neg -0.000037 0.000390
l_sep epsilon_f_pos -0.000037 0.000390
l_sep epsilon_neg -0.000009 0.000336
l_sep epsilon_sep -0.000037 0.000390
l_sep epsilon_pos -0.000030 0.000389
l_sep Cdl_neg -0.000037 0.000390
l_sep Cdl_pos -0.000037 0.000390
l_sep cs_max_neg -0.000037 0.000390
l_sep cs_max_pos -0.000037 0.000390
l_sep c0 -0.000046 0.000390
l_sep D -0.000017 0.000398
l_sep Ds_neg -0.000921 0.004053
l_sep Ds_pos -0.000061 0.000411
l_sep d2Udcp2_pos_sgn -0.000037 0.000390
l_sep d2Udcp2_neg_sgn -0.000037 0.000390
l_sep d3Udcp3_pos_sgn -0.000037 0.000390
l_sep d3Udcp3_neg_sgn -0.000037 0.000390
l_sep dUdcp_pos_mag -0.000031 0.000416
l_sep dUdcp_neg_mag -0.000128 0.000733
l_sep d2Udcp2_pos_mag -0.000037 0.000390
l_sep d2Udcp2_neg_mag -0.000037 0.000390
l_sep d3Udcp3_pos_mag -0.000037 0.000390
l_sep d3Udcp3_neg_mag -0.000037 0.000390
l_sep i0_neg -0.000039 0.000399
l_sep i0_pos -0.000037 0.000392
l_sep SOC_neg -0.000037 0.000390
l_sep SOC_pos -0.000037 0.000390
l_sep tP -0.000024 0.000402
l_sep aa_neg -0.000037 0.000390
l_sep aa_pos -0.000037 0.000390
l_sep kappa_0 -0.000021 0.000372
l_sep sigma_neg -0.000037 0.000390
l_sep sigma_pos -0.000037 0.000390
l_pos Rp_neg 0.000442 0.003073
l_pos Rp_pos -0.000384 0.004373
l_pos epsilon_f_neg 0.000444 0.003076
l_pos epsilon_f_pos 0.000444 0.003075
l_pos epsilon_neg 0.000472 0.003242
l_pos epsilon_sep 0.000444 0.003076
l_pos epsilon_pos 0.000636 0.003636
l_pos Cdl_neg 0.000444 0.003076
l_pos Cdl_pos 0.000444 0.003076
l_pos cs_max_neg 0.000444 0.003076
l_pos cs_max_pos 0.000444 0.003076
l_pos c0 0.000403 0.002740
l_pos D 0.000583 0.003786
l_pos Ds_neg 0.000420 0.003136
l_pos Ds_pos -0.003456 0.016901
l_pos d2Udcp2_pos_sgn 0.000444 0.003076
l_pos d2Udcp2_neg_sgn 0.000444 0.003076
l_pos d3Udcp3_pos_sgn 0.000444 0.003076
l_pos d3Udcp3_neg_sgn 0.000444 0.003076
l_pos dUdcp_pos_mag 0.000526 0.003881
l_pos dUdcp_neg_mag 0.000424 0.003079
l_pos d2Udcp2_pos_mag 0.000444 0.003076
l_pos d2Udcp2_neg_mag 0.000444 0.003076
l_pos d3Udcp3_pos_mag 0.000444 0.003076
l_pos d3Udcp3_neg_mag 0.000444 0.003076
l_pos i0_neg 0.000446 0.003079
l_pos i0_pos 0.000304 0.002973
l_pos SOC_neg 0.000444 0.003076
l_pos SOC_pos 0.000444 0.003076
l_pos tP 0.000593 0.003712
l_pos aa_neg 0.000444 0.003076
