Parameter S1 S1_conf ST ST_conf
a_neg 0.054665 0.097252 0.318418 0.220113
a_pos 0.003024 0.015350 0.008254 0.025649
l_neg 0.014943 0.025917 1.035889 1.856860
l_sep 0.000035 0.000226 0.000005 0.000014
l_pos -0.000161 0.000777 0.000009 0.000040
Rp_neg -0.000103 0.008213 0.136764 0.113265
Rp_pos 0.000850 0.003239 0.000439 0.001331
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000004 0.000000 0.000000
epsilon_neg -0.003306 0.010199 0.151545 0.103451
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.002424 0.006402 0.005372 0.015814
Cdl_neg 0.000036 0.000099 0.000106 0.000095
Cdl_pos -0.000036 0.000033 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000536 0.003056 0.000980 0.003626
D -0.000218 0.003883 0.001283 0.004005
Ds_neg 0.049830 0.236229 0.861179 2.123204
Ds_pos 0.009364 0.030136 0.181671 0.627482
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.003800 0.013792 0.006057 0.016066
dUdcp_neg_mag 0.135173 0.085182 0.251412 0.724476
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000655 0.002060 0.000105 0.000294
i0_pos 0.000120 0.001742 0.000318 0.001023
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.005159 0.021157 0.008487 0.025778
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.014959 0.023961 0.090952 0.241972
sigma_neg -0.000046 0.000086 0.000000 0.000000
sigma_pos -0.000008 0.000058 0.000001 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.059996 0.135422
a_neg l_neg -0.050588 0.137372
a_neg l_sep -0.064436 0.133574
a_neg l_pos -0.064644 0.133551
a_neg Rp_neg -0.069488 0.135847
a_neg Rp_pos -0.064343 0.133620
a_neg epsilon_f_neg -0.064420 0.133574
a_neg epsilon_f_pos -0.064423 0.133575
a_neg epsilon_neg -0.071603 0.135054
a_neg epsilon_sep -0.064420 0.133574
a_neg epsilon_pos -0.064010 0.133575
a_neg Cdl_neg -0.064510 0.133621
a_neg Cdl_pos -0.064397 0.133583
a_neg cs_max_neg -0.064420 0.133574
a_neg cs_max_pos -0.064420 0.133574
a_neg c0 -0.064954 0.133650
a_neg D -0.063951 0.133588
a_neg Ds_neg -0.064983 0.132291
a_neg Ds_pos -0.064352 0.133257
a_neg d2Udcp2_pos_sgn -0.064420 0.133574
a_neg d2Udcp2_neg_sgn -0.064420 0.133574
a_neg d3Udcp3_pos_sgn -0.064420 0.133574
a_neg d3Udcp3_neg_sgn -0.064420 0.133574
a_neg dUdcp_pos_mag -0.063803 0.133599
a_neg dUdcp_neg_mag -0.135618 0.147133
a_neg d2Udcp2_pos_mag -0.064420 0.133574
a_neg d2Udcp2_neg_mag -0.064420 0.133574
a_neg d3Udcp3_pos_mag -0.064420 0.133574
a_neg d3Udcp3_neg_mag -0.064420 0.133574
a_neg i0_neg -0.064594 0.133837
a_neg i0_pos -0.064505 0.134122
a_neg SOC_neg -0.064420 0.133574
a_neg SOC_pos -0.064420 0.133574
a_neg tP -0.065018 0.133574
a_neg aa_neg -0.064420 0.133574
a_neg aa_pos -0.064420 0.133574
a_neg kappa_0 -0.070046 0.146430
a_neg sigma_neg -0.064388 0.133518
a_neg sigma_pos -0.064429 0.133566
a_pos l_neg -0.002273 0.017471
a_pos l_sep -0.000907 0.017154
a_pos l_pos -0.000828 0.016881
a_pos Rp_neg -0.000633 0.016862
a_pos Rp_pos -0.000704 0.018260
a_pos epsilon_f_neg -0.000903 0.017151
a_pos epsilon_f_pos -0.000903 0.017150
a_pos epsilon_neg -0.000807 0.017605
a_pos epsilon_sep -0.000903 0.017151
a_pos epsilon_pos -0.002492 0.016475
a_pos Cdl_neg -0.000901 0.017151
a_pos Cdl_pos -0.000903 0.017152
a_pos cs_max_neg -0.000903 0.017151
a_pos cs_max_pos -0.000903 0.017151
a_pos c0 -0.000456 0.017047
a_pos D -0.001601 0.016779
a_pos Ds_neg -0.000495 0.017443
a_pos Ds_pos 0.008603 0.050679
a_pos d2Udcp2_pos_sgn -0.000903 0.017151
a_pos d2Udcp2_neg_sgn -0.000903 0.017151
a_pos d3Udcp3_pos_sgn -0.000903 0.017151
a_pos d3Udcp3_neg_sgn -0.000903 0.017151
a_pos dUdcp_pos_mag -0.001365 0.015911
a_pos dUdcp_neg_mag 0.000389 0.016289
a_pos d2Udcp2_pos_mag -0.000903 0.017151
a_pos d2Udcp2_neg_mag -0.000903 0.017151
a_pos d3Udcp3_pos_mag -0.000903 0.017151
a_pos d3Udcp3_neg_mag -0.000903 0.017151
a_pos i0_neg -0.001018 0.017010
a_pos i0_pos -0.000907 0.017159
a_pos SOC_neg -0.000903 0.017151
a_pos SOC_pos -0.000903 0.017151
a_pos tP -0.001010 0.017480
a_pos aa_neg -0.000903 0.017151
a_pos aa_pos -0.000903 0.017151
a_pos kappa_0 0.003241 0.027453
a_pos sigma_neg -0.000902 0.017152
a_pos sigma_pos -0.000894 0.017128
l_neg l_sep -0.009481 0.032527
l_neg l_pos -0.009586 0.032246
l_neg Rp_neg -0.011813 0.027477
l_neg Rp_pos -0.009581 0.032259
l_neg epsilon_f_neg -0.009593 0.032229
l_neg epsilon_f_pos -0.009593 0.032228
l_neg epsilon_neg -0.012054 0.026913
l_neg epsilon_sep -0.009593 0.032228
l_neg epsilon_pos -0.009640 0.032012
l_neg Cdl_neg -0.009591 0.032233
l_neg Cdl_pos -0.009592 0.032229
l_neg cs_max_neg -0.009593 0.032228
l_neg cs_max_pos -0.009593 0.032228
l_neg c0 -0.009614 0.032269
l_neg D -0.010563 0.029836
l_neg Ds_neg 0.109215 0.545576
l_neg Ds_pos -0.009521 0.032364
l_neg d2Udcp2_pos_sgn -0.009593 0.032228
l_neg d2Udcp2_neg_sgn -0.009593 0.032228
l_neg d3Udcp3_pos_sgn -0.009593 0.032228
l_neg d3Udcp3_neg_sgn -0.009593 0.032228
l_neg dUdcp_pos_mag -0.008726 0.033792
l_neg dUdcp_neg_mag -0.009158 0.033936
l_neg d2Udcp2_pos_mag -0.009593 0.032228
l_neg d2Udcp2_neg_mag -0.009593 0.032228
l_neg d3Udcp3_pos_mag -0.009593 0.032228
l_neg d3Udcp3_neg_mag -0.009593 0.032228
