Parameter S1 S1_conf ST ST_conf
a_neg 0.051637 0.081567 0.330407 0.208753
a_pos 0.003405 0.009539 0.007213 0.013774
l_neg 0.009426 0.014815 0.384982 0.621895
l_sep 0.000047 0.000120 0.000037 0.000093
l_pos -0.000048 0.000142 0.000001 0.000002
Rp_neg -0.000083 0.004838 0.138949 0.114561
Rp_pos 0.000372 0.001158 0.000223 0.000435
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000001 0.000005 0.000000 0.000000
epsilon_neg -0.003027 0.007475 0.154381 0.096929
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.002933 0.005157 0.006469 0.012529
Cdl_neg 0.000034 0.000082 0.000111 0.000098
Cdl_pos -0.000109 0.000094 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000786 0.002667 0.001330 0.002582
D -0.000005 0.002302 0.001095 0.002189
Ds_neg 0.037451 0.107267 0.705829 0.850197
Ds_pos 0.009942 0.019225 0.225512 0.585892
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.005326 0.015472 0.006686 0.012651
dUdcp_neg_mag 0.134837 0.063872 0.280223 0.490745
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000706 0.001159 0.000147 0.000222
i0_pos -0.000611 0.001454 0.000290 0.000601
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.006805 0.015548 0.010308 0.022119
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.015559 0.020601 0.134278 0.260664
sigma_neg -0.000039 0.000067 0.000000 0.000000
sigma_pos -0.000037 0.000119 0.000001 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.058437 0.111430
a_neg l_neg -0.052355 0.113205
a_neg l_sep -0.061803 0.111477
a_neg l_pos -0.061835 0.111482
a_neg Rp_neg -0.067080 0.113706
a_neg Rp_pos -0.061824 0.111505
a_neg epsilon_f_neg -0.061779 0.111473
a_neg epsilon_f_pos -0.061782 0.111474
a_neg epsilon_neg -0.068330 0.112759
a_neg epsilon_sep -0.061779 0.111473
a_neg epsilon_pos -0.061315 0.111521
a_neg Cdl_neg -0.061855 0.111512
a_neg Cdl_pos -0.061714 0.111498
a_neg cs_max_neg -0.061779 0.111473
a_neg cs_max_pos -0.061779 0.111473
a_neg c0 -0.062233 0.111593
a_neg D -0.061543 0.111240
a_neg Ds_neg -0.063866 0.110916
a_neg Ds_pos -0.061249 0.111267
a_neg d2Udcp2_pos_sgn -0.061779 0.111473
a_neg d2Udcp2_neg_sgn -0.061779 0.111473
a_neg d3Udcp3_pos_sgn -0.061779 0.111473
a_neg d3Udcp3_neg_sgn -0.061779 0.111473
a_neg dUdcp_pos_mag -0.061138 0.111270
a_neg dUdcp_neg_mag -0.130492 0.121691
a_neg d2Udcp2_pos_mag -0.061779 0.111473
a_neg d2Udcp2_neg_mag -0.061779 0.111473
a_neg d3Udcp3_pos_mag -0.061779 0.111473
a_neg d3Udcp3_neg_mag -0.061779 0.111473
a_neg i0_neg -0.062017 0.111909
a_neg i0_pos -0.061410 0.111755
a_neg SOC_neg -0.061779 0.111473
a_neg SOC_pos -0.061779 0.111473
a_neg tP -0.063028 0.111977
a_neg aa_neg -0.061779 0.111473
a_neg aa_pos -0.061779 0.111473
a_neg kappa_0 -0.067153 0.122338
a_neg sigma_neg -0.061751 0.111429
a_neg sigma_pos -0.061816 0.111476
a_pos l_neg -0.001509 0.013681
a_pos l_sep -0.000708 0.013433
a_pos l_pos -0.000673 0.013395
a_pos Rp_neg -0.000529 0.013364
a_pos Rp_pos -0.000438 0.014009
a_pos epsilon_f_neg -0.000698 0.013437
a_pos epsilon_f_pos -0.000699 0.013434
a_pos epsilon_neg -0.000683 0.013746
a_pos epsilon_sep -0.000699 0.013436
a_pos epsilon_pos -0.002643 0.011422
a_pos Cdl_neg -0.000696 0.013436
a_pos Cdl_pos -0.000698 0.013438
a_pos cs_max_neg -0.000699 0.013436
