Parameter S1 S1_conf ST ST_conf
a_neg 0.051794 0.073884 0.346012 0.200043
a_pos 0.003452 0.008264 0.005506 0.008103
l_neg 0.005524 0.007160 0.110783 0.145930
l_sep 0.000027 0.000084 0.000042 0.000101
l_pos 0.000000 0.000021 0.000000 0.000000
Rp_neg -0.000379 0.003684 0.145149 0.111311
Rp_pos 0.000052 0.000765 0.000143 0.000239
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000003 0.000009 0.000000 0.000000
epsilon_neg -0.003036 0.005593 0.158059 0.091431
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.004127 0.007075 0.007936 0.011688
Cdl_neg 0.000038 0.000069 0.000109 0.000093
Cdl_pos -0.000334 0.000272 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.001100 0.003458 0.001973 0.003669
D 0.000306 0.001907 0.000797 0.001195
Ds_neg 0.033243 0.073509 0.686127 0.641189
Ds_pos 0.010638 0.018199 0.236487 0.449407
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.007644 0.013391 0.007819 0.009797
dUdcp_neg_mag 0.133848 0.060446 0.310944 0.343531
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.001066 0.001579 0.000341 0.000404
i0_pos -0.001721 0.002320 0.000202 0.000303
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.008149 0.017328 0.011584 0.023112
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.016609 0.018285 0.194266 0.258895
sigma_neg -0.000034 0.000056 0.000000 0.000000
sigma_pos -0.000093 0.000263 0.000003 0.000005

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.060882 0.098440
a_neg l_neg -0.057864 0.099170
a_neg l_sep -0.062773 0.098672
a_neg l_pos -0.062773 0.098672
a_neg Rp_neg -0.068114 0.100880
a_neg Rp_pos -0.062886 0.098722
a_neg epsilon_f_neg -0.062764 0.098671
a_neg epsilon_f_pos -0.062768 0.098672
a_neg epsilon_neg -0.068806 0.099855
a_neg epsilon_sep -0.062765 0.098671
a_neg epsilon_pos -0.062589 0.098813
a_neg Cdl_neg -0.062836 0.098700
a_neg Cdl_pos -0.062572 0.098741
a_neg cs_max_neg -0.062765 0.098671
a_neg cs_max_pos -0.062765 0.098671
a_neg c0 -0.063056 0.098684
a_neg D -0.062757 0.098463
a_neg Ds_neg -0.065858 0.097603
a_neg Ds_pos -0.061594 0.098381
a_neg d2Udcp2_pos_sgn -0.062765 0.098671
a_neg d2Udcp2_neg_sgn -0.062765 0.098671
a_neg d3Udcp3_pos_sgn -0.062765 0.098671
a_neg d3Udcp3_neg_sgn -0.062765 0.098671
a_neg dUdcp_pos_mag -0.062060 0.098394
a_neg dUdcp_neg_mag -0.125761 0.108769
a_neg d2Udcp2_pos_mag -0.062765 0.098671
a_neg d2Udcp2_neg_mag -0.062765 0.098671
a_neg d3Udcp3_pos_mag -0.062765 0.098671
a_neg d3Udcp3_neg_mag -0.062765 0.098671
a_neg i0_neg -0.063198 0.099480
a_neg i0_pos -0.061757 0.098830
a_neg SOC_neg -0.062765 0.098671
a_neg SOC_pos -0.062765 0.098671
a_neg tP -0.064548 0.099178
a_neg aa_neg -0.062765 0.098671
a_neg aa_pos -0.062765 0.098671
a_neg kappa_0 -0.067570 0.107131
a_neg sigma_neg -0.062739 0.098635
a_neg sigma_pos -0.062826 0.098681
a_pos l_neg -0.000771 0.011030
a_pos l_sep -0.000404 0.011026
a_pos l_pos -0.000376 0.011009
a_pos Rp_neg -0.000214 0.010996
a_pos Rp_pos -0.000032 0.011255
a_pos epsilon_f_neg -0.000381 0.011016
a_pos epsilon_f_pos -0.000380 0.011013
a_pos epsilon_neg -0.000425 0.011517
a_pos epsilon_sep -0.000381 0.011015
a_pos epsilon_pos -0.002588 0.009908
a_pos Cdl_neg -0.000377 0.011016
a_pos Cdl_pos -0.000378 0.011017
a_pos cs_max_neg -0.000381 0.011015
a_pos cs_max_pos -0.000381 0.011015
a_pos c0 0.000560 0.011234
a_pos D -0.001019 0.010507
a_pos Ds_neg 0.000160 0.011004
a_pos Ds_pos 0.016456 0.042470
a_pos d2Udcp2_pos_sgn -0.000381 0.011015
a_pos d2Udcp2_neg_sgn -0.000381 0.011015
a_pos d3Udcp3_pos_sgn -0.000381 0.011015
a_pos d3Udcp3_neg_sgn -0.000381 0.011015
a_pos dUdcp_pos_mag -0.000397 0.010332
a_pos dUdcp_neg_mag -0.000090 0.011286
a_pos d2Udcp2_pos_mag -0.000381 0.011015
a_pos d2Udcp2_neg_mag -0.000381 0.011015
a_pos d3Udcp3_pos_mag -0.000381 0.011015
a_pos d3Udcp3_neg_mag -0.000381 0.011015
a_pos i0_neg -0.000416 0.010957
a_pos i0_pos -0.000355 0.010996
a_pos SOC_neg -0.000381 0.011015
a_pos SOC_pos -0.000381 0.011015
a_pos tP -0.000509 0.011096
a_pos aa_neg -0.000381 0.011015
a_pos aa_pos -0.000381 0.011015
a_pos kappa_0 0.007303 0.023292
a_pos sigma_neg -0.000379 0.011016
a_pos sigma_pos -0.000324 0.010935
l_neg l_sep -0.004702 0.007322
l_neg l_pos -0.004711 0.007318
l_neg Rp_neg -0.004894 0.007254
l_neg Rp_pos -0.004713 0.007318
l_neg epsilon_f_neg -0.004714 0.007317
l_neg epsilon_f_pos -0.004714 0.007317
l_neg epsilon_neg -0.005158 0.007154
l_neg epsilon_sep -0.004714 0.007317
l_neg epsilon_pos -0.004727 0.007293
l_neg Cdl_neg -0.004710 0.007319
l_neg Cdl_pos -0.004712 0.007317
l_neg cs_max_neg -0.004714 0.007317
l_neg cs_max_pos -0.004714 0.007317
l_neg c0 -0.004743 0.007324
l_neg D -0.005013 0.007221
l_neg Ds_neg 0.022566 0.058095
l_neg Ds_pos -0.004688 0.007320
l_neg d2Udcp2_pos_sgn -0.004714 0.007317
l_neg d2Udcp2_neg_sgn -0.004714 0.007317
l_neg d3Udcp3_pos_sgn -0.004714 0.007317
l_neg d3Udcp3_neg_sgn -0.004714 0.007317
l_neg dUdcp_pos_mag -0.004362 0.007339
l_neg dUdcp_neg_mag -0.003884 0.007291
l_neg d2Udcp2_pos_mag -0.004714 0.007317
l_neg d2Udcp2_neg_mag -0.004714 0.007317
l_neg d3Udcp3_pos_mag -0.004714 0.007317
l_neg d3Udcp3_neg_mag -0.004714 0.007317
l_neg i0_neg -0.004561 0.007388
l_neg i0_pos -0.004430 0.007446
l_neg SOC_neg -0.004714 0.007317
l_neg SOC_pos -0.004714 0.007317
l_neg tP -0.004618 0.007373
l_neg aa_neg -0.004714 0.007317
l_neg aa_pos -0.004714 0.007317
l_neg kappa_0 -0.005214 0.007196
l_neg sigma_neg -0.004713 0.007317
