Parameter S1 S1_conf ST ST_conf
a_neg 0.046739 0.067363 0.378745 0.227968
a_pos 0.003230 0.005611 0.004214 0.005148
l_neg 0.002660 0.003611 0.022273 0.030690
l_sep -0.000020 0.000123 0.000016 0.000027
l_pos -0.000007 0.000021 0.000000 0.000000
Rp_neg -0.000769 0.003912 0.162571 0.117166
Rp_pos -0.000085 0.000653 0.000103 0.000126
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000003 0.000008 0.000000 0.000000
epsilon_neg -0.003052 0.005824 0.161582 0.089238
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.005714 0.009351 0.009493 0.012258
Cdl_neg 0.000063 0.000077 0.000104 0.000090
Cdl_pos -0.001021 0.000857 0.000001 0.000001
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.001583 0.004727 0.003233 0.005661
D 0.000574 0.001697 0.000527 0.000597
Ds_neg 0.027261 0.052426 0.666067 0.531320
Ds_pos 0.011623 0.018073 0.231397 0.400313
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.011178 0.020807 0.009760 0.011693
dUdcp_neg_mag 0.130987 0.058207 0.294760 0.315639
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.001943 0.002643 0.001006 0.001013
i0_pos -0.003427 0.003158 0.000226 0.000242
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.008134 0.016783 0.012430 0.017576
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.017890 0.018233 0.245202 0.346605
sigma_neg -0.000028 0.000051 0.000000 0.000000
sigma_pos -0.000121 0.000237 0.000003 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.058215 0.089977
a_neg l_neg -0.057504 0.090119
a_neg l_sep -0.059214 0.089963
a_neg l_pos -0.059239 0.089968
a_neg Rp_neg -0.064381 0.092081
a_neg Rp_pos -0.059374 0.089993
a_neg epsilon_f_neg -0.059235 0.089967
a_neg epsilon_f_pos -0.059238 0.089968
a_neg epsilon_neg -0.064638 0.090910
a_neg epsilon_sep -0.059236 0.089967
a_neg epsilon_pos -0.059630 0.090362
a_neg Cdl_neg -0.059319 0.089984
a_neg Cdl_pos -0.058652 0.090190
a_neg cs_max_neg -0.059236 0.089967
a_neg cs_max_pos -0.059236 0.089967
a_neg c0 -0.059264 0.089907
a_neg D -0.059370 0.089820
a_neg Ds_neg -0.062518 0.089438
a_neg Ds_pos -0.057281 0.089700
a_neg d2Udcp2_pos_sgn -0.059236 0.089967
a_neg d2Udcp2_neg_sgn -0.059236 0.089967
a_neg d3Udcp3_pos_sgn -0.059236 0.089967
a_neg d3Udcp3_neg_sgn -0.059236 0.089967
a_neg dUdcp_pos_mag -0.058509 0.089816
a_neg dUdcp_neg_mag -0.115720 0.099929
a_neg d2Udcp2_pos_mag -0.059236 0.089967
a_neg d2Udcp2_neg_mag -0.059236 0.089967
a_neg d3Udcp3_pos_mag -0.059236 0.089967
a_neg d3Udcp3_neg_mag -0.059236 0.089967
a_neg i0_neg -0.060182 0.091467
a_neg i0_pos -0.057346 0.090168
a_neg SOC_neg -0.059236 0.089967
a_neg SOC_pos -0.059236 0.089967
a_neg tP -0.061071 0.090175
a_neg aa_neg -0.059236 0.089967
a_neg aa_pos -0.059236 0.089967
a_neg kappa_0 -0.063061 0.098105
a_neg sigma_neg -0.059212 0.089934
a_neg sigma_pos -0.059285 0.089970
a_pos l_neg -0.000412 0.009914
a_pos l_sep -0.000339 0.009915
a_pos l_pos -0.000291 0.009903
a_pos Rp_neg -0.000064 0.009913
a_pos Rp_pos 0.000048 0.010138
a_pos epsilon_f_neg -0.000297 0.009906
a_pos epsilon_f_pos -0.000296 0.009904
a_pos epsilon_neg -0.000432 0.010322
a_pos epsilon_sep -0.000298 0.009906
a_pos epsilon_pos -0.002380 0.007471
a_pos Cdl_neg -0.000294 0.009906
a_pos Cdl_pos -0.000287 0.009910
a_pos cs_max_neg -0.000298 0.009906
a_pos cs_max_pos -0.000298 0.009906
a_pos c0 0.001068 0.010546
a_pos D -0.000652 0.009369
a_pos Ds_neg 0.000243 0.009949
a_pos Ds_pos 0.017272 0.040925
a_pos d2Udcp2_pos_sgn -0.000298 0.009906
a_pos d2Udcp2_neg_sgn -0.000298 0.009906
a_pos d3Udcp3_pos_sgn -0.000298 0.009906
a_pos d3Udcp3_neg_sgn -0.000298 0.009906
a_pos dUdcp_pos_mag 0.000449 0.009720
a_pos dUdcp_neg_mag -0.000705 0.010026
a_pos d2Udcp2_pos_mag -0.000298 0.009906
a_pos d2Udcp2_neg_mag -0.000298 0.009906
a_pos d3Udcp3_pos_mag -0.000298 0.009906
a_pos d3Udcp3_neg_mag -0.000298 0.009906
a_pos i0_neg -0.000195 0.010030
a_pos i0_pos -0.000282 0.009897
a_pos SOC_neg -0.000298 0.009906
a_pos SOC_pos -0.000298 0.009906
a_pos tP -0.000397 0.009893
a_pos aa_neg -0.000298 0.009906
a_pos aa_pos -0.000298 0.009906
a_pos kappa_0 0.008708 0.024600
a_pos sigma_neg -0.000295 0.009907
a_pos sigma_pos -0.000221 0.009855
l_neg l_sep -0.002093 0.003563
l_neg l_pos -0.002086 0.003564
l_neg Rp_neg -0.002129 0.003557
l_neg Rp_pos -0.002088 0.003563
l_neg epsilon_f_neg -0.002089 0.003563
l_neg epsilon_f_pos -0.002089 0.003563
l_neg epsilon_neg -0.002286 0.003557
l_neg epsilon_sep -0.002089 0.003563
l_neg epsilon_pos -0.002134 0.003555
l_neg Cdl_neg -0.002081 0.003565
l_neg Cdl_pos -0.002090 0.003563
l_neg cs_max_neg -0.002089 0.003563
l_neg cs_max_pos -0.002089 0.003563
l_neg c0 -0.002089 0.003566
l_neg D -0.002253 0.003547
l_neg Ds_neg 0.011341 0.023970
l_neg Ds_pos -0.002069 0.003563
l_neg d2Udcp2_pos_sgn -0.002089 0.003563
l_neg d2Udcp2_neg_sgn -0.002089 0.003563
l_neg d3Udcp3_pos_sgn -0.002089 0.003563
l_neg d3Udcp3_neg_sgn -0.002089 0.003563
l_neg dUdcp_pos_mag -0.002053 0.003566
l_neg dUdcp_neg_mag -0.001666 0.003580
l_neg d2Udcp2_pos_mag -0.002089 0.003563
l_neg d2Udcp2_neg_mag -0.002089 0.003563
l_neg d3Udcp3_pos_mag -0.002089 0.003563
l_neg d3Udcp3_neg_mag -0.002089 0.003563
l_neg i0_neg -0.002008 0.003577
l_neg i0_pos -0.001981 0.003586
l_neg SOC_neg -0.002089 0.003563
l_neg SOC_pos -0.002089 0.003563
l_neg tP -0.002020 0.003578
l_neg aa_neg -0.002089 0.003563
l_neg aa_pos -0.002089 0.003563
l_neg kappa_0 -0.002271 0.003549
l_neg sigma_neg -0.002089 0.003563
l_neg sigma_pos -0.002089 0.003563
l_sep l_pos -0.000081 0.000200
l_sep Rp_neg -0.000012 0.000173
l_sep Rp_pos -0.000079 0.000201
l_sep epsilon_f_neg -0.000081 0.000200
l_sep epsilon_f_pos -0.000081 0.000200
l_sep epsilon_neg -0.000010 0.000167
l_sep epsilon_sep -0.000081 0.000200
l_sep epsilon_pos -0.000109 0.000198
l_sep Cdl_neg -0.000081 0.000200
l_sep Cdl_pos -0.000082 0.000200
l_sep cs_max_neg -0.000081 0.000200
l_sep cs_max_pos -0.000081 0.000200
l_sep c0 -0.000079 0.000218
l_sep D -0.000072 0.000191
l_sep Ds_neg -0.000105 0.000304
l_sep Ds_pos 0.000096 0.000404
l_sep d2Udcp2_pos_sgn -0.000081 0.000200
l_sep d2Udcp2_neg_sgn -0.000081 0.000200
