Parameter S1 S1_conf ST ST_conf
a_neg 0.034891 0.053272 0.508133 0.426798
a_pos -0.000697 0.006156 0.003717 0.004502
l_neg 0.000491 0.000783 0.000725 0.001149
l_sep 0.000135 0.000373 0.000006 0.000010
l_pos -0.000024 0.000049 0.000000 0.000000
Rp_neg -0.001646 0.005337 0.231877 0.149169
Rp_pos 0.000140 0.001068 0.000151 0.000156
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000003 0.000007 0.000000 0.000000
epsilon_neg -0.003158 0.005993 0.162690 0.087934
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.013696 0.014088 0.012974 0.015983
Cdl_neg 0.000555 0.000444 0.000099 0.000063
Cdl_pos -0.010463 0.008988 0.000120 0.000059
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.002844 0.009163 0.009355 0.013972
D 0.000584 0.001655 0.000296 0.000364
Ds_neg 0.011124 0.031499 0.604907 0.474289
Ds_pos 0.020863 0.036338 0.201148 0.345283
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.022870 0.043562 0.020091 0.022673
dUdcp_neg_mag 0.120999 0.064036 0.224950 0.179553
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.005876 0.007207 0.008130 0.007416
i0_pos -0.014915 0.009138 0.001371 0.001472
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.003628 0.013917 0.015850 0.020059
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.022457 0.031231 0.295119 0.358507
sigma_neg -0.000016 0.000039 0.000000 0.000000
sigma_pos -0.000056 0.000148 0.000002 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.053258 0.070724
a_neg l_neg -0.054852 0.070459
a_neg l_sep -0.055002 0.070446
a_neg l_pos -0.054984 0.070444
a_neg Rp_neg -0.059836 0.072386
a_neg Rp_pos -0.054955 0.070447
a_neg epsilon_f_neg -0.054985 0.070444
a_neg epsilon_f_pos -0.054986 0.070445
a_neg epsilon_neg -0.060260 0.071003
a_neg epsilon_sep -0.054985 0.070444
a_neg epsilon_pos -0.054166 0.071733
a_neg Cdl_neg -0.055294 0.070337
a_neg Cdl_pos -0.048982 0.072610
a_neg cs_max_neg -0.054985 0.070444
a_neg cs_max_pos -0.054985 0.070444
a_neg c0 -0.054272 0.070295
a_neg D -0.055107 0.070352
a_neg Ds_neg -0.057253 0.069873
a_neg Ds_pos -0.051570 0.070077
a_neg d2Udcp2_pos_sgn -0.054985 0.070444
a_neg d2Udcp2_neg_sgn -0.054985 0.070444
a_neg d3Udcp3_pos_sgn -0.054985 0.070444
a_neg d3Udcp3_neg_sgn -0.054985 0.070444
a_neg dUdcp_pos_mag -0.054199 0.070251
a_neg dUdcp_neg_mag -0.102175 0.084884
a_neg d2Udcp2_pos_mag -0.054985 0.070444
a_neg d2Udcp2_neg_mag -0.054985 0.070444
a_neg d3Udcp3_pos_mag -0.054985 0.070444
a_neg d3Udcp3_neg_mag -0.054985 0.070444
a_neg i0_neg -0.058272 0.075001
a_neg i0_pos -0.046423 0.071329
a_neg SOC_neg -0.054985 0.070444
a_neg SOC_pos -0.054985 0.070444
a_neg tP -0.055666 0.070491
a_neg aa_neg -0.054985 0.070444
a_neg aa_pos -0.054985 0.070444
a_neg kappa_0 -0.054119 0.076987
a_neg sigma_neg -0.054967 0.070419
a_neg sigma_pos -0.055001 0.070442
a_pos l_neg 0.003646 0.009099
a_pos l_sep 0.003568 0.009126
a_pos l_pos 0.003648 0.009095
a_pos Rp_neg 0.004331 0.009224
a_pos Rp_pos 0.003638 0.009192
a_pos epsilon_f_neg 0.003637 0.009100
a_pos epsilon_f_pos 0.003637 0.009099
a_pos epsilon_neg 0.002856 0.009254
a_pos epsilon_sep 0.003637 0.009100
a_pos epsilon_pos 0.002859 0.007026
a_pos Cdl_neg 0.003610 0.009111
a_pos Cdl_pos 0.003714 0.009108
a_pos cs_max_neg 0.003637 0.009100
a_pos cs_max_pos 0.003637 0.009100
a_pos c0 0.006026 0.009808
a_pos D 0.003757 0.008963
a_pos Ds_neg 0.002777 0.009213
a_pos Ds_pos 0.014556 0.027077
a_pos d2Udcp2_pos_sgn 0.003637 0.009100
a_pos d2Udcp2_neg_sgn 0.003637 0.009100
a_pos d3Udcp3_pos_sgn 0.003637 0.009100
a_pos d3Udcp3_neg_sgn 0.003637 0.009100
a_pos dUdcp_pos_mag 0.009501 0.015259
a_pos dUdcp_neg_mag 0.002398 0.009389
a_pos d2Udcp2_pos_mag 0.003637 0.009100
a_pos d2Udcp2_neg_mag 0.003637 0.009100
a_pos d3Udcp3_pos_mag 0.003637 0.009100
a_pos d3Udcp3_neg_mag 0.003637 0.009100
a_pos i0_neg 0.003556 0.009199
a_pos i0_pos 0.003129 0.009287
