Parameter S1 S1_conf ST ST_conf
a_neg 0.052643 0.040510 0.107493 0.147802
a_pos -0.011442 0.051285 0.028016 0.029853
l_neg 0.000173 0.000321 0.000031 0.000073
l_sep -0.000007 0.000015 0.000000 0.000000
l_pos 0.000078 0.000079 0.000000 0.000000
Rp_neg -0.002485 0.006888 0.006902 0.010801
Rp_pos -0.000234 0.001397 0.000430 0.000826
epsilon_f_neg -0.000009 0.000021 0.000000 0.000000
epsilon_f_pos -0.000016 0.000026 0.000000 0.000000
epsilon_neg 0.040482 0.067811 0.029434 0.035171
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.068903 0.077631 0.065407 0.068254
Cdl_neg 0.006108 0.034827 0.032328 0.049544
Cdl_pos -0.065729 0.116214 0.072087 0.091427
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000652 0.002259 0.001010 0.002182
D 0.000561 0.000865 0.000007 0.000010
Ds_neg 0.016318 0.029978 0.095177 0.197980
Ds_pos 0.006176 0.012519 0.003921 0.005954
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000002 0.022426 0.008423 0.012852
dUdcp_neg_mag 0.000100 0.009003 0.006052 0.007798
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.051243 0.077683 0.086958 0.130872
i0_pos 0.657889 0.437684 0.413542 0.170866
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000277 0.002675 0.002886 0.005630
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.025435 0.139910 0.316499 0.528723
sigma_neg 0.000034 0.000077 0.000000 0.000000
sigma_pos -0.000008 0.000226 0.000010 0.000021

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.114852 0.106606
a_neg l_neg -0.115741 0.115133
a_neg l_sep -0.115863 0.115144
a_neg l_pos -0.115901 0.115163
a_neg Rp_neg -0.120606 0.114915
a_neg Rp_pos -0.115969 0.115145
a_neg epsilon_f_neg -0.115870 0.115145
a_neg epsilon_f_pos -0.115876 0.115144
a_neg epsilon_neg -0.120736 0.121334
a_neg epsilon_sep -0.115868 0.115146
a_neg epsilon_pos -0.086481 0.086075
a_neg Cdl_neg -0.108338 0.119696
a_neg Cdl_pos -0.074786 0.077820
a_neg cs_max_neg -0.115868 0.115146
a_neg cs_max_pos -0.115868 0.115146
a_neg c0 -0.115366 0.115185
a_neg D -0.116072 0.115198
a_neg Ds_neg -0.116849 0.114781
a_neg Ds_pos -0.113092 0.114816
a_neg d2Udcp2_pos_sgn -0.115868 0.115146
a_neg d2Udcp2_neg_sgn -0.115868 0.115146
a_neg d3Udcp3_pos_sgn -0.115868 0.115146
a_neg d3Udcp3_neg_sgn -0.115868 0.115146
a_neg dUdcp_pos_mag -0.113600 0.114700
a_neg dUdcp_neg_mag -0.122332 0.116568
a_neg d2Udcp2_pos_mag -0.115868 0.115146
a_neg d2Udcp2_neg_mag -0.115868 0.115146
a_neg d3Udcp3_pos_mag -0.115868 0.115146
a_neg d3Udcp3_neg_mag -0.115868 0.115146
a_neg i0_neg -0.113569 0.120946
a_neg i0_pos -0.045952 0.074047
a_neg SOC_neg -0.115868 0.115146
a_neg SOC_pos -0.115868 0.115146
a_neg tP -0.114721 0.114739
a_neg aa_neg -0.115868 0.115146
a_neg aa_pos -0.115868 0.115146
a_neg kappa_0 -0.071288 0.106199
a_neg sigma_neg -0.115861 0.115147
a_neg sigma_pos -0.115916 0.115145
a_pos l_neg 0.044353 0.129976
a_pos l_sep 0.044373 0.129991
a_pos l_pos 0.044358 0.129995
a_pos Rp_neg 0.054052 0.143420
a_pos Rp_pos 0.043013 0.127963
a_pos epsilon_f_neg 0.044378 0.129999
a_pos epsilon_f_pos 0.044373 0.129985
a_pos epsilon_neg 0.031225 0.122293
a_pos epsilon_sep 0.044373 0.129991
a_pos epsilon_pos 0.032362 0.107538
a_pos Cdl_neg 0.038078 0.115947
a_pos Cdl_pos 0.051183 0.141535
a_pos cs_max_neg 0.044373 0.129991
a_pos cs_max_pos 0.044373 0.129991
a_pos c0 0.044728 0.130843
a_pos D 0.044047 0.130108
a_pos Ds_neg 0.043776 0.131501
a_pos Ds_pos 0.046659 0.134993
a_pos d2Udcp2_pos_sgn 0.044373 0.129991
a_pos d2Udcp2_neg_sgn 0.044373 0.129991
a_pos d3Udcp3_pos_sgn 0.044373 0.129991
a_pos d3Udcp3_neg_sgn 0.044373 0.129991
a_pos dUdcp_pos_mag 0.036238 0.114476
a_pos dUdcp_neg_mag 0.040782 0.124800
a_pos d2Udcp2_pos_mag 0.044373 0.129991
a_pos d2Udcp2_neg_mag 0.044373 0.129991
a_pos d3Udcp3_pos_mag 0.044373 0.129991
a_pos d3Udcp3_neg_mag 0.044373 0.129991
a_pos i0_neg 0.050221 0.134666
a_pos i0_pos -0.411790 0.620360
a_pos SOC_neg 0.044373 0.129991
a_pos SOC_pos 0.044373 0.129991
a_pos tP 0.043710 0.130036
a_pos aa_neg 0.044373 0.129991
a_pos aa_pos 0.044373 0.129991
a_pos kappa_0 0.174518 0.346215
a_pos sigma_neg 0.044405 0.130024
a_pos sigma_pos 0.044374 0.130014
l_neg l_sep 0.000887 0.002393
l_neg l_pos 0.000888 0.002395
l_neg Rp_neg 0.000899 0.002402
l_neg Rp_pos 0.000887 0.002393
l_neg epsilon_f_neg 0.000887 0.002393
l_neg epsilon_f_pos 0.000887 0.002393
l_neg epsilon_neg 0.000372 0.001183
l_neg epsilon_sep 0.000887 0.002393
l_neg epsilon_pos 0.000866 0.002344
l_neg Cdl_neg 0.001970 0.004905
l_neg Cdl_pos 0.000880 0.002389
l_neg cs_max_neg 0.000887 0.002393
l_neg cs_max_pos 0.000887 0.002393
l_neg c0 0.000888 0.002395
l_neg D 0.000876 0.002366
l_neg Ds_neg 0.001245 0.003215
l_neg Ds_pos 0.000889 0.002396
l_neg d2Udcp2_pos_sgn 0.000887 0.002393
l_neg d2Udcp2_neg_sgn 0.000887 0.002393
l_neg d3Udcp3_pos_sgn 0.000887 0.002393
l_neg d3Udcp3_neg_sgn 0.000887 0.002393
l_neg dUdcp_pos_mag 0.000888 0.002397
l_neg dUdcp_neg_mag 0.000903 0.002383
l_neg d2Udcp2_pos_mag 0.000887 0.002393
l_neg d2Udcp2_neg_mag 0.000887 0.002393
l_neg d3Udcp3_pos_mag 0.000887 0.002393
l_neg d3Udcp3_neg_mag 0.000887 0.002393
l_neg i0_neg 0.000325 0.001199
l_neg i0_pos 0.001787 0.004439
l_neg SOC_neg 0.000887 0.002393
l_neg SOC_pos 0.000887 0.002393
l_neg tP 0.000896 0.002414
l_neg aa_neg 0.000887 0.002393
l_neg aa_pos 0.000887 0.002393
l_neg kappa_0 0.000144 0.000683
l_neg sigma_neg 0.000888 0.002394
