Parameter S1 S1_conf ST ST_conf
a_neg 0.281672 0.188726 0.349447 0.135333
a_pos 0.058616 0.204143 0.208209 0.072803
l_neg -0.000380 0.000181 0.000001 0.000000
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.001174 0.005030 0.000101 0.000077
Rp_neg -0.000005 0.000012 0.000000 0.000000
Rp_pos -0.000086 0.000064 0.000000 0.000000
epsilon_f_neg -0.000020 0.000028 0.000000 0.000000
epsilon_f_pos -0.000037 0.000060 0.000000 0.000000
epsilon_neg 0.110635 0.161919 0.225989 0.082521
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.089575 0.126053 0.242855 0.114952
Cdl_neg -0.055496 0.042303 0.047306 0.015900
Cdl_pos 0.036273 0.085048 0.048149 0.027018
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000224 0.000178 0.000002 0.000002
D 0.000009 0.000010 0.000000 0.000000
Ds_neg -0.000041 0.000047 0.000000 0.000000
Ds_pos -0.000089 0.000069 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000152 0.000166 0.000000 0.000000
dUdcp_neg_mag -0.000011 0.000013 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.035457 0.040541 0.013704 0.007098
i0_pos 0.018261 0.085049 0.097695 0.036061
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000356 0.000253 0.000007 0.000006
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.283777 0.420176 1.328170 0.890114
sigma_neg 0.000199 0.000157 0.000001 0.000000
sigma_pos -0.000526 0.000742 0.000008 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.239108 0.297853
a_neg l_neg -0.173804 0.285249
a_neg l_sep -0.173796 0.285244
a_neg l_pos -0.174262 0.285226
a_neg Rp_neg -0.173801 0.285244
a_neg Rp_pos -0.173734 0.285223
a_neg epsilon_f_neg -0.173782 0.285245
a_neg epsilon_f_pos -0.173904 0.285237
a_neg epsilon_neg -0.100021 0.364786
a_neg epsilon_sep -0.173796 0.285244
a_neg epsilon_pos -0.194582 0.282534
a_neg Cdl_neg -0.164439 0.287916
a_neg Cdl_pos -0.195582 0.294933
a_neg cs_max_neg -0.173796 0.285244
a_neg cs_max_pos -0.173796 0.285244
a_neg c0 -0.173689 0.285192
a_neg D -0.173802 0.285248
a_neg Ds_neg -0.173818 0.285243
a_neg Ds_pos -0.173748 0.285219
a_neg d2Udcp2_pos_sgn -0.173796 0.285244
a_neg d2Udcp2_neg_sgn -0.173796 0.285244
a_neg d3Udcp3_pos_sgn -0.173796 0.285244
a_neg d3Udcp3_neg_sgn -0.173796 0.285244
a_neg dUdcp_pos_mag -0.173782 0.285197
a_neg dUdcp_neg_mag -0.173798 0.285244
a_neg d2Udcp2_pos_mag -0.173796 0.285244
a_neg d2Udcp2_neg_mag -0.173796 0.285244
a_neg d3Udcp3_pos_mag -0.173796 0.285244
a_neg d3Udcp3_neg_mag -0.173796 0.285244
a_neg i0_neg -0.189810 0.282356
a_neg i0_pos -0.145288 0.291126
a_neg SOC_neg -0.173796 0.285244
a_neg SOC_pos -0.173796 0.285244
a_neg tP -0.173596 0.285181
a_neg aa_neg -0.173796 0.285244
a_neg aa_pos -0.173796 0.285244
a_neg kappa_0 0.071347 0.329617
a_neg sigma_neg -0.173729 0.285280
a_neg sigma_pos -0.174563 0.285093
a_pos l_neg 0.158898 0.371715
a_pos l_sep 0.158902 0.371728
a_pos l_pos 0.160889 0.370635
a_pos Rp_neg 0.158897 0.371727
a_pos Rp_pos 0.158888 0.371719
a_pos epsilon_f_neg 0.158906 0.371734
a_pos epsilon_f_pos 0.158886 0.371705
a_pos epsilon_neg 0.136403 0.367159
a_pos epsilon_sep 0.158902 0.371728
a_pos epsilon_pos 0.154622 0.346448
a_pos Cdl_neg 0.174614 0.377016
a_pos Cdl_pos 0.133717 0.355925
a_pos cs_max_neg 0.158902 0.371728
a_pos cs_max_pos 0.158902 0.371728
