Parameter S1 S1_conf ST ST_conf
a_neg 0.417523 0.234345 0.414494 0.155071
a_pos 0.228730 0.385135 0.442412 0.255622
l_neg -0.003468 0.001827 0.000064 0.000034
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.018628 0.037598 0.004581 0.003062
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg -0.000019 0.000024 0.000000 0.000000
epsilon_f_pos -0.000030 0.000091 0.000000 0.000000
epsilon_neg 0.124644 0.149875 0.247468 0.089009
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.125671 0.144693 0.185010 0.063514
Cdl_neg -0.041073 0.082074 0.134616 0.050939
Cdl_pos 0.073254 0.096576 0.116620 0.081250
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000273 0.000229 0.000001 0.000001
D 0.000000 0.000004 0.000000 0.000000
Ds_neg -0.000001 0.000001 0.000000 0.000000
Ds_pos 0.000002 0.000002 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000001 0.000003 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000001 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.005112 0.007071 0.001013 0.000963
i0_pos 0.011750 0.020242 0.006552 0.004465
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000414 0.000266 0.000007 0.000006
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.168920 0.384198 1.160310 0.780765
sigma_neg 0.000244 0.000183 0.000001 0.000000
sigma_pos -0.000406 0.000854 0.000008 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.404337 0.373565
a_neg l_neg -0.305063 0.337536
a_neg l_sep -0.305824 0.337523
a_neg l_pos -0.303677 0.335551
a_neg Rp_neg -0.305824 0.337523
a_neg Rp_pos -0.305826 0.337523
a_neg epsilon_f_neg -0.305805 0.337525
a_neg epsilon_f_pos -0.306026 0.337517
a_neg epsilon_neg -0.150995 0.423681
a_neg epsilon_sep -0.305824 0.337523
a_neg epsilon_pos -0.305692 0.338027
a_neg Cdl_neg -0.230091 0.345275
a_neg Cdl_pos -0.341124 0.348611
a_neg cs_max_neg -0.305824 0.337523
a_neg cs_max_pos -0.305824 0.337523
a_neg c0 -0.305758 0.337500
a_neg D -0.305825 0.337524
a_neg Ds_neg -0.305825 0.337523
a_neg Ds_pos -0.305825 0.337523
a_neg d2Udcp2_pos_sgn -0.305824 0.337523
a_neg d2Udcp2_neg_sgn -0.305824 0.337523
a_neg d3Udcp3_pos_sgn -0.305824 0.337523
a_neg d3Udcp3_neg_sgn -0.305824 0.337523
a_neg dUdcp_pos_mag -0.305825 0.337524
a_neg dUdcp_neg_mag -0.305824 0.337523
a_neg d2Udcp2_pos_mag -0.305824 0.337523
a_neg d2Udcp2_neg_mag -0.305824 0.337523
a_neg d3Udcp3_pos_mag -0.305824 0.337523
a_neg d3Udcp3_neg_mag -0.305824 0.337523
a_neg i0_neg -0.312119 0.338040
a_neg i0_pos -0.294554 0.338458
a_neg SOC_neg -0.305824 0.337523
a_neg SOC_pos -0.305824 0.337523
a_neg tP -0.305675 0.337491
a_neg aa_neg -0.305824 0.337523
a_neg aa_pos -0.305824 0.337523
a_neg kappa_0 -0.102451 0.366463
a_neg sigma_neg -0.305775 0.337554
a_neg sigma_pos -0.306520 0.337538
a_pos l_neg 0.015754 0.551971
a_pos l_sep 0.015893 0.552164
a_pos l_pos 0.033499 0.540346
a_pos Rp_neg 0.015893 0.552164
a_pos Rp_pos 0.015893 0.552164
a_pos epsilon_f_neg 0.015896 0.552168
a_pos epsilon_f_pos 0.015878 0.552149
a_pos epsilon_neg -0.002766 0.552607
a_pos epsilon_sep 0.015893 0.552164
a_pos epsilon_pos 0.059535 0.553207
a_pos Cdl_neg 0.095590 0.575338
a_pos Cdl_pos 0.006690 0.546627
a_pos cs_max_neg 0.015893 0.552164
a_pos cs_max_pos 0.015893 0.552164
a_pos c0 0.015876 0.552173
a_pos D 0.015891 0.552164
a_pos Ds_neg 0.015893 0.552164
a_pos Ds_pos 0.015893 0.552164
a_pos d2Udcp2_pos_sgn 0.015893 0.552164
a_pos d2Udcp2_neg_sgn 0.015893 0.552164
a_pos d3Udcp3_pos_sgn 0.015893 0.552164
a_pos d3Udcp3_neg_sgn 0.015893 0.552164
a_pos dUdcp_pos_mag 0.015893 0.552164
a_pos dUdcp_neg_mag 0.015893 0.552164
