Parameter S1 S1_conf ST ST_conf
a_neg 0.597106 0.319623 0.641251 0.271203
a_pos 0.335460 0.397717 0.553162 0.301407
l_neg -0.025886 0.014618 0.003926 0.002189
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.031421 0.065128 0.030517 0.014387
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000023 0.000028 0.000000 0.000000
epsilon_f_pos -0.000037 0.000102 0.000000 0.000000
epsilon_neg 0.136805 0.157498 0.312824 0.123522
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.036813 0.128476 0.113194 0.046627
Cdl_neg -0.042086 0.102839 0.214583 0.086960
Cdl_pos 0.124129 0.113267 0.162286 0.084150
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000206 0.000170 0.000001 0.000001
D 0.000004 0.000004 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000269 0.000561 0.000012 0.000011
i0_pos 0.001647 0.001814 0.000100 0.000082
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000304 0.000183 0.000002 0.000001
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.135251 0.329656 0.910859 0.695302
sigma_neg 0.000270 0.000195 0.000001 0.000000
sigma_pos -0.000349 0.000958 0.000011 0.000005

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.558209 0.480533
a_neg l_neg -0.434021 0.444544
a_neg l_sep -0.439319 0.444551
a_neg l_pos -0.433439 0.441445
a_neg Rp_neg -0.439319 0.444551
a_neg Rp_pos -0.439319 0.444551
a_neg epsilon_f_neg -0.439296 0.444553
a_neg epsilon_f_pos -0.439588 0.444540
a_neg epsilon_neg -0.230920 0.550551
a_neg epsilon_sep -0.439319 0.444551
a_neg epsilon_pos -0.439473 0.444944
a_neg Cdl_neg -0.324297 0.447804
a_neg Cdl_pos -0.500646 0.463665
a_neg cs_max_neg -0.439319 0.444551
a_neg cs_max_pos -0.439319 0.444551
a_neg c0 -0.439269 0.444536
a_neg D -0.439320 0.444551
a_neg Ds_neg -0.439319 0.444551
a_neg Ds_pos -0.439319 0.444551
a_neg d2Udcp2_pos_sgn -0.439319 0.444551
a_neg d2Udcp2_neg_sgn -0.439319 0.444551
a_neg d3Udcp3_pos_sgn -0.439319 0.444551
a_neg d3Udcp3_neg_sgn -0.439319 0.444551
a_neg dUdcp_pos_mag -0.439319 0.444551
a_neg dUdcp_neg_mag -0.439319 0.444551
a_neg d2Udcp2_pos_mag -0.439319 0.444551
a_neg d2Udcp2_neg_mag -0.439319 0.444551
a_neg d3Udcp3_pos_mag -0.439319 0.444551
a_neg d3Udcp3_neg_mag -0.439319 0.444551
a_neg i0_neg -0.440061 0.444624
a_neg i0_pos -0.437641 0.444622
a_neg SOC_neg -0.439319 0.444551
a_neg SOC_pos -0.439319 0.444551
a_neg tP -0.439181 0.444530
a_neg aa_neg -0.439319 0.444551
a_neg aa_pos -0.439319 0.444551
a_neg kappa_0 -0.253788 0.481816
a_neg sigma_neg -0.439272 0.444590
a_neg sigma_pos -0.440116 0.444554
a_pos l_neg -0.090551 0.558061
a_pos l_sep -0.089022 0.558965
a_pos l_pos -0.021831 0.552497
a_pos Rp_neg -0.089022 0.558965
a_pos Rp_pos -0.089022 0.558965
a_pos epsilon_f_neg -0.089018 0.558970
a_pos epsilon_f_pos -0.089041 0.558949
a_pos epsilon_neg -0.093202 0.558090
a_pos epsilon_sep -0.089022 0.558965
a_pos epsilon_pos -0.133835 0.519113
a_pos Cdl_neg 0.024997 0.598462
a_pos Cdl_pos -0.091270 0.552335
a_pos cs_max_neg -0.089022 0.558965
a_pos cs_max_pos -0.089022 0.558965
