Parameter S1 S1_conf ST ST_conf
a_neg 0.031917 0.034912 0.632642 0.583083
a_pos -0.028391 0.034527 0.011963 0.010865
l_neg 0.000366 0.000498 0.000219 0.000333
l_sep 0.000153 0.000138 0.000001 0.000001
l_pos -0.000046 0.000059 0.000000 0.000000
Rp_neg -0.006797 0.010869 0.247638 0.155398
Rp_pos -0.000045 0.002231 0.000278 0.000260
epsilon_f_neg -0.000000 0.000004 0.000000 0.000000
epsilon_f_pos -0.000017 0.000025 0.000000 0.000000
epsilon_neg 0.000703 0.014226 0.150133 0.080691
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.081811 0.050510 0.034976 0.028132
Cdl_neg 0.005372 0.006405 0.003272 0.003564
Cdl_pos -0.113853 0.106005 0.017077 0.009160
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.003808 0.013290 0.017521 0.024617
D 0.000576 0.001708 0.000207 0.000192
Ds_neg 0.017601 0.034472 0.812871 0.771188
Ds_pos 0.035821 0.048591 0.107510 0.134225
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.051601 0.092704 0.060781 0.060895
dUdcp_neg_mag 0.089052 0.059430 0.186783 0.122012
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.008285 0.010931 0.031431 0.017411
i0_pos 0.006707 0.206211 0.074061 0.040918
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.002798 0.012994 0.028928 0.031165
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.028374 0.098278 0.428981 0.479270
sigma_neg 0.000016 0.000037 0.000000 0.000000
sigma_pos 0.000031 0.000216 0.000004 0.000005

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.106530 0.068781
a_neg l_neg -0.124897 0.081298
a_neg l_sep -0.125108 0.081265
a_neg l_pos -0.125021 0.081264
a_neg Rp_neg -0.136217 0.077592
a_neg Rp_pos -0.125246 0.081275
a_neg epsilon_f_neg -0.125017 0.081264
a_neg epsilon_f_pos -0.125020 0.081263
a_neg epsilon_neg -0.140024 0.080965
a_neg epsilon_sep -0.125017 0.081264
a_neg epsilon_pos -0.091457 0.062210
a_neg Cdl_neg -0.126953 0.083326
a_neg Cdl_pos -0.059314 0.061740
a_neg cs_max_neg -0.125017 0.081264
a_neg cs_max_pos -0.125017 0.081264
a_neg c0 -0.123237 0.081771
a_neg D -0.125030 0.081289
a_neg Ds_neg -0.129015 0.078992
a_neg Ds_pos -0.118472 0.082448
a_neg d2Udcp2_pos_sgn -0.125017 0.081264
a_neg d2Udcp2_neg_sgn -0.125017 0.081264
a_neg d3Udcp3_pos_sgn -0.125017 0.081264
a_neg d3Udcp3_neg_sgn -0.125017 0.081264
a_neg dUdcp_pos_mag -0.121739 0.081434
a_neg dUdcp_neg_mag -0.169964 0.092404
a_neg d2Udcp2_pos_mag -0.125017 0.081264
a_neg d2Udcp2_neg_mag -0.125017 0.081264
a_neg d3Udcp3_pos_mag -0.125017 0.081264
a_neg d3Udcp3_neg_mag -0.125017 0.081264
a_neg i0_neg -0.128293 0.082148
a_neg i0_pos -0.040232 0.049715
a_neg SOC_neg -0.125017 0.081264
a_neg SOC_pos -0.125017 0.081264
a_neg tP -0.123082 0.081745
a_neg aa_neg -0.125017 0.081264
a_neg aa_pos -0.125017 0.081264
a_neg kappa_0 -0.091745 0.073414
a_neg sigma_neg -0.125006 0.081260
a_neg sigma_pos -0.125015 0.081257
a_pos l_neg 0.045813 0.043839
a_pos l_sep 0.045809 0.043840
a_pos l_pos 0.045845 0.043828
a_pos Rp_neg 0.062754 0.060104
a_pos Rp_pos 0.045391 0.043471
a_pos epsilon_f_neg 0.045815 0.043840
a_pos epsilon_f_pos 0.045816 0.043838
a_pos epsilon_neg 0.038975 0.042446
a_pos epsilon_sep 0.045812 0.043840
a_pos epsilon_pos 0.043319 0.039434
a_pos Cdl_neg 0.045113 0.043031
a_pos Cdl_pos 0.047038 0.044387
a_pos cs_max_neg 0.045812 0.043840
a_pos cs_max_pos 0.045812 0.043840
a_pos c0 0.049770 0.044711
a_pos D 0.045687 0.043949
a_pos Ds_neg 0.037424 0.044168
a_pos Ds_pos 0.063681 0.063343
a_pos d2Udcp2_pos_sgn 0.045812 0.043840
a_pos d2Udcp2_neg_sgn 0.045812 0.043840
a_pos d3Udcp3_pos_sgn 0.045812 0.043840
a_pos d3Udcp3_neg_sgn 0.045812 0.043840
a_pos dUdcp_pos_mag 0.058349 0.048160
a_pos dUdcp_neg_mag 0.038021 0.041270
a_pos d2Udcp2_pos_mag 0.045812 0.043840
a_pos d2Udcp2_neg_mag 0.045812 0.043840
a_pos d3Udcp3_pos_mag 0.045812 0.043840
a_pos d3Udcp3_neg_mag 0.045812 0.043840
a_pos i0_neg 0.043384 0.042837
a_pos i0_pos -0.060737 0.155975
a_pos SOC_neg 0.045812 0.043840
a_pos SOC_pos 0.045812 0.043840
a_pos tP 0.046059 0.044059
a_pos aa_neg 0.045812 0.043840
a_pos aa_pos 0.045812 0.043840
a_pos kappa_0 0.095972 0.088439
a_pos sigma_neg 0.045840 0.043842
a_pos sigma_pos 0.045821 0.043843
l_neg l_sep 0.000117 0.000950
l_neg l_pos 0.000119 0.000953
l_neg Rp_neg 0.000142 0.000946
l_neg Rp_pos 0.000117 0.000950
l_neg epsilon_f_neg 0.000117 0.000950
l_neg epsilon_f_pos 0.000117 0.000950
l_neg epsilon_neg -0.000046 0.000688
l_neg epsilon_sep 0.000117 0.000950
l_neg epsilon_pos 0.000059 0.000870
l_neg Cdl_neg 0.000425 0.001444
l_neg Cdl_pos 0.000111 0.000949
l_neg cs_max_neg 0.000117 0.000950
l_neg cs_max_pos 0.000117 0.000950
l_neg c0 0.000116 0.000954
l_neg D 0.000052 0.000852
l_neg Ds_neg 0.002291 0.004666
l_neg Ds_pos 0.000152 0.000961
l_neg d2Udcp2_pos_sgn 0.000117 0.000950
l_neg d2Udcp2_neg_sgn 0.000117 0.000950
l_neg d3Udcp3_pos_sgn 0.000117 0.000950
l_neg d3Udcp3_neg_sgn 0.000117 0.000950
l_neg dUdcp_pos_mag 0.000114 0.000956
l_neg dUdcp_neg_mag 0.000250 0.000949
l_neg d2Udcp2_pos_mag 0.000117 0.000950
l_neg d2Udcp2_neg_mag 0.000117 0.000950
l_neg d3Udcp3_pos_mag 0.000117 0.000950
