Parameter S1 S1_conf ST ST_conf
a_neg 0.075755 0.053368 0.155078 0.131142
a_pos -0.015802 0.048750 0.038114 0.028000
l_neg 0.000346 0.000401 0.000044 0.000064
l_sep -0.000003 0.000003 0.000000 0.000000
l_pos 0.000097 0.000173 0.000000 0.000000
Rp_neg -0.001521 0.002912 0.000580 0.000626
Rp_pos 0.000590 0.001370 0.000137 0.000174
epsilon_f_neg -0.000023 0.000034 0.000000 0.000000
epsilon_f_pos -0.000017 0.000015 0.000000 0.000000
epsilon_neg 0.088826 0.111130 0.051400 0.037644
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.082243 0.073478 0.085551 0.064624
Cdl_neg 0.024551 0.049345 0.059995 0.055249
Cdl_pos -0.032312 0.062872 0.043523 0.040173
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000001 0.000865 0.000188 0.000271
D 0.000481 0.000505 0.000001 0.000001
Ds_neg 0.012999 0.016797 0.028114 0.040799
Ds_pos 0.002276 0.005444 0.000806 0.000843
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.003696 0.007945 0.001778 0.001771
dUdcp_neg_mag -0.001274 0.003977 0.000887 0.000701
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.071230 0.088892 0.155677 0.139078
i0_pos 0.565568 0.370110 0.410595 0.134736
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000412 0.001323 0.000720 0.000964
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.059915 0.180449 0.488172 0.570109
sigma_neg 0.000068 0.000111 0.000000 0.000000
sigma_pos -0.000100 0.000173 0.000017 0.000023

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.129591 0.124279
a_neg l_neg -0.119290 0.123979
a_neg l_sep -0.119582 0.123944
a_neg l_pos -0.119662 0.123988
a_neg Rp_neg -0.121724 0.123718
a_neg Rp_pos -0.118875 0.123846
a_neg epsilon_f_neg -0.119589 0.123942
a_neg epsilon_f_pos -0.119599 0.123940
a_neg epsilon_neg -0.122676 0.137231
a_neg epsilon_sep -0.119584 0.123945
a_neg epsilon_pos -0.091689 0.101444
a_neg Cdl_neg -0.106143 0.135764
a_neg Cdl_pos -0.095335 0.111375
a_neg cs_max_neg -0.119584 0.123945
a_neg cs_max_pos -0.119584 0.123945
a_neg c0 -0.119132 0.123870
a_neg D -0.119853 0.124037
a_neg Ds_neg -0.119596 0.123792
a_neg Ds_pos -0.117591 0.123662
a_neg d2Udcp2_pos_sgn -0.119584 0.123945
a_neg d2Udcp2_neg_sgn -0.119584 0.123945
a_neg d3Udcp3_pos_sgn -0.119584 0.123945
a_neg d3Udcp3_neg_sgn -0.119584 0.123945
a_neg dUdcp_pos_mag -0.118019 0.123374
a_neg dUdcp_neg_mag -0.122588 0.124219
a_neg d2Udcp2_pos_mag -0.119584 0.123945
a_neg d2Udcp2_neg_mag -0.119584 0.123945
a_neg d3Udcp3_pos_mag -0.119584 0.123945
a_neg d3Udcp3_neg_mag -0.119584 0.123945
a_neg i0_neg -0.116450 0.127102
a_neg i0_pos -0.042618 0.102425
a_neg SOC_neg -0.119584 0.123945
a_neg SOC_pos -0.119584 0.123945
a_neg tP -0.118704 0.123742
a_neg aa_neg -0.119584 0.123945
a_neg aa_pos -0.119584 0.123945
a_neg kappa_0 -0.040566 0.132496
a_neg sigma_neg -0.119570 0.123951
a_neg sigma_pos -0.119725 0.123904
a_pos l_neg 0.093905 0.168958
a_pos l_sep 0.093948 0.168974
a_pos l_pos 0.093982 0.168963
a_pos Rp_neg 0.098862 0.173077
a_pos Rp_pos 0.095363 0.171101
a_pos epsilon_f_neg 0.093958 0.168987
a_pos epsilon_f_pos 0.093941 0.168964
a_pos epsilon_neg 0.073093 0.160694
a_pos epsilon_sep 0.093948 0.168974
a_pos epsilon_pos 0.068588 0.136162
a_pos Cdl_neg 0.071949 0.151946
a_pos Cdl_pos 0.111023 0.190741
a_pos cs_max_neg 0.093948 0.168974
a_pos cs_max_pos 0.093948 0.168974
a_pos c0 0.094101 0.169292
a_pos D 0.093777 0.169019
a_pos Ds_neg 0.096327 0.170593
a_pos Ds_pos 0.093009 0.168912
a_pos d2Udcp2_pos_sgn 0.093948 0.168974
a_pos d2Udcp2_neg_sgn 0.093948 0.168974
a_pos d3Udcp3_pos_sgn 0.093948 0.168974
a_pos d3Udcp3_neg_sgn 0.093948 0.168974
a_pos dUdcp_pos_mag 0.086043 0.158455
a_pos dUdcp_neg_mag 0.092092 0.167202
a_pos d2Udcp2_pos_mag 0.093948 0.168974
a_pos d2Udcp2_neg_mag 0.093948 0.168974
a_pos d3Udcp3_pos_mag 0.093948 0.168974
a_pos d3Udcp3_neg_mag 0.093948 0.168974
a_pos i0_neg 0.110018 0.174466
a_pos i0_pos -0.166616 0.622091
a_pos SOC_neg 0.093948 0.168974
a_pos SOC_pos 0.093948 0.168974
a_pos tP 0.093495 0.168988
a_pos aa_neg 0.093948 0.168974
a_pos aa_pos 0.093948 0.168974
a_pos kappa_0 0.361051 0.492636
a_pos sigma_neg 0.093997 0.169017
a_pos sigma_pos 0.093988 0.169009
l_neg l_sep 0.002163 0.003671
l_neg l_pos 0.002164 0.003671
l_neg Rp_neg 0.002167 0.003675
l_neg Rp_pos 0.002163 0.003671
l_neg epsilon_f_neg 0.002163 0.003671
l_neg epsilon_f_pos 0.002163 0.003671
l_neg epsilon_neg 0.000905 0.001823
l_neg epsilon_sep 0.002163 0.003671
l_neg epsilon_pos 0.002139 0.003634
l_neg Cdl_neg 0.004255 0.006761
l_neg Cdl_pos 0.002157 0.003668
l_neg cs_max_neg 0.002163 0.003671
l_neg cs_max_pos 0.002163 0.003671
l_neg c0 0.002164 0.003672
l_neg D 0.002158 0.003663
l_neg Ds_neg 0.002324 0.003907
l_neg Ds_pos 0.002165 0.003673
l_neg d2Udcp2_pos_sgn 0.002163 0.003671
l_neg d2Udcp2_neg_sgn 0.002163 0.003671
l_neg d3Udcp3_pos_sgn 0.002163 0.003671
l_neg d3Udcp3_neg_sgn 0.002163 0.003671
l_neg dUdcp_pos_mag 0.002165 0.003673
l_neg dUdcp_neg_mag 0.002165 0.003662
l_neg d2Udcp2_pos_mag 0.002163 0.003671
l_neg d2Udcp2_neg_mag 0.002163 0.003671
l_neg d3Udcp3_pos_mag 0.002163 0.003671
l_neg d3Udcp3_neg_mag 0.002163 0.003671
l_neg i0_neg 0.000906 0.001849
l_neg i0_pos 0.004338 0.006831
l_neg SOC_neg 0.002163 0.003671
l_neg SOC_pos 0.002163 0.003671
l_neg tP 0.002169 0.003679
l_neg aa_neg 0.002163 0.003671
l_neg aa_pos 0.002163 0.003671
l_neg kappa_0 0.000381 0.001086
l_neg sigma_neg 0.002164 0.003672
l_neg sigma_pos 0.002163 0.003671
l_sep l_pos 0.000003 0.000004
l_sep Rp_neg 0.000003 0.000004
l_sep Rp_pos 0.000003 0.000004
l_sep epsilon_f_neg 0.000003 0.000004
l_sep epsilon_f_pos 0.000003 0.000004
l_sep epsilon_neg 0.000003 0.000004
l_sep epsilon_sep 0.000003 0.000004
l_sep epsilon_pos 0.000003 0.000004
l_sep Cdl_neg 0.000003 0.000004
l_sep Cdl_pos 0.000003 0.000004
l_sep cs_max_neg 0.000003 0.000004
l_sep cs_max_pos 0.000003 0.000004
l_sep c0 0.000003 0.000004
l_sep D 0.000003 0.000004
l_sep Ds_neg 0.000003 0.000004
l_sep Ds_pos 0.000003 0.000004
l_sep d2Udcp2_pos_sgn 0.000003 0.000004
l_sep d2Udcp2_neg_sgn 0.000003 0.000004
l_sep d3Udcp3_pos_sgn 0.000003 0.000004
l_sep d3Udcp3_neg_sgn 0.000003 0.000004
l_sep dUdcp_pos_mag 0.000003 0.000004
l_sep dUdcp_neg_mag 0.000003 0.000004
l_sep d2Udcp2_pos_mag 0.000003 0.000004
l_sep d2Udcp2_neg_mag 0.000003 0.000004
l_sep d3Udcp3_pos_mag 0.000003 0.000004
l_sep d3Udcp3_neg_mag 0.000003 0.000004
l_sep i0_neg 0.000003 0.000004
l_sep i0_pos 0.000003 0.000004
l_sep SOC_neg 0.000003 0.000004
l_sep SOC_pos 0.000003 0.000004
l_sep tP 0.000003 0.000004
l_sep aa_neg 0.000003 0.000004
l_sep aa_pos 0.000003 0.000004
l_sep kappa_0 0.000003 0.000004
l_sep sigma_neg 0.000003 0.000004
l_sep sigma_pos 0.000003 0.000004
l_pos Rp_neg -0.000580 0.000225
l_pos Rp_pos -0.000582 0.000226
l_pos epsilon_f_neg -0.000579 0.000225
l_pos epsilon_f_pos -0.000579 0.000225
l_pos epsilon_neg -0.000667 0.000274
l_pos epsilon_sep -0.000579 0.000225
l_pos epsilon_pos -0.000579 0.000213
l_pos Cdl_neg -0.000387 0.000153
l_pos Cdl_pos -0.000582 0.000225
l_pos cs_max_neg -0.000579 0.000225
l_pos cs_max_pos -0.000579 0.000225
l_pos c0 -0.000580 0.000227
l_pos D -0.000582 0.000226
l_pos Ds_neg -0.000587 0.000229
l_pos Ds_pos -0.000578 0.000223
l_pos d2Udcp2_pos_sgn -0.000579 0.000225
l_pos d2Udcp2_neg_sgn -0.000579 0.000225
l_pos d3Udcp3_pos_sgn -0.000579 0.000225
l_pos d3Udcp3_neg_sgn -0.000579 0.000225
l_pos dUdcp_pos_mag -0.000580 0.000226
l_pos dUdcp_neg_mag -0.000579 0.000217
l_pos d2Udcp2_pos_mag -0.000579 0.000225
l_pos d2Udcp2_neg_mag -0.000579 0.000225
l_pos d3Udcp3_pos_mag -0.000579 0.000225
l_pos d3Udcp3_neg_mag -0.000579 0.000225
l_pos i0_neg -0.000571 0.000225
l_pos i0_pos -0.008765 0.005166
l_pos SOC_neg -0.000579 0.000225
l_pos SOC_pos -0.000579 0.000225
l_pos tP -0.000582 0.000227
l_pos aa_neg -0.000579 0.000225
l_pos aa_pos -0.000579 0.000225
l_pos kappa_0 -0.000394 0.000150
