Parameter S1 S1_conf ST ST_conf
a_neg 0.233619 0.168826 0.340867 0.156203
a_pos -0.093483 0.112640 0.142481 0.062203
l_neg -0.000459 0.000373 0.000003 0.000004
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000184 0.001056 0.000005 0.000004
Rp_neg -0.000150 0.000211 0.000005 0.000006
Rp_pos -0.000067 0.000316 0.000001 0.000000
epsilon_f_neg -0.000025 0.000034 0.000000 0.000000
epsilon_f_pos -0.000041 0.000035 0.000000 0.000000
epsilon_neg 0.115586 0.153944 0.199526 0.071151
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.034391 0.106589 0.251645 0.127660
Cdl_neg -0.040128 0.029140 0.031547 0.012244
Cdl_pos 0.034259 0.072055 0.029025 0.018726
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000283 0.000277 0.000004 0.000003
D 0.000106 0.000101 0.000000 0.000000
Ds_neg 0.000881 0.001126 0.000150 0.000186
Ds_pos -0.000242 0.000553 0.000003 0.000003
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000490 0.000495 0.000002 0.000001
dUdcp_neg_mag 0.000100 0.000281 0.000008 0.000009
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.011855 0.063720 0.053375 0.026249
i0_pos 0.087750 0.135676 0.302696 0.119718
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000467 0.000404 0.000015 0.000015
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.350451 0.463172 1.425552 1.000210
sigma_neg 0.000097 0.000145 0.000001 0.000000
sigma_pos -0.000113 0.000413 0.000010 0.000007

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.207170 0.249858
a_neg l_neg -0.172923 0.256098
a_neg l_sep -0.172706 0.256156
a_neg l_pos -0.173033 0.256237
a_neg Rp_neg -0.172743 0.256157
a_neg Rp_pos -0.172416 0.256069
a_neg epsilon_f_neg -0.172702 0.256154
a_neg epsilon_f_pos -0.172754 0.256153
a_neg epsilon_neg -0.232423 0.286837
a_neg epsilon_sep -0.172706 0.256156
a_neg epsilon_pos -0.204806 0.240860
a_neg Cdl_neg -0.168526 0.256069
a_neg Cdl_pos -0.201832 0.269855
a_neg cs_max_neg -0.172706 0.256156
a_neg cs_max_pos -0.172706 0.256156
a_neg c0 -0.172479 0.256046
a_neg D -0.172787 0.256201
a_neg Ds_neg -0.172629 0.256159
a_neg Ds_pos -0.172377 0.255981
a_neg d2Udcp2_pos_sgn -0.172706 0.256156
a_neg d2Udcp2_neg_sgn -0.172706 0.256156
a_neg d3Udcp3_pos_sgn -0.172706 0.256156
a_neg d3Udcp3_neg_sgn -0.172706 0.256156
a_neg dUdcp_pos_mag -0.172398 0.255974
a_neg dUdcp_neg_mag -0.172713 0.256158
a_neg d2Udcp2_pos_mag -0.172706 0.256156
a_neg d2Udcp2_neg_mag -0.172706 0.256156
a_neg d3Udcp3_pos_mag -0.172706 0.256156
a_neg d3Udcp3_neg_mag -0.172706 0.256156
a_neg i0_neg -0.214327 0.253150
a_neg i0_pos -0.124155 0.262059
a_neg SOC_neg -0.172706 0.256156
a_neg SOC_pos -0.172706 0.256156
a_neg tP -0.172345 0.256018
a_neg aa_neg -0.172706 0.256156
a_neg aa_pos -0.172706 0.256156
a_neg kappa_0 0.101736 0.326273
a_neg sigma_neg -0.172688 0.256169
a_neg sigma_pos -0.173103 0.256182
a_pos l_neg 0.306283 0.335839
a_pos l_sep 0.306263 0.335844
a_pos l_pos 0.306612 0.335723
a_pos Rp_neg 0.306193 0.335843
a_pos Rp_pos 0.306499 0.336071
a_pos epsilon_f_neg 0.306272 0.335856
a_pos epsilon_f_pos 0.306246 0.335816
a_pos epsilon_neg 0.282967 0.330481
a_pos epsilon_sep 0.306263 0.335844
a_pos epsilon_pos 0.214466 0.250041
a_pos Cdl_neg 0.274768 0.324527
a_pos Cdl_pos 0.283897 0.322501
a_pos cs_max_neg 0.306263 0.335844
a_pos cs_max_pos 0.306263 0.335844
