Parameter S1 S1_conf ST ST_conf
a_neg 0.305194 0.186948 0.339049 0.125270
a_pos 0.151889 0.283947 0.304930 0.144831
l_neg -0.000822 0.000370 0.000004 0.000002
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.003672 0.011880 0.000550 0.000422
Rp_neg -0.000000 0.000003 0.000000 0.000000
Rp_pos -0.000025 0.000018 0.000000 0.000000
epsilon_f_neg -0.000020 0.000025 0.000000 0.000000
epsilon_f_pos -0.000032 0.000071 0.000000 0.000000
epsilon_neg 0.110085 0.147988 0.216870 0.072267
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.132733 0.141126 0.230863 0.102658
Cdl_neg -0.046732 0.058655 0.072616 0.024166
Cdl_pos 0.034445 0.085874 0.070994 0.046610
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000220 0.000182 0.000001 0.000001
D 0.000004 0.000006 0.000000 0.000000
Ds_neg -0.000016 0.000018 0.000000 0.000000
Ds_pos 0.000002 0.000008 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000056 0.000075 0.000000 0.000000
dUdcp_neg_mag -0.000009 0.000006 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.025845 0.025283 0.004112 0.002255
i0_pos 0.015232 0.061103 0.037091 0.015326
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000342 0.000228 0.000006 0.000005
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.221849 0.404895 1.238111 0.831015
sigma_neg 0.000233 0.000173 0.000001 0.000000
sigma_pos -0.000559 0.000729 0.000007 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.281229 0.317468
a_neg l_neg -0.195263 0.293187
a_neg l_sep -0.195260 0.293201
a_neg l_pos -0.195773 0.293134
a_neg Rp_neg -0.195261 0.293201
a_neg Rp_pos -0.195243 0.293198
a_neg epsilon_f_neg -0.195243 0.293202
a_neg epsilon_f_pos -0.195403 0.293193
a_neg epsilon_neg -0.077214 0.374722
a_neg epsilon_sep -0.195260 0.293201
a_neg epsilon_pos -0.203420 0.294627
a_neg Cdl_neg -0.161150 0.298780
a_neg Cdl_pos -0.213129 0.300521
a_neg cs_max_neg -0.195260 0.293201
a_neg cs_max_pos -0.195260 0.293201
a_neg c0 -0.195180 0.293168
a_neg D -0.195262 0.293203
a_neg Ds_neg -0.195273 0.293201
a_neg Ds_pos -0.195264 0.293203
a_neg d2Udcp2_pos_sgn -0.195260 0.293201
a_neg d2Udcp2_neg_sgn -0.195260 0.293201
a_neg d3Udcp3_pos_sgn -0.195260 0.293201
a_neg d3Udcp3_neg_sgn -0.195260 0.293201
a_neg dUdcp_pos_mag -0.195273 0.293196
a_neg dUdcp_neg_mag -0.195260 0.293201
a_neg d2Udcp2_pos_mag -0.195260 0.293201
a_neg d2Udcp2_neg_mag -0.195260 0.293201
a_neg d3Udcp3_pos_mag -0.195260 0.293201
a_neg d3Udcp3_neg_mag -0.195260 0.293201
a_neg i0_neg -0.203181 0.291512
a_neg i0_pos -0.175080 0.295790
a_neg SOC_neg -0.195260 0.293201
a_neg SOC_pos -0.195260 0.293201
a_neg tP -0.195100 0.293162
a_neg aa_neg -0.195260 0.293201
a_neg aa_pos -0.195260 0.293201
a_neg kappa_0 0.027141 0.322915
a_neg sigma_neg -0.195194 0.293239
a_neg sigma_pos -0.196033 0.292969
a_pos l_neg 0.080278 0.437785
a_pos l_sep 0.080291 0.437818
a_pos l_pos 0.085111 0.434770
a_pos Rp_neg 0.080290 0.437818
a_pos Rp_pos 0.080289 0.437816
a_pos epsilon_f_neg 0.080295 0.437823
a_pos epsilon_f_pos 0.080276 0.437800
a_pos epsilon_neg 0.060047 0.438012
a_pos epsilon_sep 0.080291 0.437818
a_pos epsilon_pos 0.118243 0.438902
a_pos Cdl_neg 0.128073 0.452545
a_pos Cdl_pos 0.065505 0.428847
a_pos cs_max_neg 0.080291 0.437818
a_pos cs_max_pos 0.080291 0.437818
a_pos c0 0.080310 0.437827
a_pos D 0.080288 0.437818
a_pos Ds_neg 0.080287 0.437818
a_pos Ds_pos 0.080292 0.437818
a_pos d2Udcp2_pos_sgn 0.080291 0.437818
a_pos d2Udcp2_neg_sgn 0.080291 0.437818
a_pos d3Udcp3_pos_sgn 0.080291 0.437818
a_pos d3Udcp3_neg_sgn 0.080291 0.437818
a_pos dUdcp_pos_mag 0.080300 0.437819
a_pos dUdcp_neg_mag 0.080291 0.437818
a_pos d2Udcp2_pos_mag 0.080291 0.437818
a_pos d2Udcp2_neg_mag 0.080291 0.437818
a_pos d3Udcp3_pos_mag 0.080291 0.437818
a_pos d3Udcp3_neg_mag 0.080291 0.437818
a_pos i0_neg 0.084174 0.437860
a_pos i0_pos 0.038786 0.438752
a_pos SOC_neg 0.080291 0.437818
a_pos SOC_pos 0.080291 0.437818
a_pos tP 0.080137 0.437829
a_pos aa_neg 0.080291 0.437818
a_pos aa_pos 0.080291 0.437818
a_pos kappa_0 0.517758 0.774920
a_pos sigma_neg 0.080341 0.437831
a_pos sigma_pos 0.080399 0.437817
l_neg l_sep 0.000491 0.000782
l_neg l_pos 0.000496 0.000783
l_neg Rp_neg 0.000491 0.000782
l_neg Rp_pos 0.000491 0.000782
l_neg epsilon_f_neg 0.000491 0.000782
l_neg epsilon_f_pos 0.000491 0.000782
l_neg epsilon_neg 0.000375 0.000859
l_neg epsilon_sep 0.000491 0.000782
l_neg epsilon_pos 0.000763 0.000643
l_neg Cdl_neg 0.000462 0.000772
l_neg Cdl_pos 0.000583 0.000739
l_neg cs_max_neg 0.000491 0.000782
l_neg cs_max_pos 0.000491 0.000782
l_neg c0 0.000491 0.000782
l_neg D 0.000491 0.000782
l_neg Ds_neg 0.000491 0.000782
l_neg Ds_pos 0.000491 0.000782
l_neg d2Udcp2_pos_sgn 0.000491 0.000782
l_neg d2Udcp2_neg_sgn 0.000491 0.000782
l_neg d3Udcp3_pos_sgn 0.000491 0.000782
l_neg d3Udcp3_neg_sgn 0.000491 0.000782
l_neg dUdcp_pos_mag 0.000491 0.000782
l_neg dUdcp_neg_mag 0.000491 0.000782
l_neg d2Udcp2_pos_mag 0.000491 0.000782
l_neg d2Udcp2_neg_mag 0.000491 0.000782
l_neg d3Udcp3_pos_mag 0.000491 0.000782
l_neg d3Udcp3_neg_mag 0.000491 0.000782
l_neg i0_neg 0.000461 0.000775
l_neg i0_pos 0.000453 0.000778
l_neg SOC_neg 0.000491 0.000782
l_neg SOC_pos 0.000491 0.000782
l_neg tP 0.000491 0.000782
l_neg aa_neg 0.000491 0.000782
l_neg aa_pos 0.000491 0.000782
l_neg kappa_0 -0.001179 0.002205
l_neg sigma_neg 0.000490 0.000782
l_neg sigma_pos 0.000493 0.000782
l_sep l_pos 0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos 0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos 0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep 0.000000 0.000000
l_sep epsilon_pos 0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos 0.000000 0.000000
l_sep cs_max_neg 0.000000 0.000000
l_sep cs_max_pos 0.000000 0.000000
l_sep c0 0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn 0.000000 0.000000
l_sep d2Udcp2_neg_sgn 0.000000 0.000000
l_sep d3Udcp3_pos_sgn 0.000000 0.000000
l_sep d3Udcp3_neg_sgn 0.000000 0.000000
l_sep dUdcp_pos_mag 0.000000 0.000000
l_sep dUdcp_neg_mag 0.000000 0.000000
l_sep d2Udcp2_pos_mag 0.000000 0.000000
l_sep d2Udcp2_neg_mag 0.000000 0.000000
l_sep d3Udcp3_pos_mag 0.000000 0.000000
l_sep d3Udcp3_neg_mag 0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos 0.000000 0.000000
l_sep SOC_neg 0.000000 0.000000
l_sep SOC_pos 0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg 0.000000 0.000000
l_sep aa_pos 0.000000 0.000000
l_sep kappa_0 -0.000000 0.000000
l_sep sigma_neg 0.000000 0.000000
l_sep sigma_pos 0.000000 0.000000
l_pos Rp_neg 0.000814 0.012306
l_pos Rp_pos 0.000814 0.012306
l_pos epsilon_f_neg 0.000814 0.012306
l_pos epsilon_f_pos 0.000816 0.012306
l_pos epsilon_neg 0.001183 0.012200
l_pos epsilon_sep 0.000814 0.012306
l_pos epsilon_pos -0.002606 0.013418
l_pos Cdl_neg 0.000144 0.012477
l_pos Cdl_pos 0.000691 0.012308
l_pos cs_max_neg 0.000814 0.012306
l_pos cs_max_pos 0.000814 0.012306
l_pos c0 0.000817 0.012305
l_pos D 0.000814 0.012306
l_pos Ds_neg 0.000814 0.012306
l_pos Ds_pos 0.000814 0.012306
l_pos d2Udcp2_pos_sgn 0.000814 0.012306
l_pos d2Udcp2_neg_sgn 0.000814 0.012306
l_pos d3Udcp3_pos_sgn 0.000814 0.012306
l_pos d3Udcp3_neg_sgn 0.000814 0.012306
l_pos dUdcp_pos_mag 0.000814 0.012306
l_pos dUdcp_neg_mag 0.000814 0.012306
l_pos d2Udcp2_pos_mag 0.000814 0.012306
l_pos d2Udcp2_neg_mag 0.000814 0.012306
l_pos d3Udcp3_pos_mag 0.000814 0.012306
l_pos d3Udcp3_neg_mag 0.000814 0.012306
l_pos i0_neg 0.000811 0.012307
l_pos i0_pos 0.000855 0.012274
l_pos SOC_neg 0.000814 0.012306
l_pos SOC_pos 0.000814 0.012306
l_pos tP 0.000817 0.012305
l_pos aa_neg 0.000814 0.012306
l_pos aa_pos 0.000814 0.012306
l_pos kappa_0 -0.002064 0.013701
l_pos sigma_neg 0.000815 0.012306
l_pos sigma_pos 0.000820 0.012305
Rp_neg Rp_pos 0.000006 0.000005
Rp_neg epsilon_f_neg 0.000006 0.000005
Rp_neg epsilon_f_pos 0.000006 0.000005
Rp_neg epsilon_neg 0.000005 0.000004
Rp_neg epsilon_sep 0.000006 0.000005
Rp_neg epsilon_pos 0.000005 0.000005
Rp_neg Cdl_neg 0.000005 0.000005
Rp_neg Cdl_pos 0.000006 0.000005
Rp_neg cs_max_neg 0.000006 0.000005
Rp_neg cs_max_pos 0.000006 0.000005
Rp_neg c0 0.000006 0.000005
Rp_neg D 0.000006 0.000005
Rp_neg Ds_neg 0.000006 0.000005
Rp_neg Ds_pos 0.000006 0.000005
Rp_neg d2Udcp2_pos_sgn 0.000006 0.000005
Rp_neg d2Udcp2_neg_sgn 0.000006 0.000005
Rp_neg d3Udcp3_pos_sgn 0.000006 0.000005
Rp_neg d3Udcp3_neg_sgn 0.000006 0.000005
Rp_neg dUdcp_pos_mag 0.000006 0.000005
Rp_neg dUdcp_neg_mag 0.000006 0.000005
Rp_neg d2Udcp2_pos_mag 0.000006 0.000005
Rp_neg d2Udcp2_neg_mag 0.000006 0.000005
Rp_neg d3Udcp3_pos_mag 0.000006 0.000005
Rp_neg d3Udcp3_neg_mag 0.000006 0.000005
Rp_neg i0_neg 0.000005 0.000005
Rp_neg i0_pos 0.000006 0.000005
Rp_neg SOC_neg 0.000006 0.000005
Rp_neg SOC_pos 0.000006 0.000005
Rp_neg tP 0.000006 0.000005
Rp_neg aa_neg 0.000006 0.000005
Rp_neg aa_pos 0.000006 0.000005
Rp_neg kappa_0 0.000005 0.000005
Rp_neg sigma_neg 0.000006 0.000005
Rp_neg sigma_pos 0.000006 0.000005
Rp_pos epsilon_f_neg 0.000012 0.000022
Rp_pos epsilon_f_pos 0.000012 0.000022
Rp_pos epsilon_neg 0.000014 0.000022
Rp_pos epsilon_sep 0.000012 0.000022
Rp_pos epsilon_pos 0.000019 0.000019
Rp_pos Cdl_neg 0.000012 0.000022
Rp_pos Cdl_pos -0.000005 0.000033
Rp_pos cs_max_neg 0.000012 0.000022
Rp_pos cs_max_pos 0.000012 0.000022
Rp_pos c0 0.000012 0.000022
Rp_pos D 0.000012 0.000022
Rp_pos Ds_neg 0.000012 0.000022
Rp_pos Ds_pos 0.000012 0.000022
Rp_pos d2Udcp2_pos_sgn 0.000012 0.000022
Rp_pos d2Udcp2_neg_sgn 0.000012 0.000022
Rp_pos d3Udcp3_pos_sgn 0.000012 0.000022
Rp_pos d3Udcp3_neg_sgn 0.000012 0.000022
Rp_pos dUdcp_pos_mag 0.000012 0.000022
Rp_pos dUdcp_neg_mag 0.000012 0.000022
Rp_pos d2Udcp2_pos_mag 0.000012 0.000022
Rp_pos d2Udcp2_neg_mag 0.000012 0.000022
Rp_pos d3Udcp3_pos_mag 0.000012 0.000022
Rp_pos d3Udcp3_neg_mag 0.000012 0.000022
Rp_pos i0_neg 0.000013 0.000022
Rp_pos i0_pos 0.000014 0.000021
Rp_pos SOC_neg 0.000012 0.000022
Rp_pos SOC_pos 0.000012 0.000022
Rp_pos tP 0.000012 0.000022
Rp_pos aa_neg 0.000012 0.000022
Rp_pos aa_pos 0.000012 0.000022
Rp_pos kappa_0 0.000015 0.000020
Rp_pos sigma_neg 0.000012 0.000022
Rp_pos sigma_pos 0.000012 0.000022
epsilon_f_neg epsilon_f_pos 0.000006 0.000034
epsilon_f_neg epsilon_neg 0.000014 0.000032
epsilon_f_neg epsilon_sep 0.000006 0.000034
epsilon_f_neg epsilon_pos 0.000002 0.000033
epsilon_f_neg Cdl_neg -0.000003 0.000037
epsilon_f_neg Cdl_pos -0.000001 0.000034
epsilon_f_neg cs_max_neg 0.000006 0.000034
epsilon_f_neg cs_max_pos 0.000006 0.000034
epsilon_f_neg c0 0.000006 0.000034
epsilon_f_neg D 0.000006 0.000034
epsilon_f_neg Ds_neg 0.000006 0.000034
epsilon_f_neg Ds_pos 0.000006 0.000034
epsilon_f_neg d2Udcp2_pos_sgn 0.000006 0.000034
epsilon_f_neg d2Udcp2_neg_sgn 0.000006 0.000034
epsilon_f_neg d3Udcp3_pos_sgn 0.000006 0.000034
epsilon_f_neg d3Udcp3_neg_sgn 0.000006 0.000034
epsilon_f_neg dUdcp_pos_mag 0.000006 0.000034
epsilon_f_neg dUdcp_neg_mag 0.000006 0.000034
epsilon_f_neg d2Udcp2_pos_mag 0.000006 0.000034
epsilon_f_neg d2Udcp2_neg_mag 0.000006 0.000034
epsilon_f_neg d3Udcp3_pos_mag 0.000006 0.000034
epsilon_f_neg d3Udcp3_neg_mag 0.000006 0.000034
epsilon_f_neg i0_neg 0.000006 0.000033
epsilon_f_neg i0_pos 0.000004 0.000034
epsilon_f_neg SOC_neg 0.000006 0.000034
epsilon_f_neg SOC_pos 0.000006 0.000034
epsilon_f_neg tP 0.000006 0.000034
epsilon_f_neg aa_neg 0.000006 0.000034
epsilon_f_neg aa_pos 0.000006 0.000034
epsilon_f_neg kappa_0 0.000010 0.000030
epsilon_f_neg sigma_neg 0.000006 0.000034
epsilon_f_neg sigma_pos 0.000006 0.000034
epsilon_f_pos epsilon_neg 0.000477 0.000282
epsilon_f_pos epsilon_sep 0.000317 0.000154
epsilon_f_pos epsilon_pos 0.000307 0.000148
epsilon_f_pos Cdl_neg 0.000272 0.000143
epsilon_f_pos Cdl_pos 0.000328 0.000160
epsilon_f_pos cs_max_neg 0.000317 0.000154
epsilon_f_pos cs_max_pos 0.000317 0.000154
epsilon_f_pos c0 0.000317 0.000154
epsilon_f_pos D 0.000317 0.000154
epsilon_f_pos Ds_neg 0.000317 0.000154
epsilon_f_pos Ds_pos 0.000317 0.000154
epsilon_f_pos d2Udcp2_pos_sgn 0.000317 0.000154
epsilon_f_pos d2Udcp2_neg_sgn 0.000317 0.000154
epsilon_f_pos d3Udcp3_pos_sgn 0.000317 0.000154
epsilon_f_pos d3Udcp3_neg_sgn 0.000317 0.000154
epsilon_f_pos dUdcp_pos_mag 0.000317 0.000154
epsilon_f_pos dUdcp_neg_mag 0.000317 0.000154
epsilon_f_pos d2Udcp2_pos_mag 0.000317 0.000154
epsilon_f_pos d2Udcp2_neg_mag 0.000317 0.000154
epsilon_f_pos d3Udcp3_pos_mag 0.000317 0.000154
epsilon_f_pos d3Udcp3_neg_mag 0.000317 0.000154
epsilon_f_pos i0_neg 0.000311 0.000152
epsilon_f_pos i0_pos 0.000347 0.000161
epsilon_f_pos SOC_neg 0.000317 0.000154
epsilon_f_pos SOC_pos 0.000317 0.000154
epsilon_f_pos tP 0.000317 0.000154
epsilon_f_pos aa_neg 0.000317 0.000154
epsilon_f_pos aa_pos 0.000317 0.000154
epsilon_f_pos kappa_0 0.000235 0.000137
epsilon_f_pos sigma_neg 0.000317 0.000154
epsilon_f_pos sigma_pos 0.000315 0.000153
epsilon_neg epsilon_sep -0.067719 0.218894
epsilon_neg epsilon_pos -0.031273 0.213056
epsilon_neg Cdl_neg -0.047283 0.219327
epsilon_neg Cdl_pos -0.097297 0.248508
epsilon_neg cs_max_neg -0.067719 0.218894
epsilon_neg cs_max_pos -0.067719 0.218894
epsilon_neg c0 -0.067763 0.218889
epsilon_neg D -0.067722 0.218894
epsilon_neg Ds_neg -0.067738 0.218894
epsilon_neg Ds_pos -0.067723 0.218894
epsilon_neg d2Udcp2_pos_sgn -0.067719 0.218894
epsilon_neg d2Udcp2_neg_sgn -0.067719 0.218894
epsilon_neg d3Udcp3_pos_sgn -0.067719 0.218894
epsilon_neg d3Udcp3_neg_sgn -0.067719 0.218894
epsilon_neg dUdcp_pos_mag -0.067725 0.218891
epsilon_neg dUdcp_neg_mag -0.067722 0.218894
epsilon_neg d2Udcp2_pos_mag -0.067719 0.218894
epsilon_neg d2Udcp2_neg_mag -0.067719 0.218894
epsilon_neg d3Udcp3_pos_mag -0.067719 0.218894
epsilon_neg d3Udcp3_neg_mag -0.067719 0.218894
epsilon_neg i0_neg -0.073103 0.217601
epsilon_neg i0_pos -0.066725 0.222754
epsilon_neg SOC_neg -0.067719 0.218894
epsilon_neg SOC_pos -0.067719 0.218894
epsilon_neg tP -0.067780 0.218892
epsilon_neg aa_neg -0.067719 0.218894
epsilon_neg aa_pos -0.067719 0.218894
epsilon_neg kappa_0 -0.007192 0.215622
epsilon_neg sigma_neg -0.067756 0.218938
epsilon_neg sigma_pos -0.067762 0.218868
