Parameter S1 S1_conf ST ST_conf
a_neg 0.475122 0.248572 0.488152 0.195077
a_pos 0.244065 0.380656 0.481551 0.273088
l_neg -0.008130 0.004181 0.000327 0.000185
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.026109 0.046791 0.009371 0.005271
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000019 0.000024 0.000000 0.000000
epsilon_f_pos -0.000030 0.000087 0.000000 0.000000
epsilon_neg 0.125341 0.146841 0.268635 0.103045
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.088629 0.135314 0.136320 0.045797
Cdl_neg -0.043820 0.087545 0.160275 0.063230
Cdl_pos 0.105439 0.102412 0.142165 0.091230
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000289 0.000236 0.000002 0.000002
D 0.000000 0.000003 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000001 0.000002 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001924 0.002957 0.000285 0.000278
i0_pos 0.006041 0.009169 0.002084 0.001630
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000410 0.000250 0.000005 0.000004
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.155562 0.386509 1.110946 0.773349
sigma_neg 0.000244 0.000182 0.000001 0.000000
sigma_pos -0.000364 0.000849 0.000009 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.455168 0.389753
a_neg l_neg -0.352918 0.351115
a_neg l_sep -0.354525 0.351165
a_neg l_pos -0.350516 0.348880
a_neg Rp_neg -0.354525 0.351165
a_neg Rp_pos -0.354526 0.351165
a_neg epsilon_f_neg -0.354506 0.351167
a_neg epsilon_f_pos -0.354745 0.351156
a_neg epsilon_neg -0.186835 0.447651
a_neg epsilon_sep -0.354525 0.351165
a_neg epsilon_pos -0.355275 0.352568
a_neg Cdl_neg -0.266706 0.356066
a_neg Cdl_pos -0.404679 0.368126
a_neg cs_max_neg -0.354525 0.351165
a_neg cs_max_pos -0.354525 0.351165
a_neg c0 -0.354465 0.351150
a_neg D -0.354525 0.351166
a_neg Ds_neg -0.354525 0.351165
a_neg Ds_pos -0.354525 0.351165
a_neg d2Udcp2_pos_sgn -0.354525 0.351165
a_neg d2Udcp2_neg_sgn -0.354525 0.351165
a_neg d3Udcp3_pos_sgn -0.354525 0.351165
a_neg d3Udcp3_neg_sgn -0.354525 0.351165
a_neg dUdcp_pos_mag -0.354525 0.351165
a_neg dUdcp_neg_mag -0.354525 0.351165
a_neg d2Udcp2_pos_mag -0.354525 0.351165
a_neg d2Udcp2_neg_mag -0.354525 0.351165
a_neg d3Udcp3_pos_mag -0.354525 0.351165
a_neg d3Udcp3_neg_mag -0.354525 0.351165
a_neg i0_neg -0.357933 0.351644
a_neg i0_pos -0.347452 0.351675
a_neg SOC_neg -0.354525 0.351165
a_neg SOC_pos -0.354525 0.351165
a_neg tP -0.354383 0.351146
a_neg aa_neg -0.354525 0.351165
a_neg aa_pos -0.354525 0.351165
a_neg kappa_0 -0.158493 0.380365
a_neg sigma_neg -0.354482 0.351206
a_neg sigma_pos -0.355220 0.351035
a_pos l_neg -0.000290 0.530452
a_pos l_sep 0.000338 0.530986
a_pos l_pos 0.027217 0.517470
a_pos Rp_neg 0.000338 0.530986
a_pos Rp_pos 0.000338 0.530986
a_pos epsilon_f_neg 0.000341 0.530989
a_pos epsilon_f_pos 0.000322 0.530973
a_pos epsilon_neg -0.016069 0.531726
a_pos epsilon_sep 0.000338 0.530986
a_pos epsilon_pos 0.008960 0.521137
a_pos Cdl_neg 0.087199 0.552474
a_pos Cdl_pos -0.006871 0.526259
a_pos cs_max_neg 0.000338 0.530986
a_pos cs_max_pos 0.000338 0.530986
