Parameter S1 S1_conf ST ST_conf
a_neg 0.042763 0.035516 0.280248 0.377112
a_pos -0.028457 0.059533 0.024126 0.022992
l_neg 0.000230 0.000393 0.000079 0.000160
l_sep 0.000011 0.000040 0.000000 0.000000
l_pos 0.000043 0.000052 0.000000 0.000000
Rp_neg -0.005964 0.013457 0.069652 0.081042
Rp_pos -0.000633 0.002854 0.000574 0.000767
epsilon_f_neg -0.000003 0.000011 0.000000 0.000000
epsilon_f_pos -0.000026 0.000045 0.000000 0.000000
epsilon_neg 0.019156 0.036593 0.062731 0.062652
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.097320 0.093574 0.058207 0.049602
Cdl_neg 0.005225 0.017868 0.016163 0.021960
Cdl_pos -0.131177 0.179106 0.067822 0.063117
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.002324 0.007324 0.006801 0.012400
D 0.000759 0.001335 0.000058 0.000071
Ds_neg 0.025193 0.041107 0.417295 0.673075
Ds_pos 0.020468 0.033138 0.026414 0.033948
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.020544 0.067591 0.037069 0.047140
dUdcp_neg_mag 0.020675 0.031159 0.053278 0.053068
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.027877 0.041282 0.052604 0.062888
i0_pos 0.453529 0.471121 0.313926 0.096419
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001391 0.007274 0.014160 0.021364
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.023419 0.146879 0.386034 0.583316
sigma_neg 0.000034 0.000057 0.000000 0.000000
sigma_pos 0.000070 0.000340 0.000007 0.000010

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.132138 0.113867
a_neg l_neg -0.148879 0.137877
a_neg l_sep -0.149013 0.137894
a_neg l_pos -0.149016 0.137895
a_neg Rp_neg -0.159775 0.137494
a_neg Rp_pos -0.149559 0.138027
a_neg epsilon_f_neg -0.148998 0.137888
a_neg epsilon_f_pos -0.149004 0.137887
a_neg epsilon_neg -0.162463 0.142973
a_neg epsilon_sep -0.148997 0.137889
a_neg epsilon_pos -0.104624 0.094831
a_neg Cdl_neg -0.147307 0.142208
a_neg Cdl_pos -0.071927 0.077289
a_neg cs_max_neg -0.148997 0.137889
a_neg cs_max_pos -0.148997 0.137889
a_neg c0 -0.147865 0.137863
a_neg D -0.149153 0.137941
a_neg Ds_neg -0.152177 0.137038
a_neg Ds_pos -0.143294 0.137164
a_neg d2Udcp2_pos_sgn -0.148997 0.137889
a_neg d2Udcp2_neg_sgn -0.148997 0.137889
a_neg d3Udcp3_pos_sgn -0.148997 0.137889
a_neg d3Udcp3_neg_sgn -0.148997 0.137889
a_neg dUdcp_pos_mag -0.144953 0.137064
a_neg dUdcp_neg_mag -0.169897 0.145369
a_neg d2Udcp2_pos_mag -0.148997 0.137889
a_neg d2Udcp2_neg_mag -0.148997 0.137889
a_neg d3Udcp3_pos_mag -0.148997 0.137889
a_neg d3Udcp3_neg_mag -0.148997 0.137889
a_neg i0_neg -0.149210 0.139890
a_neg i0_pos -0.043506 0.058778
a_neg SOC_neg -0.148997 0.137889
a_neg SOC_pos -0.148997 0.137889
a_neg tP -0.146839 0.137249
a_neg aa_neg -0.148997 0.137889
a_neg aa_pos -0.148997 0.137889
a_neg kappa_0 -0.100370 0.113373
a_neg sigma_neg -0.148991 0.137889
a_neg sigma_pos -0.149005 0.137893
a_pos l_neg 0.056367 0.102632
a_pos l_sep 0.056385 0.102640
a_pos l_pos 0.056373 0.102643
a_pos Rp_neg 0.076865 0.129484
a_pos Rp_pos 0.054731 0.100196
a_pos epsilon_f_neg 0.056384 0.102643
a_pos epsilon_f_pos 0.056385 0.102638
a_pos epsilon_neg 0.044645 0.097365
a_pos epsilon_sep 0.056380 0.102639
a_pos epsilon_pos 0.047735 0.087762
a_pos Cdl_neg 0.054152 0.096456
a_pos Cdl_pos 0.060110 0.107351
a_pos cs_max_neg 0.056380 0.102639
a_pos cs_max_pos 0.056380 0.102639
a_pos c0 0.058118 0.104306
a_pos D 0.055882 0.102868
a_pos Ds_neg 0.049554 0.101877
a_pos Ds_pos 0.069823 0.123400
a_pos d2Udcp2_pos_sgn 0.056380 0.102639
a_pos d2Udcp2_neg_sgn 0.056380 0.102639
a_pos d3Udcp3_pos_sgn 0.056380 0.102639
a_pos d3Udcp3_neg_sgn 0.056380 0.102639
a_pos dUdcp_pos_mag 0.053557 0.091780
a_pos dUdcp_neg_mag 0.048371 0.095250
a_pos d2Udcp2_pos_mag 0.056380 0.102639
a_pos d2Udcp2_neg_mag 0.056380 0.102639
a_pos d3Udcp3_pos_mag 0.056380 0.102639
a_pos d3Udcp3_neg_mag 0.056380 0.102639
a_pos i0_neg 0.056288 0.100691
a_pos i0_pos -0.371134 0.459908
a_pos SOC_neg 0.056380 0.102639
a_pos SOC_pos 0.056380 0.102639
a_pos tP 0.055596 0.102938
a_pos aa_neg 0.056380 0.102639
a_pos aa_pos 0.056380 0.102639
a_pos kappa_0 0.158367 0.242075
a_pos sigma_neg 0.056418 0.102662
a_pos sigma_pos 0.056358 0.102633
l_neg l_sep 0.000513 0.001440
l_neg l_pos 0.000515 0.001443
l_neg Rp_neg 0.000540 0.001444
l_neg Rp_pos 0.000512 0.001439
l_neg epsilon_f_neg 0.000513 0.001440
l_neg epsilon_f_pos 0.000513 0.001440
l_neg epsilon_neg 0.000194 0.000780
l_neg epsilon_sep 0.000513 0.001440
l_neg epsilon_pos 0.000472 0.001365
l_neg Cdl_neg 0.001208 0.002836
l_neg Cdl_pos 0.000503 0.001437
l_neg cs_max_neg 0.000513 0.001440
l_neg cs_max_pos 0.000513 0.001440
l_neg c0 0.000513 0.001443
l_neg D 0.000478 0.001371
l_neg Ds_neg 0.001574 0.003556
l_neg Ds_pos 0.000524 0.001447
l_neg d2Udcp2_pos_sgn 0.000513 0.001440
l_neg d2Udcp2_neg_sgn 0.000513 0.001440
l_neg d3Udcp3_pos_sgn 0.000513 0.001440
l_neg d3Udcp3_neg_sgn 0.000513 0.001440
l_neg dUdcp_pos_mag 0.000511 0.001445
l_neg dUdcp_neg_mag 0.000580 0.001434
l_neg d2Udcp2_pos_mag 0.000513 0.001440
l_neg d2Udcp2_neg_mag 0.000513 0.001440
l_neg d3Udcp3_pos_mag 0.000513 0.001440
l_neg d3Udcp3_neg_mag 0.000513 0.001440
l_neg i0_neg 0.000186 0.000862
l_neg i0_pos 0.001026 0.002450
l_neg SOC_neg 0.000513 0.001440
l_neg SOC_pos 0.000513 0.001440
l_neg tP 0.000532 0.001481
l_neg aa_neg 0.000513 0.001440
l_neg aa_pos 0.000513 0.001440
l_neg kappa_0 0.000041 0.000511
l_neg sigma_neg 0.000513 0.001440
l_neg sigma_pos 0.000512 0.001439
l_sep l_pos -0.000036 0.000055
l_sep Rp_neg -0.000017 0.000041
l_sep Rp_pos -0.000036 0.000055
l_sep epsilon_f_neg -0.000036 0.000055
l_sep epsilon_f_pos -0.000036 0.000055
l_sep epsilon_neg -0.000022 0.000043
l_sep epsilon_sep -0.000036 0.000055
l_sep epsilon_pos -0.000037 0.000056
l_sep Cdl_neg -0.000038 0.000057
