Parameter S1 S1_conf ST ST_conf
a_neg 0.120092 0.085121 0.264719 0.140932
a_pos -0.051217 0.063539 0.067736 0.035535
l_neg 0.000748 0.000652 0.000080 0.000089
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000165 0.000339 0.000001 0.000001
Rp_neg -0.001040 0.001046 0.000040 0.000027
Rp_pos 0.002000 0.002981 0.000092 0.000084
epsilon_f_neg -0.000036 0.000044 0.000000 0.000000
epsilon_f_pos -0.000027 0.000018 0.000000 0.000000
epsilon_neg 0.137598 0.147651 0.110720 0.051026
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.094400 0.077806 0.137636 0.078856
Cdl_neg 0.036200 0.045552 0.046235 0.022792
Cdl_pos 0.010863 0.035794 0.022141 0.012829
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000357 0.000610 0.000040 0.000041
D 0.000386 0.000369 0.000000 0.000000
Ds_neg 0.009024 0.010114 0.008478 0.010350
Ds_pos 0.000270 0.003086 0.000137 0.000123
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.003465 0.003308 0.000255 0.000178
dUdcp_neg_mag -0.000635 0.001833 0.000165 0.000108
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.045011 0.078157 0.173402 0.078463
i0_pos 0.348200 0.261373 0.360910 0.099643
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000649 0.000889 0.000180 0.000181
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.156923 0.292919 0.880316 0.737501
sigma_neg 0.000112 0.000145 0.000000 0.000000
sigma_pos -0.000151 0.000219 0.000019 0.000018

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.147678 0.165326
a_neg l_neg -0.127828 0.166905
a_neg l_sep -0.128469 0.166831
a_neg l_pos -0.128638 0.166905
a_neg Rp_neg -0.129023 0.166713
a_neg Rp_pos -0.127016 0.166736
a_neg epsilon_f_neg -0.128474 0.166827
a_neg epsilon_f_pos -0.128494 0.166824
a_neg epsilon_neg -0.146713 0.189377
a_neg epsilon_sep -0.128469 0.166831
a_neg epsilon_pos -0.112616 0.145481
a_neg Cdl_neg -0.120474 0.178881
a_neg Cdl_pos -0.128558 0.167179
a_neg cs_max_neg -0.128469 0.166831
a_neg cs_max_pos -0.128469 0.166831
a_neg c0 -0.128002 0.166636
a_neg D -0.128737 0.166971
a_neg Ds_neg -0.127976 0.166882
a_neg Ds_pos -0.127011 0.166225
a_neg d2Udcp2_pos_sgn -0.128469 0.166831
a_neg d2Udcp2_neg_sgn -0.128469 0.166831
a_neg d3Udcp3_pos_sgn -0.128469 0.166831
a_neg d3Udcp3_neg_sgn -0.128469 0.166831
a_neg dUdcp_pos_mag -0.127393 0.165972
a_neg dUdcp_neg_mag -0.129653 0.166845
a_neg d2Udcp2_pos_mag -0.128469 0.166831
a_neg d2Udcp2_neg_mag -0.128469 0.166831
a_neg d3Udcp3_pos_mag -0.128469 0.166831
a_neg d3Udcp3_neg_mag -0.128469 0.166831
a_neg i0_neg -0.147244 0.170979
a_neg i0_pos -0.043441 0.153288
a_neg SOC_neg -0.128469 0.166831
a_neg SOC_pos -0.128469 0.166831
a_neg tP -0.127709 0.166587
a_neg aa_neg -0.128469 0.166831
a_neg aa_pos -0.128469 0.166831
a_neg kappa_0 0.029831 0.195386
a_neg sigma_neg -0.128450 0.166843
a_neg sigma_pos -0.128720 0.166763
a_pos l_neg 0.219829 0.246640
a_pos l_sep 0.219922 0.246648
a_pos l_pos 0.220033 0.246616
a_pos Rp_neg 0.221480 0.247311
a_pos Rp_pos 0.224962 0.251679
a_pos epsilon_f_neg 0.219939 0.246667
a_pos epsilon_f_pos 0.219905 0.246631
a_pos epsilon_neg 0.192040 0.240257
a_pos epsilon_sep 0.219922 0.246648
a_pos epsilon_pos 0.158054 0.188563
a_pos Cdl_neg 0.175262 0.233593
a_pos Cdl_pos 0.251494 0.278237
a_pos cs_max_neg 0.219922 0.246648
a_pos cs_max_pos 0.219922 0.246648
a_pos c0 0.220026 0.246774
a_pos D 0.219851 0.246660
a_pos Ds_neg 0.222743 0.247122
a_pos Ds_pos 0.218863 0.246279
a_pos d2Udcp2_pos_sgn 0.219922 0.246648
a_pos d2Udcp2_neg_sgn 0.219922 0.246648
a_pos d3Udcp3_pos_sgn 0.219922 0.246648
a_pos d3Udcp3_neg_sgn 0.219922 0.246648
a_pos dUdcp_pos_mag 0.215411 0.242160
a_pos dUdcp_neg_mag 0.219296 0.246307
a_pos d2Udcp2_pos_mag 0.219922 0.246648
a_pos d2Udcp2_neg_mag 0.219922 0.246648
a_pos d3Udcp3_pos_mag 0.219922 0.246648
a_pos d3Udcp3_neg_mag 0.219922 0.246648
a_pos i0_neg 0.244122 0.233436
a_pos i0_pos 0.141024 0.491453
a_pos SOC_neg 0.219922 0.246648
a_pos SOC_pos 0.219922 0.246648
a_pos tP 0.219611 0.246666
a_pos aa_neg 0.219922 0.246648
a_pos aa_pos 0.219922 0.246648
