Parameter S1 S1_conf ST ST_conf
a_neg 0.262462 0.197651 0.358937 0.154138
a_pos -0.041234 0.142802 0.159609 0.062544
l_neg -0.000151 0.000079 0.000000 0.000000
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.000118 0.002190 0.000020 0.000017
Rp_neg -0.000032 0.000063 0.000001 0.000001
Rp_pos -0.000176 0.000141 0.000000 0.000000
epsilon_f_neg -0.000022 0.000029 0.000000 0.000000
epsilon_f_pos -0.000043 0.000050 0.000000 0.000000
epsilon_neg 0.112646 0.150273 0.227685 0.083690
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.021778 0.118570 0.255611 0.129191
Cdl_neg -0.050172 0.035439 0.037174 0.015265
Cdl_pos 0.035346 0.079695 0.031620 0.019831
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000245 0.000226 0.000002 0.000002
D 0.000035 0.000036 0.000000 0.000000
Ds_neg 0.000036 0.000050 0.000000 0.000000
Ds_pos -0.000216 0.000218 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000282 0.000306 0.000001 0.000000
dUdcp_neg_mag 0.000044 0.000094 0.000001 0.000001
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.027006 0.059468 0.030827 0.018801
i0_pos 0.043225 0.115354 0.211174 0.088261
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000402 0.000314 0.000009 0.000008
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.345386 0.471080 1.432718 1.008161
sigma_neg 0.000138 0.000143 0.000001 0.000000
sigma_pos -0.000312 0.000619 0.000008 0.000006

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.217120 0.301468
a_neg l_neg -0.171769 0.300179
a_neg l_sep -0.171784 0.300176
a_neg l_pos -0.172203 0.300224
a_neg Rp_neg -0.171800 0.300178
a_neg Rp_pos -0.171662 0.300115
a_neg epsilon_f_neg -0.171775 0.300175
a_neg epsilon_f_pos -0.171859 0.300168
a_neg epsilon_neg -0.177353 0.347528
a_neg epsilon_sep -0.171784 0.300176
a_neg epsilon_pos -0.204418 0.291193
a_neg Cdl_neg -0.171107 0.299419
a_neg Cdl_pos -0.197686 0.311794
a_neg cs_max_neg -0.171784 0.300176
a_neg cs_max_pos -0.171784 0.300176
a_neg c0 -0.171627 0.300085
a_neg D -0.171810 0.300193
a_neg Ds_neg -0.171786 0.300176
a_neg Ds_pos -0.171628 0.300087
a_neg d2Udcp2_pos_sgn -0.171784 0.300176
a_neg d2Udcp2_neg_sgn -0.171784 0.300176
a_neg d3Udcp3_pos_sgn -0.171784 0.300176
a_neg d3Udcp3_neg_sgn -0.171784 0.300176
a_neg dUdcp_pos_mag -0.171674 0.300065
a_neg dUdcp_neg_mag -0.171783 0.300179
a_neg d2Udcp2_pos_mag -0.171784 0.300176
a_neg d2Udcp2_neg_mag -0.171784 0.300176
a_neg d3Udcp3_pos_mag -0.171784 0.300176
a_neg d3Udcp3_neg_mag -0.171784 0.300176
a_neg i0_neg -0.202966 0.297337
a_neg i0_pos -0.133358 0.306911
a_neg SOC_neg -0.171784 0.300176
a_neg SOC_pos -0.171784 0.300176
a_neg tP -0.171514 0.300065
a_neg aa_neg -0.171784 0.300176
a_neg aa_pos -0.171784 0.300176
a_neg kappa_0 0.101943 0.362129
a_neg sigma_neg -0.171739 0.300196
a_neg sigma_pos -0.172396 0.300078
a_pos l_neg 0.251765 0.344130
a_pos l_sep 0.251775 0.344135
a_pos l_pos 0.252579 0.343791
a_pos Rp_neg 0.251750 0.344132
a_pos Rp_pos 0.251733 0.344104
a_pos epsilon_f_neg 0.251781 0.344145
a_pos epsilon_f_pos 0.251761 0.344109
a_pos epsilon_neg 0.227380 0.339601
a_pos epsilon_sep 0.251775 0.344135
a_pos epsilon_pos 0.194519 0.276663
a_pos Cdl_neg 0.237803 0.338747
a_pos Cdl_pos 0.218776 0.322229
a_pos cs_max_neg 0.251775 0.344135
a_pos cs_max_pos 0.251775 0.344135
a_pos c0 0.251815 0.344154
a_pos D 0.251769 0.344135
a_pos Ds_neg 0.251793 0.344135
a_pos Ds_pos 0.251771 0.344135
a_pos d2Udcp2_pos_sgn 0.251775 0.344135
a_pos d2Udcp2_neg_sgn 0.251775 0.344135
a_pos d3Udcp3_pos_sgn 0.251775 0.344135
a_pos d3Udcp3_neg_sgn 0.251775 0.344135
a_pos dUdcp_pos_mag 0.251824 0.344163
a_pos dUdcp_neg_mag 0.251772 0.344136
a_pos d2Udcp2_pos_mag 0.251775 0.344135
a_pos d2Udcp2_neg_mag 0.251775 0.344135
a_pos d3Udcp3_pos_mag 0.251775 0.344135
a_pos d3Udcp3_neg_mag 0.251775 0.344135
a_pos i0_neg 0.260986 0.341071
a_pos i0_pos 0.195224 0.374855
a_pos SOC_neg 0.251775 0.344135
a_pos SOC_pos 0.251775 0.344135
a_pos tP 0.251600 0.344133
a_pos aa_neg 0.251775 0.344135
a_pos aa_pos 0.251775 0.344135
a_pos kappa_0 0.877553 0.882826
a_pos sigma_neg 0.251831 0.344162
a_pos sigma_pos 0.251954 0.344194
l_neg l_sep 0.000531 0.000578
l_neg l_pos 0.000531 0.000578
l_neg Rp_neg 0.000531 0.000578
l_neg Rp_pos 0.000531 0.000578
l_neg epsilon_f_neg 0.000531 0.000578
l_neg epsilon_f_pos 0.000531 0.000578
l_neg epsilon_neg 0.000440 0.000524
l_neg epsilon_sep 0.000531 0.000578
l_neg epsilon_pos 0.000644 0.000629
l_neg Cdl_neg 0.000560 0.000620
l_neg Cdl_pos 0.000532 0.000544
l_neg cs_max_neg 0.000531 0.000578
l_neg cs_max_pos 0.000531 0.000578
l_neg c0 0.000531 0.000578
l_neg D 0.000531 0.000578
l_neg Ds_neg 0.000531 0.000578
l_neg Ds_pos 0.000531 0.000578
l_neg d2Udcp2_pos_sgn 0.000531 0.000578
l_neg d2Udcp2_neg_sgn 0.000531 0.000578
l_neg d3Udcp3_pos_sgn 0.000531 0.000578
l_neg d3Udcp3_neg_sgn 0.000531 0.000578
l_neg dUdcp_pos_mag 0.000531 0.000578
l_neg dUdcp_neg_mag 0.000532 0.000579
l_neg d2Udcp2_pos_mag 0.000531 0.000578
l_neg d2Udcp2_neg_mag 0.000531 0.000578
l_neg d3Udcp3_pos_mag 0.000531 0.000578
l_neg d3Udcp3_neg_mag 0.000531 0.000578
l_neg i0_neg 0.000433 0.000476
