Parameter S1 S1_conf ST ST_conf
a_neg 0.351530 0.205780 0.355274 0.130169
a_pos 0.204443 0.336059 0.388654 0.207990
l_neg -0.001620 0.000787 0.000013 0.000006
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.009938 0.022908 0.002030 0.001406
Rp_neg 0.000001 0.000001 0.000000 0.000000
Rp_pos -0.000003 0.000005 0.000000 0.000000
epsilon_f_neg -0.000019 0.000024 0.000000 0.000000
epsilon_f_pos -0.000031 0.000080 0.000000 0.000000
epsilon_neg 0.116795 0.145319 0.224044 0.077332
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.141980 0.150114 0.218166 0.085883
Cdl_neg -0.039759 0.075671 0.103034 0.039402
Cdl_pos 0.043466 0.087673 0.092654 0.064628
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000241 0.000198 0.000001 0.000001
D 0.000002 0.000005 0.000000 0.000000
Ds_neg -0.000004 0.000005 0.000000 0.000000
Ds_pos 0.000009 0.000009 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000012 0.000022 0.000000 0.000000
dUdcp_neg_mag -0.000002 0.000002 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.012684 0.013830 0.001744 0.001171
i0_pos 0.017116 0.037263 0.016477 0.009223
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000373 0.000245 0.000006 0.000006
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.187467 0.413723 1.196370 0.828959
sigma_neg 0.000244 0.000184 0.000001 0.000000
sigma_pos -0.000481 0.000822 0.000008 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.338433 0.345897
a_neg l_neg -0.242482 0.308477
a_neg l_sep -0.242740 0.308471
a_neg l_pos -0.242489 0.307448
a_neg Rp_neg -0.242740 0.308471
a_neg Rp_pos -0.242741 0.308472
a_neg epsilon_f_neg -0.242722 0.308472
a_neg epsilon_f_pos -0.242918 0.308466
a_neg epsilon_neg -0.102147 0.388274
a_neg epsilon_sep -0.242740 0.308471
a_neg epsilon_pos -0.243873 0.303507
a_neg Cdl_neg -0.185144 0.310024
a_neg Cdl_pos -0.263605 0.317332
a_neg cs_max_neg -0.242740 0.308471
a_neg cs_max_pos -0.242740 0.308471
a_neg c0 -0.242670 0.308436
a_neg D -0.242742 0.308472
a_neg Ds_neg -0.242745 0.308471
a_neg Ds_pos -0.242746 0.308474
a_neg d2Udcp2_pos_sgn -0.242740 0.308471
a_neg d2Udcp2_neg_sgn -0.242740 0.308471
a_neg d3Udcp3_pos_sgn -0.242740 0.308471
a_neg d3Udcp3_neg_sgn -0.242740 0.308471
a_neg dUdcp_pos_mag -0.242746 0.308473
a_neg dUdcp_neg_mag -0.242740 0.308471
a_neg d2Udcp2_pos_mag -0.242740 0.308471
a_neg d2Udcp2_neg_mag -0.242740 0.308471
a_neg d3Udcp3_pos_mag -0.242740 0.308471
a_neg d3Udcp3_neg_mag -0.242740 0.308471
a_neg i0_neg -0.250180 0.307830
a_neg i0_pos -0.227603 0.310759
a_neg SOC_neg -0.242740 0.308471
a_neg SOC_pos -0.242740 0.308471
a_neg tP -0.242591 0.308427
a_neg aa_neg -0.242740 0.308471
a_neg aa_pos -0.242740 0.308471
a_neg kappa_0 -0.030991 0.343362
a_neg sigma_neg -0.242681 0.308497
a_neg sigma_pos -0.243466 0.308354
a_pos l_neg 0.037723 0.491094
a_pos l_sep 0.037766 0.491176
a_pos l_pos 0.048140 0.484421
a_pos Rp_neg 0.037766 0.491176
a_pos Rp_pos 0.037766 0.491176
a_pos epsilon_f_neg 0.037769 0.491180
a_pos epsilon_f_pos 0.037751 0.491164
a_pos epsilon_neg 0.018378 0.491537
a_pos epsilon_sep 0.037766 0.491176
a_pos epsilon_pos 0.091347 0.498976
a_pos Cdl_neg 0.106575 0.507986
a_pos Cdl_pos 0.026906 0.484237
a_pos cs_max_neg 0.037766 0.491176
a_pos cs_max_pos 0.037766 0.491176
