Parameter S1 S1_conf ST ST_conf
a_neg 0.006292 0.189172 0.194428 1.376206
a_pos -0.004756 0.042384 0.013720 0.431193
l_neg 0.011418 0.023681 3280.452335 6803.442866
l_sep -0.000008 0.000101 0.000000 0.000003
l_pos -0.000044 0.000385 0.000000 0.000007
Rp_neg 0.000069 0.001945 0.000218 0.002626
Rp_pos -0.001437 0.013839 0.000066 0.000933
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000001 0.000023 0.000000 0.000000
epsilon_neg 0.000171 0.019531 0.082318 0.546362
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.026841 0.236688 0.013740 0.133464
Cdl_neg -0.000000 0.000001 0.000000 0.000000
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000373 0.003311 0.000522 0.015529
D 0.000153 0.001344 0.000120 0.003441
Ds_neg -0.062743 0.298805 1.544996 46.281157
Ds_pos -0.012809 0.117763 0.452869 13.781539
d2Udcp2_pos_sgn -0.026745 0.235967 0.017049 0.214100
d2Udcp2_neg_sgn 0.000137 0.003341 0.050241 0.589626
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.016180 0.154191 0.003613 0.037361
dUdcp_neg_mag -0.007909 0.282559 24.296388 50.185246
d2Udcp2_pos_mag 0.853083 7.526762 11.391691 100.489252
d2Udcp2_neg_mag -0.000063 0.009402 0.299478 5.553615
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000020 0.000449 0.004846 0.056829
i0_pos 0.000141 0.001855 0.001192 0.036366
SOC_neg -0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000186 0.004894 0.001934 0.022787
aa_neg 0.000000 0.000002 0.000000 0.000000
aa_pos -0.000009 0.000367 0.000000 0.000001
kappa_0 -0.007626 0.067292 0.022254 0.106361
sigma_neg -0.000000 0.000003 0.000000 0.000001
sigma_pos -0.000007 0.000115 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.007701 0.221464
a_neg l_neg 1.063353 2.289292
a_neg l_sep -0.012441 0.243155
a_neg l_pos -0.012405 0.242999
a_neg Rp_neg -0.012314 0.245081
a_neg Rp_pos -0.010904 0.236912
a_neg epsilon_f_neg -0.012449 0.243228
a_neg epsilon_f_pos -0.012447 0.243221
a_neg epsilon_neg -0.020242 0.305532
a_neg epsilon_sep -0.012448 0.243226
a_neg epsilon_pos -0.039161 0.428904
a_neg Cdl_neg -0.012452 0.243224
a_neg Cdl_pos -0.012448 0.243226
a_neg cs_max_neg -0.012448 0.243226
a_neg cs_max_pos -0.012448 0.243226
a_neg c0 -0.012837 0.245270
a_neg D -0.012567 0.243897
a_neg Ds_neg -0.114994 2.565614
a_neg Ds_pos 0.001036 0.197830
a_neg d2Udcp2_pos_sgn 0.014105 0.215220
a_neg d2Udcp2_neg_sgn -0.011986 0.236919
a_neg d3Udcp3_pos_sgn -0.012448 0.243226
a_neg d3Udcp3_neg_sgn -0.012448 0.243226
a_neg dUdcp_pos_mag 0.003441 0.114359
a_neg dUdcp_neg_mag 0.082691 0.338576
a_neg d2Udcp2_pos_mag -0.859581 7.620454
a_neg d2Udcp2_neg_mag -0.006339 0.340132
a_neg d3Udcp3_pos_mag -0.012448 0.243226
a_neg d3Udcp3_neg_mag -0.012448 0.243226
a_neg i0_neg -0.012437 0.243039
a_neg i0_pos -0.012591 0.243978
a_neg SOC_neg -0.012448 0.243226
a_neg SOC_pos -0.012448 0.243226
a_neg tP -0.012371 0.242415
a_neg aa_neg -0.012448 0.243226
a_neg aa_pos -0.012442 0.243170
a_neg kappa_0 -0.006844 0.207502
a_neg sigma_neg -0.012449 0.243235
a_neg sigma_pos -0.012440 0.243204
a_pos l_neg 0.004377 0.041017
a_pos l_sep 0.004323 0.040835
a_pos l_pos 0.004322 0.040853
a_pos Rp_neg 0.004321 0.040851
a_pos Rp_pos 0.004386 0.040870
a_pos epsilon_f_neg 0.004321 0.040851
a_pos epsilon_f_pos 0.004321 0.040852
a_pos epsilon_neg 0.004330 0.040808
a_pos epsilon_sep 0.004321 0.040852
a_pos epsilon_pos 0.004102 0.036256
a_pos Cdl_neg 0.004321 0.040852
a_pos Cdl_pos 0.004321 0.040852
a_pos cs_max_neg 0.004321 0.040852
a_pos cs_max_pos 0.004321 0.040852
a_pos c0 0.004246 0.041335
a_pos D 0.004474 0.040262
a_pos Ds_neg 0.004674 0.040885
a_pos Ds_pos 0.004839 0.042625
a_pos d2Udcp2_pos_sgn 0.004796 0.044919
a_pos d2Udcp2_neg_sgn 0.004320 0.040852
a_pos d3Udcp3_pos_sgn 0.004321 0.040852
a_pos d3Udcp3_neg_sgn 0.004321 0.040852
a_pos dUdcp_pos_mag 0.004735 0.042341
a_pos dUdcp_neg_mag 0.004360 0.040846
a_pos d2Udcp2_pos_mag -0.010872 0.095168
a_pos d2Udcp2_neg_mag 0.004310 0.040928
a_pos d3Udcp3_pos_mag 0.004321 0.040852
a_pos d3Udcp3_neg_mag 0.004321 0.040852
a_pos i0_neg 0.004338 0.040737
a_pos i0_pos 0.004318 0.040838
a_pos SOC_neg 0.004321 0.040852
a_pos SOC_pos 0.004321 0.040852
a_pos tP 0.004325 0.040833
a_pos aa_neg 0.004319 0.040863
a_pos aa_pos 0.004323 0.040833
a_pos kappa_0 0.004376 0.042644
a_pos sigma_neg 0.004321 0.040850
a_pos sigma_pos 0.004320 0.040856
l_neg l_sep -0.011437 0.023697
l_neg l_pos -0.011437 0.023697
l_neg Rp_neg -0.011436 0.023701
l_neg Rp_pos -0.011437 0.023696
l_neg epsilon_f_neg -0.011437 0.023697
l_neg epsilon_f_pos -0.011437 0.023697
l_neg epsilon_neg -0.011428 0.023680
l_neg epsilon_sep -0.011437 0.023697
l_neg epsilon_pos -0.011445 0.023681
l_neg Cdl_neg -0.011437 0.023697
l_neg Cdl_pos -0.011437 0.023697
l_neg cs_max_neg -0.011437 0.023697
l_neg cs_max_pos -0.011437 0.023697
l_neg c0 -0.011435 0.023701
l_neg D -0.011438 0.023694
l_neg Ds_neg -0.011424 0.023668
l_neg Ds_pos -0.011508 0.023600
l_neg d2Udcp2_pos_sgn -0.011426 0.023722
l_neg d2Udcp2_neg_sgn -0.011437 0.023696
l_neg d3Udcp3_pos_sgn -0.011437 0.023697
l_neg d3Udcp3_neg_sgn -0.011437 0.023697
l_neg dUdcp_pos_mag -0.011436 0.023697
l_neg dUdcp_neg_mag -0.011604 0.024046
l_neg d2Udcp2_pos_mag -0.011521 0.023673
l_neg d2Udcp2_neg_mag -0.011413 0.023716
l_neg d3Udcp3_pos_mag -0.011437 0.023697
l_neg d3Udcp3_neg_mag -0.011437 0.023697
l_neg i0_neg -0.011437 0.023697
l_neg i0_pos -0.011433 0.023707
l_neg SOC_neg -0.011437 0.023697
l_neg SOC_pos -0.011437 0.023697
l_neg tP -0.011437 0.023697
l_neg aa_neg -0.011437 0.023697
l_neg aa_pos -0.011437 0.023697
l_neg kappa_0 -0.011432 0.023691
l_neg sigma_neg -0.011437 0.023697
l_neg sigma_pos -0.011437 0.023697
l_sep l_pos -0.000282 0.002517
l_sep Rp_neg -0.000283 0.002525
l_sep Rp_pos -0.000249 0.002219
l_sep epsilon_f_neg -0.000283 0.002525
l_sep epsilon_f_pos -0.000283 0.002525
l_sep epsilon_neg -0.000287 0.002543
l_sep epsilon_sep -0.000283 0.002525
l_sep epsilon_pos -0.000870 0.007701
l_sep Cdl_neg -0.000283 0.002525
l_sep Cdl_pos -0.000283 0.002525
l_sep cs_max_neg -0.000283 0.002525
l_sep cs_max_pos -0.000283 0.002525
l_sep c0 -0.000292 0.002599
l_sep D -0.000286 0.002554
l_sep Ds_neg 0.000089 0.002634
l_sep Ds_pos 0.000002 0.000164
