Parameter S1 S1_conf ST ST_conf
a_neg 0.006125 0.221014 0.373866 0.360446
a_pos -0.000826 0.021138 0.014967 0.471091
l_neg 0.010323 0.009974 2394.829962 2315.835018
l_sep -0.000031 0.001165 0.000000 0.000012
l_pos -0.000012 0.000278 0.000000 0.000006
Rp_neg 0.000172 0.005994 0.000339 0.000866
Rp_pos -0.000256 0.008345 0.000094 0.002172
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000000 0.000020 0.000000 0.000000
epsilon_neg 0.000036 0.019617 0.243503 0.366587
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.005267 0.123824 0.019919 0.457181
Cdl_neg -0.000000 0.000001 0.000001 0.000001
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000066 0.001632 0.000576 0.021191
D 0.000030 0.000715 0.000067 0.002273
Ds_neg -0.029778 0.210471 0.617882 8.980191
Ds_pos -0.001883 0.060034 0.731377 28.903337
d2Udcp2_pos_sgn -0.005145 0.121850 0.022587 0.518472
d2Udcp2_neg_sgn 0.000096 0.003664 0.069292 0.793573
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.005005 0.119343 0.004877 0.109178
dUdcp_neg_mag -0.001348 0.123129 56.752030 54.769794
d2Udcp2_pos_mag 0.164195 3.887755 17.743266 420.195980
d2Udcp2_neg_mag -0.000095 0.014414 0.352556 2.146759
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000023 0.000708 0.008235 0.094324
i0_pos 0.000059 0.002532 0.001065 0.041995
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000154 0.005845 0.001677 0.019147
aa_neg 0.000000 0.000006 0.000000 0.000001
aa_pos -0.000010 0.000855 0.000000 0.000007
kappa_0 -0.001494 0.034742 0.048659 0.147121
sigma_neg -0.000000 0.000004 0.000000 0.000002
sigma_pos 0.000000 0.000090 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.002804 0.252494
a_neg l_neg 0.888177 0.974886
a_neg l_sep 0.001832 0.263556
a_neg l_pos 0.001829 0.263722
a_neg Rp_neg 0.001936 0.270422
a_neg Rp_pos 0.002225 0.260036
a_neg epsilon_f_neg 0.001815 0.263895
a_neg epsilon_f_pos 0.001816 0.263890
a_neg epsilon_neg -0.010504 0.369845
a_neg epsilon_sep 0.001815 0.263892
a_neg epsilon_pos -0.004166 0.362333
a_neg Cdl_neg 0.001800 0.263886
a_neg Cdl_pos 0.001815 0.263892
a_neg cs_max_neg 0.001815 0.263892
a_neg cs_max_pos 0.001815 0.263892
a_neg c0 0.001712 0.265012
a_neg D 0.001806 0.264286
a_neg Ds_neg -0.061650 1.831409
a_neg Ds_pos 0.004995 0.234616
a_neg d2Udcp2_pos_sgn 0.007637 0.221948
a_neg d2Udcp2_neg_sgn 0.002403 0.250401
a_neg d3Udcp3_pos_sgn 0.001815 0.263892
a_neg d3Udcp3_neg_sgn 0.001815 0.263892
a_neg dUdcp_pos_mag 0.006996 0.150902
a_neg dUdcp_neg_mag 0.139288 0.314262
a_neg d2Udcp2_pos_mag -0.184044 4.547651
a_neg d2Udcp2_neg_mag -0.000464 0.261752
a_neg d3Udcp3_pos_mag 0.001815 0.263892
a_neg d3Udcp3_neg_mag 0.001815 0.263892
a_neg i0_neg 0.001829 0.263340
a_neg i0_pos 0.001731 0.264767
a_neg SOC_neg 0.001815 0.263892
a_neg SOC_pos 0.001815 0.263892
a_neg tP 0.001862 0.262800
a_neg aa_neg 0.001816 0.263890
a_neg aa_pos 0.001829 0.263729
a_neg kappa_0 0.000238 0.240170
a_neg sigma_neg 0.001814 0.263910
a_neg sigma_pos 0.001817 0.263895
a_pos l_neg 0.000441 0.015708
a_pos l_sep 0.000312 0.015649
a_pos l_pos 0.000310 0.015700
a_pos Rp_neg 0.000309 0.015672
a_pos Rp_pos 0.000388 0.015919
a_pos epsilon_f_neg 0.000309 0.015672
a_pos epsilon_f_pos 0.000309 0.015672
a_pos epsilon_neg 0.000313 0.015618
a_pos epsilon_sep 0.000309 0.015673
a_pos epsilon_pos 0.000120 0.005541
a_pos Cdl_neg 0.000309 0.015673
a_pos Cdl_pos 0.000309 0.015673
a_pos cs_max_neg 0.000309 0.015673
a_pos cs_max_pos 0.000309 0.015673
a_pos c0 0.000205 0.016928
a_pos D 0.000498 0.014857
a_pos Ds_neg 0.000464 0.015990
a_pos Ds_pos 0.000888 0.021905
a_pos d2Udcp2_pos_sgn 0.000821 0.025537
a_pos d2Udcp2_neg_sgn 0.000309 0.015667
a_pos d3Udcp3_pos_sgn 0.000309 0.015673
a_pos d3Udcp3_neg_sgn 0.000309 0.015673
a_pos dUdcp_pos_mag 0.000753 0.020450
a_pos dUdcp_neg_mag 0.000342 0.015530
a_pos d2Udcp2_pos_mag -0.016022 0.376147
a_pos d2Udcp2_neg_mag 0.000301 0.015764
a_pos d3Udcp3_pos_mag 0.000309 0.015673
a_pos d3Udcp3_neg_mag 0.000309 0.015673
a_pos i0_neg 0.000321 0.015546
a_pos i0_pos 0.000304 0.015622
a_pos SOC_neg 0.000309 0.015673
a_pos SOC_pos 0.000309 0.015673
a_pos tP 0.000315 0.015621
a_pos aa_neg 0.000303 0.015746
a_pos aa_pos 0.000316 0.015595
a_pos kappa_0 0.000253 0.020680
a_pos sigma_neg 0.000309 0.015670
a_pos sigma_pos 0.000309 0.015680
l_neg l_sep -0.010346 0.009974
l_neg l_pos -0.010346 0.009974
l_neg Rp_neg -0.010348 0.009960
l_neg Rp_pos -0.010346 0.009974
l_neg epsilon_f_neg -0.010346 0.009974
l_neg epsilon_f_pos -0.010346 0.009974
l_neg epsilon_neg -0.010330 0.009956
l_neg epsilon_sep -0.010346 0.009974
l_neg epsilon_pos -0.010349 0.009948
l_neg Cdl_neg -0.010346 0.009974
l_neg Cdl_pos -0.010346 0.009974
l_neg cs_max_neg -0.010346 0.009974
l_neg cs_max_pos -0.010346 0.009974
l_neg c0 -0.010345 0.009980
l_neg D -0.010346 0.009971
l_neg Ds_neg -0.010326 0.009946
l_neg Ds_pos -0.010401 0.009789
l_neg d2Udcp2_pos_sgn -0.010341 0.010013
l_neg d2Udcp2_neg_sgn -0.010346 0.009974
l_neg d3Udcp3_pos_sgn -0.010346 0.009974
