Parameter S1 S1_conf ST ST_conf
a_neg 0.004351 0.219999 0.726260 0.380369
a_pos 0.000100 0.004913 0.013950 1.070604
l_neg 0.005361 0.002948 696.865664 384.826110
l_sep -0.000039 0.002523 0.000003 0.000198
l_pos 0.000001 0.000052 0.000000 0.000016
Rp_neg 0.000176 0.009045 0.000651 0.001036
Rp_pos 0.000029 0.001820 0.000236 0.012391
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000000 0.000012 0.000000 0.000000
epsilon_neg -0.000172 0.040467 0.554384 0.965745
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000071 0.011308 0.011277 0.540116
Cdl_neg -0.000001 0.000001 0.000006 0.000003
Cdl_pos -0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000006 0.000477 0.000544 0.052804
D -0.000004 0.000367 0.000034 0.002279
Ds_neg -0.005800 0.140242 0.753350 1.286504
Ds_pos 0.000731 0.008531 0.629601 41.196156
d2Udcp2_pos_sgn 0.000217 0.011468 0.013073 0.608597
d2Udcp2_neg_sgn 0.000087 0.008238 0.082615 0.869657
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001869 0.094930 0.002786 0.129602
dUdcp_neg_mag 0.001972 0.005765 104.358763 57.583661
d2Udcp2_pos_mag -0.006745 0.361024 9.413560 496.567084
d2Udcp2_neg_mag -0.000072 0.031151 0.571300 0.573718
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000023 0.001228 0.011248 0.118403
i0_pos 0.000004 0.001374 0.000782 0.050933
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000088 0.005266 0.000919 0.009628
aa_neg -0.000000 0.000036 0.000000 0.000005
aa_pos 0.000003 0.000850 0.000000 0.000021
kappa_0 0.000031 0.003998 0.079445 0.224857
sigma_neg -0.000000 0.000010 0.000000 0.000002
sigma_pos 0.000001 0.000054 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.009711 0.238784
a_neg l_neg 0.451237 0.396082
a_neg l_sep 0.009714 0.238281
a_neg l_pos 0.009696 0.238790
a_neg Rp_neg 0.009034 0.250098
a_neg Rp_pos 0.009645 0.240954
a_neg epsilon_f_neg 0.009695 0.238819
a_neg epsilon_f_pos 0.009695 0.238812
a_neg epsilon_neg -0.006354 0.483596
a_neg epsilon_sep 0.009695 0.238812
a_neg epsilon_pos 0.009280 0.251998
a_neg Cdl_neg 0.009654 0.238804
a_neg Cdl_pos 0.009695 0.238812
a_neg cs_max_neg 0.009695 0.238812
a_neg cs_max_pos 0.009695 0.238812
a_neg c0 0.009661 0.239044
a_neg D 0.009706 0.239131
a_neg Ds_neg -0.018155 1.198530
a_neg Ds_pos 0.010049 0.238273
a_neg d2Udcp2_pos_sgn 0.009969 0.233372
a_neg d2Udcp2_neg_sgn 0.010351 0.216731
a_neg d3Udcp3_pos_sgn 0.009695 0.238812
a_neg d3Udcp3_neg_sgn 0.009695 0.238812
a_neg dUdcp_pos_mag 0.011703 0.145574
a_neg dUdcp_neg_mag 0.180662 0.280745
a_neg d2Udcp2_pos_mag 0.000797 0.603133
a_neg d2Udcp2_neg_mag 0.002798 0.548919
a_neg d3Udcp3_pos_mag 0.009695 0.238812
a_neg d3Udcp3_neg_mag 0.009695 0.238812
a_neg i0_neg 0.009712 0.237403
a_neg i0_pos 0.009669 0.238941
a_neg SOC_neg 0.009695 0.238812
a_neg SOC_pos 0.009695 0.238812
a_neg tP 0.009710 0.238255
a_neg aa_neg 0.009695 0.238806
a_neg aa_pos 0.009707 0.238698
a_neg kappa_0 0.005680 0.230851
a_neg sigma_neg 0.009693 0.238850
a_neg sigma_pos 0.009695 0.238826
a_pos l_neg -0.000384 0.032633
a_pos l_sep -0.000498 0.032554
a_pos l_pos -0.000498 0.032605
a_pos Rp_neg -0.000500 0.032652
a_pos Rp_pos -0.000518 0.031795
a_pos epsilon_f_neg -0.000500 0.032654
a_pos epsilon_f_pos -0.000500 0.032649
a_pos epsilon_neg -0.000496 0.032008
a_pos epsilon_sep -0.000500 0.032659
a_pos epsilon_pos -0.000459 0.024489
a_pos Cdl_neg -0.000500 0.032659
a_pos Cdl_pos -0.000500 0.032658
a_pos cs_max_neg -0.000500 0.032659
a_pos cs_max_pos -0.000500 0.032659
