Parameter S1 S1_conf ST ST_conf
a_neg 0.001613 0.228531 0.914417 0.425027
a_pos 0.000050 0.006425 0.012364 2.258034
l_neg 0.001324 0.000631 57.485730 27.961612
l_sep -0.000018 0.002838 0.000009 0.001321
l_pos 0.000001 0.000160 0.000000 0.000030
Rp_neg 0.000096 0.014707 0.007124 0.003274
Rp_pos -0.000225 0.040771 0.002713 0.460278
epsilon_f_neg -0.000000 0.000003 0.000000 0.000000
epsilon_f_pos 0.000000 0.000008 0.000000 0.000000
epsilon_neg -0.000323 0.075931 0.670414 0.871320
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000044 0.026487 0.002710 0.346217
Cdl_neg -0.000001 0.000002 0.000013 0.000006
Cdl_pos -0.000000 0.000001 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000003 0.001077 0.000430 0.085323
D -0.000008 0.001148 0.000017 0.002219
Ds_neg -0.000705 0.052145 0.928064 0.312621
Ds_pos 0.000430 0.020425 0.195346 28.086769
d2Udcp2_pos_sgn 0.000162 0.027610 0.004097 0.526266
d2Udcp2_neg_sgn 0.000070 0.016016 0.089815 1.128321
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000992 0.135472 0.000775 0.091682
dUdcp_neg_mag 0.001992 0.030650 112.125354 54.460411
d2Udcp2_pos_mag -0.005020 0.867001 1.208375 204.915988
d2Udcp2_neg_mag -0.000027 0.034137 0.710674 0.514274
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000020 0.002531 0.013312 0.167296
i0_pos -0.000003 0.000567 0.000591 0.083730
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000026 0.004316 0.000282 0.005064
aa_neg -0.000000 0.000098 0.000000 0.000023
aa_pos 0.000005 0.000508 0.000000 0.000044
kappa_0 0.000014 0.010350 0.095740 0.452654
sigma_neg -0.000000 0.000020 0.000000 0.000002
sigma_pos 0.000000 0.000038 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.012591 0.254188
a_neg l_neg 0.124700 0.275286
a_neg l_sep 0.012626 0.250956
a_neg l_pos 0.012616 0.251816
a_neg Rp_neg 0.011216 0.270822
a_neg Rp_pos 0.012703 0.246942
a_neg epsilon_f_neg 0.012616 0.251808
a_neg epsilon_f_pos 0.012616 0.251794
a_neg epsilon_neg -0.002253 0.790885
a_neg epsilon_sep 0.012616 0.251793
a_neg epsilon_pos 0.012580 0.260521
a_neg Cdl_neg 0.012563 0.251783
a_neg Cdl_pos 0.012616 0.251792
a_neg cs_max_neg 0.012616 0.251793
a_neg cs_max_pos 0.012616 0.251793
a_neg c0 0.012583 0.252030
a_neg D 0.012628 0.252357
a_neg Ds_neg -0.003358 0.566401
a_neg Ds_pos 0.012671 0.261148
a_neg d2Udcp2_pos_sgn 0.012552 0.256570
a_neg d2Udcp2_neg_sgn 0.013168 0.209537
a_neg d3Udcp3_pos_sgn 0.012616 0.251793
a_neg d3Udcp3_neg_sgn 0.012616 0.251793
a_neg dUdcp_pos_mag 0.013603 0.133258
a_neg dUdcp_neg_mag 0.169132 0.285999
a_neg d2Udcp2_pos_mag 0.014549 0.339124
a_neg d2Udcp2_neg_mag 0.004834 0.774035
a_neg d3Udcp3_pos_mag 0.012616 0.251793
a_neg d3Udcp3_neg_mag 0.012616 0.251793
a_neg i0_neg 0.012634 0.248368
a_neg i0_pos 0.012607 0.251775
a_neg SOC_neg 0.012616 0.251793
a_neg SOC_pos 0.012616 0.251793
a_neg tP 0.012613 0.251411
a_neg aa_neg 0.012616 0.251786
a_neg aa_pos 0.012621 0.251698
a_neg kappa_0 0.008527 0.242471
a_neg sigma_neg 0.012615 0.251885
a_neg sigma_pos 0.012616 0.251800
a_pos l_neg -0.000238 0.044766
a_pos l_sep -0.000286 0.044751
a_pos l_pos -0.000285 0.044714
a_pos Rp_neg -0.000286 0.044768
a_pos Rp_pos -0.000359 0.052401
a_pos epsilon_f_neg -0.000286 0.044768
a_pos epsilon_f_pos -0.000286 0.044763
a_pos epsilon_neg -0.000278 0.042728
a_pos epsilon_sep -0.000286 0.044778
a_pos epsilon_pos -0.000044 0.019197
a_pos Cdl_neg -0.000286 0.044778
a_pos Cdl_pos -0.000286 0.044775
a_pos cs_max_neg -0.000286 0.044778
a_pos cs_max_pos -0.000286 0.044778
