Parameter S1 S1_conf ST ST_conf
a_neg 0.000152 0.137157 0.937548 0.437676
a_pos 0.000006 0.004162 0.011877 9.820213
l_neg 0.000139 0.000086 1.064968 0.515995
l_sep -0.000005 0.003191 0.000011 0.007320
l_pos 0.000000 0.000099 0.000000 0.000123
Rp_neg 0.000018 0.017032 0.011416 0.005317
Rp_pos -0.000156 0.116716 0.005527 4.054469
epsilon_f_neg -0.000000 0.000005 0.000000 0.000000
epsilon_f_pos 0.000000 0.000007 0.000000 0.000000
epsilon_neg -0.000252 0.116129 0.666461 2.917644
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000043 0.025165 0.001290 0.319771
Cdl_neg -0.000001 0.000003 0.000015 0.000007
Cdl_pos 0.000000 0.000006 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000003 0.002862 0.000290 0.141975
D -0.000004 0.002470 0.000005 0.000945
Ds_neg -0.000192 0.027105 0.944279 0.295591
Ds_pos 0.000155 0.029195 0.011268 2.811981
d2Udcp2_pos_sgn 0.000020 0.014558 0.002542 0.626087
d2Udcp2_neg_sgn 0.000033 0.024717 0.099846 1.549265
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000345 0.176752 0.000482 0.210289
dUdcp_neg_mag 0.001123 0.042225 63.152733 30.309571
d2Udcp2_pos_mag -0.000522 0.414243 0.072581 52.785634
d2Udcp2_neg_mag -0.000048 0.058834 0.730405 1.773660
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000005 0.002418 0.015609 0.242346
i0_pos -0.000003 0.001493 0.000537 0.129974
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000004 0.005623 0.000058 0.026274
aa_neg -0.000000 0.000391 0.000000 0.000157
aa_pos 0.000005 0.002538 0.000000 0.000209
kappa_0 -0.000055 0.023643 0.100190 1.420143
sigma_neg -0.000000 0.000031 0.000000 0.000003
sigma_pos 0.000000 0.000029 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.012645 0.185254
a_neg l_neg 0.026118 0.184560
a_neg l_sep 0.012655 0.181561
a_neg l_pos 0.012652 0.182318
a_neg Rp_neg 0.011209 0.204273
a_neg Rp_pos 0.012734 0.161533
a_neg epsilon_f_neg 0.012652 0.182339
a_neg epsilon_f_pos 0.012652 0.182305
a_neg epsilon_neg 0.000679 1.146074
a_neg epsilon_sep 0.012652 0.182303
a_neg epsilon_pos 0.012615 0.198697
a_neg Cdl_neg 0.012601 0.182293
a_neg Cdl_pos 0.012652 0.182303
a_neg cs_max_neg 0.012652 0.182303
a_neg cs_max_pos 0.012652 0.182303
a_neg c0 0.012617 0.182542
a_neg D 0.012666 0.182871
a_neg Ds_neg 0.000011 0.251564
a_neg Ds_pos 0.012669 0.198203
a_neg d2Udcp2_pos_sgn 0.012642 0.186093
a_neg d2Udcp2_neg_sgn 0.012943 0.126522
a_neg d3Udcp3_pos_sgn 0.012652 0.182303
a_neg d3Udcp3_neg_sgn 0.012652 0.182303
a_neg dUdcp_pos_mag 0.012981 0.122037
a_neg dUdcp_neg_mag 0.116332 0.206715
a_neg d2Udcp2_pos_mag 0.012908 0.221341
a_neg d2Udcp2_neg_mag 0.003958 1.835410
a_neg d3Udcp3_pos_mag 0.012652 0.182303
a_neg d3Udcp3_neg_mag 0.012652 0.182303
a_neg i0_neg 0.012681 0.178054
a_neg i0_pos 0.012645 0.182815
a_neg SOC_neg 0.012652 0.182303
a_neg SOC_pos 0.012652 0.182303
a_neg tP 0.012644 0.182369
a_neg aa_neg 0.012653 0.182320
a_neg aa_pos 0.012654 0.182228
a_neg kappa_0 0.008965 0.161227
a_neg sigma_neg 0.012651 0.182528
a_neg sigma_pos 0.012652 0.182298
a_pos l_neg -0.000181 0.126222
a_pos l_sep -0.000188 0.126379
a_pos l_pos -0.000188 0.126134
a_pos Rp_neg -0.000189 0.126279
a_pos Rp_pos -0.000228 0.149589
a_pos epsilon_f_neg -0.000188 0.126266
a_pos epsilon_f_pos -0.000188 0.126255
a_pos epsilon_neg -0.000176 0.116025
a_pos epsilon_sep -0.000188 0.126304
a_pos epsilon_pos 0.000086 0.056323
a_pos Cdl_neg -0.000188 0.126304
a_pos Cdl_pos -0.000188 0.126251
a_pos cs_max_neg -0.000188 0.126304
a_pos cs_max_pos -0.000188 0.126304
