Parameter S1 S1_conf ST ST_conf
a_neg -0.000074 0.022648 0.935171 0.449924
a_pos -0.000022 0.022065 0.012245 11.375898
l_neg -0.000051 0.000049 0.249771 0.122294
l_sep -0.000001 0.000647 0.000006 0.005311
l_pos 0.000000 0.000087 0.000000 0.000147
Rp_neg -0.000008 0.004172 0.013129 0.006203
Rp_pos -0.000056 0.062301 0.006085 6.678292
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000000 0.000003 0.000000 0.000000
epsilon_neg -0.000129 0.050474 0.667867 2.656349
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000028 0.023216 0.000988 0.398487
Cdl_neg -0.000000 0.000007 0.000016 0.000008
Cdl_pos 0.000000 0.000036 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000004 0.002494 0.000146 0.074996
D -0.000001 0.001613 0.000002 0.000369
Ds_neg -0.000148 0.053548 0.933300 0.260099
Ds_pos 0.000058 0.041429 0.000328 0.128406
d2Udcp2_pos_sgn 0.000006 0.005679 0.002139 0.795250
d2Udcp2_neg_sgn 0.000007 0.010374 0.115644 1.702363
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000081 0.084785 0.000447 0.362154
dUdcp_neg_mag 0.000362 0.008892 11.958423 5.603416
d2Udcp2_pos_mag -0.000025 0.041504 0.004172 4.012106
d2Udcp2_neg_mag -0.000074 0.012815 0.732046 1.483469
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000000 0.000499 0.018835 0.275691
i0_pos -0.000006 0.002967 0.000576 0.215996
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.001942 0.000062 0.046895
aa_neg -0.000000 0.000284 0.000000 0.000222
aa_pos 0.000010 0.013323 0.000002 0.002068
kappa_0 -0.000104 0.091301 0.103366 2.016637
sigma_neg -0.000000 0.000012 0.000000 0.000003
sigma_pos -0.000000 0.000012 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.012107 0.065045
a_neg l_neg 0.006003 0.062989
a_neg l_sep 0.012109 0.063824
a_neg l_pos 0.012109 0.063995
a_neg Rp_neg 0.010702 0.068780
a_neg Rp_pos 0.012140 0.056220
a_neg epsilon_f_neg 0.012109 0.064024
a_neg epsilon_f_pos 0.012109 0.064000
a_neg epsilon_neg 0.001758 0.580014
a_neg epsilon_sep 0.012109 0.064000
a_neg epsilon_pos 0.012093 0.073186
a_neg Cdl_neg 0.012060 0.063991
a_neg Cdl_pos 0.012109 0.064006
a_neg cs_max_neg 0.012109 0.064000
a_neg cs_max_pos 0.012109 0.064000
a_neg c0 0.012071 0.064049
a_neg D 0.012121 0.063988
a_neg Ds_neg 0.000524 0.035272
a_neg Ds_pos 0.012116 0.067194
a_neg d2Udcp2_pos_sgn 0.012108 0.064459
a_neg d2Udcp2_neg_sgn 0.012206 0.048754
a_neg d3Udcp3_pos_sgn 0.012109 0.064000
a_neg d3Udcp3_neg_sgn 0.012109 0.064000
a_neg dUdcp_pos_mag 0.012188 0.078817
a_neg dUdcp_neg_mag 0.054345 0.075611
a_neg d2Udcp2_pos_mag 0.012115 0.065960
a_neg d2Udcp2_neg_mag 0.002407 0.504354
a_neg d3Udcp3_pos_mag 0.012109 0.064000
a_neg d3Udcp3_neg_mag 0.012109 0.064000
a_neg i0_neg 0.012251 0.062292
a_neg i0_pos 0.012105 0.064610
a_neg SOC_neg 0.012109 0.064000
a_neg SOC_pos 0.012109 0.064000
a_neg tP 0.012099 0.063990
a_neg aa_neg 0.012113 0.064099
a_neg aa_pos 0.012109 0.063924
a_neg kappa_0 0.008642 0.046238
a_neg sigma_neg 0.012108 0.064149
a_neg sigma_pos 0.012109 0.063999
a_pos l_neg -0.000183 0.281406
a_pos l_sep -0.000181 0.281559
a_pos l_pos -0.000181 0.281282
a_pos Rp_neg -0.000181 0.281562
a_pos Rp_pos -0.000202 0.302141
a_pos epsilon_f_neg -0.000181 0.281520
a_pos epsilon_f_pos -0.000181 0.281481
a_pos epsilon_neg -0.000168 0.263256
a_pos epsilon_sep -0.000181 0.281577
a_pos epsilon_pos 0.000081 0.091660
a_pos Cdl_neg -0.000181 0.281575
a_pos Cdl_pos -0.000180 0.281027
a_pos cs_max_neg -0.000181 0.281577
a_pos cs_max_pos -0.000181 0.281577
a_pos c0 -0.000216 0.329197
a_pos D -0.000155 0.245909
a_pos Ds_neg -0.000185 0.281669
a_pos Ds_pos 0.000048 0.045118
a_pos d2Udcp2_pos_sgn -0.000176 0.280927
a_pos d2Udcp2_neg_sgn -0.000181 0.282077
a_pos d3Udcp3_pos_sgn -0.000181 0.281577
a_pos d3Udcp3_neg_sgn -0.000181 0.281577
a_pos dUdcp_pos_mag -0.000170 0.268537
a_pos dUdcp_neg_mag -0.000165 0.281541
a_pos d2Udcp2_pos_mag -0.000199 0.297389
a_pos d2Udcp2_neg_mag -0.000187 0.282814
a_pos d3Udcp3_pos_mag -0.000181 0.281577
a_pos d3Udcp3_neg_mag -0.000181 0.281577
a_pos i0_neg -0.000169 0.265833
a_pos i0_pos -0.000195 0.298832
a_pos SOC_neg -0.000181 0.281577
a_pos SOC_pos -0.000181 0.281577
a_pos tP -0.000179 0.279348
a_pos aa_neg -0.000188 0.292096
a_pos aa_pos 0.000163 0.205249
a_pos kappa_0 -0.002573 3.636836
a_pos sigma_neg -0.000181 0.281385
a_pos sigma_pos -0.000181 0.281943
l_neg l_sep 0.000056 0.000129
l_neg l_pos 0.000056 0.000130
l_neg Rp_neg 0.000055 0.000130
l_neg Rp_pos 0.000056 0.000130
l_neg epsilon_f_neg 0.000056 0.000130
l_neg epsilon_f_pos 0.000056 0.000130
l_neg epsilon_neg 0.000052 0.000196
l_neg epsilon_sep 0.000056 0.000130
l_neg epsilon_pos 0.000056 0.000267
l_neg Cdl_neg 0.000056 0.000130
l_neg Cdl_pos 0.000056 0.000129
l_neg cs_max_neg 0.000056 0.000130
l_neg cs_max_pos 0.000056 0.000130
l_neg c0 0.000056 0.000116
l_neg D 0.000056 0.000130
l_neg Ds_neg 0.000051 0.000130
l_neg Ds_pos 0.000056 0.000062
l_neg d2Udcp2_pos_sgn 0.000056 0.000090
l_neg d2Udcp2_neg_sgn 0.000056 0.000121
l_neg d3Udcp3_pos_sgn 0.000056 0.000130
l_neg d3Udcp3_neg_sgn 0.000056 0.000130
l_neg dUdcp_pos_mag 0.000056 0.000132
l_neg dUdcp_neg_mag 0.000074 0.000144
l_neg d2Udcp2_pos_mag 0.000056 0.000064
l_neg d2Udcp2_neg_mag 0.000051 0.000183
l_neg d3Udcp3_pos_mag 0.000056 0.000130
l_neg d3Udcp3_neg_mag 0.000056 0.000130
l_neg i0_neg 0.000056 0.000130
l_neg i0_pos 0.000056 0.000062
l_neg SOC_neg 0.000056 0.000130
l_neg SOC_pos 0.000056 0.000130
l_neg tP 0.000056 0.000127
l_neg aa_neg 0.000056 0.000130
l_neg aa_pos 0.000056 0.000130
l_neg kappa_0 0.000055 0.000099
l_neg sigma_neg 0.000056 0.000130
l_neg sigma_pos 0.000056 0.000129
l_sep l_pos 0.000001 0.000668
l_sep Rp_neg 0.000001 0.000663
l_sep Rp_pos 0.000007 0.006770
l_sep epsilon_f_neg 0.000001 0.000669
l_sep epsilon_f_pos 0.000001 0.000669
l_sep epsilon_neg 0.000000 0.000668
l_sep epsilon_sep 0.000001 0.000669
l_sep epsilon_pos 0.000001 0.000764
l_sep Cdl_neg 0.000001 0.000669
l_sep Cdl_pos 0.000001 0.000669
l_sep cs_max_neg 0.000001 0.000669
l_sep cs_max_pos 0.000001 0.000669
l_sep c0 0.000001 0.000658
l_sep D 0.000001 0.000670
l_sep Ds_neg 0.000001 0.000641
l_sep Ds_pos 0.000001 0.000868
l_sep d2Udcp2_pos_sgn 0.000001 0.000595
l_sep d2Udcp2_neg_sgn 0.000001 0.000736
l_sep d3Udcp3_pos_sgn 0.000001 0.000669
l_sep d3Udcp3_neg_sgn 0.000001 0.000669
l_sep dUdcp_pos_mag 0.000001 0.000816
l_sep dUdcp_neg_mag 0.000001 0.000629
l_sep d2Udcp2_pos_mag 0.000005 0.005162
l_sep d2Udcp2_neg_mag 0.000001 0.000734
l_sep d3Udcp3_pos_mag 0.000001 0.000669
l_sep d3Udcp3_neg_mag 0.000001 0.000669
l_sep i0_neg 0.000001 0.000669
l_sep i0_pos 0.000001 0.000651
l_sep SOC_neg 0.000001 0.000669
l_sep SOC_pos 0.000001 0.000669
l_sep tP 0.000001 0.000675
l_sep aa_neg 0.000001 0.000669
l_sep aa_pos 0.000001 0.000668
l_sep kappa_0 0.000001 0.000615
l_sep sigma_neg 0.000001 0.000669
l_sep sigma_pos 0.000001 0.000669
l_pos Rp_neg -0.000000 0.000724
l_pos Rp_pos -0.000000 0.000989
l_pos epsilon_f_neg 0.000000 0.000724
l_pos epsilon_f_pos 0.000000 0.000724
l_pos epsilon_neg -0.000000 0.000619
l_pos epsilon_sep 0.000000 0.000724
l_pos epsilon_pos 0.000000 0.000260
l_pos Cdl_neg 0.000000 0.000724
l_pos Cdl_pos 0.000000 0.000724
l_pos cs_max_neg 0.000000 0.000724
l_pos cs_max_pos 0.000000 0.000724
l_pos c0 -0.000000 0.000732
l_pos D -0.000000 0.000734
l_pos Ds_neg -0.000001 0.000727
l_pos Ds_pos 0.000001 0.000111
l_pos d2Udcp2_pos_sgn 0.000001 0.000578
l_pos d2Udcp2_neg_sgn -0.000000 0.000724
l_pos d3Udcp3_pos_sgn 0.000000 0.000724
l_pos d3Udcp3_neg_sgn 0.000000 0.000724
l_pos dUdcp_pos_mag 0.000000 0.000697
l_pos dUdcp_neg_mag 0.000003 0.000724
l_pos d2Udcp2_pos_mag -0.000000 0.001088
l_pos d2Udcp2_neg_mag -0.000001 0.001095
l_pos d3Udcp3_pos_mag 0.000000 0.000724
l_pos d3Udcp3_neg_mag 0.000000 0.000724
l_pos i0_neg 0.000000 0.000724
l_pos i0_pos 0.000001 0.000068
l_pos SOC_neg 0.000000 0.000724
l_pos SOC_pos 0.000000 0.000724
l_pos tP -0.000000 0.000737
l_pos aa_neg 0.000000 0.000725
