Parameter S1 S1_conf ST ST_conf
a_neg -0.000087 0.003264 0.927870 0.440521
a_pos -0.000138 0.159914 0.013772 15.554575
l_neg -0.000067 0.000039 0.504664 0.242402
l_sep -0.000000 0.000045 0.000000 0.000318
l_pos 0.000001 0.000584 0.000000 0.000205
Rp_neg -0.000012 0.000259 0.016037 0.007551
Rp_pos -0.000010 0.015211 0.002742 3.260610
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg -0.000097 0.027803 0.664693 4.272853
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000018 0.014205 0.000698 0.351329
Cdl_neg -0.000000 0.000034 0.000018 0.000008
Cdl_pos 0.000000 0.000177 0.000000 0.000003
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000003 0.002101 0.000051 0.027832
D 0.000001 0.000824 0.000004 0.001593
Ds_neg -0.000163 0.085709 0.917891 0.248296
Ds_pos 0.000024 0.027121 0.000839 0.419912
d2Udcp2_pos_sgn 0.000014 0.012737 0.001760 0.852638
d2Udcp2_neg_sgn -0.000000 0.003639 0.146551 1.650380
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000010 0.013980 0.000445 0.329473
dUdcp_neg_mag 0.000042 0.000491 0.196715 0.106845
d2Udcp2_pos_mag 0.000003 0.014985 0.000828 0.610510
d2Udcp2_neg_mag -0.000071 0.010678 0.734085 0.952282
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000005 0.001063 0.027469 0.272378
i0_pos -0.000008 0.007508 0.000749 0.420586
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000517 0.000070 0.038644
aa_neg 0.000000 0.000407 0.000004 0.000510
aa_pos 0.000012 0.017045 0.000009 0.012376
kappa_0 -0.000128 0.104574 0.109167 3.528271
sigma_neg -0.000000 0.000006 0.000000 0.000003
sigma_pos -0.000000 0.000012 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.012420 0.029205
a_neg l_neg 0.003509 0.027266
a_neg l_sep 0.012421 0.028655
a_neg l_pos 0.012421 0.028623
a_neg Rp_neg 0.010832 0.028013
a_neg Rp_pos 0.012426 0.026525
a_neg epsilon_f_neg 0.012421 0.028637
a_neg epsilon_f_pos 0.012421 0.028625
a_neg epsilon_neg 0.002185 0.267511
a_neg epsilon_sep 0.012421 0.028625
a_neg epsilon_pos 0.012415 0.030463
a_neg Cdl_neg 0.012368 0.028621
a_neg Cdl_pos 0.012421 0.028658
a_neg cs_max_neg 0.012421 0.028625
a_neg cs_max_pos 0.012421 0.028625
a_neg c0 0.012381 0.028524
a_neg D 0.012431 0.028664
a_neg Ds_neg 0.000683 0.034185
a_neg Ds_pos 0.012423 0.027906
a_neg d2Udcp2_pos_sgn 0.012421 0.028608
a_neg d2Udcp2_neg_sgn 0.012449 0.025662
a_neg d3Udcp3_pos_sgn 0.012421 0.028625
a_neg d3Udcp3_neg_sgn 0.012421 0.028625
a_neg dUdcp_pos_mag 0.012438 0.030723
a_neg dUdcp_neg_mag 0.017976 0.029790
a_neg d2Udcp2_pos_mag 0.012419 0.030971
a_neg d2Udcp2_neg_mag 0.002000 0.070559
a_neg d3Udcp3_pos_mag 0.012421 0.028625
a_neg d3Udcp3_neg_mag 0.012421 0.028625
a_neg i0_neg 0.013131 0.028046
a_neg i0_pos 0.012420 0.028846
a_neg SOC_neg 0.012421 0.028625
a_neg SOC_pos 0.012421 0.028625
a_neg tP 0.012411 0.028624
a_neg aa_neg 0.012443 0.028715
a_neg aa_pos 0.012421 0.028699
a_neg kappa_0 0.008869 0.017617
a_neg sigma_neg 0.012421 0.028694
a_neg sigma_pos 0.012421 0.028625
a_pos l_neg -0.000084 0.293340
a_pos l_sep -0.000084 0.293360
a_pos l_pos -0.000085 0.293138
a_pos Rp_neg -0.000084 0.293430
a_pos Rp_pos -0.000096 0.306208
a_pos epsilon_f_neg -0.000084 0.293409
a_pos epsilon_f_pos -0.000084 0.293356
a_pos epsilon_neg -0.000068 0.288350
a_pos epsilon_sep -0.000084 0.293422
a_pos epsilon_pos 0.000132 0.160073
a_pos Cdl_neg -0.000084 0.293408
a_pos Cdl_pos -0.000083 0.292074
a_pos cs_max_neg -0.000084 0.293422
a_pos cs_max_pos -0.000084 0.293422
a_pos c0 -0.000098 0.308262
a_pos D -0.000059 0.264934
a_pos Ds_neg -0.000083 0.293483
a_pos Ds_pos 0.000064 0.159542
a_pos d2Udcp2_pos_sgn -0.000081 0.291192
a_pos d2Udcp2_neg_sgn -0.000083 0.293504
a_pos d3Udcp3_pos_sgn -0.000084 0.293422
a_pos d3Udcp3_neg_sgn -0.000084 0.293422
a_pos dUdcp_pos_mag 0.000013 0.196881
a_pos dUdcp_neg_mag -0.000085 0.293417
a_pos d2Udcp2_pos_mag -0.000091 0.301462
a_pos d2Udcp2_neg_mag -0.000085 0.293352
a_pos d3Udcp3_pos_mag -0.000084 0.293422
a_pos d3Udcp3_neg_mag -0.000084 0.293422
a_pos i0_neg -0.000054 0.260096
a_pos i0_pos -0.000108 0.310996
a_pos SOC_neg -0.000084 0.293422
a_pos SOC_pos -0.000084 0.293422
a_pos tP -0.000083 0.292665
a_pos aa_neg -0.000074 0.281495
a_pos aa_pos 0.000387 0.422765
a_pos kappa_0 -0.002842 3.989892
a_pos sigma_neg -0.000084 0.293377
a_pos sigma_pos -0.000084 0.293671
l_neg l_sep 0.000069 0.000141
l_neg l_pos 0.000069 0.000139
l_neg Rp_neg 0.000069 0.000139
l_neg Rp_pos 0.000069 0.000143
l_neg epsilon_f_neg 0.000069 0.000139
l_neg epsilon_f_pos 0.000069 0.000139
l_neg epsilon_neg 0.000067 0.000143
l_neg epsilon_sep 0.000069 0.000139
l_neg epsilon_pos 0.000069 0.000313
l_neg Cdl_neg 0.000069 0.000139
l_neg Cdl_pos 0.000069 0.000139
l_neg cs_max_neg 0.000069 0.000139
l_neg cs_max_pos 0.000069 0.000139
l_neg c0 0.000069 0.000132
l_neg D 0.000069 0.000131
l_neg Ds_neg 0.000067 0.000133
l_neg Ds_pos 0.000070 0.000070
l_neg d2Udcp2_pos_sgn 0.000070 0.000109
l_neg d2Udcp2_neg_sgn 0.000069 0.000139
l_neg d3Udcp3_pos_sgn 0.000069 0.000139
l_neg d3Udcp3_neg_sgn 0.000069 0.000139
l_neg dUdcp_pos_mag 0.000069 0.000139
l_neg dUdcp_neg_mag 0.000071 0.000143
l_neg d2Udcp2_pos_mag 0.000070 0.000039
l_neg d2Udcp2_neg_mag 0.000067 0.000158
l_neg d3Udcp3_pos_mag 0.000069 0.000139
l_neg d3Udcp3_neg_mag 0.000069 0.000139
l_neg i0_neg 0.000069 0.000139
l_neg i0_pos 0.000070 0.000042
l_neg SOC_neg 0.000069 0.000139
l_neg SOC_pos 0.000069 0.000139
l_neg tP 0.000069 0.000138
l_neg aa_neg 0.000069 0.000141
l_neg aa_pos 0.000069 0.000138
l_neg kappa_0 0.000069 0.000097
l_neg sigma_neg 0.000069 0.000139
l_neg sigma_pos 0.000069 0.000138
l_sep l_pos 0.000000 0.000086
l_sep Rp_neg 0.000000 0.000085
l_sep Rp_pos 0.000001 0.001559
l_sep epsilon_f_neg 0.000000 0.000086
l_sep epsilon_f_pos 0.000000 0.000086
l_sep epsilon_neg 0.000000 0.000266
l_sep epsilon_sep 0.000000 0.000086
l_sep epsilon_pos 0.000000 0.000089
l_sep Cdl_neg 0.000000 0.000086
l_sep Cdl_pos 0.000000 0.000086
l_sep cs_max_neg 0.000000 0.000086
l_sep cs_max_pos 0.000000 0.000086
l_sep c0 0.000000 0.000092
l_sep D 0.000000 0.000085
l_sep Ds_neg -0.000001 0.000778
l_sep Ds_pos 0.000000 0.000352
l_sep d2Udcp2_pos_sgn -0.000000 0.000061
l_sep d2Udcp2_neg_sgn -0.000000 0.000105
l_sep d3Udcp3_pos_sgn 0.000000 0.000086
l_sep d3Udcp3_neg_sgn 0.000000 0.000086
l_sep dUdcp_pos_mag 0.000000 0.000178
l_sep dUdcp_neg_mag 0.000000 0.000087
l_sep d2Udcp2_pos_mag 0.000000 0.000378
l_sep d2Udcp2_neg_mag -0.000000 0.000258
l_sep d3Udcp3_pos_mag 0.000000 0.000086
l_sep d3Udcp3_neg_mag 0.000000 0.000086
l_sep i0_neg -0.000000 0.000085
l_sep i0_pos 0.000000 0.000106
l_sep SOC_neg 0.000000 0.000086
l_sep SOC_pos 0.000000 0.000086
l_sep tP 0.000000 0.000082
l_sep aa_neg 0.000000 0.000086
l_sep aa_pos 0.000000 0.000084
l_sep kappa_0 0.000000 0.000198
l_sep sigma_neg 0.000000 0.000086
l_sep sigma_pos 0.000000 0.000086
l_pos Rp_neg -0.000003 0.004136
l_pos Rp_pos -0.000003 0.004494
l_pos epsilon_f_neg -0.000003 0.004136
l_pos epsilon_f_pos -0.000003 0.004136
l_pos epsilon_neg -0.000003 0.003881
l_pos epsilon_sep -0.000003 0.004136
l_pos epsilon_pos -0.000000 0.001535
l_pos Cdl_neg -0.000003 0.004136
l_pos Cdl_pos -0.000003 0.004136
l_pos cs_max_neg -0.000003 0.004136
l_pos cs_max_pos -0.000003 0.004136
l_pos c0 -0.000003 0.004158
l_pos D -0.000003 0.004174
l_pos Ds_neg -0.000004 0.004205
l_pos Ds_pos 0.000001 0.000608
l_pos d2Udcp2_pos_sgn 0.000004 0.002970
l_pos d2Udcp2_neg_sgn -0.000003 0.004136
l_pos d3Udcp3_pos_sgn -0.000003 0.004136
l_pos d3Udcp3_neg_sgn -0.000003 0.004136
l_pos dUdcp_pos_mag -0.000002 0.004034
l_pos dUdcp_neg_mag -0.000002 0.004135
l_pos d2Udcp2_pos_mag -0.000004 0.005471
l_pos d2Udcp2_neg_mag -0.000004 0.004614
l_pos d3Udcp3_pos_mag -0.000003 0.004136
l_pos d3Udcp3_neg_mag -0.000003 0.004136
l_pos i0_neg -0.000003 0.004136
l_pos i0_pos 0.000001 0.000184
l_pos SOC_neg -0.000003 0.004136
l_pos SOC_pos -0.000003 0.004136
l_pos tP -0.000003 0.004171
l_pos aa_neg -0.000003 0.004143
