Parameter S1 S1_conf ST ST_conf
a_neg -0.000109 0.001653 0.901886 0.441686
a_pos -0.001001 1.002462 0.020871 20.746257
l_neg -0.000059 0.000029 0.254037 0.125850
l_sep 0.000000 0.000040 0.000001 0.000688
l_pos 0.000004 0.003664 0.000000 0.000280
Rp_neg -0.000019 0.000221 0.025983 0.012446
Rp_pos 0.000006 0.005052 0.000683 0.433951
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg -0.000133 0.045384 0.653065 3.183302
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000026 0.020469 0.000417 0.255662
Cdl_neg -0.000001 0.000214 0.000026 0.000063
Cdl_pos 0.000001 0.000826 0.000000 0.000063
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000693 0.000024 0.013681
D 0.000001 0.000610 0.000004 0.001907
Ds_neg -0.000236 0.139217 0.888844 0.224143
Ds_pos 0.000027 0.024496 0.000500 0.296775
d2Udcp2_pos_sgn 0.000066 0.051656 0.001631 0.828851
d2Udcp2_neg_sgn 0.000021 0.000969 0.253848 1.632707
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000016 0.008448 0.000582 0.346322
dUdcp_neg_mag -0.000067 0.001170 0.318018 0.146899
d2Udcp2_pos_mag -0.000006 0.018047 0.000716 0.553066
d2Udcp2_neg_mag -0.000078 0.008235 0.743005 0.354271
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000037 0.000298 0.104316 0.254187
i0_pos 0.000011 0.036023 0.001554 0.839806
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.000350 0.000039 0.011398
aa_neg 0.000001 0.000370 0.000065 0.001655
aa_pos 0.000009 0.008516 0.000061 0.052885
kappa_0 -0.000118 0.059518 0.129343 5.593726
sigma_neg 0.000000 0.000008 0.000000 0.000003
sigma_pos -0.000000 0.000019 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.014942 0.010197
a_neg l_neg 0.007231 0.005482
a_neg l_sep 0.014944 0.008925
a_neg l_pos 0.014944 0.008895
a_neg Rp_neg 0.012478 0.007698
a_neg Rp_pos 0.014945 0.008767
a_neg epsilon_f_neg 0.014944 0.008897
a_neg epsilon_f_pos 0.014944 0.008896
a_neg epsilon_neg 0.002777 0.040695
a_neg epsilon_sep 0.014944 0.008896
a_neg epsilon_pos 0.014943 0.009012
a_neg Cdl_neg 0.014866 0.008905
a_neg Cdl_pos 0.014944 0.009057
a_neg cs_max_neg 0.014944 0.008896
a_neg cs_max_pos 0.014944 0.008896
a_neg c0 0.014905 0.008719
a_neg D 0.014949 0.009032
a_neg Ds_neg 0.001098 0.056003
a_neg Ds_pos 0.014946 0.008281
a_neg d2Udcp2_pos_sgn 0.014945 0.008785
a_neg d2Udcp2_neg_sgn 0.014950 0.007122
a_neg d3Udcp3_pos_sgn 0.014944 0.008896
a_neg d3Udcp3_neg_sgn 0.014944 0.008896
a_neg dUdcp_pos_mag 0.014941 0.010625
a_neg dUdcp_neg_mag 0.006321 0.004726
a_neg d2Udcp2_pos_mag 0.014952 0.008914
a_neg d2Udcp2_neg_mag 0.002307 0.006296
a_neg d3Udcp3_pos_mag 0.014944 0.008896
a_neg d3Udcp3_neg_mag 0.014944 0.008896
a_neg i0_neg 0.018736 0.010777
a_neg i0_pos 0.014945 0.008986
a_neg SOC_neg 0.014944 0.008896
a_neg SOC_pos 0.014944 0.008896
a_neg tP 0.014934 0.008828
a_neg aa_neg 0.015065 0.009156
a_neg aa_pos 0.014943 0.009545
a_neg kappa_0 0.010683 0.012013
a_neg sigma_neg 0.014944 0.008898
a_neg sigma_pos 0.014944 0.008887
a_pos l_neg 0.000821 0.953541
a_pos l_sep 0.000819 0.953520
a_pos l_pos 0.000815 0.950035
a_pos Rp_neg 0.000820 0.953801
a_pos Rp_pos 0.000816 0.952028
a_pos epsilon_f_neg 0.000819 0.953531
a_pos epsilon_f_pos 0.000819 0.953544
a_pos epsilon_neg 0.000860 0.970219
a_pos epsilon_sep 0.000819 0.953531
a_pos epsilon_pos 0.000971 0.998692
a_pos Cdl_neg 0.000819 0.953539
a_pos Cdl_pos 0.000821 0.954250
a_pos cs_max_neg 0.000819 0.953531
a_pos cs_max_pos 0.000819 0.953531
