Parameter S1 S1_conf ST ST_conf
a_neg -0.000190 0.002140 0.783249 0.407739
a_pos -0.014062 2.052697 0.065571 9.550676
l_neg -0.000055 0.000029 0.064941 0.034070
l_sep -0.000000 0.000044 0.000001 0.000155
l_pos 0.000052 0.007556 0.000001 0.000132
Rp_neg -0.000051 0.001351 0.044851 0.022821
Rp_pos 0.000039 0.005378 0.001014 0.158663
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg -0.000192 0.041991 0.598567 0.855640
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000205 0.035192 0.000677 0.101543
Cdl_neg -0.000005 0.000699 0.000081 0.001083
Cdl_pos 0.000016 0.002299 0.000004 0.000749
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000892 0.000135 0.030227
D 0.000002 0.000686 0.000004 0.000547
Ds_neg -0.000465 0.113077 0.807073 0.447790
Ds_pos 0.000305 0.048719 0.000782 0.114103
d2Udcp2_pos_sgn 0.000737 0.102247 0.003245 0.479315
d2Udcp2_neg_sgn 0.000407 0.001159 0.734937 1.539123
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000126 0.020659 0.001449 0.211163
dUdcp_neg_mag -0.000173 0.003096 0.586117 0.302461
d2Udcp2_pos_mag -0.000189 0.026541 0.001567 0.269224
d2Udcp2_neg_mag 0.000038 0.002134 0.782761 0.256781
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000365 0.001007 0.957947 0.310903
i0_pos 0.000968 0.150450 0.007492 1.123501
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000008 0.001348 0.000088 0.018296
aa_neg 0.000013 0.001564 0.001253 0.010092
aa_pos -0.000017 0.006726 0.000675 0.101258
kappa_0 0.000239 0.041402 0.228172 5.653963
sigma_neg 0.000001 0.000007 0.000001 0.000003
sigma_pos -0.000000 0.000023 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.024440 0.018326
a_neg l_neg 0.017593 0.015390
a_neg l_sep 0.024452 0.018221
a_neg l_pos 0.024452 0.018296
a_neg Rp_neg 0.018757 0.015567
a_neg Rp_pos 0.024451 0.018333
a_neg epsilon_f_neg 0.024452 0.018248
a_neg epsilon_f_pos 0.024452 0.018248
a_neg epsilon_neg 0.004606 0.029335
a_neg epsilon_sep 0.024452 0.018248
a_neg epsilon_pos 0.024496 0.012377
a_neg Cdl_neg 0.024215 0.018214
a_neg Cdl_pos 0.024443 0.018655
a_neg cs_max_neg 0.024452 0.018248
a_neg cs_max_pos 0.024452 0.018248
a_neg c0 0.024445 0.017639
a_neg D 0.024440 0.018809
a_neg Ds_neg 0.003402 0.040546
a_neg Ds_pos 0.024537 0.011873
a_neg d2Udcp2_pos_sgn 0.024450 0.018399
a_neg d2Udcp2_neg_sgn 0.024459 0.018918
a_neg d3Udcp3_pos_sgn 0.024452 0.018248
a_neg d3Udcp3_neg_sgn 0.024452 0.018248
a_neg dUdcp_pos_mag 0.024348 0.034217
a_neg dUdcp_neg_mag 0.003880 0.011056
a_neg d2Udcp2_pos_mag 0.024552 0.013022
a_neg d2Udcp2_neg_mag 0.003470 0.012043
a_neg d3Udcp3_pos_mag 0.024452 0.018248
a_neg d3Udcp3_neg_mag 0.024452 0.018248
a_neg i0_neg 0.048964 0.030477
a_neg i0_pos 0.024462 0.016551
a_neg SOC_neg 0.024452 0.018248
a_neg SOC_pos 0.024452 0.018248
a_neg tP 0.024455 0.017512
a_neg aa_neg 0.025374 0.020014
a_neg aa_pos 0.024454 0.018982
a_neg kappa_0 0.017635 0.023578
a_neg sigma_neg 0.024451 0.018246
a_neg sigma_pos 0.024452 0.018241
a_pos l_neg 0.014126 2.082908
a_pos l_sep 0.014124 2.082904
a_pos l_pos 0.014074 2.075554
a_pos Rp_neg 0.014141 2.084117
a_pos Rp_pos 0.014131 2.082422
a_pos epsilon_f_neg 0.014124 2.082906
a_pos epsilon_f_pos 0.014124 2.082909
a_pos epsilon_neg 0.014264 2.094224
a_pos epsilon_sep 0.014124 2.082906
a_pos epsilon_pos 0.014049 2.059171
a_pos Cdl_neg 0.014124 2.082836
a_pos Cdl_pos 0.014129 2.083218
a_pos cs_max_neg 0.014124 2.082906
a_pos cs_max_pos 0.014124 2.082906
a_pos c0 0.014123 2.082855
a_pos D 0.014140 2.084215
a_pos Ds_neg 0.014175 2.086421
a_pos Ds_pos 0.013605 2.021204
a_pos d2Udcp2_pos_sgn 0.013512 1.988991
a_pos d2Udcp2_neg_sgn 0.014139 2.083046
a_pos d3Udcp3_pos_sgn 0.014124 2.082906
a_pos d3Udcp3_neg_sgn 0.014124 2.082906
a_pos dUdcp_pos_mag 0.014306 2.095336
a_pos dUdcp_neg_mag 0.014159 2.085256
a_pos d2Udcp2_pos_mag 0.014247 2.100297
a_pos d2Udcp2_neg_mag 0.014113 2.080940
a_pos d3Udcp3_pos_mag 0.014124 2.082906
a_pos d3Udcp3_neg_mag 0.014124 2.082906
a_pos i0_neg 0.014121 2.082728
a_pos i0_pos 0.013014 1.928220
a_pos SOC_neg 0.014124 2.082906
a_pos SOC_pos 0.014124 2.082906
a_pos tP 0.014126 2.083225
a_pos aa_neg 0.014126 2.083039
a_pos aa_pos 0.014596 2.117387
a_pos kappa_0 0.011058 1.890763
a_pos sigma_neg 0.014124 2.082908
a_pos sigma_pos 0.014124 2.082895
l_neg l_sep 0.000056 0.000101
l_neg l_pos 0.000056 0.000102
l_neg Rp_neg 0.000056 0.000100
l_neg Rp_pos 0.000055 0.000270
l_neg epsilon_f_neg 0.000056 0.000102
l_neg epsilon_f_pos 0.000056 0.000102
l_neg epsilon_neg 0.000056 0.000228
l_neg epsilon_sep 0.000056 0.000102
l_neg epsilon_pos 0.000055 0.000204
l_neg Cdl_neg 0.000055 0.000120
l_neg Cdl_pos 0.000056 0.000102
l_neg cs_max_neg 0.000056 0.000102
l_neg cs_max_pos 0.000056 0.000102
l_neg c0 0.000056 0.000118
l_neg D 0.000056 0.000098
l_neg Ds_neg 0.000057 0.000620
l_neg Ds_pos 0.000056 0.000033
l_neg d2Udcp2_pos_sgn 0.000056 0.000088
l_neg d2Udcp2_neg_sgn 0.000054 0.000102
l_neg d3Udcp3_pos_sgn 0.000056 0.000102
l_neg d3Udcp3_neg_sgn 0.000056 0.000102
l_neg dUdcp_pos_mag 0.000056 0.000099
l_neg dUdcp_neg_mag 0.000056 0.000104
l_neg d2Udcp2_pos_mag 0.000056 0.000028
l_neg d2Udcp2_neg_mag 0.000055 0.000087
l_neg d3Udcp3_pos_mag 0.000056 0.000102
l_neg d3Udcp3_neg_mag 0.000056 0.000102
l_neg i0_neg 0.000055 0.000092
l_neg i0_pos 0.000056 0.000030
l_neg SOC_neg 0.000056 0.000102
l_neg SOC_pos 0.000056 0.000102
l_neg tP 0.000056 0.000103
l_neg aa_neg 0.000056 0.000108
l_neg aa_pos 0.000056 0.000096
l_neg kappa_0 0.000055 0.000123
l_neg sigma_neg 0.000056 0.000102
l_neg sigma_pos 0.000056 0.000101
l_sep l_pos -0.000000 0.000073
l_sep Rp_neg -0.000000 0.000072
l_sep Rp_pos -0.000000 0.000071
l_sep epsilon_f_neg -0.000000 0.000073
l_sep epsilon_f_pos -0.000000 0.000073
l_sep epsilon_neg 0.000000 0.000096
l_sep epsilon_sep -0.000000 0.000073
l_sep epsilon_pos 0.000000 0.000048
l_sep Cdl_neg -0.000000 0.000073
l_sep Cdl_pos -0.000000 0.000072
l_sep cs_max_neg -0.000000 0.000073
l_sep cs_max_pos -0.000000 0.000073
l_sep c0 -0.000000 0.000072
l_sep D -0.000000 0.000073
l_sep Ds_neg -0.000002 0.000469
l_sep Ds_pos -0.000000 0.000086
l_sep d2Udcp2_pos_sgn 0.000000 0.000079
l_sep d2Udcp2_neg_sgn -0.000001 0.000073
l_sep d3Udcp3_pos_sgn -0.000000 0.000073
l_sep d3Udcp3_neg_sgn -0.000000 0.000073
l_sep dUdcp_pos_mag 0.000000 0.000114
l_sep dUdcp_neg_mag 0.000000 0.000071
l_sep d2Udcp2_pos_mag -0.000000 0.000055
l_sep d2Udcp2_neg_mag 0.000000 0.000080
l_sep d3Udcp3_pos_mag -0.000000 0.000073
l_sep d3Udcp3_neg_mag -0.000000 0.000073
l_sep i0_neg -0.000001 0.000073
l_sep i0_pos -0.000001 0.000099
l_sep SOC_neg -0.000000 0.000073
l_sep SOC_pos -0.000000 0.000073
l_sep tP -0.000000 0.000071
l_sep aa_neg -0.000000 0.000077
l_sep aa_pos 0.000000 0.000096
l_sep kappa_0 -0.000004 0.000609
l_sep sigma_neg -0.000000 0.000073
l_sep sigma_pos -0.000000 0.000073
l_pos Rp_neg -0.000337 0.049345
l_pos Rp_pos -0.000330 0.048455
l_pos epsilon_f_neg -0.000336 0.049349
l_pos epsilon_f_pos -0.000336 0.049349
l_pos epsilon_neg -0.000337 0.049310
l_pos epsilon_sep -0.000336 0.049349
l_pos epsilon_pos -0.000127 0.018801
l_pos Cdl_neg -0.000336 0.049356
l_pos Cdl_pos -0.000336 0.049348
l_pos cs_max_neg -0.000336 0.049349
l_pos cs_max_pos -0.000336 0.049349
l_pos c0 -0.000337 0.049530
l_pos D -0.000338 0.049642
l_pos Ds_neg -0.000343 0.050086
l_pos Ds_pos -0.000051 0.007802
l_pos d2Udcp2_pos_sgn 0.000233 0.033778
l_pos d2Udcp2_neg_sgn -0.000336 0.049349
l_pos d3Udcp3_pos_sgn -0.000336 0.049349
l_pos d3Udcp3_neg_sgn -0.000336 0.049349
l_pos dUdcp_pos_mag -0.000333 0.048884
l_pos dUdcp_neg_mag -0.000338 0.049321
l_pos d2Udcp2_pos_mag -0.000442 0.064726
