Parameter S1 S1_conf ST ST_conf
a_neg -0.000236 0.003356 0.388320 0.331949
a_pos -0.344071 0.953266 0.366974 1.010126
l_neg -0.000074 0.000064 0.015611 0.013546
l_sep -0.000008 0.000104 0.000001 0.000014
l_pos 0.001282 0.003524 0.000005 0.000014
Rp_neg -0.000221 0.001225 0.037296 0.030998
Rp_pos 0.000650 0.002896 0.002942 0.036444
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000001 0.000000 0.000000
epsilon_neg 0.000601 0.015221 0.394616 0.184663
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.004271 0.031203 0.012071 0.142946
Cdl_neg -0.000083 0.001163 0.000881 0.008005
Cdl_pos 0.000534 0.005862 0.000428 0.004294
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000093 0.001098 0.000961 0.011921
D 0.000023 0.000813 0.000010 0.000102
Ds_neg 0.001289 0.037459 0.627992 0.509320
Ds_pos 0.006938 0.032760 0.011014 0.128171
d2Udcp2_pos_sgn 0.016723 0.045880 0.009262 0.112886
d2Udcp2_neg_sgn 0.007444 0.005694 1.965274 1.421649
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001896 0.025405 0.005655 0.061489
dUdcp_neg_mag -0.000382 0.002113 0.360616 0.311357
d2Udcp2_pos_mag -0.005358 0.031364 0.007638 0.089383
d2Udcp2_neg_mag 0.003307 0.002941 0.808695 0.284257
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.004365 0.003881 4.710922 3.599640
i0_pos 0.084323 0.234302 0.061479 0.511308
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000205 0.001882 0.000714 0.008710
aa_neg 0.000417 0.004293 0.019313 0.058840
aa_pos -0.002055 0.022946 0.022429 0.217502
kappa_0 0.011492 0.053122 0.637031 3.381195
sigma_neg 0.000010 0.000009 0.000004 0.000003
sigma_pos 0.000001 0.000008 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.038952 0.048983
a_neg l_neg 0.031128 0.043036
a_neg l_sep 0.039154 0.048606
a_neg l_pos 0.039132 0.048800
a_neg Rp_neg 0.027059 0.038883
a_neg Rp_pos 0.038986 0.049920
a_neg epsilon_f_neg 0.039147 0.048675
a_neg epsilon_f_pos 0.039147 0.048676
a_neg epsilon_neg 0.005518 0.029474
a_neg epsilon_sep 0.039147 0.048675
a_neg epsilon_pos 0.040707 0.036828
a_neg Cdl_neg 0.037890 0.047657
a_neg Cdl_pos 0.038741 0.049926
a_neg cs_max_neg 0.039147 0.048675
a_neg cs_max_pos 0.039147 0.048675
a_neg c0 0.039348 0.047908
a_neg D 0.039042 0.049302
a_neg Ds_neg 0.017879 0.031448
a_neg Ds_pos 0.041750 0.035569
a_neg d2Udcp2_pos_sgn 0.039037 0.049256
a_neg d2Udcp2_neg_sgn 0.039391 0.048750
a_neg d3Udcp3_pos_sgn 0.039147 0.048675
a_neg d3Udcp3_neg_sgn 0.039147 0.048675
a_neg dUdcp_pos_mag 0.036898 0.070586
a_neg dUdcp_neg_mag 0.001157 0.025890
a_neg d2Udcp2_pos_mag 0.041551 0.035149
a_neg d2Udcp2_neg_mag 0.001814 0.028214
a_neg d3Udcp3_pos_mag 0.039147 0.048675
a_neg d3Udcp3_neg_mag 0.039147 0.048675
a_neg i0_neg 0.172584 0.160031
a_neg i0_pos 0.039558 0.043768
a_neg SOC_neg 0.039147 0.048675
a_neg SOC_pos 0.039147 0.048675
a_neg tP 0.039300 0.047589
a_neg aa_neg 0.046500 0.056944
a_neg aa_pos 0.040496 0.048120
a_neg kappa_0 0.031563 0.042162
a_neg sigma_neg 0.039146 0.048674
a_neg sigma_pos 0.039148 0.048670
a_pos l_neg 0.352574 0.975816
a_pos l_sep 0.352571 0.975816
a_pos l_pos 0.351333 0.972387
a_pos Rp_neg 0.351931 0.975979
a_pos Rp_pos 0.352295 0.974676
a_pos epsilon_f_neg 0.352571 0.975817
a_pos epsilon_f_pos 0.352571 0.975817
a_pos epsilon_neg 0.353572 0.975912
a_pos epsilon_sep 0.352571 0.975817
a_pos epsilon_pos 0.344840 0.959538
a_pos Cdl_neg 0.352442 0.975857
a_pos Cdl_pos 0.352340 0.975781
a_pos cs_max_neg 0.352571 0.975817
a_pos cs_max_pos 0.352571 0.975817
