Parameter S1 S1_conf ST ST_conf
a_neg 0.025756 0.022411 0.105415 0.111140
a_pos 0.010955 0.022848 0.187627 0.131390
l_neg 0.000017 0.000028 0.000127 0.000191
l_sep 0.000003 0.000004 0.000000 0.000000
l_pos 0.000097 0.000079 0.000000 0.000000
Rp_neg -0.000219 0.000394 0.000262 0.000329
Rp_pos -0.007336 0.005695 0.000090 0.000095
epsilon_f_neg 0.000014 0.000014 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg -0.166084 0.160771 0.078098 0.055281
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.032536 0.023785 1.795476 1.473825
Cdl_neg 0.000688 0.004170 0.043643 0.040332
Cdl_pos -0.002282 0.011961 0.015102 0.014527
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000012 0.000071 0.000012 0.000017
D -0.000157 0.000220 0.000000 0.000000
Ds_neg -0.000496 0.000743 0.001342 0.001306
Ds_pos -0.008471 0.011089 0.000403 0.000477
d2Udcp2_pos_sgn 0.000592 0.000458 0.000003 0.000004
d2Udcp2_neg_sgn -0.000307 0.000559 0.000045 0.000082
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000880 0.006019 0.001095 0.002150
dUdcp_neg_mag 0.000073 0.000274 0.000201 0.000205
d2Udcp2_pos_mag -0.008929 0.011198 0.000231 0.000281
d2Udcp2_neg_mag -0.000141 0.000273 0.000033 0.000043
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.014867 0.017745 0.117109 0.103125
i0_pos 0.341572 0.264811 0.376553 0.174386
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000085 0.000098 0.000016 0.000023
aa_neg 0.032017 0.030004 0.561372 0.550877
aa_pos -0.031849 0.071275 0.510979 0.380306
kappa_0 -0.137050 0.239294 2.076695 3.593006
sigma_neg -0.000046 0.000043 0.000000 0.000000
sigma_pos -0.000011 0.000020 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.069394 0.048350
a_neg l_neg -0.063692 0.045190
a_neg l_sep -0.063606 0.045165
a_neg l_pos -0.063674 0.045229
a_neg Rp_neg -0.062937 0.044849
a_neg Rp_pos -0.059576 0.041248
a_neg epsilon_f_neg -0.063595 0.045161
a_neg epsilon_f_pos -0.063599 0.045160
a_neg epsilon_neg -0.154156 0.103637
a_neg epsilon_sep -0.063602 0.045161
a_neg epsilon_pos -0.031800 0.033232
a_neg Cdl_neg -0.054942 0.043279
a_neg Cdl_pos -0.074032 0.051907
a_neg cs_max_neg -0.063602 0.045161
a_neg cs_max_pos -0.063602 0.045161
a_neg c0 -0.063551 0.045105
a_neg D -0.063446 0.045004
a_neg Ds_neg -0.063462 0.045105
a_neg Ds_pos -0.054959 0.036641
a_neg d2Udcp2_pos_sgn -0.063605 0.045159
a_neg d2Udcp2_neg_sgn -0.063614 0.045168
a_neg d3Udcp3_pos_sgn -0.063602 0.045161
a_neg d3Udcp3_neg_sgn -0.063602 0.045161
a_neg dUdcp_pos_mag -0.067656 0.048922
a_neg dUdcp_neg_mag -0.063210 0.044983
a_neg d2Udcp2_pos_mag -0.055049 0.037201
a_neg d2Udcp2_neg_mag -0.063638 0.045173
a_neg d3Udcp3_pos_mag -0.063602 0.045161
a_neg d3Udcp3_neg_mag -0.063602 0.045161
a_neg i0_neg -0.061737 0.045333
a_neg i0_pos -0.042418 0.033869
a_neg SOC_neg -0.063602 0.045161
a_neg SOC_pos -0.063602 0.045161
a_neg tP -0.063582 0.045110
a_neg aa_neg -0.029912 0.045570
a_neg aa_pos -0.019203 0.051331
a_neg kappa_0 -0.143471 0.198668
a_neg sigma_neg -0.063624 0.045164
a_neg sigma_pos -0.063553 0.045141
a_pos l_neg -0.090515 0.197473
a_pos l_sep -0.090513 0.197476
a_pos l_pos -0.090533 0.197469
a_pos Rp_neg -0.097499 0.200343
a_pos Rp_pos -0.093967 0.209163
a_pos epsilon_f_neg -0.090519 0.197487
a_pos epsilon_f_pos -0.090495 0.197440
a_pos epsilon_neg -0.105995 0.207601
a_pos epsilon_sep -0.090513 0.197475
a_pos epsilon_pos -0.019694 0.061648
a_pos Cdl_neg -0.113108 0.207814
a_pos Cdl_pos -0.146061 0.306936
a_pos cs_max_neg -0.090513 0.197475
a_pos cs_max_pos -0.090513 0.197475
