Parameter S1 S1_conf ST ST_conf
a_neg 0.018108 0.080903 0.065583 0.144000
a_pos 0.039132 0.089974 0.556811 0.169598
l_neg -0.000059 0.000200 0.000023 0.000075
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000013 0.000067 0.000000 0.000000
Rp_neg -0.000014 0.000095 0.000002 0.000008
Rp_pos 0.000969 0.002721 0.000054 0.000145
epsilon_f_neg 0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000007 0.000018 0.000000 0.000000
epsilon_neg -0.018757 0.053227 0.106612 0.224669
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.017525 0.073791 5.464527 2.746744
Cdl_neg -0.001486 0.007950 0.064717 0.134459
Cdl_pos 0.016925 0.045958 0.058058 0.031182
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000006 0.000016 0.000000 0.000000
D -0.000002 0.000007 0.000000 0.000000
Ds_neg -0.000044 0.000175 0.000123 0.000457
Ds_pos -0.000072 0.000165 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000002 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000001 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000199 0.000567 0.000003 0.000007
dUdcp_neg_mag -0.000001 0.000097 0.000006 0.000018
d2Udcp2_pos_mag -0.000062 0.000206 0.000000 0.000000
d2Udcp2_neg_mag 0.000002 0.000008 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001439 0.007818 0.019333 0.045060
i0_pos 0.003441 0.005267 0.648435 0.321273
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000005 0.000017 0.000000 0.000000
aa_neg 0.001721 0.026224 0.251745 0.589433
aa_pos 0.077000 0.197690 1.005345 0.620131
kappa_0 -0.463811 1.243740 11.644774 29.342208
sigma_neg -0.000003 0.000011 0.000000 0.000000
sigma_pos -0.000022 0.000070 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.033068 0.103234
a_neg l_neg -0.056102 0.137654
a_neg l_sep -0.056328 0.137900
a_neg l_pos -0.056316 0.137884
a_neg Rp_neg -0.056336 0.137908
a_neg Rp_pos -0.055220 0.135690
a_neg epsilon_f_neg -0.056330 0.137901
a_neg epsilon_f_pos -0.056322 0.137886
a_neg epsilon_neg -0.043597 0.170970
a_neg epsilon_sep -0.056328 0.137900
a_neg epsilon_pos -0.024256 0.100491
a_neg Cdl_neg -0.064217 0.155576
a_neg Cdl_pos -0.040029 0.109166
a_neg cs_max_neg -0.056328 0.137900
a_neg cs_max_pos -0.056328 0.137900
a_neg c0 -0.056330 0.137905
a_neg D -0.056327 0.137895
a_neg Ds_neg -0.056325 0.137891
a_neg Ds_pos -0.056340 0.137907
a_neg d2Udcp2_pos_sgn -0.056328 0.137899
a_neg d2Udcp2_neg_sgn -0.056329 0.137900
a_neg d3Udcp3_pos_sgn -0.056328 0.137900
a_neg d3Udcp3_neg_sgn -0.056328 0.137900
a_neg dUdcp_pos_mag -0.056561 0.138373
a_neg dUdcp_neg_mag -0.056401 0.137972
a_neg d2Udcp2_pos_mag -0.056269 0.137750
a_neg d2Udcp2_neg_mag -0.056337 0.137910
a_neg d3Udcp3_pos_mag -0.056328 0.137900
a_neg d3Udcp3_neg_mag -0.056328 0.137900
a_neg i0_neg -0.065889 0.158559
a_neg i0_pos -0.057264 0.135118
a_neg SOC_neg -0.056328 0.137900
a_neg SOC_pos -0.056328 0.137900
a_neg tP -0.056334 0.137912
a_neg aa_neg -0.027321 0.123812
a_neg aa_pos 0.017704 0.139062
a_neg kappa_0 -0.540428 1.393127
a_neg sigma_neg -0.056328 0.137902
a_neg sigma_pos -0.056355 0.137952
a_pos l_neg -0.151776 0.390971
a_pos l_sep -0.151784 0.390974
a_pos l_pos -0.151775 0.390951
a_pos Rp_neg -0.151784 0.390970
a_pos Rp_pos -0.147986 0.380785
a_pos epsilon_f_neg -0.151785 0.390974
a_pos epsilon_f_pos -0.151761 0.390908
a_pos epsilon_neg -0.146215 0.387812
a_pos epsilon_sep -0.151784 0.390974
a_pos epsilon_pos -0.048988 0.127419
a_pos Cdl_neg -0.150565 0.390758
a_pos Cdl_pos -0.089883 0.226364
a_pos cs_max_neg -0.151784 0.390974
a_pos cs_max_pos -0.151784 0.390974
a_pos c0 -0.151777 0.390952
a_pos D -0.151786 0.390977
a_pos Ds_neg -0.151810 0.390989
a_pos Ds_pos -0.151933 0.391374
a_pos d2Udcp2_pos_sgn -0.151784 0.390974
a_pos d2Udcp2_neg_sgn -0.151784 0.390974
a_pos d3Udcp3_pos_sgn -0.151784 0.390974
a_pos d3Udcp3_neg_sgn -0.151784 0.390974
a_pos dUdcp_pos_mag -0.152574 0.393093
a_pos dUdcp_neg_mag -0.151781 0.390970
a_pos d2Udcp2_pos_mag -0.151785 0.390974
a_pos d2Udcp2_neg_mag -0.151785 0.390974
a_pos d3Udcp3_pos_mag -0.151784 0.390974
a_pos d3Udcp3_neg_mag -0.151784 0.390974
a_pos i0_neg -0.154609 0.395724
a_pos i0_pos -0.148802 0.379602
a_pos SOC_neg -0.151784 0.390974
a_pos SOC_pos -0.151784 0.390974
a_pos tP -0.151784 0.390975
a_pos aa_neg -0.146569 0.385780
a_pos aa_pos 0.121218 0.347682
a_pos kappa_0 -1.860806 4.990911
a_pos sigma_neg -0.151786 0.390976
a_pos sigma_pos -0.151887 0.391236
l_neg l_sep 0.000044 0.000246
l_neg l_pos 0.000044 0.000246
l_neg Rp_neg 0.000044 0.000246
l_neg Rp_pos 0.000044 0.000246
l_neg epsilon_f_neg 0.000044 0.000246
l_neg epsilon_f_pos 0.000044 0.000246
l_neg epsilon_neg 0.000038 0.000217
l_neg epsilon_sep 0.000044 0.000246
l_neg epsilon_pos 0.000038 0.000251
l_neg Cdl_neg 0.000014 0.000255
l_neg Cdl_pos 0.000042 0.000244
l_neg cs_max_neg 0.000044 0.000246
l_neg cs_max_pos 0.000044 0.000246
l_neg c0 0.000044 0.000246
l_neg D 0.000044 0.000246
l_neg Ds_neg 0.000044 0.000246
l_neg Ds_pos 0.000044 0.000246
l_neg d2Udcp2_pos_sgn 0.000044 0.000246
l_neg d2Udcp2_neg_sgn 0.000044 0.000246
l_neg d3Udcp3_pos_sgn 0.000044 0.000246
l_neg d3Udcp3_neg_sgn 0.000044 0.000246
l_neg dUdcp_pos_mag 0.000044 0.000246
l_neg dUdcp_neg_mag 0.000046 0.000242
l_neg d2Udcp2_pos_mag 0.000044 0.000246
l_neg d2Udcp2_neg_mag 0.000044 0.000246
l_neg d3Udcp3_pos_mag 0.000044 0.000246
l_neg d3Udcp3_neg_mag 0.000044 0.000246
l_neg i0_neg 0.000068 0.000227
l_neg i0_pos 0.000050 0.000247
l_neg SOC_neg 0.000044 0.000246
l_neg SOC_pos 0.000044 0.000246
l_neg tP 0.000044 0.000246
l_neg aa_neg 0.000140 0.000416
l_neg aa_pos 0.000028 0.000259
l_neg kappa_0 0.000097 0.000265
l_neg sigma_neg 0.000044 0.000246
l_neg sigma_pos 0.000044 0.000246
l_sep l_pos 0.000000 0.000000
l_sep Rp_neg 0.000000 0.000000
l_sep Rp_pos 0.000000 0.000000
l_sep epsilon_f_neg 0.000000 0.000000
l_sep epsilon_f_pos 0.000000 0.000000
l_sep epsilon_neg 0.000000 0.000000
l_sep epsilon_sep 0.000000 0.000000
l_sep epsilon_pos 0.000000 0.000000
l_sep Cdl_neg 0.000000 0.000000
l_sep Cdl_pos 0.000000 0.000000
l_sep cs_max_neg 0.000000 0.000000
l_sep cs_max_pos 0.000000 0.000000
l_sep c0 0.000000 0.000000
l_sep D 0.000000 0.000000
l_sep Ds_neg 0.000000 0.000000
l_sep Ds_pos 0.000000 0.000000
l_sep d2Udcp2_pos_sgn 0.000000 0.000000
l_sep d2Udcp2_neg_sgn 0.000000 0.000000
l_sep d3Udcp3_pos_sgn 0.000000 0.000000
l_sep d3Udcp3_neg_sgn 0.000000 0.000000
l_sep dUdcp_pos_mag 0.000000 0.000000
l_sep dUdcp_neg_mag 0.000000 0.000000
l_sep d2Udcp2_pos_mag 0.000000 0.000000
l_sep d2Udcp2_neg_mag 0.000000 0.000000
l_sep d3Udcp3_pos_mag 0.000000 0.000000
l_sep d3Udcp3_neg_mag 0.000000 0.000000
l_sep i0_neg 0.000000 0.000000
l_sep i0_pos 0.000000 0.000000
l_sep SOC_neg 0.000000 0.000000
l_sep SOC_pos 0.000000 0.000000
l_sep tP 0.000000 0.000000
l_sep aa_neg 0.000000 0.000000
l_sep aa_pos 0.000000 0.000000
l_sep kappa_0 0.000000 0.000000
l_sep sigma_neg 0.000000 0.000000
l_sep sigma_pos 0.000000 0.000000
l_pos Rp_neg 0.000017 0.000071
l_pos Rp_pos 0.000016 0.000071
l_pos epsilon_f_neg 0.000017 0.000071
l_pos epsilon_f_pos 0.000017 0.000071
l_pos epsilon_neg 0.000000 0.000072
l_pos epsilon_sep 0.000017 0.000071
l_pos epsilon_pos -0.000012 0.000083
l_pos Cdl_neg 0.000017 0.000072
l_pos Cdl_pos 0.000015 0.000070
l_pos cs_max_neg 0.000017 0.000071
l_pos cs_max_pos 0.000017 0.000071
l_pos c0 0.000017 0.000071
l_pos D 0.000017 0.000071
l_pos Ds_neg 0.000017 0.000071
l_pos Ds_pos 0.000017 0.000071
l_pos d2Udcp2_pos_sgn 0.000017 0.000071
l_pos d2Udcp2_neg_sgn 0.000017 0.000071
l_pos d3Udcp3_pos_sgn 0.000017 0.000071
l_pos d3Udcp3_neg_sgn 0.000017 0.000071
l_pos dUdcp_pos_mag 0.000017 0.000071
l_pos dUdcp_neg_mag 0.000016 0.000070
l_pos d2Udcp2_pos_mag 0.000017 0.000071
l_pos d2Udcp2_neg_mag 0.000017 0.000071
l_pos d3Udcp3_pos_mag 0.000017 0.000071
l_pos d3Udcp3_neg_mag 0.000017 0.000071
l_pos i0_neg 0.000017 0.000071
l_pos i0_pos 0.000018 0.000072
