Parameter S1 S1_conf ST ST_conf
a_neg -0.009765 0.061220 0.166722 0.372816
a_pos 0.128641 0.440300 22.883549 74.419166
l_neg -0.000015 0.000073 0.000001 0.000002
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.000806 0.002686 0.000802 0.002608
Rp_neg -0.000001 0.000022 0.000000 0.000000
Rp_pos -0.000012 0.000044 0.000001 0.000002
epsilon_f_neg 0.000008 0.000023 0.000000 0.000000
epsilon_f_pos 0.000009 0.000028 0.000000 0.000000
epsilon_neg 0.001522 0.029363 0.058340 0.073985
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.126127 0.332718 0.169247 0.367264
Cdl_neg 0.191514 0.751242 1.455825 4.452985
Cdl_pos -0.023537 0.155609 2.260823 9.355802
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000005 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000077 0.000286 0.000017 0.000062
Ds_pos -0.000005 0.000027 0.000000 0.000000
d2Udcp2_pos_sgn -0.000001 0.000002 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000022 0.000106 0.000000 0.000001
dUdcp_neg_mag -0.000060 0.000181 0.000000 0.000001
d2Udcp2_pos_mag 0.000001 0.000005 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001233 0.026512 0.064756 0.083852
i0_pos 0.022925 0.102721 4.774170 16.237642
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000009 0.000031 0.000000 0.000002
aa_neg 0.086695 0.251094 0.126372 0.334989
aa_pos 0.044116 0.108076 0.463629 1.351929
kappa_0 -0.001960 0.035770 0.155975 0.348296
sigma_neg -0.000063 0.000187 0.000000 0.000000
sigma_pos 0.000047 0.000100 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.067100 0.373399
a_neg l_neg 0.036824 0.087343
a_neg l_sep 0.036830 0.087349
a_neg l_pos 0.037491 0.087325
a_neg Rp_neg 0.036796 0.087329
a_neg Rp_pos 0.036792 0.087343
a_neg epsilon_f_neg 0.036824 0.087342
a_neg epsilon_f_pos 0.036799 0.087345
a_neg epsilon_neg 0.084478 0.317120
a_neg epsilon_sep 0.036830 0.087349
a_neg epsilon_pos 0.043033 0.091404
a_neg Cdl_neg 0.271889 1.281105
a_neg Cdl_pos 0.033996 0.088288
a_neg cs_max_neg 0.036830 0.087349
a_neg cs_max_pos 0.036830 0.087349
a_neg c0 0.036830 0.087349
a_neg D 0.036830 0.087349
a_neg Ds_neg 0.037654 0.087845
a_neg Ds_pos 0.036826 0.087348
a_neg d2Udcp2_pos_sgn 0.036829 0.087349
a_neg d2Udcp2_neg_sgn 0.036830 0.087349
a_neg d3Udcp3_pos_sgn 0.036830 0.087349
a_neg d3Udcp3_neg_sgn 0.036830 0.087349
a_neg dUdcp_pos_mag 0.036904 0.087355
a_neg dUdcp_neg_mag 0.036787 0.087361
a_neg d2Udcp2_pos_mag 0.036837 0.087349
a_neg d2Udcp2_neg_mag 0.036830 0.087349
a_neg d3Udcp3_pos_mag 0.036830 0.087349
a_neg d3Udcp3_neg_mag 0.036830 0.087349
a_neg i0_neg 0.049287 0.099044
a_neg i0_pos 0.032949 0.088546
a_neg SOC_neg 0.036830 0.087349
a_neg SOC_pos 0.036830 0.087349
a_neg tP 0.036828 0.087348
a_neg aa_neg 0.022207 0.069818
a_neg aa_pos 0.035629 0.091946
a_neg kappa_0 0.028334 0.076573
a_neg sigma_neg 0.036854 0.087400
a_neg sigma_pos 0.037007 0.087376
a_pos l_neg -0.121383 0.435267
a_pos l_sep -0.121389 0.435284
a_pos l_pos -0.121219 0.435110
a_pos Rp_neg -0.121389 0.435285
a_pos Rp_pos -0.121400 0.435299
a_pos epsilon_f_neg -0.121389 0.435284
a_pos epsilon_f_pos -0.121392 0.435286
a_pos epsilon_neg -0.115802 0.428040
a_pos epsilon_sep -0.121389 0.435284
a_pos epsilon_pos -0.080518 0.417988
a_pos Cdl_neg -0.118709 0.432297
a_pos Cdl_pos -0.101001 0.404534
a_pos cs_max_neg -0.121389 0.435284
a_pos cs_max_pos -0.121389 0.435284
