Parameter S1 S1_conf ST ST_conf
a_neg -0.036286 0.037360 208.440470 220.174955
a_pos 0.000581 0.012450 2.770999 4.469067
l_neg -0.000013 0.000163 0.000141 0.000232
l_sep 0.000010 0.000020 0.000257 0.000493
l_pos -0.001724 0.003973 0.021008 0.032551
Rp_neg -0.000009 0.000020 0.000000 0.000000
Rp_pos 0.000003 0.000003 0.000000 0.000000
epsilon_f_neg 0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000003 0.000000 0.000000
epsilon_neg -0.000947 0.001668 1.045966 1.212338
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.005012 0.007343 0.461597 0.235957
Cdl_neg 0.086749 0.150742 7.937102 16.363876
Cdl_pos 0.136069 0.353823 3.264622 5.008033
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000035 0.000058 0.000020 0.000037
D 0.000010 0.000021 0.000003 0.000005
Ds_neg 0.000006 0.000012 0.000000 0.000000
Ds_pos 0.000003 0.000004 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000007 0.000006 0.000000 0.000000
dUdcp_neg_mag -0.000014 0.000023 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.003024 0.005562 0.026290 0.024432
i0_pos 0.014226 0.011822 0.633169 0.220362
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000017 0.000047 0.000411 0.000789
aa_neg 0.002619 0.004018 0.154537 0.180430
aa_pos 0.022483 0.015421 7.496031 5.020739
kappa_0 0.000723 0.004645 0.129801 0.109469
sigma_neg -0.000001 0.000003 0.000000 0.000000
sigma_pos 0.000011 0.000024 0.000006 0.000008

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.038116 0.037727
a_neg l_neg 0.036783 0.035327
a_neg l_sep 0.036640 0.035337
a_neg l_pos 0.036339 0.035345
a_neg Rp_neg 0.036543 0.035343
a_neg Rp_pos 0.036644 0.035338
a_neg epsilon_f_neg 0.036640 0.035337
a_neg epsilon_f_pos 0.036623 0.035334
a_neg epsilon_neg 0.034476 0.032443
a_neg epsilon_sep 0.036640 0.035337
a_neg epsilon_pos 0.038267 0.035688
a_neg Cdl_neg 0.686653 1.372417
a_neg Cdl_pos 0.033540 0.035321
a_neg cs_max_neg 0.036640 0.035337
a_neg cs_max_pos 0.036640 0.035337
a_neg c0 0.036640 0.035337
a_neg D 0.036640 0.035337
a_neg Ds_neg 0.036699 0.035334
a_neg Ds_pos 0.036640 0.035337
a_neg d2Udcp2_pos_sgn 0.036640 0.035337
a_neg d2Udcp2_neg_sgn 0.036640 0.035337
a_neg d3Udcp3_pos_sgn 0.036640 0.035337
a_neg d3Udcp3_neg_sgn 0.036640 0.035337
a_neg dUdcp_pos_mag 0.036628 0.035335
a_neg dUdcp_neg_mag 0.036542 0.035343
a_neg d2Udcp2_pos_mag 0.036640 0.035337
a_neg d2Udcp2_neg_mag 0.036640 0.035337
a_neg d3Udcp3_pos_mag 0.036640 0.035337
a_neg d3Udcp3_neg_mag 0.036640 0.035337
a_neg i0_neg 0.038518 0.036019
a_neg i0_pos 0.034497 0.035293
a_neg SOC_neg 0.036640 0.035337
a_neg SOC_pos 0.036640 0.035337
a_neg tP 0.036641 0.035337
a_neg aa_neg 0.037120 0.036409
a_neg aa_pos 0.033212 0.035530
a_neg kappa_0 0.034254 0.035617
a_neg sigma_neg 0.036641 0.035337
a_neg sigma_pos 0.036757 0.035352
a_pos l_neg 0.002127 0.015006
a_pos l_sep 0.001976 0.015068
a_pos l_pos 0.003113 0.013699
a_pos Rp_neg 0.001924 0.015098
a_pos Rp_pos 0.001925 0.015097
a_pos epsilon_f_neg 0.001924 0.015098
a_pos epsilon_f_pos 0.001923 0.015098
a_pos epsilon_neg 0.003154 0.015130
a_pos epsilon_sep 0.001924 0.015098
a_pos epsilon_pos -0.005715 0.021995
a_pos Cdl_neg 0.001413 0.014993
a_pos Cdl_pos 0.153169 0.242123
a_pos cs_max_neg 0.001924 0.015098
a_pos cs_max_pos 0.001924 0.015098
