Parameter S1 S1_conf ST ST_conf
a_neg -0.000002 0.003791 0.343454 5.462760
a_pos -0.000000 0.000952 0.000094 0.237527
l_neg -0.000001 0.000945 0.109797 0.048263
l_sep -0.000005 0.000451 0.732178 0.341852
l_pos 0.000000 0.001525 0.001027 3.201823
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos -0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000005 0.000000 0.000000
epsilon_neg -0.000003 0.001824 0.928171 0.315023
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000010 0.010968 0.001214 2.258914
Cdl_neg 0.000007 0.004169 0.199876 0.150104
Cdl_pos -0.000000 0.012055 0.001335 1.259905
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000005 0.001855 0.038572 0.263757
D 0.000000 0.000465 0.005941 0.014993
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000000 0.000246 0.000001 0.001335
i0_pos -0.000003 0.006359 0.000211 0.325615
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000004 0.001652 1.007506 0.365545
aa_neg 0.000000 0.000212 0.000001 0.003222
aa_pos -0.000001 0.001778 0.000626 0.609048
kappa_0 0.000002 0.007873 1.008312 0.239134
sigma_neg -0.000000 0.000000 0.000000 0.000000
sigma_pos -0.000000 0.000020 0.000000 0.000005

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000004 0.003692
a_neg l_neg 0.000004 0.003652
a_neg l_sep 0.000004 0.003741
a_neg l_pos 0.000004 0.004153
a_neg Rp_neg 0.000004 0.003741
a_neg Rp_pos 0.000004 0.003741
a_neg epsilon_f_neg 0.000004 0.003741
a_neg epsilon_f_pos 0.000004 0.003740
a_neg epsilon_neg 0.000004 0.003626
a_neg epsilon_sep 0.000004 0.003741
a_neg epsilon_pos 0.000002 0.004139
a_neg Cdl_neg 0.000005 0.004325
a_neg Cdl_pos 0.000008 0.006031
a_neg cs_max_neg 0.000004 0.003741
a_neg cs_max_pos 0.000004 0.003741
a_neg c0 0.000004 0.003740
a_neg D 0.000004 0.003758
a_neg Ds_neg 0.000004 0.003741
a_neg Ds_pos 0.000004 0.003741
a_neg d2Udcp2_pos_sgn 0.000004 0.003741
a_neg d2Udcp2_neg_sgn 0.000004 0.003741
a_neg d3Udcp3_pos_sgn 0.000004 0.003741
a_neg d3Udcp3_neg_sgn 0.000004 0.003741
a_neg dUdcp_pos_mag 0.000004 0.003741
a_neg dUdcp_neg_mag 0.000004 0.003741
a_neg d2Udcp2_pos_mag 0.000004 0.003741
a_neg d2Udcp2_neg_mag 0.000004 0.003741
a_neg d3Udcp3_pos_mag 0.000004 0.003741
a_neg d3Udcp3_neg_mag 0.000004 0.003741
a_neg i0_neg 0.000004 0.003561
a_neg i0_pos 0.000003 0.003563
a_neg SOC_neg 0.000004 0.003741
a_neg SOC_pos 0.000004 0.003741
a_neg tP 0.000004 0.003737
a_neg aa_neg 0.000004 0.003768
a_neg aa_pos 0.000001 0.004583
a_neg kappa_0 0.000003 0.003889
a_neg sigma_neg 0.000004 0.003741
a_neg sigma_pos 0.000004 0.003742
a_pos l_neg -0.000005 0.003436
a_pos l_sep -0.000007 0.004442
a_pos l_pos -0.000007 0.006171
a_pos Rp_neg -0.000010 0.005543
a_pos Rp_pos -0.000010 0.005543
a_pos epsilon_f_neg -0.000010 0.005543
a_pos epsilon_f_pos -0.000010 0.005543
a_pos epsilon_neg -0.000001 0.001985
a_pos epsilon_sep -0.000010 0.005543
a_pos epsilon_pos -0.000034 0.054143
a_pos Cdl_neg -0.000002 0.002246
a_pos Cdl_pos -0.000012 0.006785
a_pos cs_max_neg -0.000010 0.005543
a_pos cs_max_pos -0.000010 0.005543
