Parameter S1 S1_conf ST ST_conf
a_neg 0.003577 0.010210 0.016604 0.067136
a_pos -0.734757 0.371689 0.180829 0.052289
l_neg -0.000013 0.000062 0.000348 0.001654
l_sep -0.000012 0.000059 0.000000 0.000000
l_pos 0.002774 0.001221 0.000003 0.000001
Rp_neg -0.000298 0.001615 0.002671 0.010288
Rp_pos -0.001999 0.005665 0.000380 0.001536
epsilon_f_neg 0.000001 0.000006 0.000000 0.000000
epsilon_f_pos 0.000000 0.000002 0.000000 0.000000
epsilon_neg -0.011894 0.060716 0.020211 0.056995
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.003856 0.047280 0.115353 0.459453
Cdl_neg -0.000263 0.001712 0.006749 0.028297
Cdl_pos 0.000843 0.011849 0.004605 0.017431
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000267 0.001308 0.000445 0.002459
D 0.000090 0.000416 0.000003 0.000014
Ds_neg 0.003019 0.014561 0.091120 0.280671
Ds_pos 0.011476 0.043001 0.017711 0.085657
d2Udcp2_pos_sgn 0.035197 0.017728 0.001337 0.004777
d2Udcp2_neg_sgn 0.008312 0.030228 0.181398 0.658340
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.003617 0.023675 0.004013 0.018129
dUdcp_neg_mag -0.000102 0.001649 0.008195 0.036578
d2Udcp2_pos_mag -0.014402 0.039045 0.004932 0.021073
d2Udcp2_neg_mag 0.004010 0.014658 0.052211 0.170333
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.003659 0.019600 0.645682 2.789474
i0_pos 0.824905 0.414455 0.245027 0.089157
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000467 0.001893 0.000430 0.002088
aa_neg 0.003999 0.011942 0.064105 0.277615
aa_pos -0.017789 0.061827 0.198421 0.813056
kappa_0 0.021739 0.052209 0.222670 0.930206
sigma_neg 0.000007 0.000042 0.000000 0.000001
sigma_pos 0.000003 0.000014 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.012409 0.052012
a_neg l_neg -0.010903 0.049206
a_neg l_sep -0.010068 0.048142
a_neg l_pos -0.010137 0.048453
a_neg Rp_neg -0.010454 0.047473
a_neg Rp_pos -0.011152 0.052849
a_neg epsilon_f_neg -0.010079 0.048193
a_neg epsilon_f_pos -0.010080 0.048195
a_neg epsilon_neg -0.020709 0.070813
a_neg epsilon_sep -0.010079 0.048194
a_neg epsilon_pos -0.002474 0.016746
a_neg Cdl_neg -0.009874 0.047290
a_neg Cdl_pos -0.011488 0.048172
a_neg cs_max_neg -0.010079 0.048194
a_neg cs_max_pos -0.010079 0.048194
a_neg c0 -0.009802 0.046981
a_neg D -0.010180 0.048620
a_neg Ds_neg -0.002388 0.052931
a_neg Ds_pos -0.001303 0.023130
a_neg d2Udcp2_pos_sgn -0.010248 0.048417
a_neg d2Udcp2_neg_sgn -0.009782 0.048010
a_neg d3Udcp3_pos_sgn -0.010079 0.048194
a_neg d3Udcp3_neg_sgn -0.010079 0.048194
a_neg dUdcp_pos_mag -0.015815 0.073442
a_neg dUdcp_neg_mag -0.012620 0.052098
a_neg d2Udcp2_pos_mag -0.002127 0.020567
a_neg d2Udcp2_neg_mag -0.014117 0.055964
a_neg d3Udcp3_pos_mag -0.010079 0.048194
a_neg d3Udcp3_neg_mag -0.010079 0.048194
a_neg i0_neg 0.022566 0.156222
a_neg i0_pos -0.006840 0.031703
a_neg SOC_neg -0.010079 0.048194
a_neg SOC_pos -0.010079 0.048194
a_neg tP -0.009782 0.046708
a_neg aa_neg -0.005577 0.048443
a_neg aa_pos 0.003185 0.055687
a_neg kappa_0 0.000204 0.036629
a_neg sigma_neg -0.010081 0.048195
a_neg sigma_pos -0.010073 0.048181
a_pos l_neg 0.756912 0.366871
a_pos l_sep 0.756911 0.366874
a_pos l_pos 0.754256 0.365565
a_pos Rp_neg 0.749565 0.389400
a_pos Rp_pos 0.758758 0.370722
a_pos epsilon_f_neg 0.756909 0.366878
a_pos epsilon_f_pos 0.756908 0.366881
a_pos epsilon_neg 0.758520 0.362139
a_pos epsilon_sep 0.756910 0.366877
a_pos epsilon_pos 0.735676 0.384300
a_pos Cdl_neg 0.755032 0.372578
a_pos Cdl_pos 0.753193 0.376657
a_pos cs_max_neg 0.756910 0.366877
a_pos cs_max_pos 0.756910 0.366877
a_pos c0 0.757152 0.366331
a_pos D 0.756643 0.367482
a_pos Ds_neg 0.760967 0.357126
a_pos Ds_pos 0.770349 0.315446
a_pos d2Udcp2_pos_sgn 0.723098 0.348187
a_pos d2Udcp2_neg_sgn 0.756822 0.367084
a_pos d3Udcp3_pos_sgn 0.756910 0.366877
a_pos d3Udcp3_neg_sgn 0.756910 0.366877
a_pos dUdcp_pos_mag 0.743813 0.405200
a_pos dUdcp_neg_mag 0.760214 0.357768
a_pos d2Udcp2_pos_mag 0.763641 0.368988
a_pos d2Udcp2_neg_mag 0.756760 0.367142
a_pos d3Udcp3_pos_mag 0.756910 0.366877
a_pos d3Udcp3_neg_mag 0.756910 0.366877
a_pos i0_neg 0.761369 0.354920
a_pos i0_pos -0.052776 0.047144
a_pos SOC_neg 0.756910 0.366877
a_pos SOC_pos 0.756910 0.366877
a_pos tP 0.756904 0.366980
a_pos aa_neg 0.758888 0.359494
a_pos aa_pos 0.736301 0.429264
a_pos kappa_0 0.843293 0.479651
a_pos sigma_neg 0.756909 0.366879
a_pos sigma_pos 0.756916 0.366857
l_neg l_sep 0.000008 0.000103
l_neg l_pos 0.000008 0.000103
l_neg Rp_neg 0.000007 0.000104
l_neg Rp_pos 0.000006 0.000103
l_neg epsilon_f_neg 0.000008 0.000103
l_neg epsilon_f_pos 0.000008 0.000103
l_neg epsilon_neg 0.000014 0.000065
l_neg epsilon_sep 0.000008 0.000103
l_neg epsilon_pos 0.000008 0.000102
l_neg Cdl_neg -0.000015 0.000210
l_neg Cdl_pos 0.000008 0.000103
l_neg cs_max_neg 0.000008 0.000103
l_neg cs_max_pos 0.000008 0.000103
l_neg c0 0.000008 0.000103
l_neg D 0.000008 0.000103
l_neg Ds_neg 0.000048 0.000218
l_neg Ds_pos 0.000006 0.000104
l_neg d2Udcp2_pos_sgn 0.000009 0.000103
l_neg d2Udcp2_neg_sgn -0.000018 0.000114
l_neg d3Udcp3_pos_sgn 0.000008 0.000103
l_neg d3Udcp3_neg_sgn 0.000008 0.000103
l_neg dUdcp_pos_mag 0.000009 0.000103
l_neg dUdcp_neg_mag 0.000008 0.000105
l_neg d2Udcp2_pos_mag 0.000008 0.000103
l_neg d2Udcp2_neg_mag -0.000005 0.000097
l_neg d3Udcp3_pos_mag 0.000008 0.000103
l_neg d3Udcp3_neg_mag 0.000008 0.000103
l_neg i0_neg 0.000006 0.000061
l_neg i0_pos -0.000001 0.000138
l_neg SOC_neg 0.000008 0.000103
l_neg SOC_pos 0.000008 0.000103
l_neg tP 0.000008 0.000103
l_neg aa_neg 0.000034 0.000106
l_neg aa_pos 0.000015 0.000104
l_neg kappa_0 0.000008 0.000062
l_neg sigma_neg 0.000008 0.000103
l_neg sigma_pos 0.000008 0.000103
l_sep l_pos 0.000011 0.000058
l_sep Rp_neg 0.000013 0.000061
l_sep Rp_pos 0.000011 0.000057
l_sep epsilon_f_neg 0.000011 0.000058
l_sep epsilon_f_pos 0.000011 0.000058
l_sep epsilon_neg 0.000011 0.000058
l_sep epsilon_sep 0.000011 0.000058
l_sep epsilon_pos 0.000010 0.000057
l_sep Cdl_neg 0.000011 0.000058
l_sep Cdl_pos 0.000011 0.000057
l_sep cs_max_neg 0.000011 0.000058
l_sep cs_max_pos 0.000011 0.000058
l_sep c0 0.000011 0.000058
l_sep D 0.000011 0.000058
l_sep Ds_neg 0.000013 0.000061
l_sep Ds_pos 0.000013 0.000064
l_sep d2Udcp2_pos_sgn 0.000011 0.000057
l_sep d2Udcp2_neg_sgn 0.000011 0.000058
l_sep d3Udcp3_pos_sgn 0.000011 0.000058
l_sep d3Udcp3_neg_sgn 0.000011 0.000058
l_sep dUdcp_pos_mag 0.000010 0.000055
l_sep dUdcp_neg_mag 0.000011 0.000057
l_sep d2Udcp2_pos_mag 0.000011 0.000058
