Parameter S1 S1_conf ST ST_conf
a_neg 0.034521 0.046317 0.069880 0.093346
a_pos 0.027589 0.041639 0.410917 0.186857
l_neg 0.000041 0.000089 0.000256 0.000517
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000035 0.000052 0.000000 0.000000
Rp_neg -0.000108 0.000368 0.000030 0.000065
Rp_pos -0.003007 0.004153 0.000026 0.000029
epsilon_f_neg 0.000009 0.000018 0.000000 0.000000
epsilon_f_pos 0.000002 0.000009 0.000000 0.000000
epsilon_neg -0.115292 0.204574 0.124888 0.140463
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.018358 0.040713 4.123908 2.395895
Cdl_neg -0.000093 0.001784 0.004298 0.005295
Cdl_pos 0.002155 0.024970 0.021804 0.027539
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000048 0.000054 0.000002 0.000004
D -0.000085 0.000110 0.000000 0.000000
Ds_neg -0.000233 0.000416 0.000152 0.000210
Ds_pos -0.003820 0.004835 0.000027 0.000032
d2Udcp2_pos_sgn 0.000009 0.000021 0.000000 0.000000
d2Udcp2_neg_sgn -0.000077 0.000189 0.000014 0.000034
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.002002 0.004790 0.000319 0.000672
dUdcp_neg_mag 0.000019 0.000264 0.000035 0.000058
d2Udcp2_pos_mag -0.003832 0.004965 0.000026 0.000033
d2Udcp2_neg_mag -0.000032 0.000090 0.000007 0.000013
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.007067 0.011367 0.076541 0.083241
i0_pos 0.024980 0.030276 0.581304 0.299313
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000030 0.000058 0.000003 0.000005
aa_neg 0.018957 0.043253 0.450813 0.511530
aa_pos 0.035607 0.097286 0.715467 0.316396
kappa_0 -0.318190 0.662368 6.436826 12.406777
sigma_neg -0.000028 0.000055 0.000000 0.000000
sigma_pos -0.000016 0.000038 0.000001 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.055343 0.057216
a_neg l_neg -0.063387 0.071615
a_neg l_sep -0.063149 0.071497
a_neg l_pos -0.063186 0.071526
a_neg Rp_neg -0.063049 0.071439
a_neg Rp_pos -0.059779 0.068127
a_neg epsilon_f_neg -0.063144 0.071495
a_neg epsilon_f_pos -0.063144 0.071492
a_neg epsilon_neg -0.121237 0.149604
a_neg epsilon_sep -0.063148 0.071497
a_neg epsilon_pos -0.027550 0.063334
a_neg Cdl_neg -0.063147 0.071614
a_neg Cdl_pos -0.078103 0.085496
a_neg cs_max_neg -0.063148 0.071497
a_neg cs_max_pos -0.063148 0.071497
a_neg c0 -0.063173 0.071517
a_neg D -0.063070 0.071421
a_neg Ds_neg -0.063045 0.071444
a_neg Ds_pos -0.059592 0.067942
a_neg d2Udcp2_pos_sgn -0.063148 0.071497
a_neg d2Udcp2_neg_sgn -0.063152 0.071499
a_neg d3Udcp3_pos_sgn -0.063148 0.071497
a_neg d3Udcp3_neg_sgn -0.063148 0.071497
a_neg dUdcp_pos_mag -0.065247 0.074192
a_neg dUdcp_neg_mag -0.063186 0.071507
a_neg d2Udcp2_pos_mag -0.059451 0.067915
a_neg d2Udcp2_neg_mag -0.063177 0.071511
a_neg d3Udcp3_pos_mag -0.063148 0.071497
a_neg d3Udcp3_neg_mag -0.063148 0.071497
a_neg i0_neg -0.056659 0.070094
a_neg i0_pos -0.063568 0.067734
a_neg SOC_neg -0.063148 0.071497
a_neg SOC_pos -0.063148 0.071497
a_neg tP -0.063197 0.071542
a_neg aa_neg -0.027820 0.065804
a_neg aa_pos -0.023797 0.077469
a_neg kappa_0 -0.320206 0.587982
a_neg sigma_neg -0.063161 0.071506
a_neg sigma_pos -0.063131 0.071496
a_pos l_neg -0.233342 0.498236
a_pos l_sep -0.233334 0.498235
a_pos l_pos -0.233318 0.498211
a_pos Rp_neg -0.235021 0.498773
a_pos Rp_pos -0.229486 0.490383
a_pos epsilon_f_neg -0.233340 0.498247
a_pos epsilon_f_pos -0.233289 0.498138
a_pos epsilon_neg -0.246125 0.506691
a_pos epsilon_sep -0.233334 0.498235
a_pos epsilon_pos -0.052611 0.121714
a_pos Cdl_neg -0.250937 0.504742
a_pos Cdl_pos -0.293074 0.624623
a_pos cs_max_neg -0.233334 0.498235
a_pos cs_max_pos -0.233334 0.498235
a_pos c0 -0.233215 0.497938
a_pos D -0.233373 0.498313
a_pos Ds_neg -0.232998 0.498181
a_pos Ds_pos -0.231508 0.494367
a_pos d2Udcp2_pos_sgn -0.233323 0.498232
a_pos d2Udcp2_neg_sgn -0.233330 0.498233
a_pos d3Udcp3_pos_sgn -0.233334 0.498235
a_pos d3Udcp3_neg_sgn -0.233334 0.498235
a_pos dUdcp_pos_mag -0.257661 0.549593
a_pos dUdcp_neg_mag -0.232814 0.498083
a_pos d2Udcp2_pos_mag -0.233324 0.498231
a_pos d2Udcp2_neg_mag -0.233328 0.498233
a_pos d3Udcp3_pos_mag -0.233334 0.498235
a_pos d3Udcp3_neg_mag -0.233334 0.498235
a_pos i0_neg -0.195969 0.472777
a_pos i0_pos -0.280914 0.574729
a_pos SOC_neg -0.233334 0.498235
a_pos SOC_pos -0.233334 0.498235
a_pos tP -0.233359 0.498263
a_pos aa_neg -0.182431 0.406051
a_pos aa_pos 0.267052 0.564728
a_pos kappa_0 -3.534016 7.517873
a_pos sigma_neg -0.233363 0.498277
a_pos sigma_pos -0.233512 0.498606
l_neg l_sep -0.000326 0.000460
l_neg l_pos -0.000326 0.000460
l_neg Rp_neg -0.000326 0.000460
l_neg Rp_pos -0.000326 0.000460
l_neg epsilon_f_neg -0.000326 0.000460
l_neg epsilon_f_pos -0.000326 0.000460
l_neg epsilon_neg -0.000120 0.000151
l_neg epsilon_sep -0.000326 0.000460
l_neg epsilon_pos -0.000323 0.000459
l_neg Cdl_neg -0.000336 0.000474
l_neg Cdl_pos -0.000330 0.000461
l_neg cs_max_neg -0.000326 0.000460
l_neg cs_max_pos -0.000326 0.000460
l_neg c0 -0.000326 0.000460
l_neg D -0.000326 0.000460
l_neg Ds_neg -0.000317 0.000445
l_neg Ds_pos -0.000326 0.000460
l_neg d2Udcp2_pos_sgn -0.000326 0.000460
l_neg d2Udcp2_neg_sgn -0.000326 0.000460
l_neg d3Udcp3_pos_sgn -0.000326 0.000460
l_neg d3Udcp3_neg_sgn -0.000326 0.000460
l_neg dUdcp_pos_mag -0.000326 0.000460
l_neg dUdcp_neg_mag -0.000326 0.000460
l_neg d2Udcp2_pos_mag -0.000326 0.000460
l_neg d2Udcp2_neg_mag -0.000326 0.000460
l_neg d3Udcp3_pos_mag -0.000326 0.000460
l_neg d3Udcp3_neg_mag -0.000326 0.000460
l_neg i0_neg -0.000165 0.000221
l_neg i0_pos -0.000437 0.000628
l_neg SOC_neg -0.000326 0.000460
l_neg SOC_pos -0.000326 0.000460
l_neg tP -0.000326 0.000460
l_neg aa_neg 0.000033 0.000130
l_neg aa_pos -0.000322 0.000458
l_neg kappa_0 -0.000089 0.000120
l_neg sigma_neg -0.000326 0.000460
l_neg sigma_pos -0.000326 0.000460
l_sep l_pos -0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos -0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos -0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep -0.000000 0.000000
l_sep epsilon_pos -0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos -0.000000 0.000000
l_sep cs_max_neg -0.000000 0.000000
l_sep cs_max_pos -0.000000 0.000000
l_sep c0 -0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn -0.000000 0.000000
l_sep d2Udcp2_neg_sgn -0.000000 0.000000
l_sep d3Udcp3_pos_sgn -0.000000 0.000000
l_sep d3Udcp3_neg_sgn -0.000000 0.000000
l_sep dUdcp_pos_mag -0.000000 0.000000
l_sep dUdcp_neg_mag -0.000000 0.000000
l_sep d2Udcp2_pos_mag -0.000000 0.000000
l_sep d2Udcp2_neg_mag -0.000000 0.000000
l_sep d3Udcp3_pos_mag -0.000000 0.000000
l_sep d3Udcp3_neg_mag -0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos -0.000000 0.000000
l_sep SOC_neg -0.000000 0.000000
l_sep SOC_pos -0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg -0.000000 0.000000
l_sep aa_pos -0.000000 0.000000
l_sep kappa_0 -0.000000 0.000000
l_sep sigma_neg -0.000000 0.000000
l_sep sigma_pos -0.000000 0.000000
l_pos Rp_neg -0.000047 0.000063
l_pos Rp_pos -0.000036 0.000052
l_pos epsilon_f_neg -0.000048 0.000063
l_pos epsilon_f_pos -0.000048 0.000063
l_pos epsilon_neg -0.000053 0.000071
l_pos epsilon_sep -0.000048 0.000063
l_pos epsilon_pos -0.000046 0.000059
l_pos Cdl_neg -0.000044 0.000058
l_pos Cdl_pos -0.000048 0.000064
l_pos cs_max_neg -0.000048 0.000063
l_pos cs_max_pos -0.000048 0.000063
l_pos c0 -0.000048 0.000063
l_pos D -0.000048 0.000063
l_pos Ds_neg -0.000047 0.000063
l_pos Ds_pos -0.000048 0.000063
l_pos d2Udcp2_pos_sgn -0.000048 0.000064
l_pos d2Udcp2_neg_sgn -0.000048 0.000063
l_pos d3Udcp3_pos_sgn -0.000048 0.000063
l_pos d3Udcp3_neg_sgn -0.000048 0.000063
l_pos dUdcp_pos_mag -0.000047 0.000063
l_pos dUdcp_neg_mag -0.000048 0.000063
l_pos d2Udcp2_pos_mag -0.000047 0.000063
l_pos d2Udcp2_neg_mag -0.000048 0.000063
l_pos d3Udcp3_pos_mag -0.000048 0.000063
l_pos d3Udcp3_neg_mag -0.000048 0.000063
l_pos i0_neg -0.000046 0.000061
l_pos i0_pos -0.000724 0.001746
l_pos SOC_neg -0.000048 0.000063
l_pos SOC_pos -0.000048 0.000063
l_pos tP -0.000048 0.000063
l_pos aa_neg -0.000098 0.000175
l_pos aa_pos -0.000046 0.000061
l_pos kappa_0 -0.000032 0.000052
l_pos sigma_neg -0.000048 0.000063
l_pos sigma_pos -0.000048 0.000063
Rp_neg Rp_pos 0.000084 0.000362
Rp_neg epsilon_f_neg 0.000084 0.000362
Rp_neg epsilon_f_pos 0.000084 0.000362
Rp_neg epsilon_neg -0.000465 0.001521
Rp_neg epsilon_sep 0.000084 0.000362
Rp_neg epsilon_pos 0.000067 0.000371
Rp_neg Cdl_neg 0.000038 0.000380
Rp_neg Cdl_pos 0.000318 0.000607
Rp_neg cs_max_neg 0.000084 0.000362
Rp_neg cs_max_pos 0.000084 0.000362
Rp_neg c0 0.000084 0.000362
Rp_neg D 0.000084 0.000362
Rp_neg Ds_neg 0.000083 0.000362
Rp_neg Ds_pos 0.000084 0.000363
Rp_neg d2Udcp2_pos_sgn 0.000084 0.000362
Rp_neg d2Udcp2_neg_sgn 0.000084 0.000362
Rp_neg d3Udcp3_pos_sgn 0.000084 0.000362
Rp_neg d3Udcp3_neg_sgn 0.000084 0.000362
Rp_neg dUdcp_pos_mag 0.000084 0.000362
Rp_neg dUdcp_neg_mag 0.000087 0.000362
Rp_neg d2Udcp2_pos_mag 0.000085 0.000363
Rp_neg d2Udcp2_neg_mag 0.000084 0.000362
Rp_neg d3Udcp3_pos_mag 0.000084 0.000362
Rp_neg d3Udcp3_neg_mag 0.000084 0.000362
Rp_neg i0_neg 0.000132 0.000376
Rp_neg i0_pos 0.000094 0.000359
Rp_neg SOC_neg 0.000084 0.000362
Rp_neg SOC_pos 0.000084 0.000362
Rp_neg tP 0.000084 0.000362
Rp_neg aa_neg 0.000322 0.000677
Rp_neg aa_pos 0.000169 0.000398
Rp_neg kappa_0 0.000098 0.000371
Rp_neg sigma_neg 0.000084 0.000362
Rp_neg sigma_pos 0.000084 0.000362
Rp_pos epsilon_f_neg 0.002995 0.004150
Rp_pos epsilon_f_pos 0.002995 0.004150
Rp_pos epsilon_neg 0.003001 0.004151
Rp_pos epsilon_sep 0.002995 0.004150
Rp_pos epsilon_pos 0.003013 0.004153
Rp_pos Cdl_neg 0.002997 0.004150
Rp_pos Cdl_pos 0.003011 0.004152
Rp_pos cs_max_neg 0.002995 0.004150
Rp_pos cs_max_pos 0.002995 0.004150
Rp_pos c0 0.002995 0.004150
Rp_pos D 0.002995 0.004150
