Parameter S1 S1_conf ST ST_conf
a_neg -0.009328 0.049910 0.137568 0.095081
a_pos 0.132866 0.214944 0.927636 0.997473
l_neg -0.000044 0.000097 0.000003 0.000005
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000270 0.000493 0.000005 0.000006
Rp_neg -0.000027 0.000098 0.000014 0.000026
Rp_pos -0.000132 0.000235 0.000002 0.000003
epsilon_f_neg 0.000001 0.000004 0.000000 0.000000
epsilon_f_pos 0.000011 0.000013 0.000000 0.000000
epsilon_neg -0.076485 0.151806 0.289038 0.392884
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.064578 0.129285 3.263564 1.919538
Cdl_neg -0.033598 0.032229 0.121550 0.090765
Cdl_pos 0.016498 0.023379 0.626872 0.889166
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000003 0.000007 0.000000 0.000000
D -0.000003 0.000004 0.000000 0.000000
Ds_neg -0.000109 0.000145 0.000311 0.000608
Ds_pos 0.000021 0.000080 0.000000 0.000000
d2Udcp2_pos_sgn -0.000002 0.000003 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000214 0.000335 0.000004 0.000006
dUdcp_neg_mag 0.000005 0.000265 0.000018 0.000032
d2Udcp2_pos_mag 0.000009 0.000019 0.000000 0.000000
d2Udcp2_neg_mag 0.000001 0.000002 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.009842 0.021101 0.064840 0.055709
i0_pos -0.001495 0.019304 0.066197 0.026722
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000011 0.000018 0.000000 0.000000
aa_neg 0.027185 0.055014 0.286914 0.321215
aa_pos 0.074470 0.091352 0.631885 0.313202
kappa_0 -0.327323 0.484020 8.200630 11.853650
sigma_neg -0.000028 0.000041 0.000000 0.000000
sigma_pos -0.000001 0.000038 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.048993 0.220378
a_neg l_neg 0.025503 0.127325
a_neg l_sep 0.025399 0.127346
a_neg l_pos 0.025626 0.127287
a_neg Rp_neg 0.025491 0.127311
a_neg Rp_pos 0.025207 0.127467
a_neg epsilon_f_neg 0.025389 0.127352
a_neg epsilon_f_pos 0.025403 0.127343
a_neg epsilon_neg 0.172951 0.688858
a_neg epsilon_sep 0.025399 0.127346
a_neg epsilon_pos 0.045910 0.118437
a_neg Cdl_neg -0.032098 0.135514
a_neg Cdl_pos 0.039578 0.119949
a_neg cs_max_neg 0.025399 0.127346
a_neg cs_max_pos 0.025399 0.127346
a_neg c0 0.025397 0.127348
a_neg D 0.025401 0.127346
a_neg Ds_neg 0.025154 0.127437
a_neg Ds_pos 0.025349 0.127378
a_neg d2Udcp2_pos_sgn 0.025400 0.127346
a_neg d2Udcp2_neg_sgn 0.025398 0.127347
a_neg d3Udcp3_pos_sgn 0.025399 0.127346
a_neg d3Udcp3_neg_sgn 0.025399 0.127346
a_neg dUdcp_pos_mag 0.025636 0.127200
a_neg dUdcp_neg_mag 0.025268 0.127183
a_neg d2Udcp2_pos_mag 0.025392 0.127351
a_neg d2Udcp2_neg_mag 0.025396 0.127347
a_neg d3Udcp3_pos_mag 0.025399 0.127346
a_neg d3Udcp3_neg_mag 0.025399 0.127346
a_neg i0_neg -0.041369 0.135814
a_neg i0_pos 0.031142 0.125402
a_neg SOC_neg 0.025399 0.127346
a_neg SOC_pos 0.025399 0.127346
a_neg tP 0.025390 0.127349
a_neg aa_neg 0.112808 0.146682
a_neg aa_pos 0.081969 0.120979
a_neg kappa_0 -0.332815 0.574595
a_neg sigma_neg 0.025400 0.127381
a_neg sigma_pos 0.025391 0.127355
a_pos l_neg -0.176274 0.249905
a_pos l_sep -0.176284 0.249909
a_pos l_pos -0.176266 0.249901
a_pos Rp_neg -0.176265 0.249904
a_pos Rp_pos -0.176648 0.250223
a_pos epsilon_f_neg -0.176284 0.249909
a_pos epsilon_f_pos -0.176276 0.249901
a_pos epsilon_neg -0.119790 0.244882
a_pos epsilon_sep -0.176284 0.249909
a_pos epsilon_pos -0.092088 0.220999
a_pos Cdl_neg -0.170425 0.247194
a_pos Cdl_pos -0.139628 0.225658
a_pos cs_max_neg -0.176284 0.249909
a_pos cs_max_pos -0.176284 0.249909
a_pos c0 -0.176280 0.249906
a_pos D -0.176284 0.249909
a_pos Ds_neg -0.176285 0.249914
a_pos Ds_pos -0.176301 0.249926
a_pos d2Udcp2_pos_sgn -0.176284 0.249909
a_pos d2Udcp2_neg_sgn -0.176284 0.249909
a_pos d3Udcp3_pos_sgn -0.176284 0.249909
a_pos d3Udcp3_neg_sgn -0.176284 0.249909
a_pos dUdcp_pos_mag -0.175751 0.249455
a_pos dUdcp_neg_mag -0.176268 0.249902
a_pos d2Udcp2_pos_mag -0.176284 0.249909
a_pos d2Udcp2_neg_mag -0.176284 0.249909
a_pos d3Udcp3_pos_mag -0.176284 0.249909
a_pos d3Udcp3_neg_mag -0.176284 0.249909
a_pos i0_neg -0.178727 0.250811
a_pos i0_pos -0.172622 0.243931
a_pos SOC_neg -0.176284 0.249909
a_pos SOC_pos -0.176284 0.249909
a_pos tP -0.176291 0.249913
a_pos aa_neg -0.166469 0.245487
a_pos aa_pos -0.066258 0.214248
a_pos kappa_0 -0.944284 1.337338
a_pos sigma_neg -0.176277 0.249905
a_pos sigma_pos -0.176339 0.249951
l_neg l_sep -0.000875 0.001649
l_neg l_pos -0.000875 0.001649
l_neg Rp_neg -0.000875 0.001649
l_neg Rp_pos -0.000875 0.001649
l_neg epsilon_f_neg -0.000875 0.001648
l_neg epsilon_f_pos -0.000875 0.001649
l_neg epsilon_neg -0.000645 0.001240
l_neg epsilon_sep -0.000875 0.001649
l_neg epsilon_pos -0.000923 0.001694
l_neg Cdl_neg -0.000900 0.001698
l_neg Cdl_pos -0.000904 0.001667
l_neg cs_max_neg -0.000875 0.001649
l_neg cs_max_pos -0.000875 0.001649
l_neg c0 -0.000876 0.001649
l_neg D -0.000875 0.001649
l_neg Ds_neg -0.000875 0.001649
l_neg Ds_pos -0.000875 0.001649
l_neg d2Udcp2_pos_sgn -0.000875 0.001649
l_neg d2Udcp2_neg_sgn -0.000875 0.001649
l_neg d3Udcp3_pos_sgn -0.000875 0.001649
l_neg d3Udcp3_neg_sgn -0.000875 0.001649
l_neg dUdcp_pos_mag -0.000876 0.001649
l_neg dUdcp_neg_mag -0.000860 0.001621
l_neg d2Udcp2_pos_mag -0.000875 0.001649
