Parameter S1 S1_conf ST ST_conf
a_neg 0.039498 0.105058 6.779087 14.189792
a_pos 0.088444 0.199979 37.580141 77.655298
l_neg -0.000062 0.000115 0.000004 0.000007
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.001775 0.003086 0.005409 0.011035
Rp_neg -0.000029 0.000065 0.000000 0.000001
Rp_pos -0.000014 0.000022 0.000000 0.000000
epsilon_f_neg 0.000004 0.000009 0.000000 0.000000
epsilon_f_pos -0.000001 0.000019 0.000000 0.000000
epsilon_neg 0.004217 0.011053 0.144083 0.253945
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.059255 0.135895 0.276033 0.225097
Cdl_neg 0.365428 0.741827 5.497395 9.893255
Cdl_pos -0.155428 0.337974 1.660855 2.931013
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000008 0.000038 0.000000 0.000001
D 0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000141 0.000302 0.000008 0.000016
Ds_pos 0.000000 0.000002 0.000000 0.000000
d2Udcp2_pos_sgn -0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000047 0.000095 0.000001 0.000001
dUdcp_neg_mag -0.000114 0.000206 0.000001 0.000001
d2Udcp2_pos_mag -0.000001 0.000003 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.004086 0.022496 0.110270 0.144542
i0_pos 0.040311 0.106675 6.128349 14.250014
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000026 0.000056 0.000003 0.000006
aa_neg 0.051728 0.105469 0.093694 0.149193
aa_pos 0.046990 0.066689 8.041322 7.673870
kappa_0 0.001464 0.014281 0.242567 0.165048
sigma_neg -0.000037 0.000075 0.000000 0.000000
sigma_pos 0.000090 0.000157 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.068285 0.196502
a_neg l_neg -0.016476 0.102263
a_neg l_sep -0.016528 0.102270
a_neg l_pos -0.015578 0.101988
a_neg Rp_neg -0.016845 0.102333
a_neg Rp_pos -0.016559 0.102278
a_neg epsilon_f_neg -0.016531 0.102270
a_neg epsilon_f_pos -0.016631 0.102294
a_neg epsilon_neg -0.002980 0.126845
a_neg epsilon_sep -0.016528 0.102270
a_neg epsilon_pos -0.001333 0.102519
a_neg Cdl_neg 1.202441 2.329286
a_neg Cdl_pos -0.028246 0.107033
a_neg cs_max_neg -0.016528 0.102270
a_neg cs_max_pos -0.016528 0.102270
a_neg c0 -0.016527 0.102269
a_neg D -0.016527 0.102269
a_neg Ds_neg -0.015054 0.102032
a_neg Ds_pos -0.016528 0.102269
a_neg d2Udcp2_pos_sgn -0.016528 0.102270
a_neg d2Udcp2_neg_sgn -0.016528 0.102270
a_neg d3Udcp3_pos_sgn -0.016528 0.102270
a_neg d3Udcp3_neg_sgn -0.016528 0.102270
a_neg dUdcp_pos_mag -0.016450 0.102247
a_neg dUdcp_neg_mag -0.016859 0.102345
a_neg d2Udcp2_pos_mag -0.016522 0.102268
a_neg d2Udcp2_neg_mag -0.016528 0.102270
a_neg d3Udcp3_pos_mag -0.016528 0.102270
a_neg d3Udcp3_neg_mag -0.016528 0.102270
a_neg i0_neg 0.001019 0.103255
a_neg i0_pos -0.029659 0.105658
a_neg SOC_neg -0.016528 0.102270
a_neg SOC_pos -0.016528 0.102270
a_neg tP -0.016529 0.102270
a_neg aa_neg -0.027686 0.105841
a_neg aa_pos -0.035512 0.112061
a_neg kappa_0 -0.021364 0.102697
a_neg sigma_neg -0.016514 0.102269
a_neg sigma_pos -0.015872 0.102142
a_pos l_neg -0.083011 0.195935
a_pos l_sep -0.082999 0.195916
a_pos l_pos -0.082040 0.195292
a_pos Rp_neg -0.083000 0.195917
a_pos Rp_pos -0.082996 0.195916
a_pos epsilon_f_neg -0.083000 0.195917
a_pos epsilon_f_pos -0.083001 0.195917
a_pos epsilon_neg -0.080970 0.194658
a_pos epsilon_sep -0.083000 0.195917
a_pos epsilon_pos -0.070721 0.199170
a_pos Cdl_neg -0.081758 0.195392
a_pos Cdl_pos 0.024328 0.250248
a_pos cs_max_neg -0.083000 0.195917
a_pos cs_max_pos -0.083000 0.195917
a_pos c0 -0.083078 0.195975
a_pos D -0.083001 0.195917
a_pos Ds_neg -0.083000 0.195917
a_pos Ds_pos -0.083000 0.195917
a_pos d2Udcp2_pos_sgn -0.083000 0.195917
a_pos d2Udcp2_neg_sgn -0.083000 0.195917
a_pos d3Udcp3_pos_sgn -0.083000 0.195917
a_pos d3Udcp3_neg_sgn -0.083000 0.195917
a_pos dUdcp_pos_mag -0.082981 0.195912
a_pos dUdcp_neg_mag -0.083003 0.195918
a_pos d2Udcp2_pos_mag -0.083000 0.195917
a_pos d2Udcp2_neg_mag -0.083000 0.195917
a_pos d3Udcp3_pos_mag -0.083000 0.195917
a_pos d3Udcp3_neg_mag -0.083000 0.195917
a_pos i0_neg -0.089154 0.200580
a_pos i0_pos 0.133371 0.476373
a_pos SOC_neg -0.083000 0.195917
a_pos SOC_pos -0.083000 0.195917
a_pos tP -0.083083 0.195976
a_pos aa_neg -0.082751 0.195834
a_pos aa_pos -0.084582 0.205154
a_pos kappa_0 -0.083818 0.198740
a_pos sigma_neg -0.083000 0.195917
a_pos sigma_pos -0.083004 0.195919
l_neg l_sep -0.000088 0.000292
l_neg l_pos -0.000088 0.000292
l_neg Rp_neg -0.000088 0.000292
l_neg Rp_pos -0.000088 0.000292
l_neg epsilon_f_neg -0.000088 0.000292
l_neg epsilon_f_pos -0.000088 0.000292
l_neg epsilon_neg -0.000130 0.000279
l_neg epsilon_sep -0.000088 0.000292
l_neg epsilon_pos -0.000086 0.000293
l_neg Cdl_neg 0.000036 0.000297
l_neg Cdl_pos -0.000103 0.000308
l_neg cs_max_neg -0.000088 0.000292
l_neg cs_max_pos -0.000088 0.000292
l_neg c0 -0.000088 0.000292
